Trip	Site	Type	elemental_pc1	elemental_pc1_global_sensitivity
3	20	Deep	0.04973378489654542	0.07860372706405604
3	20	Rhizosphere	-2.193072571434189	-2.053457591510492
3	20	Surface	-0.7061303876740372	-0.6750025584678396
3	21	Deep	-1.6212610191931904	-1.4715271663612008
3	21	Rhizosphere	-2.7542482556098125	-2.6318556418019243
3	21	Surface	-0.8159037915577018	-0.7369125743383684
3	22	Deep	3.1674827765151297	3.0392667586399695
3	22	Rhizosphere	-0.30607967933625274	-0.24560778506462336
3	22	Surface	-1.4904067732308866	-1.3612663574541208
3	23	Deep	-0.8894342658974774	-0.7395764762522141
3	23	Rhizosphere	1.4401666238583155	1.4593492261463066
3	23	Surface	1.3577257443230168	1.3498172662079915
3	24	Deep	0.19556307161983014	0.29888620148204664
3	24	Rhizosphere	-2.043306458590272	-1.9399149442751684
3	24	Surface	2.1105846832945345	1.9232355695459216
3	25	Deep	-0.9816976707649204	-0.913025114995608
3	25	Rhizosphere	-1.7098224488291835	-1.6125743729840325
3	25	Surface	-1.2057522319712042	-1.09336377322887
3	26	Deep	0.30244986013633146	0.344428997015982
3	26	Rhizosphere	-1.0473820337839237	-1.0002869640920609
3	26	Surface	-0.6207348744261437	-0.6191032372735773
3	27	Deep	-0.159614448016625	-0.10361956543438874
3	27	Rhizosphere	-0.6131096242891496	-0.6369479812966078
3	27	Surface	-1.2255283533480463	-1.1365182607558002
3	28	Deep	-0.6680700945962437	-0.5404387214147847
3	28	Rhizosphere	-1.7329907842589547	-1.642686744360829
3	28	Surface	-2.076975205082079	-1.9714000590098852
3	29	Deep	-1.3445498421236457	-1.1478799552057615
3	29	Rhizosphere	-1.7043701635262887	-1.6077769735021465
3	29	Surface	-0.4688256456869754	-0.3691418218344567
3	30	Deep	-2.1549674177845457	-1.9226610742859644
3	30	Rhizosphere	-0.764065096736108	-0.6598423990821346
3	30	Surface	-1.5531965454637633	-1.4546828006408192
3	31	Deep	-0.682437469597872	-0.5593329885352047
3	31	Rhizosphere	-1.0106467106975747	-0.9450827807642331
3	31	Surface	-1.8139907309783079	-1.688350564638677
3	32	Deep	-0.360698696036922	-0.3086689657116
3	32	Rhizosphere	-2.0856217850742786	-1.9071075894462053
3	32	Surface	-0.0087314636822432	-0.04945012761789838
3	33	Deep	-0.5466591978071753	-0.4816739490732249
3	33	Rhizosphere	-1.2417191762632285	-1.1402031219524507
3	33	Surface	-2.7928753732522185	-2.607202989688162
3	34	Deep	-0.5174037137055373	-0.5045675590558638
3	34	Rhizosphere	-0.6497578848379247	-0.5889136597058988
3	34	Surface	0.049873986034640376	0.14298529075804559
3	35	Deep	-0.5687978066713277	-0.521157371329601
3	35	Rhizosphere	-1.678728682937508	-1.536130221185822
3	35	Surface	0.03314467790973343	0.1205697758825293
3	36	Deep	0.8616028271479351	0.9206814492304669
3	36	Rhizosphere	-0.4654201353178604	-0.3977601995720956
3	36	Surface	2.189855793563528	2.088024963722617
3	37	Deep	0.5208786415733393	0.5611535658996194
3	37	Rhizosphere	-0.7967982080647956	-0.7279887028370937
3	37	Surface	2.7714563796401435	2.6174717711974274
3	38	Deep	-1.0485328682019188	-0.9439593293851689
3	38	Rhizosphere	0.830892394059373	0.8285184183810579
3	38	Surface	2.514062026907299	2.3904441469543922
3	39	Deep	-1.1089149537715917	-1.0049291326233916
3	39	Rhizosphere	-1.1958617214842004	-1.1632488269314398
3	39	Surface	1.7653242731340604	1.649827436380666
3	40	Deep	-1.640210911362835	-1.5695667268370137
3	40	Rhizosphere	-1.941075440062546	-1.8471339930131454
3	40	Surface	1.5342590827552658	1.4481073435816492
3	41	Deep	2.9380844442022487	2.821810218560865
3	41	Rhizosphere	-1.0470020195256577	-1.0354739534429473
3	41	Surface	4.469476397467053	4.428919598217156
3	42	Deep	1.2033607959945756	1.1115387965022316
3	42	Rhizosphere	0.41650692355790836	0.441603468528565
3	42	Surface	2.862036770712971	2.769326598498752
3	43	Deep	-1.1457868523423504	-1.0968580089667899
3	43	Rhizosphere	0.4012249961898426	0.36291943086248163
3	43	Surface	1.1993688469674753	1.2161174132190142
3	44	Deep	1.371010354404303	1.3186531007726967
3	44	Rhizosphere	0.14946202719934296	0.18273922332214584
3	44	Surface	0.8529228700932088	0.8339729978145557
3	45	Deep	2.707897382493322	2.7360046172064965
3	45	Rhizosphere	-1.4877826032591959	-1.4550087332741426
3	45	Surface	0.26010440845031446	0.2407471329498495
3	46	Deep	0.8834066643960421	0.9326098758920385
3	46	Rhizosphere	1.1685994502308779	1.0805740308449796
3	46	Surface	0.6949436938116094	0.7394326193920411
3	47	Deep	-0.5003028403082499	-0.3789298071461577
3	47	Rhizosphere	-0.6581530444425672	-0.6504165778898284
3	47	Surface	1.0739873561557982	1.0895316679275715
3	48	Deep	1.2395717884800916	1.202372395378509
3	48	Rhizosphere	1.145387467412951	1.0473444793559687
3	48	Surface	2.0923132663945427	2.0620010618355753
3	49	Deep	-1.450592763171751	-1.3709305234691185
3	49	Rhizosphere	-0.18264920990876174	-0.12841668913486792
3	49	Surface	-0.473699722936254	-0.455425295169557
3	50	Deep	-1.8479469786819624	-1.6885752634553086
3	50	Rhizosphere	0.5676067810930077	0.5644272211212498
3	50	Surface	0.26625935686923835	0.190130613331896
3	51	Deep	2.4821264272402663	2.4391599950478753
