source_sheet	source_row	sample_id	trip	site	compartment	recorded_replicate	recorded_specimen_iri	confirmed_sample_id	confirmed_replicate	confirmed_specimen_iri	disposition	evidence_id	application_status
Trip 4	61	S21Sr1	4	21	Surface	1	https://rubalkhali.science/kb/RAK_6001372	S21Sr2	2	https://rubalkhali.science/kb/RAK_6001373	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	62	S21Dr1	4	21	Deep	1	https://rubalkhali.science/kb/RAK_6001369	S21Dr2	2	https://rubalkhali.science/kb/RAK_6001370	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	63	S21PRr1	4	21	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001375	S21PRr2	2	https://rubalkhali.science/kb/RAK_6001376	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	64	S22Sr1	4	22	Surface	1	https://rubalkhali.science/kb/RAK_6001381	S22Sr2	2	https://rubalkhali.science/kb/RAK_6001382	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	65	S22Dr1	4	22	Deep	1	https://rubalkhali.science/kb/RAK_6001378	S22Dr2	2	https://rubalkhali.science/kb/RAK_6001379	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	66	S22PRr1	4	22	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001384	S22PRr2	2	https://rubalkhali.science/kb/RAK_6001385	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	67	S23Sr1	4	23	Surface	1	https://rubalkhali.science/kb/RAK_6001390	S23Sr2	2	https://rubalkhali.science/kb/RAK_6001391	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	68	S23Dr1	4	23	Deep	1	https://rubalkhali.science/kb/RAK_6001387	S23Dr2	2	https://rubalkhali.science/kb/RAK_6001388	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	69	S23PRr1	4	23	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001393	S23PRr2	2	https://rubalkhali.science/kb/RAK_6001394	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	70	S24Sr1	4	24	Surface	1	https://rubalkhali.science/kb/RAK_6001399	S24Sr2	2	https://rubalkhali.science/kb/RAK_6001400	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	71	S24Dr1	4	24	Deep	1	https://rubalkhali.science/kb/RAK_6001396	S24Dr2	2	https://rubalkhali.science/kb/RAK_6001397	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	72	S24PRr1	4	24	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001402	S24PRr2	2	https://rubalkhali.science/kb/RAK_6001403	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	73	S25Sr1	4	25	Surface	1	https://rubalkhali.science/kb/RAK_6001408	S25Sr2	2	https://rubalkhali.science/kb/RAK_6001409	QUARANTINED_QC	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	74	S25Dr1	4	25	Deep	1	https://rubalkhali.science/kb/RAK_6001405	S25Dr2	2	https://rubalkhali.science/kb/RAK_6001406	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	75	S25PRr1	4	25	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001411	S25PRr2	2	https://rubalkhali.science/kb/RAK_6001412	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	76	S26Sr1	4	26	Surface	1	https://rubalkhali.science/kb/RAK_6001417	S26Sr2	2	https://rubalkhali.science/kb/RAK_6001418	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	77	S26Dr1	4	26	Deep	1	https://rubalkhali.science/kb/RAK_6001414	S26Dr2	2	https://rubalkhali.science/kb/RAK_6001415	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	78	S26PRr1	4	26	Rhizosphere	1	https://rubalkhali.science/kb/RAK_6001420	S26PRr2	2	https://rubalkhali.science/kb/RAK_6001421	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	79	S27Sr1	4	27	Surface	1	https://rubalkhali.science/kb/RAK_6001426	S27Sr2	2	https://rubalkhali.science/kb/RAK_6001427	QUARANTINED_QC	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
Trip 4	80	S27Dr1	4	27	Deep	1	https://rubalkhali.science/kb/RAK_6001423	S27Dr2	2	https://rubalkhali.science/kb/RAK_6001424	ADMITTED_MEASUREMENT	EQ-PH-TRIP4-REPLICATE-CONFIRMATION-20260910	assay_specimen_confirmed
