reflected	route_shift	max_positive_t_all_endpoints	max_absolute_t_all_endpoints	max_positive_t_richness_hurlbert_25000	max_positive_t_shannon	max_positive_t_evenness_h_over_log_hurlbert
False	39	2.007944740565649	3.227735547660115	1.7907868278773633	2.007944740565649	1.5135510174677858
False	40	2.917521002410222	2.917521002410222	2.4546384426030285	2.917521002410222	1.6921613757518728
False	41	4.023025854054269	4.023025854054269	3.906149621780162	4.023025854054269	2.58693775228723
False	42	3.0022027554269455	3.0022027554269455	3.0022027554269455	2.474442313924988	1.351390678184329
False	43	2.721228582259919	2.721228582259919	2.6398283261470223	2.721228582259919	2.2496393411440456
False	44	3.38992274465456	3.38992274465456	3.204390990685863	3.38992274465456	2.356819409962995
False	45	3.922651973054406	3.922651973054406	3.922651973054406	3.8685015782390253	1.8546001661586127
False	46	3.1001313227782648	3.1001313227782648	3.1001313227782648	3.0421172161407535	1.2313400332734823
False	47	1.2531165210794257	2.9495918874952456	1.2531165210794257	0.8617246350809094	0.5671430247396052
False	48	1.2470810260326923	2.9709714659671773	1.2470810260326923	0.3665723153607469	0.04206673480657841
False	49	1.6066965175422079	3.6475630973168798	1.6066965175422079	-0.3241576516506557	-1.3523172581915912
False	50	2.264526588848259	3.62442492250229	2.264526588848259	1.0878905947603332	-0.21466743312539371
False	51	2.022743611736406	3.1603879721958252	2.022743611736406	1.136143439441506	-0.8923514675264873
False	52	1.6443030414821072	1.84422216569351	1.6443030414821072	1.5564893133534732	0.5260855428116855
False	53	2.800611317067661	2.800611317067661	1.6361734975447795	1.607404925915832	2.800611317067661
False	54	2.892804534516518	2.892804534516518	1.5059204438095852	2.0424536429253854	2.892804534516518
False	55	3.8835116063527586	3.8835116063527586	2.585966829024388	3.7750715415794662	3.8835116063527586
False	56	3.172721673698189	3.172721673698189	3.172721673698189	1.973164833614829	1.6413235208679537
False	57	2.631307561991752	2.631307561991752	2.1889292051030806	2.631307561991752	1.589388785251751
False	58	3.3611332983474282	3.3611332983474282	2.9834909484989383	3.3611332983474282	2.2012943449873412
False	59	4.416059776308428	4.416059776308428	4.416059776308428	4.0488459945757365	3.0035523669020883
True	0	1.689349037779559	1.7973201293081191	0.8189029471821198	1.689349037779559	1.6309891684791198
True	1	3.5594701562812285	3.5594701562812285	1.7228993505012715	3.5594701562812285	2.816256882700269
True	2	3.663621237415159	3.663621237415159	3.516361073686324	3.663621237415159	2.989960856639426
True	3	3.6351052331590217	3.6351052331590217	3.6351052331590217	2.648265115077557	2.13527014451331
True	4	2.8242682250440314	3.223189234561173	2.8242682250440314	1.9415514138741536	1.3969416437153002
True	5	2.7754728600813374	2.7754728600813374	2.7754728600813374	2.2607700424782284	1.8757611567421297
True	6	3.2551657219604886	3.2551657219604886	3.2551657219604886	3.1168510380925976	3.023183269150112
True	7	3.768112542204664	3.768112542204664	3.768112542204664	1.5638416371090802	1.7627645035879886
True	8	2.2114684895257413	2.40392105590312	2.2114684895257413	1.1594985484943818	0.7803188865379668
True	9	2.0682764404993597	2.0682764404993597	2.0682764404993597	1.764935445679145	1.5622098922701795
True	10	3.0576234316407187	3.0576234316407187	2.7785006237759675	3.0576234316407187	3.050304210902511
True	11	3.711858578658829	3.711858578658829	2.8467288981926595	3.479971944867871	3.711858578658829
True	12	2.693844088818251	2.693844088818251	2.629396198186134	2.693844088818251	2.3139958923506585
True	13	2.423749306582126	2.423749306582126	2.3223039675566484	2.423749306582126	2.1728453116018005
True	14	2.1074394388592324	3.1780930361333954	1.9458119901761695	2.1074394388592324	1.8042008420168956
True	15	2.677924773279106	3.046098440107196	2.643903616438967	2.677924773279106	1.971339211428419
True	16	1.4728639598626097	4.740525428236039	1.4728639598626097	0.7238317887381769	-0.1688168859706271
True	17	0.6145275596047873	3.340726795088865	0.6145275596047873	-0.1404649363547905	-1.0910784322952958
True	18	0.8383338756906391	2.1828893644910874	0.8383338756906391	0.34856763501533644	0.23698343230721386
True	19	0.41483678764523546	3.0516715052401753	0.41483678764523546	0.015351780944434271	-0.06425471250711225
True	20	-0.7544760049395347	3.638102760693314	-0.7602927925750572	-0.7544760049395347	-1.2851891423294461
True	21	-0.08945582945485103	3.2423850870157356	-0.08945582945485103	-1.5301916753338876	-1.2373633518036988
True	22	0.540621654182341	3.5619961780541534	-1.1045872066303921	-0.16750544444632598	0.540621654182341
True	23	-0.32223147841711697	2.952422687243368	-0.64100682766664	-1.0256863915271994	-0.32223147841711697
True	24	-0.448700626024251	3.3072781169139365	-1.497527937478771	-1.5936298752946063	-0.448700626024251
True	25	0.4744227589214866	1.5666918400092151	-0.17781433767315172	-0.40179586999198846	0.4744227589214866
True	26	0.6768870278396603	2.3949854215634976	0.6768870278396603	0.21111409988674126	0.33497095928790976
True	27	0.6061324547120236	1.9179518829883944	0.37272782170025015	-0.10688096379944839	0.6061324547120236
True	28	0.3557447484100164	2.1468118070060855	0.3557447484100164	0.2185196372784392	-0.16287841309580453
True	29	0.9102695081153972	2.0952124128190266	0.5530861850852393	0.31705908009189443	0.9102695081153972
True	30	2.0000421407832705	2.0000421407832705	2.0000421407832705	1.940580371514308	1.8105269051605264
True	31	1.9797734951191088	1.9797734951191088	1.9797734951191088	1.2313324252921038	1.5665230200173186
True	32	1.2256119243094672	1.2256119243094672	0.5737191516213718	0.7600006325493968	1.2256119243094672
True	33	1.6840447467741722	1.6840447467741722	1.6840447467741722	1.114883247377996	1.610405779652113
True	34	1.3554900190649093	1.9278168666539135	1.3554900190649093	0.9191725471815304	0.6559265262282886
True	35	1.9098817389350982	2.008536647201455	1.9098817389350982	0.722470471652029	-0.08000658938152225
True	36	2.1688052382271046	3.235159978954632	2.1688052382271046	1.5453118662531111	0.7311848424735052
True	37	2.608819278292861	2.980629716966192	2.608819278292861	1.9411234201013725	2.08905554270701
True	38	2.392578729311749	2.710884447002269	1.6824268777119555	1.6309924132556706	2.392578729311749
True	39	2.882174655054715	2.882174655054715	2.4284834200268453	2.1558439231124535	2.882174655054715
True	40	2.0538383441512	3.3703857029702395	1.8510151270331783	1.616440791162469	2.0538383441512
True	41	2.67383119039676	3.016506740708812	1.914077834348784	2.583721102370824	2.67383119039676
True	42	3.20063205542985	3.20063205542985	1.405136039522967	1.974397496907191	3.20063205542985
True	43	3.041887365777403	3.041887365777403	2.5005899166499814	2.7028377644357127	3.041887365777403
True	44	4.472172659807012	4.472172659807012	2.4912530625433114	3.8527697827556504	4.472172659807012
True	45	3.8591189057775095	3.8591189057775095	2.197443366164817	3.0207278463622624	3.8591189057775095
True	46	3.157948191081675	3.157948191081675	2.4399012896592702	2.2685818219960705	3.157948191081675
True	47	2.5897353253422097	2.5897353253422097	2.3685065749653362	2.5897353253422097	1.713829309380346
True	48	3.3951844465748526	3.3951844465748526	2.8629201135921583	3.3951844465748526	2.8926590311550306
True	49	2.844458795330694	2.844458795330694	2.7781934461700795	2.844458795330694	2.3479239408653316
True	50	3.0241073188848335	3.0241073188848335	2.809513195752002	2.3117388916989148	3.0241073188848335
True	51	1.7709100904792303	1.7709100904792303	1.5154221255709686	1.7174801519628458	1.7709100904792303
True	52	3.6969699567276026	3.6969699567276026	2.4943299471248914	3.6969699567276026	3.3837168778539914
True	53	2.3801433903783473	2.5094146112075397	2.2101367664922162	2.3801433903783473	1.0878758689662955
True	54	2.140977182157897	2.164531395983196	2.140977182157897	1.4345271329959748	0.9881920443355823
True	55	1.8458184280894852	2.47374993495711	1.8458184280894852	1.590608840993097	0.6432864122079407
True	56	1.2603228209104465	1.2603228209104465	1.2603228209104465	0.8182061489235203	0.2767871708251579
True	57	2.910269218806891	2.910269218806891	2.656099237755897	2.7658424495501586	2.910269218806891
True	58	3.5310096824937123	3.5310096824937123	3.387457561568293	2.2872254006059416	3.5310096824937123
True	59	1.8052328829025017	1.8232462400733023	0.870809045808038	1.0371291736147112	1.8052328829025017
