Trip	Site	Type	shannon	richness_hurlbert_25000	evenness_h_over_log_hurlbert	evenness_h_over_log_observed	sequencing_depth	n_profiles
3	28	Rhizosphere	5.31741663417	1186.99227286	0.755152680746	0.738984266402	653667	3
3	28	Surface	6.55986741299	2634.19652228	0.834119533128	0.803947905648	2070380	3
3	29	Deep	6.34475634719	1935.36116209	0.838637166977	0.819449061157	858702	3
3	29	Rhizosphere	3.87171380379	273.408525548	0.690391583068	0.68433167676	286534	3
3	29	Surface	4.97349786155	1075.63262582	0.712474633863	0.694168005087	691732	3
3	30	Deep	6.1070539136	1843.95538835	0.813487576151	0.79114581044	1821844	3
3	30	Rhizosphere	6.10649690716	1501.58936776	0.834990759106	0.823528942653	606363	3
3	30	Surface	6.28835013369	1983.6558462	0.828375927401	0.810252278445	992779	3
3	31	Deep	4.85009692047	1259.79264701	0.679456442201	0.65889324534	692895	2
3	31	Rhizosphere	5.03148714557	702.623141772	0.767642819178	0.758998976094	435740	3
3	31	Surface	6.23787069566	1679.82038932	0.840598259505	0.826643307603	1012880	4
3	32	Deep	6.27210203402	1640.41658617	0.847300304937	0.833463468495	1814806	3
3	32	Rhizosphere	5.52610431163	1266.15115198	0.773629735546	0.75009537301	1553703	3
3	32	Surface	6.26321280228	1976.12947087	0.825456200854	0.800648220729	2172148	3
3	33	Deep	6.36358500038	2073.17193066	0.833700213346	0.813676430866	1748596	4
3	33	Rhizosphere	5.83421177667	1332.36374242	0.811607882336	0.796498842979	548237	2
3	33	Surface	6.49386913728	1955.69878784	0.856852766484	0.841247979779	1895979	3
3	34	Deep	6.20420576375	2087.99303068	0.811718278226	0.780190881414	1917606	3
3	34	Rhizosphere	5.91740382404	1618.84119921	0.800985886062	0.783860532037	839233	3
3	34	Surface	6.31455366011	2171.24462732	0.82240809736	0.795819986815	2257512	4
3	35	Deep	6.62994691253	2608.32500778	0.842855645408	0.813339023722	1722914	3
3	35	Rhizosphere	6.28857042281	1705.5897549	0.846287365577	0.828622626203	838068	3
3	35	Surface	5.87985302383	1890.36349091	0.779849618199	0.753966094944	1897807	3
3	36	Deep	6.7098037235	2314.08457656	0.86690384209	0.842549591489	1235820	3
3	36	Rhizosphere	5.32410494787	1179.88045651	0.75290403778	0.732701427269	874257	3
3	36	Surface	5.83560131651	2179.92774753	0.758851153398	0.728609921967	1123972	2
3	37	Deep	6.00616976417	1830.59714507	0.801021913168	0.779723907167	1038143	3
3	37	Rhizosphere	4.4308477126	950.415256743	0.647259967686	0.613711677891	2157407	3
3	37	Surface	6.29050350972	1800.79984208	0.839683892727	0.821774120476	1937965	3
3	38	Deep	5.89919989295	1838.36494454	0.784626263522	0.759869354235	1317875	2
3	38	Rhizosphere	5.47190328505	1474.92344836	0.749801830757	0.722323208259	2316175	3
3	38	Surface	6.23048242293	2255.65028783	0.807114533484	0.773886344853	2230808	3
3	39	Deep	5.64527108032	1376.01005741	0.781273360545	0.756678610362	1398629	2
3	39	Rhizosphere	5.14195624269	1373.42317961	0.712925975403	0.689016070113	691821	2
3	39	Surface	5.49798163361	1482.46410055	0.75321508464	0.727877626502	1155729	3
3	40	Deep	6.02210920083	1812.43944603	0.80363959021	0.78025078205	2065404	4
3	40	Rhizosphere	6.00405505078	1683.26799445	0.809648823644	0.790929456124	988325	3
3	40	Surface	5.97315313064	1640.01053345	0.807061110866	0.788862740331	790597	3
3	41	Deep	3.74166422466	432.984920482	0.616350554558	0.601713214211	775912	2
3	41	Rhizosphere	5.6052459883	1110.47602984	0.799260257542	0.783109711973	687287	2
3	42	Deep	6.48143503011	2330.01169756	0.8369188706	0.808034985811	1533695	3
3	42	Rhizosphere	5.6405020112	1354.02321239	0.783993973861	0.763802517115	929403	3
3	42	Surface	5.50272026858	1676.95615295	0.741867570883	0.70879233455	3590202	3
3	43	Deep	5.63599930393	1371.61192743	0.780690358386	0.763701968843	1924385	4
3	43	Rhizosphere	6.01755165421	1342.07560948	0.836083986775	0.820638672391	818343	3
3	43	Surface	5.17342400172	1449.19953798	0.71046736121	0.686248857699	1325632	3
3	44	Deep	6.06295960682	1304.32006908	0.853407085511	0.840875898284	1525486	3
3	44	Rhizosphere	4.27668597872	717.266443104	0.652316634499	0.634945291854	705893	3
3	44	Surface	5.79388498425	1446.02961621	0.796833500451	0.781244602506	1636698	3
3	45	Deep	5.96278905049	1705.30798871	0.801443234952	0.784600042893	1025217	3
3	45	Rhizosphere	6.70517678805	2200.25898048	0.871388446675	0.860233822492	648066	3
3	45	Surface	4.4793810529	826.388557006	0.672237983046	0.655522223625	828286	3
3	46	Deep	5.7219405157	1299.23014346	0.798091754096	0.788089347343	202959	1
3	46	Surface	3.28132987479	72.8747217316	0.765103148603	0.764796852133	58312	1
3	47	Deep	4.27493178331	561.657911239	0.675275106178	0.665947114538	252684	2
3	47	Rhizosphere	3.64342123862	88.8339726206	0.81622320446	0.815562735548	548329	4
3	47	Surface	2.67964410652	25	0.832478247782	0.832478247782	40903	1
3	48	Deep	5.23542662025	1068.61316196	0.757241885498	0.745180148774	539236	3
3	48	Rhizosphere	4.67591988834	352.949001618	0.806805020086	0.80449599478	950754	4
3	48	Surface	5.10091604883	858.987208153	0.755889240592	0.745431002296	531575	3
3	49	Deep	4.85308494997	1013.15914189	0.701860722772	0.686187549638	972558	3
3	49	Rhizosphere	5.59122660066	733.499272188	0.88493494439	0.880880991321	1079947	3
3	49	Surface	4.79871333954	595.885850646	0.778852881924	0.767804623474	1081734	3
3	50	Deep	5.59515437895	1122.84588026	0.797968512261	0.789697065578	1720774	3
3	50	Rhizosphere	5.88430957196	1487.28662024	0.806422726553	0.794733574226	663335	3
3	50	Surface	5.86782717548	1592.36628411	0.799966304227	0.779967708546	611246	2
3	51	Deep	5.2194983933	581.929555092	0.819857356941	0.814043407872	304280	1
3	51	Rhizosphere	5.70875904157	938.181056324	0.838487284443	0.830997491767	1194418	3
3	51	Surface	5.32068303147	619.359438084	0.82764934235	0.820023804085	517307	2
3	52	Surface	3.73288733424	111.129075159	0.811187807444	0.802850687202	362264	4
3	53	Deep	3.80148693894	126.542273792	0.838668700571	0.836103366433	500758	3
3	53	Rhizosphere	5.84904775217	1458.28149001	0.802887651892	0.784976249523	459016	1
3	53	Surface	4.71795932604	205.161881725	0.886201569525	0.87546790293	208040	1
3	54	Rhizosphere	4.54176949589	424.309474419	0.750648245386	0.740236567703	309479	1
3	55	Surface	4.00481996429	449.082129518	0.74822765286	0.788774520658	1061555	2
3	56	Surface	2.69098568972	68.5976434861	0.634975281158	0.652058469704	224692	4
3	57	Deep	2.75603801791	74.0164910839	0.649345260957	0.639831535272	187849	2
3	57	Rhizosphere	5.16123509399	862.932117606	0.771403126558	0.764410204591	786313	3
3	57	Surface	2.65722256006	92.7094993856	0.589089715823	0.578107674178	196960	2
3	58	Deep	3.16153618071			0.756686503804	9890	2
3	58	Rhizosphere	4.79768255129	612.354795642	0.747845852711	0.739047771411	715573	3
3	58	Surface	5.15820823936	923.944053626	0.793318138658	0.783900651464	738942	4
3	59	Deep	3.15404094314	113.809097349	0.677683002334	0.696579751636	45685	2
3	59	Rhizosphere	2.89636943941	104.473911073	0.634538839099	0.677159683634	70172	2
3	59	Surface	2.71594593047	68.5056711439	0.626362834704	0.647644677323	175015	4
3	60	Rhizosphere	3.9770444306	222.309018596	0.742501283883	0.739574072394	581397	5
3	60	Surface	5.24221899876	304.201165089	0.925706616167	0.925128476132	197084	4
4	1	Deep	6.35353471414	2099.84910275	0.830568587526	0.813180907688	368561	1
4	1	Rhizosphere	4.58346501337	627.632713352	0.711502162138	0.703236604217	136718	1
4	1	Surface	6.11666412742	1811.3888765	0.815354187056	0.800900406618	244296	1
4	2	Deep	5.96468341304	819.059846515	0.889168705539	0.88583505171	211591	1
4	2	Surface	6.69117794481	2693.34529128	0.847141185023	0.826676238577	430872	1
4	3	Deep	6.60376292367	1480.51271498	0.904607246468	0.897392943919	550224	1
4	3	Rhizosphere	4.92729724987	1433.51136837	0.677955022327	0.659190290973	322317	1
4	3	Surface	6.125155027	815.831018806	0.913628532018	0.906032441334	504288	1
4	4	Deep	6.92424524325	2705.04795972	0.87616788983	0.855567920142	416306	1
4	4	Rhizosphere	6.09491687289	1793.02272109	0.813560463439	0.80113230183	194618	1
4	4	Surface	6.37709275768	2304.90915564	0.823616211848	0.80058455496	391895	1
4	5	Deep	5.76070044337	922.605252526	0.843786502201	0.840314649732	380915	1
4	5	Rhizosphere	6.16492299483	1352.66638989	0.855071535174	0.848691824448	362651	1
4	5	Surface	6.10608134686	1419.82964347	0.841255931901	0.834937417945	112226	1
4	6	Deep	6.79686298488	2484.73964168	0.869394958844	0.855888428304	367860	1
4	6	Rhizosphere	6.41148153052	2476.88884306	0.820432453179	0.796830596044	507052	1
4	6	Surface	6.66145672509	2701.11547134	0.843070819832	0.820286937631	795417	1
4	7	Deep	7.10861672129	2337.42106065	0.916436355605	0.905994977753	556882	1
4	7	Rhizosphere	6.3283771145	1799.7202135	0.844302974749	0.831062228304	221959	1
4	7	Surface	6.76246422511	1740.83192819	0.906239202435	0.89923581164	529525	1
4	8	Deep	6.06750681113	1267.17162412	0.849250557644	0.839906696358	583897	1
4	8	Rhizosphere	6.63714974297	2339.04016214	0.855578887414	0.839881087537	563748	1
4	8	Surface	5.97034600726	858.203807712	0.883861732442	0.874995698582	543835	1
4	9	Deep	5.88196305609	1586.58924079	0.798166670537	0.781982600161	339715	1
4	9	Rhizosphere	5.0932710299	674.605882422	0.781880633536	0.776458808252	99086	1
4	9	Surface	6.19584882668	1672.53062425	0.834784573743	0.824486217085	518496	1
4	10	Deep	6.1393906965	1852.98808589	0.815914145411	0.799767051813	427301	1
4	10	Rhizosphere	3.30256853544	377.371211385	0.55662242961	0.546116302695	175679	1
4	10	Surface	6.28361833763	2132.08274474	0.819796156527	0.80485912689	448414	1
4	11	Deep	6.45900433185	1633.77965175	0.872997519438	0.863714598091	443602	1
4	11	Rhizosphere	6.02268418148	1620.42915261	0.814928346035	0.799093324208	259816	1
4	11	Surface	5.8584159784	611.780947815	0.913041495646	0.908437968205	490941	1
4	12	Deep	6.72106649698	2006.86537241	0.883847379634	0.872627297715	637514	1
4	12	Rhizosphere	6.22594728559	2171.21467099	0.810349240339	0.794054378123	290486	1
4	12	Surface	6.20247785978	1156.34752015	0.879407180041	0.873382267027	883286	1
4	13	Deep	6.6094638192	1570.18035237	0.898153625463	0.887861774961	602152	1
4	13	Rhizosphere	6.95369577756	2743.1857387	0.878338435282	0.859923691824	519732	1
4	13	Surface	6.28879147724	1095.82874035	0.898492970648	0.888033078568	569978	1
4	14	Deep	6.71733454374	2336.36253277	0.866043188927	0.85240750313	652895	1
4	14	Rhizosphere	3.46879582583	239.047461339	0.633377731335	0.623377321299	209711	1
4	14	Surface	6.11131330325	1990.30761625	0.804538903619	0.791664580423	403700	1
4	15	Deep	7.39497102295	3412.98978979	0.908993038491	0.891411642897	477736	1
4	15	Rhizosphere	7.38592117591	3457.18694727	0.9064470243	0.887553313801	355904	1
4	15	Surface	7.26379791068	3041.48688812	0.905698968346	0.888662170935	594496	1
4	16	Deep	6.98824877438	2789.5736767	0.8808371944	0.863737531483	475095	1
4	16	Rhizosphere	6.34943855665	1675.82201181	0.855251620526	0.839172292053	357655	1
4	16	Surface	6.98679096108	2402.36366808	0.897559598613	0.885040468927	618043	1
4	17	Deep	6.09933406655	2237.35669446	0.790781046343	0.776590200527	522026	1
4	17	Rhizosphere	6.37509220282	1500.37208889	0.871692040023	0.861213637792	195282	1
4	17	Surface	6.61397289381	2224.90052319	0.858125305978	0.847705133985	481857	1
4	18	Deep	5.78895194545	899.622512514	0.851069246374	0.846006121673	342752	1
4	18	Rhizosphere	3.37901333629			0.634213939897	13267	1
4	18	Surface	6.3954475815	1713.95312952	0.858846166718	0.85080044683	300562	1
4	19	Deep	6.51781364454	1529.84907568	0.888842338891	0.884418829691	167221	1
4	19	Rhizosphere	6.78135096175	2443.09710701	0.869290090275	0.852719623237	294742	1
4	19	Surface	6.89843646119	2370.14391759	0.887749002388	0.877084756444	533436	1
4	20	Deep	6.42888229038	1917.24700964	0.850533632837	0.83983696364	488075	1
4	20	Rhizosphere	5.65790292823	1179.4257841	0.799954268063	0.788001095711	198502	1
4	20	Surface	7.0645595142	2854.2138707	0.88789211103	0.86932181378	484245	1
4	21	Deep	6.56142329936	2026.28223473	0.861762478242	0.848613824324	483111	1
4	21	Rhizosphere	5.36960554177	1083.54324233	0.768404678942	0.760516042179	137986	1
4	21	Surface	6.47517874748	2271.97779284	0.837841431061	0.8174895004	379049	1
4	22	Deep	6.08939279065	1926.01907234	0.80513332199	0.789967355595	478018	1
4	22	Rhizosphere	6.09423961954	1786.87389384	0.813843239589	0.798621711597	527445	1
4	22	Surface	7.02911804691	2895.88596283	0.881831282369	0.867807574451	412497	1
4	23	Deep	4.92915215543	241.249150263	0.898524372713	0.896671150202	160888	1
4	23	Rhizosphere	5.39366100745	400.474031937	0.900046219073	0.89762501196	296625	1
4	23	Surface	6.42770115222	1580.64357485	0.87266647319	0.86725390763	541334	1
4	24	Deep	5.83086483595	1719.08957863	0.782713686867	0.770004957078	528256	1
4	24	Rhizosphere	6.67542454298	1995.91500474	0.878477352043	0.868343529183	490020	1
4	24	Surface	6.58438847141	1642.60487585	0.889296886121	0.880348266587	565700	1
4	25	Deep	6.34622537582	2091.03047689	0.830069739588	0.813047979846	388881	1
4	25	Rhizosphere	5.76142936912	1558.74734101	0.783693311995	0.770491347461	242997	1
4	25	Surface	6.52673814464	2125.19912789	0.851874339447	0.833637028067	719569	1
4	26	Deep	6.5147704037	2220.79381403	0.845457006252	0.826307102623	512137	1
4	26	Rhizosphere	4.75440819704	456.698290819	0.77635374889	0.773806079464	52990	1
4	26	Surface	6.64918376634	2164.39025654	0.865791090014	0.851506500629	491484	1
4	27	Deep	6.77614162754	2331.70124442	0.873849985108	0.858235266751	509270	1
4	27	Rhizosphere	5.82207925725	1858.65765174	0.773429999887	0.753034373601	361496	1
4	27	Surface	6.8859946146	2691.4688449	0.871883015447	0.851941198966	434304	1
4	28	Deep	6.57926101125	1726.26773863	0.8826818926	0.872447686264	446785	1
4	28	Rhizosphere	6.93225572598	2128.50506596	0.904619244167	0.893770130659	381757	1
4	28	Surface	6.93558504789	2479.1185876	0.88739613754	0.871882623222	475638	1
4	29	Deep	6.77607331394	1724.24472796	0.909229513445	0.89816742117	575172	1
4	29	Rhizosphere	7.13910835506	2762.7152109	0.900951042634	0.885929310569	443026	1
4	29	Surface	6.72816289347	2387.72944581	0.865013882033	0.851040263728	444766	1
4	30	Deep	6.48128376516	1560.72613063	0.881458753781	0.872928179122	541835	1
4	30	Rhizosphere	5.56375253039	1039.50582264	0.800943203453	0.791832418079	148689	1
4	30	Surface	6.18507947707	2328.98383179	0.797746683477	0.782895088379	481269	1
4	31	Deep	6.70495008752	1938.40590185	0.885770885728	0.876772500563	490807	1
