Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
M-25-0359_18PRr1_UDP0094-UDP0094_L002_R2_001	92.81956554750126	54.0	257.0	257	41.66666666666667	1.0009839999999999
M-25-0360_18PRr2_UDP0095-UDP0095_L002_R1_001	96.63302875152031	54.0	257.0	257	50.0	1.635357
M-25-0360_18PRr2_UDP0095-UDP0095_L002_R2_001	94.09541769778708	53.0	257.0	257	41.66666666666667	1.635357
M-25-0361_18Sr1_UDP0092-UDP0092_L002_R1_001	85.14338168748222	57.0	257.0	257	58.333333333333336	0.077346
M-25-0361_18Sr1_UDP0092-UDP0092_L002_R2_001	87.2637240451995	55.0	257.0	257	50.0	0.077346
M-25-0362_18Sr2_UDP0093-UDP0093_L002_R1_001	90.5260177355625	57.0	257.0	257	50.0	0.310788
M-25-0362_18Sr2_UDP0093-UDP0093_L002_R2_001	90.11480494742396	56.0	257.0	257	41.66666666666667	0.310788
M-25-0363_19Dr2_UDP0096-UDP0096_L002_R1_001	89.22308058433713	57.0	257.0	257	41.66666666666667	0.437008
M-25-0363_19Dr2_UDP0096-UDP0096_L002_R2_001	87.52654413649178	55.0	257.0	257	41.66666666666667	0.437008
M-25-0364_1Dr1_UDP0001-UDP0001_L002_R1_001	89.74345292724051	59.0	257.0	257	50.0	0.374824
M-25-0364_1Dr1_UDP0001-UDP0001_L002_R2_001	85.32377862676883	57.0	257.0	257	41.66666666666667	0.374824
M-25-0365_1Dr2_UDP0002-UDP0002_L002_R1_001	92.79875471575738	60.0	257.0	257	50.0	0.92509
M-25-0365_1Dr2_UDP0002-UDP0002_L002_R2_001	89.39778832329827	58.0	257.0	257	41.66666666666667	0.92509
M-25-0366_1PRr2_UDP0006-UDP0006_L002_R1_001	92.76846246902636	59.0	257.0	257	41.66666666666667	1.385256
M-25-0366_1PRr2_UDP0006-UDP0006_L002_R2_001	90.40294545820556	57.0	257.0	257	41.66666666666667	1.385256
M-25-0367_1PRr3_UDP0007-UDP0007_L002_R1_001	92.68999328408327	58.0	257.0	257	41.66666666666667	0.7444999999999999
M-25-0367_1PRr3_UDP0007-UDP0007_L002_R2_001	89.93458697112156	55.0	257.0	257	50.0	0.7444999999999999
M-25-0368_1Sr1_UDP0003-UDP0003_L002_R1_001	93.40688568770912	57.0	257.0	257	41.66666666666667	0.6805129999999999
M-25-0368_1Sr1_UDP0003-UDP0003_L002_R2_001	90.96123071859024	54.0	257.0	257	41.66666666666667	0.6805129999999999
M-25-0369_1Sr3_UDP0004-UDP0004_L002_R1_001	93.53556980292886	57.0	257.0	257	41.66666666666667	0.8453799999999999
M-25-0369_1Sr3_UDP0004-UDP0004_L002_R2_001	90.32340485935319	54.0	257.0	257	50.0	0.8453799999999999
M-25-0370_20Dr2_UDP0375-UDP0375_L002_R1_001	92.77253732731214	56.0	257.0	257	41.66666666666667	0.344118
M-25-0370_20Dr2_UDP0375-UDP0375_L002_R2_001	90.00139487036424	54.0	257.0	257	41.66666666666667	0.344118
M-25-0371_20PRr1_UDP0105-UDP0105_L002_R1_001	92.75497762521675	56.0	257.0	257	50.0	0.621682
M-25-0371_20PRr1_UDP0105-UDP0105_L002_R2_001	90.53680177325384	55.0	257.0	257	41.66666666666667	0.621682
M-25-0372_20PRr2_UDP0106-UDP0106_L002_R1_001	92.13585053533733	57.0	257.0	257	50.0	0.632872
M-25-0372_20PRr2_UDP0106-UDP0106_L002_R2_001	88.5346483965162	55.0	257.0	257	41.66666666666667	0.632872
M-25-0373_21Dr1_UDP0107-UDP0107_L002_R1_001	91.42428252104847	59.0	257.0	257	50.0	0.578902
M-25-0373_21Dr1_UDP0107-UDP0107_L002_R2_001	88.3980362824796	57.0	257.0	257	33.33333333333333	0.578902
M-25-0374_21Sr1_UDP0108-UDP0108_L002_R1_001	91.70095831505371	58.0	257.0	257	50.0	0.540219
M-25-0374_21Sr1_UDP0108-UDP0108_L002_R2_001	88.08446204224583	57.0	257.0	257	41.66666666666667	0.540219
M-25-0375_21Sr2_UDP0109-UDP0109_L002_R1_001	91.50262896685662	57.0	257.0	257	50.0	0.6034689999999999
M-25-0375_21Sr2_UDP0109-UDP0109_L002_R2_001	90.83830321027261	56.0	257.0	257	41.66666666666667	0.6034689999999999
M-25-0376_22Dr1_UDP0110-UDP0110_L002_R1_001	92.78719765868931	57.0	257.0	257	50.0	0.7052459999999999
M-25-0376_22Dr1_UDP0110-UDP0110_L002_R2_001	90.48686557598342	55.0	257.0	257	50.0	0.7052459999999999
M-25-0377_22Dr2_UDP0111-UDP0111_L002_R1_001	91.58964099707092	58.0	257.0	257	41.66666666666667	1.18467
M-25-0377_22Dr2_UDP0111-UDP0111_L002_R2_001	89.49273333715374	56.0	257.0	257	50.0	1.18467
