Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M-25-0658_S60Sr1_SU0141-SU0141_L002_R1_001	M-25-0658_S60Sr1_SU0141-SU0141_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140635.0	0.0	257.0	69.0	11.236178760621467	257.0	257	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
M-25-0658_S60Sr1_SU0141-SU0141_L002_R2_001	M-25-0658_S60Sr1_SU0141-SU0141_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140635.0	0.0	257.0	66.0	14.609449994667045	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	warn
M-25-0659_S60Dr1_SU0153-SU0153_L002_R1_001	M-25-0659_S60Dr1_SU0153-SU0153_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	676270.0	0.0	257.0	58.0	6.3813269847841845	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0659_S60Dr1_SU0153-SU0153_L002_R2_001	M-25-0659_S60Dr1_SU0153-SU0153_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	676270.0	0.0	257.0	56.0	9.080988362636225	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0660_S37PRr1_SU0165-SU0165_L002_R1_001	M-25-0660_S37PRr1_SU0165-SU0165_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	687884.0	0.0	257.0	56.0	7.489925626995249	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0660_S37PRr1_SU0165-SU0165_L002_R2_001	M-25-0660_S37PRr1_SU0165-SU0165_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	687884.0	0.0	257.0	55.0	10.342150711457164	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0661_S37Sr1_SU0177-SU0177_L002_R1_001	M-25-0661_S37Sr1_SU0177-SU0177_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	770944.0	0.0	257.0	56.0	6.566235679893741	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0661_S37Sr1_SU0177-SU0177_L002_R2_001	M-25-0661_S37Sr1_SU0177-SU0177_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	770944.0	0.0	257.0	54.0	8.819187904698655	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0662_S37Dr1_SU0189-SU0189_L002_R1_001	M-25-0662_S37Dr1_SU0189-SU0189_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	790057.0	0.0	257.0	56.0	6.626104192482314	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0662_S37Dr1_SU0189-SU0189_L002_R2_001	M-25-0662_S37Dr1_SU0189-SU0189_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	790057.0	0.0	257.0	54.0	8.720383466003085	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0663_S49PRr1_SU0106-SU0106_L002_R1_001	M-25-0663_S49PRr1_SU0106-SU0106_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	367218.0	0.0	257.0	56.0	7.990076739157667	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0663_S49PRr1_SU0106-SU0106_L002_R2_001	M-25-0663_S49PRr1_SU0106-SU0106_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	367218.0	0.0	257.0	54.0	11.636412158445392	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0664_S49Sr1_SU0118-SU0118_L002_R1_001	M-25-0664_S49Sr1_SU0118-SU0118_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	784036.0	0.0	257.0	56.0	6.599696952690948	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0664_S49Sr1_SU0118-SU0118_L002_R2_001	M-25-0664_S49Sr1_SU0118-SU0118_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	784036.0	0.0	257.0	55.0	8.752021590845318	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0665_S49Dr1_SU0130-SU0130_L002_R1_001	M-25-0665_S49Dr1_SU0130-SU0130_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	577860.0	0.0	257.0	57.0	6.828297511507977	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0665_S49Dr1_SU0130-SU0130_L002_R2_001	M-25-0665_S49Dr1_SU0130-SU0130_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	577860.0	0.0	257.0	56.0	10.027688367424634	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0666_S45PRr1_SU0142-SU0142_L002_R1_001	M-25-0666_S45PRr1_SU0142-SU0142_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	627577.0	0.0	257.0	58.0	7.948188031110126	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0666_S45PRr1_SU0142-SU0142_L002_R2_001	M-25-0666_S45PRr1_SU0142-SU0142_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	627577.0	0.0	257.0	56.0	11.312396725820099	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0667_S45Sr1_SU0154-SU0154_L002_R1_001	M-25-0667_S45Sr1_SU0154-SU0154_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	790033.0	0.0	257.0	59.0	7.648161532492946	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0667_S45Sr1_SU0154-SU0154_L002_R2_001	M-25-0667_S45Sr1_SU0154-SU0154_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	790033.0	0.0	257.0	57.0	10.275773290482801	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0668_S45Dr1_SU0166-SU0166_L002_R1_001	M-25-0668_S45Dr1_SU0166-SU0166_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	712592.0	0.0	257.0	58.0	7.673535487347599	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0668_S45Dr1_SU0166-SU0166_L002_R2_001	M-25-0668_S45Dr1_SU0166-SU0166_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	712592.0	0.0	257.0	55.0	9.988043649100748	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0669_S59PRr1_SU0178-SU0178_L002_R1_001	M-25-0669_S59PRr1_SU0178-SU0178_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	377492.0	0.0	257.0	66.0	9.732126773547519	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	warn
M-25-0669_S59PRr1_SU0178-SU0178_L002_R2_001	M-25-0669_S59PRr1_SU0178-SU0178_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	377492.0	0.0	257.0	64.0	11.572695580303687	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	warn
M-25-0670_S59Sr1_SU0190-SU0190_L002_R1_001	M-25-0670_S59Sr1_SU0190-SU0190_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	723981.0	0.0	257.0	65.0	9.081453795058158	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	warn
M-25-0670_S59Sr1_SU0190-SU0190_L002_R2_001	M-25-0670_S59Sr1_SU0190-SU0190_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	723981.0	0.0	257.0	63.0	10.030097474933735	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
M-25-0671_S59Dr1_SU0107-SU0107_L002_R1_001	M-25-0671_S59Dr1_SU0107-SU0107_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	347526.0	0.0	257.0	72.0	10.584531804814604	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
M-25-0671_S59Dr1_SU0107-SU0107_L002_R2_001	M-25-0671_S59Dr1_SU0107-SU0107_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	347526.0	0.0	257.0	71.0	12.088591932689928	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	fail	warn
M-25-0672_S4PRr1_SU0119-SU0119_L002_R1_001	M-25-0672_S4PRr1_SU0119-SU0119_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	615737.0	0.0	257.0	55.0	7.495083128023815	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	warn
M-25-0672_S4PRr1_SU0119-SU0119_L002_R2_001	M-25-0672_S4PRr1_SU0119-SU0119_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	615737.0	0.0	257.0	54.0	9.581201064740304	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0673_S4Sr1_SU0131-SU0131_L002_R1_001	M-25-0673_S4Sr1_SU0131-SU0131_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	802513.0	0.0	257.0	56.0	7.26530286736788	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0673_S4Sr1_SU0131-SU0131_L002_R2_001	M-25-0673_S4Sr1_SU0131-SU0131_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	802513.0	0.0	257.0	54.0	8.939169832762833	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0674_S4Dr1_SU0143-SU0143_L002_R1_001	M-25-0674_S4Dr1_SU0143-SU0143_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	715530.0	0.0	257.0	57.0	7.906866239011642	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0674_S4Dr1_SU0143-SU0143_L002_R2_001	M-25-0674_S4Dr1_SU0143-SU0143_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	715530.0	0.0	257.0	55.0	9.696728299302615	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0675_S8PRr1_SU0155-SU0155_L002_R1_001	M-25-0675_S8PRr1_SU0155-SU0155_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	780090.0	0.0	257.0	57.0	7.292620082298196	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0675_S8PRr1_SU0155-SU0155_L002_R2_001	M-25-0675_S8PRr1_SU0155-SU0155_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	780090.0	0.0	257.0	55.0	9.533002602263842	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0676_S8Sr1_SU0167-SU0167_L002_R1_001	M-25-0676_S8Sr1_SU0167-SU0167_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	810229.0	0.0	257.0	59.0	7.439995359336682	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0676_S8Sr1_SU0167-SU0167_L002_R2_001	M-25-0676_S8Sr1_SU0167-SU0167_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	810229.0	0.0	257.0	58.0	10.35225843557809	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0677_S8Dr1_SU0179-SU0179_L002_R1_001	M-25-0677_S8Dr1_SU0179-SU0179_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	831139.0	0.0	257.0	58.0	7.060190894663829	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0677_S8Dr1_SU0179-SU0179_L002_R2_001	M-25-0677_S8Dr1_SU0179-SU0179_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	831139.0	0.0	257.0	56.0	10.741283948894228	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0678_S11PRr1_SU0191-SU0191_L002_R1_001	M-25-0678_S11PRr1_SU0191-SU0191_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644198.0	0.0	257.0	57.0	7.71206989155508	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0678_S11PRr1_SU0191-SU0191_L002_R2_001	M-25-0678_S11PRr1_SU0191-SU0191_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	644198.0	0.0	257.0	55.0	9.047839328901985	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0679_S11Sr1_SU0108-SU0108_L002_R1_001	M-25-0679_S11Sr1_SU0108-SU0108_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	775703.0	0.0	257.0	59.0	8.050246034887063	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass	warn
M-25-0679_S11Sr1_SU0108-SU0108_L002_R2_001	M-25-0679_S11Sr1_SU0108-SU0108_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	775703.0	0.0	257.0	57.0	11.171672663377608	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0680_S11Dr1_SU0120-SU0120_L002_R1_001	M-25-0680_S11Dr1_SU0120-SU0120_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	713014.0	0.0	257.0	59.0	8.131817888568808	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0680_S11Dr1_SU0120-SU0120_L002_R2_001	M-25-0680_S11Dr1_SU0120-SU0120_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	713014.0	0.0	257.0	58.0	11.443534068054765	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0681_S36Sr1_SU0132-SU0132_L002_R1_001	M-25-0681_S36Sr1_SU0132-SU0132_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	645655.0	0.0	257.0	56.0	7.999008758547522	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0681_S36Sr1_SU0132-SU0132_L002_R2_001	M-25-0681_S36Sr1_SU0132-SU0132_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	645655.0	0.0	257.0	54.0	11.338563164538337	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0682_S36PRr1_SU0144-SU0144_L002_R1_001	M-25-0682_S36PRr1_SU0144-SU0144_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	654114.0	0.0	257.0	57.0	6.818536218457333	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0682_S36PRr1_SU0144-SU0144_L002_R2_001	M-25-0682_S36PRr1_SU0144-SU0144_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	654114.0	0.0	257.0	55.0	9.301436752614988	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0683_S36Dr1_SU0156-SU0156_L002_R1_001	M-25-0683_S36Dr1_SU0156-SU0156_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	687457.0	0.0	257.0	58.0	7.985808566935823	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0683_S36Dr1_SU0156-SU0156_L002_R2_001	M-25-0683_S36Dr1_SU0156-SU0156_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	687457.0	0.0	257.0	55.0	11.998423174103982	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0684_SEB_SU0168-SU0168_L002_R1_001	M-25-0684_SEB_SU0168-SU0168_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23303.0	0.0	257.0	62.0	22.0357893833412	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
M-25-0684_SEB_SU0168-SU0168_L002_R2_001	M-25-0684_SEB_SU0168-SU0168_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23303.0	0.0	257.0	60.0	24.138522936960907	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
M-25-0685_S6PRr1_SU0193-SU0193_L002_R1_001	M-25-0685_S6PRr1_SU0193-SU0193_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2227184.0	0.0	257.0	58.0	6.941994019243343	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0685_S6PRr1_SU0193-SU0193_L002_R2_001	M-25-0685_S6PRr1_SU0193-SU0193_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2227184.0	0.0	257.0	57.0	7.617247175442578	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0686_S6Sr1_SU0205-SU0205_L002_R1_001	M-25-0686_S6Sr1_SU0205-SU0205_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1307641.0	0.0	257.0	59.0	6.755676825673102	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0686_S6Sr1_SU0205-SU0205_L002_R2_001	M-25-0686_S6Sr1_SU0205-SU0205_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1307641.0	0.0	257.0	57.0	9.996804579504671	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	warn
M-25-0687_S6Dr1_SU0217-SU0217_L002_R1_001	M-25-0687_S6Dr1_SU0217-SU0217_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	650143.0	0.0	257.0	58.0	8.897119556774433	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0687_S6Dr1_SU0217-SU0217_L002_R2_001	M-25-0687_S6Dr1_SU0217-SU0217_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	650143.0	0.0	257.0	56.0	10.180990951221501	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0688_S9PRr1_SU0229-SU0229_L002_R1_001	M-25-0688_S9PRr1_SU0229-SU0229_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	506799.0	0.0	257.0	56.0	6.833478361243807	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0688_S9PRr1_SU0229-SU0229_L002_R2_001	M-25-0688_S9PRr1_SU0229-SU0229_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	506799.0	0.0	257.0	54.0	8.666552222873367	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0689_S9Sr1_SU0241-SU0241_L002_R1_001	M-25-0689_S9Sr1_SU0241-SU0241_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749924.0	0.0	257.0	57.0	7.3747473077271835	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0689_S9Sr1_SU0241-SU0241_L002_R2_001	M-25-0689_S9Sr1_SU0241-SU0241_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749924.0	0.0	257.0	55.0	10.091289250644065	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0690_S9Dr1_SU0253-SU0253_L002_R1_001	M-25-0690_S9Dr1_SU0253-SU0253_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	638555.0	0.0	257.0	56.0	7.556592619273203	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0690_S9Dr1_SU0253-SU0253_L002_R2_001	M-25-0690_S9Dr1_SU0253-SU0253_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	638555.0	0.0	257.0	54.0	9.142830296528881	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0691_S12PRr1_SU0265-SU0265_L002_R1_001	M-25-0691_S12PRr1_SU0265-SU0265_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628064.0	0.0	257.0	57.0	8.638450858511234	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0691_S12PRr1_SU0265-SU0265_L002_R2_001	M-25-0691_S12PRr1_SU0265-SU0265_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628064.0	0.0	257.0	56.0	10.400691649258674	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0692_S12Sr1_SU0277-SU0277_L002_R1_001	M-25-0692_S12Sr1_SU0277-SU0277_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1413427.0	0.0	257.0	59.0	7.500082113439553	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0692_S12Sr1_SU0277-SU0277_L002_R2_001	M-25-0692_S12Sr1_SU0277-SU0277_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1413427.0	0.0	257.0	58.0	10.015956193671254	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0693_S12Dr1_SU0194-SU0194_L002_R1_001	M-25-0693_S12Dr1_SU0194-SU0194_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910747.0	0.0	257.0	58.0	7.681277017656934	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0693_S12Dr1_SU0194-SU0194_L002_R2_001	M-25-0693_S12Dr1_SU0194-SU0194_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910747.0	0.0	257.0	56.0	10.095998120224388	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0694_S15PRr1_SU0206-SU0206_L002_R1_001	M-25-0694_S15PRr1_SU0206-SU0206_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	773216.0	0.0	257.0	58.0	8.357690477175847	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0694_S15PRr1_SU0206-SU0206_L002_R2_001	M-25-0694_S15PRr1_SU0206-SU0206_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	773216.0	0.0	257.0	57.0	11.737987832636676	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0695_S15Sr1_SU0218-SU0218_L002_R1_001	M-25-0695_S15Sr1_SU0218-SU0218_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	899106.0	0.0	257.0	59.0	8.288010534909121	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0695_S15Sr1_SU0218-SU0218_L002_R2_001	M-25-0695_S15Sr1_SU0218-SU0218_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	899106.0	0.0	257.0	57.0	11.1852341283867	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0696_S15Dr1_SU0230-SU0230_L002_R1_001	M-25-0696_S15Dr1_SU0230-SU0230_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	823266.0	0.0	257.0	59.0	8.799100169325587	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	fail
M-25-0696_S15Dr1_SU0230-SU0230_L002_R2_001	M-25-0696_S15Dr1_SU0230-SU0230_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	823266.0	0.0	257.0	57.0	11.439680492088828	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn	warn
M-25-0697_S17PRr1_SU0242-SU0242_L002_R1_001	M-25-0697_S17PRr1_SU0242-SU0242_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	587940.0	0.0	257.0	57.0	8.656155390005784	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0697_S17PRr1_SU0242-SU0242_L002_R2_001	M-25-0697_S17PRr1_SU0242-SU0242_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	587940.0	0.0	257.0	55.0	11.520393237405177	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0698_S17Sr1_SU0009-SU0009_L002_R1_001	M-25-0698_S17Sr1_SU0009-SU0009_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	732035.0	0.0	257.0	58.0	8.516532679448387	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0698_S17Sr1_SU0009-SU0009_L002_R2_001	M-25-0698_S17Sr1_SU0009-SU0009_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	732035.0	0.0	257.0	56.0	10.67052804852227	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0699_S17Dr1_SU0021-SU0021_L002_R1_001	M-25-0699_S17Dr1_SU0021-SU0021_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	812354.0	0.0	257.0	59.0	8.056586168099129	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0699_S17Dr1_SU0021-SU0021_L002_R2_001	M-25-0699_S17Dr1_SU0021-SU0021_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	812354.0	0.0	257.0	57.0	10.424026963614384	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0700_S23PRr1_SU0278-SU0278_L002_R1_001	M-25-0700_S23PRr1_SU0278-SU0278_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	936703.0	0.0	257.0	61.0	7.507075348322788	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
M-25-0700_S23PRr1_SU0278-SU0278_L002_R2_001	M-25-0700_S23PRr1_SU0278-SU0278_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	936703.0	0.0	257.0	59.0	10.577845912738617	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail	fail
