Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M-25-0338_13Sr2_UDP0063-UDP0063_L002_R2_001	M-25-0338_13Sr2_UDP0063-UDP0063_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	543853.0	0.0	257.0	54.0	9.218667544354817	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0339_14Dr1_UDP0065-UDP0065_L002_R1_001	M-25-0339_14Dr1_UDP0065-UDP0065_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	904873.0	0.0	257.0	57.0	7.093371113957428	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0339_14Dr1_UDP0065-UDP0065_L002_R2_001	M-25-0339_14Dr1_UDP0065-UDP0065_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	904873.0	0.0	257.0	54.0	9.54796971508709	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0340_14Dr3_UDP0066-UDP0066_L002_R1_001	M-25-0340_14Dr3_UDP0066-UDP0066_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2956391.0	0.0	257.0	56.0	4.786108885926859	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0340_14Dr3_UDP0066-UDP0066_L002_R2_001	M-25-0340_14Dr3_UDP0066-UDP0066_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2956391.0	0.0	257.0	53.0	5.870018186572522	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0341_14PRr1_UDP0069-UDP0069_L002_R1_001	M-25-0341_14PRr1_UDP0069-UDP0069_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1424207.0	0.0	257.0	54.0	4.492254286069371	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0341_14PRr1_UDP0069-UDP0069_L002_R2_001	M-25-0341_14PRr1_UDP0069-UDP0069_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1424207.0	0.0	257.0	52.0	6.946602565497853	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0342_14PRr2_UDP0070-UDP0070_L002_R1_001	M-25-0342_14PRr2_UDP0070-UDP0070_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1227038.0	0.0	257.0	54.0	4.117150406099893	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	warn
M-25-0342_14PRr2_UDP0070-UDP0070_L002_R2_001	M-25-0342_14PRr2_UDP0070-UDP0070_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1227038.0	0.0	257.0	52.0	6.538509809802141	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0343_14Sr2_UDP0068-UDP0068_L002_R1_001	M-25-0343_14Sr2_UDP0068-UDP0068_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2293246.0	0.0	257.0	55.0	6.058144298563816	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0343_14Sr2_UDP0068-UDP0068_L002_R2_001	M-25-0343_14Sr2_UDP0068-UDP0068_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2293246.0	0.0	257.0	53.0	6.0675005642131445	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0344_15Dr1_UDP0071-UDP0071_L002_R1_001	M-25-0344_15Dr1_UDP0071-UDP0071_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1533235.0	0.0	257.0	58.0	7.293700609676061	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass	fail
M-25-0344_15Dr1_UDP0071-UDP0071_L002_R2_001	M-25-0344_15Dr1_UDP0071-UDP0071_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1533235.0	0.0	257.0	56.0	9.289904745654203	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0345_15Dr3_UDP0072-UDP0072_L002_R1_001	M-25-0345_15Dr3_UDP0072-UDP0072_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1761376.0	0.0	257.0	59.0	7.734512180114933	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0345_15Dr3_UDP0072-UDP0072_L002_R2_001	M-25-0345_15Dr3_UDP0072-UDP0072_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1761376.0	0.0	257.0	57.0	9.12252537528662	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0346_15PRr1_UDP0075-UDP0075_L002_R1_001	M-25-0346_15PRr1_UDP0075-UDP0075_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1215474.0	0.0	257.0	55.0	5.548534974832863	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0346_15PRr1_UDP0075-UDP0075_L002_R2_001	M-25-0346_15PRr1_UDP0075-UDP0075_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1215474.0	0.0	257.0	53.0	8.696641406269338	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0347_15PRr2_UDP0076-UDP0076_L002_R1_001	M-25-0347_15PRr2_UDP0076-UDP0076_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2389897.0	0.0	257.0	55.0	5.505573005955529	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0347_15PRr2_UDP0076-UDP0076_L002_R2_001	M-25-0347_15PRr2_UDP0076-UDP0076_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2389897.0	0.0	257.0	53.0	5.951284004048472	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0348_15PRr3_UDP0077-UDP0077_L002_R1_001	M-25-0348_15PRr3_UDP0077-UDP0077_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1707691.0	0.0	257.0	55.0	5.834720684245569	257.0	257	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass	fail
M-25-0348_15PRr3_UDP0077-UDP0077_L002_R2_001	M-25-0348_15PRr3_UDP0077-UDP0077_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1707691.0	0.0	257.0	53.0	5.857500038020607	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
