ASV_ID	C1R1T	C1R1UT	C1R2T	C1R2UT	C1R3T	C1R3UT	C2R1T	C2R1UT	C2R2T	C2R2UT	C2R3T	C2R3UT	C2S1T	C2S1UT	C2S2T	C2S2UT	C2S3T	C2S3UT	NEGATIVER	Positive
1b828ceef5b32a2a086da9713372bcff	0	0	0	0	0	0	1043	334	1851	216	1961	213	3563	5278	2936	3915	7086	5569	0	0
6f909898a1830b7f1a96a611f8fe853d	6715	3175	6160	2227	7200	850	1516	358	2704	238	2429	223	0	39	0	24	0	64	0	0
506782fe4dd667267a235dfa04939162	0	0	0	0	0	0	0	0	0	0	0	0	9745	2819	6699	1894	10859	1624	0	0
eb2c590370ed99d59875e60bf5c05eac	2996	2735	2540	1712	3946	648	588	405	1246	309	1270	314	2849	2031	2366	1442	4440	1562	0	0
ad0c42e1b454bf5fd0a54d741324e097	8859	1498	9055	1122	10422	290	143	193	305	145	331	118	0	0	0	0	0	0	0	0
77f51f57c6cb84ae10682a5b38ffd794	10184	1673	8132	1229	10584	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f94a9aa8979294c5f39fce41c6bdb6f	0	0	0	0	0	0	108	22	271	8	198	26	7918	2336	5751	1762	9950	3558	0	0
0e33f641c1c840587cab3fcb9e203b15	1806	1125	2110	730	2334	185	144	155	164	107	289	75	5071	3222	3437	2359	6192	2121	0	0
5ee18ac4779775b66aa6d7ebe425e2b5	0	0	0	0	0	0	4266	2578	5441	2492	5601	3228	1619	909	1326	592	2264	970	0	0
58a3c0dab71c2e4c6f00a15aa8e15fbc	0	0	0	0	0	0	95	25	243	22	150	18	7588	2505	6116	1727	9111	2764	0	0
8679177cc8b8029f8cbb28d20bc6fb32	8490	511	8700	321	9649	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fa654cac4dca9a3fac67f8daebde21cb	0	0	0	0	0	0	106	86	203	78	202	78	836	8005	689	5808	4361	6226	0	0
80bd4ff8fd3eac956dcfcdd062e93c4c	5205	831	4709	559	6120	145	110	62	328	47	289	53	1248	1474	896	1082	2042	1465	0	0
532c1cace0293c044550e4c0f090c260	7974	1175	7205	831	8887	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f1c727ea217dfad2cabe9a3142e5a828	8272	431	8804	309	8341	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fcf36f0bf1ecc38a57e7d56e9cf790c3	147	93	83	0	265	0	102	52	128	58	196	43	2249	5156	1658	3809	6055	5947	0	0
eed979ecb655ebec286ec5a67f484d2a	6926	473	8713	272	8433	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4151f8f4239fb6613c4afd3b253b4b35	6852	2469	6043	1566	6814	521	0	10	20	0	12	0	0	0	0	0	0	0	0	0
b546fcdf4eae62c518d2d7ef12ad7735	0	0	0	0	0	0	0	0	0	0	0	0	6651	1871	4825	1275	8032	1211	0	0
333770a3b68a148a2717b8b01049c275	6833	1412	6602	1006	7613	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3f094383256cdaef042d58f2a452587f	4333	5232	3998	3990	4710	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e4ba37d7f8c0ff4dc3e57cdc48f035f	108	85	86	80	61	26	256	119	444	107	458	105	5216	2381	3989	1654	5967	1428	0	0
541fea0c9ca54c1d730e2c26b2bfe405	1745	9301	1049	6134	1015	2901	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6b34b0a11d054f0126b0cd22624ca24e	39	9	64	0	109	0	169	79	383	56	330	39	4119	3267	3053	2241	5360	2546	0	0
ebf72a850749fba1af1ba675ec29063f	31	0	0	4	0	7	260	56	502	33	398	41	4485	2723	3432	1962	5792	2052	0	0
206abc68a205053392dfc9a8548a4ec4	0	0	0	0	0	0	980	3820	557	2627	2822	3519	265	1728	184	1167	1289	1988	0	0
56f26158e7561b5e07acfdd3d8de30eb	0	0	0	0	0	0	3445	758	6340	542	6253	587	589	380	477	253	887	332	0	0
da298a25d1f9129877c472c093d482b6	0	257	0	213	0	375	3797	3057	2056	3465	3469	3931	0	0	0	0	0	23	0	0
c01210b53a24ad742a7c9de628d2ce47	0	0	0	0	34	0	1992	1823	3620	1504	3653	1299	801	1129	677	834	1463	1021	0	0
0a8a96ae974ff7c6b28560878467b9d4	0	232	0	216	0	159	4053	2627	2656	2467	4060	2491	0	0	0	0	0	0	0	0
