taxon_string	rank	source_name	source_lineage	historical_candidate_id	historical_candidate_type	historical_prefix_evidence_count	historical_prefix_conflict	candidate_names	rank_compatible_candidate_count	rank_compatible_candidate_ids	ancestry_compatible_candidate_count	ancestry_compatible_candidate_ids	final_iri	final_label	mapping_status	reason	parent_iri	supplementary_species_policy
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	domain	Archaea	Archaea		none	0	False	archaea	1	2157	1	2157	http://purl.obolibrary.org/obo/NCBITaxon_2157	Archaea	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry		provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	phylum	Halobacteriota	Archaea;Halobacteriota		none	0	False	halobacteriota	1	3100166	1	3100166	http://purl.obolibrary.org/obo/NCBITaxon_3100166	Halobacteriota	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry	http://purl.obolibrary.org/obo/NCBITaxon_2157	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	class	Halobacteria	Archaea;Halobacteriota;Halobacteria		none	0	False	halobacteria	1	183963	0		https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	Halobacteria	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	http://purl.obolibrary.org/obo/NCBITaxon_3100166	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	order	Halobacterales	Archaea;Halobacteriota;Halobacteria;Halobacterales		none	0	False	halobacterales	0		0		https://rubalkhali.science/kb/RAK_CTX_2175f3a6503249ead100b935	Halobacterales	contextual	no exact rank-compatible NCBI preferred-label or synonym match	https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	family	Haloadaptaceae	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae		none	0	False	haloadaptaceae	0		0		https://rubalkhali.science/kb/RAK_CTX_f54401e3a6d1ad627f52add3	Haloadaptaceae	contextual	no exact rank-compatible NCBI preferred-label or synonym match	https://rubalkhali.science/kb/RAK_CTX_2175f3a6503249ead100b935	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	genus	Haladaptatus	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus		none	0	False	haladaptatus	1	367188	0		https://rubalkhali.science/kb/RAK_CTX_4b67198509bd2c8ef49dc6dc	Haladaptatus	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	https://rubalkhali.science/kb/RAK_CTX_f54401e3a6d1ad627f52add3	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	species	paucihalophilus	Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus		none	0	False	haladaptatus paucihalophilus	1	367189	0		https://rubalkhali.science/kb/RAK_CTX_87b513fe19cb7e5e85031834	paucihalophilus	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	https://rubalkhali.science/kb/RAK_CTX_4b67198509bd2c8ef49dc6dc	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	domain	Archaea	Archaea		none	0	False	archaea	1	2157	1	2157	http://purl.obolibrary.org/obo/NCBITaxon_2157	Archaea	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry		provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	phylum	Halobacteriota	Archaea;Halobacteriota		none	0	False	halobacteriota	1	3100166	1	3100166	http://purl.obolibrary.org/obo/NCBITaxon_3100166	Halobacteriota	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry	http://purl.obolibrary.org/obo/NCBITaxon_2157	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	class	Halobacteria	Archaea;Halobacteriota;Halobacteria		none	0	False	halobacteria	1	183963	0		https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	Halobacteria	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	http://purl.obolibrary.org/obo/NCBITaxon_3100166	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	order	Halobacterales	Archaea;Halobacteriota;Halobacteria;Halobacterales		none	0	False	halobacterales	0		0		https://rubalkhali.science/kb/RAK_CTX_2175f3a6503249ead100b935	Halobacterales	contextual	no exact rank-compatible NCBI preferred-label or synonym match	https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	family	Halobacteriaceae	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae		none	0	False	halobacteriaceae	1	2236	0		https://rubalkhali.science/kb/RAK_CTX_d2de8eea0fe8d05d994445a6	Halobacteriaceae	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	https://rubalkhali.science/kb/RAK_CTX_2175f3a6503249ead100b935	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	genus	Halarchaeum	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum		none	0	False	halarchaeum	1	744724	0		https://rubalkhali.science/kb/RAK_CTX_8d657a6df35dfdf9e09cf0db	Halarchaeum	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	https://rubalkhali.science/kb/RAK_CTX_d2de8eea0fe8d05d994445a6	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	species	NA	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA		none	0	False		0		0		https://rubalkhali.science/kb/RAK_CTX_23ce5c0bb60508aca0487698	unclassified species in Halarchaeum	contextual	source rank is unclassified; inherited identifiers are not asserted	https://rubalkhali.science/kb/RAK_CTX_8d657a6df35dfdf9e09cf0db	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	domain	Archaea	Archaea		none	0	False	archaea	1	2157	1	2157	http://purl.obolibrary.org/obo/NCBITaxon_2157	Archaea	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry		provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	phylum	Halobacteriota	Archaea;Halobacteriota		none	0	False	halobacteriota	1	3100166	1	3100166	http://purl.obolibrary.org/obo/NCBITaxon_3100166	Halobacteriota	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry	http://purl.obolibrary.org/obo/NCBITaxon_2157	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	class	Halobacteria	Archaea;Halobacteriota;Halobacteria		none	0	False	halobacteria	1	183963	0		https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	Halobacteria	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	http://purl.obolibrary.org/obo/NCBITaxon_3100166	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	order	Halobacterales	Archaea;Halobacteriota;Halobacteria;Halobacterales		none	0	False	halobacterales	0		0		https://rubalkhali.science/kb/RAK_CTX_2175f3a6503249ead100b935	Halobacterales	contextual	no exact rank-compatible NCBI preferred-label or synonym match	https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	family	Halobacteriaceae	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae		none	0	False	halobacteriaceae	1	2236	0		https://rubalkhali.science/kb/RAK_CTX_d2de8eea0fe8d05d994445a6	Halobacteriaceae	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	https://rubalkhali.science/kb/RAK_CTX_2175f3a6503249ead100b935	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	genus	Halobacterium	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium		none	0	False	halobacterium	1	2239	0		https://rubalkhali.science/kb/RAK_CTX_58cf6801af77f7ed7a73ac6b	Halobacterium	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	https://rubalkhali.science/kb/RAK_CTX_d2de8eea0fe8d05d994445a6	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	species	NA	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA		none	0	False		0		0		https://rubalkhali.science/kb/RAK_CTX_b2209673d820104fa313e93f	unclassified species in Halobacterium	contextual	source rank is unclassified; inherited identifiers are not asserted	https://rubalkhali.science/kb/RAK_CTX_58cf6801af77f7ed7a73ac6b	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	domain	Archaea	Archaea		none	0	False	archaea	1	2157	1	2157	http://purl.obolibrary.org/obo/NCBITaxon_2157	Archaea	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry		provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	phylum	Halobacteriota	Archaea;Halobacteriota		none	0	False	halobacteriota	1	3100166	1	3100166	http://purl.obolibrary.org/obo/NCBITaxon_3100166	Halobacteriota	validated_ncbi	new lineage has one exact rank-compatible NCBI label/synonym match with compatible validated ancestry	http://purl.obolibrary.org/obo/NCBITaxon_2157	provenance_only_never_promoted
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	class	Halobacteria	Archaea;Halobacteriota;Halobacteria		none	0	False	halobacteria	1	183963	0		https://rubalkhali.science/kb/RAK_CTX_924f7c090f1adced1b5bb75d	Halobacteria	contextual	exact NCBI name candidates conflict with validated higher-rank ancestry	http://purl.obolibrary.org/obo/NCBITaxon_3100166	provenance_only_never_promoted
