analysis	contrast	omitted_campaign	taxon_count	zero_treatment	n_sites	n_blocks	displacement	displacement_ci_low	displacement_ci_high	standardized_displacement	pseudo_f	permutation_p	q_primary_family	direction_cosine_vs_primary
taxon_or_zero_sensitivity	omnibus_three_positions		200	multiplicative_0.65	60	170	6.124672733				17.70076935	0.001		
taxon_or_zero_sensitivity	Deep-Surface		200	multiplicative_0.65	60	183	7.403491745	6.61936549	9.180325733	0.3350347321	13.84453264	0.001		0.9998618745
taxon_or_zero_sensitivity	Rhizosphere-Surface		200	multiplicative_0.65	60	182	11.07676155	9.662468126	13.25967827	0.4373883392	25.52828883	0.001		0.9998494462
taxon_or_zero_sensitivity	Rhizosphere-Deep		200	multiplicative_0.65	60	191	12.55790757	10.75382953	15.05127585	0.4817330692	32.55840985	0.001		0.9998898183
taxon_or_zero_sensitivity	omnibus_three_positions		384	pseudocount_0.5	60	170	7.93296572				15.20258332	0.001		
taxon_or_zero_sensitivity	Deep-Surface		384	pseudocount_0.5	60	183	9.582053766	8.728123852	12.11798438	0.3088280958	11.87231611	0.001		0.9797747369
taxon_or_zero_sensitivity	Rhizosphere-Surface		384	pseudocount_0.5	60	182	14.75270803	12.8929772	17.76450174	0.4171995711	23.37099843	0.001		0.9774732362
taxon_or_zero_sensitivity	Rhizosphere-Deep		384	pseudocount_0.5	60	191	15.9381485	13.75820632	19.17713973	0.4457609122	27.47266382	0.001		0.9981815732
taxon_or_zero_sensitivity	omnibus_three_positions		384	pseudocount_1.0	60	170	7.291362028				15.9896212	0.001		
taxon_or_zero_sensitivity	Deep-Surface		384	pseudocount_1.0	60	183	8.812826563	7.921675204	11.07301624	0.3170864773	12.56863156	0.001		0.9796541281
taxon_or_zero_sensitivity	Rhizosphere-Surface		384	pseudocount_1.0	60	182	13.56982149	11.92294257	16.18896048	0.4265809385	24.62496759	0.001		0.9759972223
taxon_or_zero_sensitivity	Rhizosphere-Deep		384	pseudocount_1.0	60	191	14.63083232	12.7210613	17.44180943	0.4535709791	28.65451428	0.001		0.997274536
taxon_or_zero_sensitivity	omnibus_three_positions		384	multiplicative_0.65	60	170	7.694588759				15.54039231	0.001		
taxon_or_zero_sensitivity	Deep-Surface		384	multiplicative_0.65	60	183	9.297932705	8.368833124	11.71148355	0.3124023794	12.16967974	0.001		0.9797472039
taxon_or_zero_sensitivity	Rhizosphere-Surface		384	multiplicative_0.65	60	182	14.31325419	12.59850661	17.18971939	0.4213102889	23.91181265	0.001		0.9770428216
taxon_or_zero_sensitivity	Rhizosphere-Deep		384	multiplicative_0.65	60	191	15.4507472	13.42615119	18.53742522	0.4491445449	27.97788681	0.001		0.9979841025
leave_one_campaign_out	omnibus_three_positions	1	200	pseudocount_0.5	60	128	6.182496059				13.44051018	0.001		
leave_one_campaign_out	Deep-Surface	1	200	pseudocount_0.5	60	131	7.146236312	6.55001093	9.358415675	0.2741896618	8.959014542	0.001		0.9682962039
leave_one_campaign_out	Rhizosphere-Surface	1	200	pseudocount_0.5	60	138	11.36009837	9.969495389	13.72238528	0.3941289681	20.27177623	0.001		0.990170478
leave_one_campaign_out	Rhizosphere-Deep	1	200	pseudocount_0.5	60	146	12.83416792	11.06686574	15.49330306	0.4344007907	25.34438545	0.001		0.9886801985
leave_one_campaign_out	omnibus_three_positions	2	200	pseudocount_0.5	60	168	6.323828667				17.39733932	0.001		
leave_one_campaign_out	Deep-Surface	2	200	pseudocount_0.5	60	181	7.654316646	6.842534408	9.653037754	0.3318129365	13.54675518	0.001		0.9992073302
leave_one_campaign_out	Rhizosphere-Surface	2	200	pseudocount_0.5	60	178	11.46259811	10.07682735	13.7332112	0.4339977501	25.15864868	0.001		0.9994831956
leave_one_campaign_out	Rhizosphere-Deep	2	200	pseudocount_0.5	60	187	13.02183398	11.21966052	15.61351705	0.4805888911	32.37175158	0.001		0.9996996701
leave_one_campaign_out	omnibus_three_positions	3	200	pseudocount_0.5	60	117	6.451569458				12.38881027	0.001		
leave_one_campaign_out	Deep-Surface	3	200	pseudocount_0.5	60	129	8.343771461	7.566407631	10.59021083	0.2978148797	10.64536723	0.001		0.9732223194
leave_one_campaign_out	Rhizosphere-Surface	3	200	pseudocount_0.5	60	128	11.5944352	10.2515848	14.14738437	0.3833752224	18.831968	0.001		0.9823870934
leave_one_campaign_out	Rhizosphere-Deep	3	200	pseudocount_0.5	60	137	13.03972817	11.22555491	15.97478528	0.429696885	24.28887619	0.001		0.98919611
leave_one_campaign_out	omnibus_three_positions	4	200	pseudocount_0.5	55	114	6.292062388				12.47534762	0.001		
leave_one_campaign_out	Deep-Surface	4	200	pseudocount_0.5	58	125	7.806880935	7.195144305	9.95502547	0.2948023159	9.939055612	0.001		0.9457825626
leave_one_campaign_out	Rhizosphere-Surface	4	200	pseudocount_0.5	56	124	11.04727779	9.823734132	13.42580056	0.3758017758	16.56519089	0.001		0.9670262728
leave_one_campaign_out	Rhizosphere-Deep	4	200	pseudocount_0.5	56	135	12.79594516	10.91356375	15.65301044	0.431815186	23.19668804	0.001		0.9786682442
leave_one_campaign_out	omnibus_three_positions	5	200	pseudocount_0.5	60	153	6.392059252				17.31778924	0.001		
leave_one_campaign_out	Deep-Surface	5	200	pseudocount_0.5	60	166	7.748972338	6.957204092	9.618023007	0.3303337022	13.535084	0.001		0.9942814606
leave_one_campaign_out	Rhizosphere-Surface	5	200	pseudocount_0.5	60	160	11.51776417	10.00064709	14.00530916	0.4281741725	24.37771005	0.001		0.9953300651
leave_one_campaign_out	Rhizosphere-Deep	5	200	pseudocount_0.5	60	159	13.18667169	11.37834213	15.83481295	0.4647865037	30.26952853	0.001		0.9944923931
