contrast	genus	mean_clr_difference
Rhizosphere-Surface	Vallicoccus	-1.64281327
Rhizosphere-Surface	Verrucosispora	0.01726554711
Rhizosphere-Surface	Azospirillum	1.097572265
Rhizosphere-Surface	Sphingomonas	-0.6331775469
Rhizosphere-Surface	Telluribacter	0.5645496879
Rhizosphere-Surface	Mycobacterium	0.08368376499
Rhizosphere-Surface	Acidibacter	-0.7800680521
Rhizosphere-Surface	Brucella	0.4268928339
Rhizosphere-Surface	Pir4 lineage	0.2334680186
Rhizosphere-Surface	MND1	-1.194973535
Rhizosphere-Surface	Croceibacterium	1.059143207
Rhizosphere-Surface	Marmoricola	-0.77586113
Rhizosphere-Surface	Daejeonella	0.7666493824
Rhizosphere-Surface	Bryobacter	0.1601164871
Rhizosphere-Surface	Pedomicrobium	-0.5060791787
Rhizosphere-Surface	Opitutus	0.4829686008
Rhizosphere-Surface	Escherichia-Shigella	-0.01827904012
Rhizosphere-Surface	Sediminibacillus	0.7539309577
Rhizosphere-Surface	DSSF69	1.465136492
Rhizosphere-Surface	Terribacillus	0.5676475557
Rhizosphere-Surface	Peredibacter	0.2541074593
Rhizosphere-Surface	Subgroup 10	-0.1387141558
Rhizosphere-Surface	Limnobacter	-1.54894345
Rhizosphere-Surface	Nitrospira	-1.179103987
Rhizosphere-Surface	Truepera	-0.1541963358
Rhizosphere-Surface	Kallotenue	-0.9743401373
Rhizosphere-Surface	Litchfieldia	1.428404564
Rhizosphere-Surface	Novosphingobium	0.4726369181
Rhizosphere-Surface	Sporocytophaga	-0.8636463345
Rhizosphere-Surface	OM27 clade	0.2257416831
Rhizosphere-Surface	Arenimicrobium	-0.0701321535
Rhizosphere-Surface	Kocuria	-0.5835130787
Rhizosphere-Surface	Parviterribacter	-0.680892295
Rhizosphere-Surface	Arcticibacter	0.3859408228
Rhizosphere-Surface	Roseicella	0.2444061947
Rhizosphere-Surface	Nitrosomonas	-0.3277177468
Rhizosphere-Surface	Actinophytocola	-0.2729635655
Rhizosphere-Surface	Mesobacillus	0.1904638923
Rhizosphere-Surface	Dongia	-0.3133478646
Rhizosphere-Surface	Lautropia	-0.820443467
Rhizosphere-Surface	Saccharibacillus	0.08733285582
Rhizosphere-Surface	Brevibacillus	-0.5146351282
Rhizosphere-Surface	Rhodocista	1.053331666
Rhizosphere-Surface	Pelagibacterium	1.859531039
Rhizosphere-Surface	Caulobacter	0.9935884589
Rhizosphere-Surface	Baekduia	-0.1906391009
Rhizosphere-Surface	Isoptericola	1.116846973
Rhizosphere-Surface	Saccharomonospora	0.1845275817
Rhizosphere-Surface	Gemmata	0.3133177946
Rhizosphere-Surface	Pantoea	0.8962432824
Rhizosphere-Surface	Georgenia	0.5065757938
Rhizosphere-Surface	Kineococcus	-0.762246472
Rhizosphere-Surface	Streptococcus	0.04875019127
Rhizosphere-Surface	Glycomyces	-0.5577701396
Rhizosphere-Surface	Conexibacter	-1.07034977
Rhizosphere-Surface	TM7a	2.069972449
Rhizosphere-Surface	Blastocatella	-0.5111779249
Rhizosphere-Surface	Cystobacter	-1.54049899
Rhizosphere-Surface	Niallia	-0.02138156792
Rhizosphere-Surface	[Polyangium] brachysporum group	0.4106687243
Rhizosphere-Surface	Saccharothrix	-0.1504568177
Rhizosphere-Surface	Amycolatopsis	1.128061033
Rhizosphere-Surface	Falsirhodobacter	0.6530167914
Rhizosphere-Surface	Gracilibacillus	0.9920187515
