campaign	site	position	n_profiles	group_reads	retained
4	15	Rhizosphere	1	171016	true
4	15	Surface	1	303171	true
4	16	Deep	1	267501	true
4	16	Rhizosphere	1	265222	true
4	16	Surface	1	321618	true
4	17	Deep	1	260188	true
4	17	Rhizosphere	1	126945	true
4	17	Surface	1	264447	true
4	18	Deep	1	186168	true
4	18	Rhizosphere	1	12347	true
4	18	Surface	1	184377	true
4	19	Deep	1	83412	true
4	19	Rhizosphere	1	188175	true
4	19	Surface	1	299343	true
4	20	Deep	1	236873	true
4	20	Rhizosphere	1	124752	true
4	20	Surface	1	288233	true
4	21	Deep	1	291698	true
4	21	Rhizosphere	1	118224	true
4	21	Surface	1	252290	true
4	22	Deep	1	238391	true
4	22	Rhizosphere	1	140415	true
4	22	Surface	1	225835	true
4	23	Deep	1	47529	true
4	23	Rhizosphere	1	122206	true
4	23	Surface	1	320228	true
4	24	Deep	1	193301	true
4	24	Rhizosphere	1	273394	true
4	24	Surface	1	287746	true
4	25	Deep	1	286657	true
4	25	Rhizosphere	1	160588	true
4	25	Surface	1	499279	true
4	26	Deep	1	330467	true
4	26	Rhizosphere	1	49671	true
4	26	Surface	1	297075	true
4	27	Deep	1	260339	true
4	27	Rhizosphere	1	257722	true
4	27	Surface	1	266269	true
4	28	Deep	1	248259	true
4	28	Rhizosphere	1	225263	true
4	28	Surface	1	276082	true
4	29	Deep	1	295585	true
4	29	Rhizosphere	1	214885	true
4	29	Surface	1	276182	true
4	30	Deep	1	263986	true
4	30	Rhizosphere	1	92770	true
4	30	Surface	1	237846	true
4	31	Deep	1	199788	true
4	31	Rhizosphere	1	22466	true
4	31	Surface	1	286177	true
4	32	Deep	1	249668	true
4	32	Rhizosphere	1	126150	true
4	32	Surface	1	306495	true
4	33	Deep	1	295436	true
4	33	Rhizosphere	1	283015	true
4	33	Surface	1	154305	true
4	34	Rhizosphere	1	76352	true
4	34	Surface	1	391273	true
4	35	Deep	1	150675	true
4	35	Rhizosphere	1	222294	true
4	35	Surface	1	380091	true
4	36	Deep	1	177926	true
4	36	Rhizosphere	1	158976	true
4	36	Surface	1	294531	true
4	37	Deep	1	333094	true
4	37	Rhizosphere	1	275576	true
4	37	Surface	1	226771	true
4	38	Deep	1	241076	true
4	38	Rhizosphere	1	156417	true
4	38	Surface	1	286793	true
4	39	Deep	1	201572	true
4	39	Rhizosphere	1	78918	true
4	39	Surface	1	264533	true
4	40	Deep	1	72847	true
4	40	Surface	1	278176	true
4	41	Deep	1	219233	true
4	41	Rhizosphere	1	186557	true
4	41	Surface	1	271960	true
4	42	Deep	1	48250	true
4	42	Rhizosphere	1	43700	true
4	42	Surface	1	303669	true
4	43	Deep	1	216063	true
4	43	Rhizosphere	1	151528	true
4	43	Surface	1	237753	true
4	44	Deep	1	271137	true
4	44	Rhizosphere	1	113724	true
4	44	Surface	1	316525	true
4	45	Deep	1	277732	true
4	45	Rhizosphere	1	262862	true
4	45	Surface	1	295455	true
4	46	Deep	1	181843	true
4	46	Rhizosphere	1	69031	true
4	46	Surface	1	37888	true
4	47	Deep	1	62965	true
4	47	Rhizosphere	1	290278	true
4	47	Surface	1	298608	true
4	48	Deep	1	25307	true
4	48	Rhizosphere	1	191588	true
4	48	Surface	1	347132	true
4	49	Deep	1	110569	true
4	49	Rhizosphere	1	31936	true
4	49	Surface	1	93494	true
4	50	Deep	1	301540	true
4	50	Rhizosphere	1	215315	true
4	50	Surface	1	262950	true
4	51	Deep	1	227916	true
4	51	Rhizosphere	1	362915	true
4	51	Surface	1	26355	true
4	52	Deep	1	47333	true
4	52	Rhizosphere	1	70276	true
4	52	Surface	1	27399	true
4	53	Deep	1	1014	false
4	53	Rhizosphere	1	35075	true
4	53	Surface	1	44735	true
4	54	Deep	1	49681	true
4	54	Rhizosphere	1	84182	true
4	54	Surface	1	14669	true
4	55	Deep	1	86936	true
4	55	Rhizosphere	1	111603	true
4	55	Surface	1	79433	true
4	56	Deep	1	11718	true
4	56	Rhizosphere	1	21642	true
4	56	Surface	1	13144	true
4	57	Deep	1	37965	true
4	57	Rhizosphere	1	94142	true
4	57	Surface	1	151359	true
4	58	Deep	1	4865	true
4	58	Rhizosphere	1	46611	true
4	58	Surface	1	71290	true
4	59	Deep	1	12824	true
4	59	Rhizosphere	1	82465	true
4	59	Surface	1	128389	true
4	60	Deep	1	207508	true
4	60	Rhizosphere	1	198724	true
4	60	Surface	1	36470	true
5	1	Deep	2	646665	true
5	1	Rhizosphere	3	1552650	true
5	2	Deep	2	749483	true
5	2	Rhizosphere	3	1152049	true
5	2	Surface	2	892349	true
5	3	Rhizosphere	3	507344	true
5	4	Deep	3	1466366	true
5	4	Rhizosphere	3	1885552	true
5	4	Surface	2	2090409	true
5	5	Deep	2	614247	true
5	5	Rhizosphere	4	1407677	true
5	5	Surface	2	1131628	true
5	6	Deep	1	372424	true
5	6	Rhizosphere	3	1044031	true
5	6	Surface	2	1177613	true
5	7	Deep	3	1345089	true
5	7	Rhizosphere	5	1713510	true
5	8	Deep	1	236356	true
5	8	Rhizosphere	3	1349544	true
5	9	Rhizosphere	3	1071494	true
5	10	Deep	1	479459	true
5	10	Rhizosphere	1	369667	true
5	11	Deep	1	378651	true
5	11	Rhizosphere	2	754616	true
5	11	Surface	1	926553	true
5	12	Deep	1	258110	true
5	12	Rhizosphere	3	1134947	true
5	12	Surface	2	914604	true
5	13	Rhizosphere	2	1164430	true
5	13	Surface	1	415813	true
5	14	Deep	1	501527	true
5	14	Rhizosphere	3	1015228	true
5	14	Surface	1	310349	true
5	15	Deep	3	1254479	true
5	15	Rhizosphere	3	1027834	true
5	15	Surface	2	761829	true
5	16	Deep	3	1228684	true
5	16	Rhizosphere	5	1386573	true
5	16	Surface	1	265584	true
5	17	Deep	2	844423	true
5	17	Rhizosphere	3	1338610	true
5	18	Rhizosphere	2	848238	true
5	19	Deep	2	3028093	true
5	19	Rhizosphere	3	1413628	true
5	19	Surface	1	548969	true
5	20	Rhizosphere	3	3293030	true
5	20	Surface	1	461803	true
5	21	Deep	2	500253	true
5	21	Rhizosphere	6	1998069	true
5	21	Surface	1	522095	true
5	22	Rhizosphere	1	363608	true
5	23	Deep	1	387385	true
5	23	Rhizosphere	2	687182	true
5	24	Deep	1	272636	true
5	24	Rhizosphere	2	577971	true
5	25	Deep	1	263607	true
5	25	Rhizosphere	3	940930	true
5	25	Surface	2	1166008	true
5	26	Deep	2	465901	true
5	26	Rhizosphere	2	704849	true
5	26	Surface	1	342665	true
5	27	Deep	2	759192	true
5	27	Rhizosphere	3	1217491	true
5	28	Deep	2	660648	true
5	28	Rhizosphere	3	1528246	true
5	29	Rhizosphere	2	789538	true
5	30	Rhizosphere	3	817861	true
5	30	Surface	1	460280	true
5	31	Deep	2	886430	true
5	32	Rhizosphere	3	1024580	true
5	33	Rhizosphere	3	957829	true
5	34	Deep	1	432303	true
5	34	Rhizosphere	3	1053201	true
5	35	Deep	1	685504	true
5	35	Rhizosphere	4	988755	true
5	37	Deep	1	103934	true
5	37	Rhizosphere	2	629778	true
5	38	Rhizosphere	1	25250	true
5	38	Surface	1	499123	true
5	39	Deep	2	1045049	true
5	39	Rhizosphere	3	746080	true
5	39	Surface	1	183097	true
5	40	Deep	1	425104	true
5	40	Rhizosphere	3	1101632	true
5	40	Surface	1	959412	true
5	41	Deep	1	277260	true
5	42	Rhizosphere	1	328011	true
5	42	Surface	1	564060	true
5	43	Deep	3	957480	true
5	43	Rhizosphere	3	1281571	true
5	44	Deep	1	342536	true
5	44	Rhizosphere	2	876126	true
5	45	Deep	3	1254602	true
5	45	Rhizosphere	3	1436621	true
5	45	Surface	1	475395	true
5	46	Rhizosphere	3	1032219	true
5	47	Rhizosphere	3	969612	true
5	48	Deep	3	1196414	true
