product	Trip	window_days	n	spearman_rain_longitude	spearman_rain_sampling_day	spearman_sampling_day_longitude
NASA_POWER_PRECTOTCORR	5	90	60	0.6129898052939871	0.6433053624523012	0.9647294817968761
Open_Meteo_precipitation_sum	1	1	60	0.08348566819012652	0.14308751944677572	0.9652323901129852
Open_Meteo_precipitation_sum	2	1	8			
Open_Meteo_precipitation_sum	3	1	60			0.9767789710125891
Open_Meteo_precipitation_sum	4	1	60			0.9187618666456024
Open_Meteo_precipitation_sum	5	1	60			0.9647294817968761
Open_Meteo_precipitation_sum	1	3	60	-0.3183960378816104	-0.24358419760835484	0.9652323901129852
Open_Meteo_precipitation_sum	2	3	8			
Open_Meteo_precipitation_sum	3	3	60			0.9767789710125891
Open_Meteo_precipitation_sum	4	3	60	-0.3002332117079344	-0.18089619731013343	0.9187618666456024
Open_Meteo_precipitation_sum	5	3	60			0.9647294817968761
Open_Meteo_precipitation_sum	1	7	60	-0.8982347453921437	-0.9020658608056034	0.9652323901129852
Open_Meteo_precipitation_sum	2	7	8			
Open_Meteo_precipitation_sum	3	7	60	-0.09682428054335596	-0.13760427139441128	0.9767789710125891
Open_Meteo_precipitation_sum	4	7	60	-0.3002332117079344	-0.18089619731013343	0.9187618666456024
Open_Meteo_precipitation_sum	5	7	60			0.9647294817968761
Open_Meteo_precipitation_sum	1	14	60	-0.8885588671685264	-0.8940368892081886	0.9652323901129852
Open_Meteo_precipitation_sum	2	14	8			
Open_Meteo_precipitation_sum	3	14	60	0.6807014747231092	0.6099780768200912	0.9767789710125891
Open_Meteo_precipitation_sum	4	14	60	-0.5084049199965012	-0.43181622981623446	0.9187618666456024
Open_Meteo_precipitation_sum	5	14	60			0.9647294817968761
Open_Meteo_precipitation_sum	1	30	60	-0.8874884500701113	-0.8940368892081886	0.9652323901129852
Open_Meteo_precipitation_sum	2	30	8			
Open_Meteo_precipitation_sum	3	30	60	0.6807014747231092	0.6099780768200912	0.9767789710125891
Open_Meteo_precipitation_sum	4	30	60	-0.4848327319900789	-0.38450685180782074	0.9187618666456024
Open_Meteo_precipitation_sum	5	30	60	-0.5977876361430333	-0.546218628423948	0.9647294817968761
Open_Meteo_precipitation_sum	1	60	60	0.3954483569616053	0.43177333590453304	0.9652323901129852
Open_Meteo_precipitation_sum	2	60	8	-0.6831300510639734		
Open_Meteo_precipitation_sum	3	60	60	0.6807014747231092	0.6099780768200912	0.9767789710125891
Open_Meteo_precipitation_sum	4	60	60	-0.2051273258511273	-0.12153284330096245	0.9187618666456024
Open_Meteo_precipitation_sum	5	60	60	-0.3202988514132757	-0.346354509469003	0.9647294817968761
Open_Meteo_precipitation_sum	1	90	60	0.41162086372512535	0.4484420091602155	0.9652323901129852
Open_Meteo_precipitation_sum	2	90	8	-0.2380952380952381		
Open_Meteo_precipitation_sum	3	90	60	0.6807014747231092	0.6099780768200912	0.9767789710125891
Open_Meteo_precipitation_sum	4	90	60	-0.2051273258511273	-0.12153284330096245	0.9187618666456024
Open_Meteo_precipitation_sum	5	90	60	-0.3202988514132757	-0.346354509469003	0.9647294817968761
