Trip	Site	Date	Latitude	Longitude	sampling_day	longitude_z	sampling_day_z	power_grid_id	n_surface_profiles	n_deep_profiles	evenness_h_over_log_hurlbert	shannon	richness_hurlbert_25000
3	23	2024-02-18	20.04926555555556	48.77333138888888	1.0	-0.42300857781161694	-0.5065022237046952	POWER_008	3.0	3.0	-0.011421126000244364	-0.1258579103284676	-116.21366501148214
3	24	2024-02-18	20.09273861111111	48.89939527777778	1.0	-0.3799158160821909	-0.5065022237046952	POWER_008	3.0	2.0	-0.03831370563408021	-0.44368817596988386	-337.2050858161365
3	25	2024-02-18	20.100259722222223	48.95421972222223	1.0	-0.3611750272471352	-0.5065022237046952	POWER_008	3.0	3.0	-0.18417457443085494	-1.6226858563234172	-553.0491388327838
3	26	2024-02-18	20.148753888888887	49.07873861111111	1.0	-0.31861039706639754	-0.5065022237046952	POWER_009	2.0	2.0	-0.043659420507523916	-0.5317769521883688	-477.72228812402
3	27	2024-02-18	20.2038574	49.1959834	1.0	-0.278532292256713	-0.5065022237046952	POWER_009	3.0	2.0	-0.11956589699425602	-1.0269315117690105	-381.39694962398335
3	28	2024-02-18	20.24376861111111	49.37088472222222	1.0	-0.21874529797061765	-0.5065022237046952	POWER_009	3.0	3.0	-0.02666379660913365	-0.31964548919104274	-332.8554325892119
3	29	2024-02-18	20.2597976	49.5675445	1.0	-0.15152055169130707	-0.5065022237046952	POWER_010	3.0	3.0	-0.1261625331132189	-1.3712584856406087	-859.7285362707603
3	30	2024-02-19	20.269303055555557	49.68367333333333	2.0	-0.11182391700189259	0.21707238158772657	POWER_010	3.0	3.0	0.014888351249727316	0.18129622008611435	139.7004578566141
3	31	2024-02-19	20.29462333333333	49.891405	2.0	-0.040814436854787334	0.21707238158772657	POWER_011	4.0	2.0	0.16114181730393007	1.3877737751845443	420.02774231017156
3	32	2024-02-19	20.310684166666668	50.09302138888889	2.0	0.028104641270696246	0.21707238158772657	POWER_011	3.0	3.0	-0.02184410408348203	-0.0088892317442415	335.7128846961605
3	33	2024-02-19	20.317507777777777	50.30307027777778	2.0	0.09990622378729241	0.21707238158772657	POWER_011	3.0	4.0	0.023152553138461318	0.130284136903132	-117.47314281605372
3	34	2024-02-19	20.344394444444443	50.5153725	2.0	0.17247806936086904	0.21707238158772657	POWER_012	4.0	3.0	0.010689819133871903	0.1103478963608504	83.25159664606554
3	35	2024-02-19	20.371795833333334	50.72999222222222	2.0	0.2458421122574722	0.21707238158772657	POWER_012	3.0	3.0	-0.06300602720828863	-0.7500938887008024	-717.961516861968
3	36	2024-02-19	20.42319	51.14483	2.0	0.38764723719611993	0.21707238158772657	POWER_013	2.0	3.0	-0.10805268869184759	-0.8742024069818974	-134.15682902401886
3	37	2024-02-19	20.454150277777774	51.344883333333335	2.0	0.45603201179329605	0.21707238158772657	POWER_013	3.0	3.0	0.03866197955895845	0.2843337455444477	-29.797302995511245
3	38	2024-02-19	20.4610275	51.37022472222223	2.0	0.4646945276248073	0.21707238158772657	POWER_013	3.0	2.0	0.02248826996225739	0.3312825299801565	417.285343289185
3	39	2024-02-19	20.51023	51.59742	2.0	0.5423573068522225	0.21707238158772657	POWER_014	3.0	2.0	-0.028058275904544794	-0.14728944671121713	106.45404314070561
3	40	2024-02-19	20.54718	51.82559	2.0	0.6203532780257629	0.21707238158772657	POWER_014	3.0	4.0	0.0034215206565175738	-0.048956070194767776	-172.42891257537644
3	42	2024-02-20	20.55516	52.12403	3.0	0.7223698342646704	0.9406469868801484	POWER_014	3.0	3.0	-0.09505129971625026	-0.9787147615379892	-653.0555446064423
3	43	2024-02-20	20.56757555555556	52.22413277777778	3.0	0.7565882388312106	0.9406469868801484	POWER_015	3.0	4.0	-0.07022299717594305	-0.4625753022147556	77.58761054752381
3	44	2024-02-20	20.56783	52.41036	3.0	0.8202467962935082	0.9406469868801484	POWER_015	3.0	3.0	-0.05657358506039656	-0.2690746225737142	141.7095471305006
3	45	2024-02-20	20.56346	52.46776	3.0	0.8398679942834338	0.9406469868801484	POWER_015	3.0	3.0	-0.12920525190618293	-1.483407997584509	-878.9194317030144
3	46	2024-02-20	20.553746111111117	52.66920777777778	3.0	0.9087294356145886	0.9406469868801484	POWER_015	1.0	1.0	-0.032988605492521805	-2.4406106409029524	-1226.355421731472
3	47	2024-02-20	20.54181555555556	52.86878583333333	3.0	0.9769517447173712	0.9406469868801484	POWER_016	1.0	2.0	0.15720314160382798	-1.595287676794312	-536.6579112387828
3	48	2024-02-20	20.56864833333333	53.09404833333333	3.0	1.0539538372645083	0.9406469868801484	POWER_016	3.0	3.0	-0.0013526449063413493	-0.13451057141560074	-209.62595380991354
