trip	site	shannon	expected_richness_25k	normalized_evenness	temperature_c	pressure_mbar	relative_humidity_pct	transect_km
1	45	5.886598127	1222.715343	0.8315143498	37.1	986	20.1	261.0075307
1	46	4.752944043	383.0245117	0.8586257165	35.7	987	21.1	281.5198373
1	47	6.176626727	1725.288314	0.8847439652	37.3	986	20.3	301.7956702
1	48	5.67630311	1033.000925	0.8179065755	35.3	984	23.7	325.4860432
1	49	5.490940304	661.3881899	0.848429045	35	986	21.7	346.9345123
1	50	5.940243377	1224.684816	0.8610480978	29.8	988	31.3	361.0995833
1	51	5.28978762	946.6363471	0.7856228506	30.2	992	32.5	370.4731391
1	52	4.655282502	557.460555	0.7362002368	31.1	992	29.7	389.9085155
1	53	4.164779133	726.5970307	0.6518015434	34.8	992	26	399.3720026
1	54	4.503770156	626.66413	0.7900146378	32.1	992	26.7	421.7455418
1	55	3.345810983	193.0301986	0.6893390219	33.2	990	27.9	425.5232533
1	56	4.554142789	723.1050229	0.8242896028	30	988	35.5	446.6704889
1	57	4.673236912	406.2655936	0.8060188114	31.3	988	38.1	464.8588197
1	58	4.595360785	633.0283223	0.8003132118	33.4	986	39.4	481.5214344
1	59	3.690052726			37.1	986	43.1	485.7169022
1	60	4.60935654	316.0031525	0.8070265323	37.1	986	34.5	496.6102363
2	1	4.932850723	1754.905375	0.8406182534	34.5			-517.7178161
2	2	4.968002705	1986.529697	0.8106208749	36.7			-508.601156
2	3	4.859830364			37			-492.2969033
2	4	6.234754948	2008.455412	0.822434152	38.6			-473.520626
2	5	6.545319708	2382.090816	0.8451156704	39.2			-461.9018782
2	6	5.142577984	1838.312278	0.8005136758	41.2			-445.8293645
2	7	6.102707411	1531.407464	0.8445546189	41.3			-431.6397836
2	8	5.445510093	2505.852717	0.8362678881	41.9			-415.8003027
3	1	5.130052566	1322.826215	0.8255603601	21.9	898	55	-517.7178161
3	2	6.355948812	1858.489023	0.8450682447	26.6	904	40.9	-508.601156
3	3	6.763560067	2610.316181	0.8605136306	28.3	914	38.5	-492.2969033
3	4	6.541936953	1675.02978	0.88485053	30.2	922	37.5	-473.520626
3	5	6.380367539	1635.416595	0.8654864158	35.2	926	19.5	-461.9018782
3	6	6.421909604	1899.143501	0.8575400977	37.1	942	17.6	-445.8293645
3	7	6.204473383	2003.344205	0.8164773751	37	926	19.6	-431.6397836
3	8	6.25967721	1705.508861	0.8463911408	39	922	19	-415.8003027
3	9	5.230901558	1489.000039	0.7181391316	36.4	924	21.5	-395.7107504
3	10	5.573483877	1595.849459	0.7602004602	37.1	926	18	-379.2725562
3	11	5.994765697	1852.581121	0.8013837191	41.2	930	21	-360.8242371
3	12	6.274975833	2072.87362	0.8282461224	39.9	932	15	-339.7251328
3	13	6.151958366	1867.565673	0.8219650529	40	940	13.5	-316.1965033
3	14	5.706143545	1532.555559	0.7915720283	41.2	940	14.9	-290.6183269
3	15	5.68376094	1069.001847	0.8201240447	38.8	944	13.5	-271.073248
3	16	6.433077812	2065.870824	0.8436541706	39.4	948	11.9	-255.0162042
3	17	6.401777751	1864.441159	0.852890587	23	956	27	-233.6971823
3	18	5.185642166	1624.839658	0.6997942634	29.2	960	18.7	-210.0095507
3	19	5.888850309	1714.943024	0.7988871412	27.4	962	21.2	-188.4893933
3	20	6.436639677	1760.436744	0.8641540303	32.9		17.7	-168.4448291
3	21	5.663497512	1662.70072	0.7700962025	31.3	964	31.321	-161.4547433
3	22	5.979160715	1448.755292	0.834149034	31.3	968	21.3	-144.181918
3	23	6.480262556	2171.245406	0.8491328323	24.4	966	30.3	-129.008546
3	24	5.611365433	1452.169655	0.7733264171	25.5	966	31.3	-115.1821155
3	25	4.559179924	1028.343897	0.6588836859	31	966	24.3	-109.3965555
3	26	6.015319008	1794.697807	0.8034688671	31.9	966	25.6	-95.62861051
3	27	4.685992672	1035.467381	0.6798366751	32.4	968	23.7	-82.47630032
3	28	6.25226565	2262.746917	0.8166851812	27.4	968	27.8	-63.70113915
3	29	5.063322671	1094.800771	0.7471677946	27.3	968	27	-43.16663877
3	30	6.167300318	1776.400201	0.8256180876	36.8	976	20.2	-31.04008344
3	31	5.527348673	1260.748475	0.7804704867	23.1	978	29.3	-9.181887324
3	32	6.020473049	1627.565736	0.8154620804	26.7	982	23	11.86272886
3	33	6.289374552	1869.390175	0.8365083242	26.6	984	20.9	33.58954434
3	34	6.16230434	1980.54812	0.8127744882	29.9	982	17.7	55.94883459
3	35	6.266123453	2068.092751	0.8229975431	28.7	984	17.9	78.55661989
3	36	5.971616081	1855.218824	0.7971407433	28.2	982	16.1	122.2237697
3	37	5.575840329	1527.270748	0.7626552579	29.1	984	15.5	143.4054133
3	38	5.863194614	1858.556387	0.7800002025	29.3	984	15.1	146.1476077
3	39	5.438342792	1420.894111	0.7497205608	28.8	984	16	170.4835934
3	40	6.002006135	1721.959337	0.8064688164	28.2	986	17.3	194.6749641
3	41	4.673455106	771.7304752	0.7078054061	29.4	988	16.2	206.9146237
3	42	5.87488577	1786.997021	0.7875934718	24.6	990	34.2	225.5104191
3	43	5.611692418	1386.027315	0.7762415478	27	992	27.8	236.0478339
3	44	5.377843523	1155.872043	0.7675190735	29.1	994	22	255.1948189
3	45	5.715782297	1577.318509	0.7816898882	32.4	996	18.3	261.0075307
3	46	4.501635195	686.0524326	0.7815974513	32.3	994	17.4	281.5198373
