site	latitude	longitude	transect_km	mean_air_temperature_c	mean_monthly_rain_mm	mean_relative_humidity_pct	shannon	expected_richness_25k	normalized_evenness
18	19.73251806	48.04686056	-210.0095507	29.04612245	2.230612245	24.46877551	5.21628299	1400.470539	0.7452461524
19	19.81370961	48.24044322	-188.4893933	29.09489796	2.530612245	24.58020408	6.067102781	2039.521403	0.8081673771
20	19.86931083	48.42464444	-168.4448291	29.05755102	1.887755102	24.81265306	6.077212161	1824.649925	0.815002555
21	19.9011325	48.48646389	-161.4547433	28.9	1.712244898	25.05408163	6.207118616	2291.122678	0.8105155258
22	19.97866972	48.63943556	-144.181918	28.93306122	1.648979592	25.12571429	6.068005012	1553.225652	0.840526457
23	20.04926556	48.77333139	-129.008546	28.94795918	1.679591837	25.24673469	6.128582404	1898.801206	0.8356012654
24	20.09273861	48.89939528	-115.1821155	28.9922449	1.634693878	25.39959184	5.933629726	1700.164787	0.8070140698
25	20.10025972	48.95421972	-109.3965555	28.99612245	1.430612245	25.38714286	5.570006133	1685.639426	0.7547536087
26	20.14875389	49.07873861	-95.62861051	29.00326531	1.485714286	25.49938776	6.14269308	1907.664684	0.8214726014
27	20.2038574	49.1959834	-82.47630032	29.06204082	1.340816327	25.58367347	5.669183415	1788.002006	0.764501468
28	20.24376861	49.37088472	-63.70113915	29.10530612	1.412244898	25.7655102	6.195115542	2152.56071	0.8152596846
29	20.2597976	49.5675445	-43.16663877	29.18693878	1.508163265	25.97693878	5.859422518	1491.887287	0.8195748235
30	20.26930306	49.68367333	-31.04008344	29.2277551	1.883673469	26.07265306	6.103279631	1777.319801	0.8201031117
31	20.29462333	49.891405	-9.181887324	29.32142857	1.618367347	26.09306122	5.768661075	1345.381554	0.8099577827
32	20.31068417	50.09302139	11.86272886	29.38918367	1.369387755	26.21204082	6.164179761	1803.809571	0.8334486959
33	20.31750778	50.30307028	33.58954434	29.43346939	2.067346939	26.52387755	6.096106558	1693.391333	0.8228851086
34	20.34439444	50.5153725	55.94883459	29.68061224	1.96122449	26.51244898	5.94783199	1811.027431	0.7973404914
35	20.37179583	50.72999222	78.55661989	29.68673469	2.693877551	26.99204082	6.140948125	1847.397422	0.8306365749
36	20.42319	51.14483	122.2237697	29.59428571	2.781632653	27.87204082	5.882299926	1618.041715	0.8227447302
37	20.45415028	51.34488333	143.4054133	29.64061224	2.320408163	28.16897959	5.879019331	1618.623764	0.7991124541
38	20.4610275	51.37022472	146.1476077	29.64591837	2.955102041	28.34306122	5.963493939	1795.634507	0.8124170927
39	20.51023	51.59742	170.4835934	29.70897959	2.497959184	28.58061224	5.673773202	1555.307672	0.8033523529
40	20.54718	51.82559	194.6749641	29.75285714	2.693877551	29.06979592	6.211664145	1893.567668	0.8324948946
41	20.53977722	51.94610583	206.9146237	29.81326531	2.571428571	29.22632653	4.921679915	912.5290463	0.7684248167
42	20.55516	52.12403	225.5104191	29.85530612	2.018367347	29.52836735	5.770876435	1469.120824	0.8109420825
43	20.56757556	52.22413278	236.0478339	29.85918367	2.159183673	29.69612245	5.942090578	1712.738995	0.8115489075
44	20.56783	52.41036	255.1948189	29.90306122	2.334693878	29.92163265	5.858042221	1560.191194	0.8133886082
45	20.56346	52.46776	261.0075307	29.90306122	2.334693878	29.92163265	5.479012317	1363.800834	0.7640956016
46	20.55374611	52.66920778	281.5198373	29.98530612	2.389795918	30.19897959	5.073592694	973.9404361	0.8056975031
47	20.54181556	52.86878583	301.7956702	30.00571429	2.695918367	30.49346939	5.000269996	1009.865605	0.8097625903
48	20.56864833	53.09404833	325.4860432	30.03714286	2.748979592	30.79428571	5.09977053	951.3070519	0.7871061925
49	20.64466222	53.28794	346.9345123	30.13408163	3.124489796	31.19591837	5.162518235	805.7979936	0.7975113753
50	20.71385	53.4123	361.0995833	30.16510204	3.304081633	31.53755102	5.746342411	1312.370416	0.8093629406
51	20.7987	53.487	370.4731391	30.20857143	3.62244898	31.60346939	5.401581643	875.8528618	0.8065209846
52	20.83967708	53.66811722	389.9085155	30.20632653	3.734693878	31.78	3.559609856	208.0371056	0.8057040027
53	20.85151417	53.75788444	399.3720026	30.21061224	3.510204082	32.18428571	3.518468734	447.6261102	0.6897411919
54	20.92017889	53.96220444	421.7455418	30.25612245	3.359183673	32.72326531	4.440634507	758.8901883	0.782726287
55	20.9022725	54.0024376	425.5232533	30.25612245	3.359183673	32.72326531	4.003679932	552.3144831	0.6998343258
56	20.82158083	54.22385917	446.6704889	30.30346939	3.830612245	33.2244898	3.35214743	311.2120759	0.6307453966
57	20.7349775	54.41764333	464.8588197	30.29408163	5.536734694	33.88612245	4.236734712	487.0176358	0.7410204612
58	20.66540111	54.59327444	481.5214344	30.03020408	6.536734694	34.93306122	4.340261892	707.3879277	0.7557089325
59	20.65626	54.63586806	485.7169022	29.99367347	6.779591837	35.35816327	3.082834503	253.1825883	0.6354307526
60	20.70637444	54.73210556	496.6102363	30.02285714	7.471428571	35.39693878	4.574588319	529.0912932	0.7881824826
