site	date	time	coordinates	biome	feature	pressure	temperature	humidity	notes
43	20/02/2024	08:38	20.567575555555557 N,52.22413277777778 E	desert biome	sand dune	992	27	27.8	desert miswak
44	20/02/2024	09:22	20.56783 N, 52.41036 E	desert biome	sand dune	994	29.1	22	
45	20/02/2024	09:44	20.56346 N, 52.46776 E	desert biome	sand dune	996	32.4	18.3	
46	20/02/2024	10:44	20.553746111111113 N,52.66920777777778 E	desert biome	sand dune	994	32.3	17.4	
47	20/02/2024	11:24	20.54181555555556 N,52.868785833333334 E	desert biome	sand dune	994	33.2	17.2	
48	20/02/2024	12:54	20.568648333333332 N,53.09404833333333 E	desert biome	desert oasis	994	49.4	9.5	
49	20/02/2024	14:21	20.644662222222223 N,53.28794 E	desert biome	sand dune	994	34	13.4	
50	20/02/2024	14:51	20.71385 N, 53.41230 E	desert biome	sand dune	996	31.5	21.6	
51	20/02/2024	16:11	20.79870 N, 53.48700 E	desert biome	saline pan	994	35.9	16.5	
52	20/02/2024	06:57	20.851514166666668 N,53.75788444444444 E	desert biome	saline pan	994	34.3	17.5	
53	21/02/2024	06:06	20.851514166666668 N,53.75788444444444 E	desert biome	sand dune	990	21.9	35	
54	21/02/2024	15:58	20.92017888888889 N,53.962204444444446 E	desert biome	aeolian lake	998	32.2	23.5	
55	21/02/2024	15:41	20.9022725 N,54.0024376 E	desert biome	saline pan	998	31.3	14.3	
56	21/02/2024	15:10	20.821580833333332 N,54.22385916666667 E	desert biome	saline pan	998	31.6	13.5	
57	21/02/2024	14:48	20.7349775 N,54.41764333333333 E	desert biome	sand dune	996	34.2	16.3	
58	21/02/2024	14:29	20.66540111111111 N,54.59327444444445 E	desert biome	sand dune	992	35.6	16.4	
59	21/02/2024	14:15	20.65626 N,54.635868055555555 E	desert biome	desert oasis	992	36.8	14.3	
60	21/02/2024	13:20	20.706374444444442 N,54.732105555555556 E	desert biome	desert oasis	992	37.1	14.3	extra samples: 0.22 um filter (120 ml w syringe), 19 biofilms from aigers (data in a photo), 2 x 50 ml tubes with biofilm and sediment, 3 50 ml tubed with different colored biofilms
oill spill	17/02/2024	10:25	19.40536 N, 45.72708 E	desert biome	oilspill		35.1	20	car engine oil dumped by bedouins
water well	17/02/2024	14:23	19.50145 N, 46.90146 E	desert biome	water well		39.2	15.9	2 surface and 2 deep samples near well structure entrance 
Camel1	17/02/2024	16:49	19.65401 N, 47.68826 E	desert biome	sand dune		37.6	25	green continues
plant gradient	18/02/2024	09:25	19.70915 N, 47.95933 E	desert biome	sand dune	958	25	24	found gradient of plant growth, took samples from empty sand, sand with green plants, and samples from sand with brown/dead/dying plants. took surface and deep samples, took root and root soil samples for MR from brown and green plants
hot spring	19/02/2024	12:25	20.39723 N, 50.96553 E	desert biome	hot spring	984	32.1	14.8	
12.5+A	17/03/2024	14:22	19.501494166666667 N,46.90140722222222 E	desert biome	water well	934	33	30	Well water from rest station, syring filtered 100ml through 0.22
19.5	18/03/2024	07:20	19.81927138888889 N,48.24023722222222 E	desert biome	dune slack	960	21.8	61.9	same site, valley, soil doesn't move as much as 19
27+	18/03/2024	11:21	20.2038574 N,49.1959834 E	desert biome	sand dune	970	31.5	23.8	material: aerial root
31urine	18/03/2024	15:14	20.294623333333334 N,49.891405 E	desert biome	sand dune	964	33.8	22.3	
32+	18/03/2024	15:44	20.310684166666668 N,50.09302138888889 E	desert biome	sand dune	968	34	22	
41+	19/03/2024	12:16	20.539777222222224 N,51.94610583333333 E	desert biome	saline pan	980	35.4	19.8	material: underground water. dug 1+ meter under sabkhah took large mud water sample
47+	19/03/2024	15:00	20.54181555555556 N,52.868785833333334 E	desert biome	sand dune	986	37.3	20.3	
47+grass	19/03/2024	15:00	20.54181555555556 N,52.868785833333334 E	desert biome	sand dune	986	37.3	20.3	
48+	19/03/2024	17:00	20.568648333333332 N,53.09404833333333 E	desert biome	biofilm	984	35.3	23.7	biofilm between plants and running water
48+	19/03/2024	17:00	20.568648333333332 N,53.09404833333333 E	desert biome	desert oasis	984	35.3	23.7	extra plant from same site
52AD	20/03/2024	08:02	20.851514166666668 N,53.75788444444444 E	desert biome	saline pan	992	31.1	29.7	dug two holes, collected triplicate from every 10 cm in each hole, starting from surface (1). samples with AD(2) are f4om second hole
54F	20/03/2024	10:16	20.92017888888889 N,53.962204444444446 E	desert biome	aerolian lake	990	34.8	26.9	2 0.22 filters 60 ml each. um fatimah
35 + WaterWellRestStop	18/03/2024	18:48	20.397223055555553 N,50.96570472222223 E	desert biome	water well	976			water well, sulfuric water, no soil samples taken, filter size 0.22, 8750ml water filtered
35 + hot spring filter1	19/03/2024	08:03	20.397223055555553 N,50.96570472222223 E	desert biome	water well	980	28.3	17.7	8350ml of water, 6.4ph,0.4g/100g salinity
35 + hot spring filter 2	19/03/2024	08:11	20.397223055555553 N,50.96570472222223 E	desert biome	water well	980	28.3	17.7	10000ml of water,pH 6.4ph
