sample	weighted_NSTI
e0779_F31Sr3	0.1981098893334322
e0780_F33Dr1	0.3711133455237463
e0781_F34Sr1	0.180175424026416
e0782_F40Dr3	0.1903928689854047
e0784_F41Dr3	0.4985845802539312
e0785_F43Dr1	0.2283233654969065
e0786_F43Sr2	0.0852211500872233
e0787_F47PRr1	0.086955973853577
e0788_F48PRr3	0.2147677637833219
e0789_F51Sr3	0.1573549183066654
e0790_F52Sr2	0.1425037029588113
e0791_F55Sr1	0.3861303165561802
e0792_F56Sr2	0.0276929950859868
e0793_F56Sr3	0.058160881438808
e0794_F57Dr1	0.0958223816294073
e0795_F57Sr3	0.0256142437666667
e0796_F58Dr1	0.1566910268330751
e0797_F58Sr3	0.2067988967633409
e0798_F59Dr2	0.1677402374112675
e0799_F59PRr1	0.1822903038691757
e0800_F59Sr3	0.1474623947798437
e0801_F60PRr1	0.2414754342125949
e0802_F60PRr2	0.4839676054521763
e0803_F60Sr3	0.2605841904292164
e0804_T1Dr1	0.107029997904929
e0805_1Dr3	0.2131169313196971
e0806_1Sr2	0.1060579543430338
e0807_2Dr2	0.1295818274909417
e0808_2Sr1	0.0941732117947892
e0809_2PRr1	0.0863186374602926
e0810_3Dr3	0.1641826273904717
e0811_3Sr1	0.1317288376014636
e0812_3PRr2	0.0721227674043484
e0813_4Dr1	0.1495816798329033
e0814_5Dr2	0.1686161247138261
e0815_5Sr2	0.1187844740449894
e0816_6Dr3	0.1438611443074482
e0817_6Sr1	0.160146230423211
e0818_6PRr1	0.0964689085635903
e0819_7Dr1	0.1708721608260891
e0821_7PRr2	0.1055288313868284
e0822_8Sr2	0.1973175410587679
e0823_8PRr1	0.2340136975075101
e0824_8PRr2	0.2587642084026653
e0825_11PRr1	0.1048766423617371
e0826_12Sr2	0.1381656542301619
e0827_14Dr2	0.0703930298780886
e0828_16PRr1	0.0889189516789721
e0829_17Dr2	0.2173583396567131
e0830_17Sr1	0.1005248628832058
e0831_17Sr2	0.1612416800738288
e0832_17Sr3	0.1504725639224709
e0833_17PRr3	0.1886476369881848
e0834_18Dr2	0.1986388006284005
e0835_21Sr3	0.1637898658669982
e0836_22Dr3	0.2182029078005176
e0837_23Dr3	0.2424468296512593
e0838_23Sr3	0.1696809498850854
e0839_23PRr1	0.0953648577651664
e0840_24Sr2	0.0594875290217269
e0841_26Sr1	0.1627226054266976
e0842_27Dr2	0.1156951680496091
e0843_28Sr1	0.1329780328386318
e0844_28PRr1	0.1216852811690629
e0845_30Sr2	0.16923314557823
e0846_31Sr3	0.1658014108696398
e0847_32Dr3	0.0585669677419355
e0848_33Dr3	0.1405241325561551
e0849_35PRr3	0.1274479339256126
e0850_36Sr2	0.1800352805365257
e0851_38PRr3	0.1692479813326588
e0852_39Dr3	0.1759774553828613
e0853_39PRr2	0.1233857014397206
e0854_41Dr1	0.7818885388477383
e0855_42Sr3	0.1612341470911902
e0856_48PRr3	0.268749
e0857_50Sr2	0.2675047226525897
e0858_53Sr3	0.2459077187611923
e0859_53PRr1	0.5228979816122302
e0860_55Sr1	0.0485928615207911
e0861_61Sr2	0.1340639826579515
e0862_T2Dr2	0.0998665154262466
e0863_T2PRr1	0.0788035027052623
e0864_T3Dr2	0.1372477611509457
e0865_T5Sr3	0.1682095933895607
e0866_T6PRr2	0.0923635588389213
e0867_T7PRr2	0.1064234741841352
e0868_T8Dr1	0.3931893876667382
e0869_T8PRr1	0.2777802913173846
e0873_F1PRr2	0.055855509913248
e0876_S18PRr1	0.0782170414681022
e0877_S18Sr1	0.1949066931708931
e0878_S18Dr1	0.2223043179791058
e0880_3Sr3	0.1448386393982107
e0881_4Dr2	0.1857400156108409
e0882_7Dr2	0.331759749376473
e0883_8PRr3	0.3566330337257024
e0884_10PRr3	0.2718748703448472
e0885_11Dr1	0.2806350510805611
e0886_11PRr2	0.120857295897967
e0887_12Dr2	0.1289738854612739
e0888_12Dr3	0.2615597767046375
e0889_19Dr3	0.1162496765598964
e0890_19Sr1	0.0825452411749888
e0891_19Sr3	0.0833116229198912
e0892_20Dr1	0.1497115564002183
e0893_20Sr1	0.0597245876644706
e0894_20Sr3	0.0773454365226422
e0895_22Sr1	0.1871337941791122
e0896_22Sr3	0.1868665006178513
e0897_23PRr2	0.1432902430862746
e0898_23PRr3	0.1692622899355218
e0899_23Sr1	0.1678986778738173
e0900_24Sr1	0.1731935890221989
e0901_29PRr2	0.261550048860889
e0902_29Sr2	0.2266963307079907
e0903_32PRr1	0.2983424639043416
e0904_32PRr3	0.2786348522751479
e0905_33Dr1	0.1790825521343259
e0906_33Sr2	0.236594796736374
e0907_34Dr3	0.2224531599653971
e0908_35PRr1	0.264789125802278
e0909_35Sr1	0.1624656317346512
e0910_36Sr1	0.1102250093626133
e0911_38Sr3	0.2197578170988644
e0912_40PRr3	0.1869495118412759
e0913_43Sr1	0.1798662794193849
e0914_44PRr2	0.1606480618055032
e0915_45Dr1	0.1825610666785408
e0916_45Sr1	0.3069231604688199
e0917_46Dr1	0.3363884108286103
e0918_46Sr3	0.1370905444571886
e0919_49PRr2	0.2028673474232846
e0920_51Sr2	0.1366939111381653
e0921_50PRr1	0.2276324645395353
e0922_54Dr1	0.3245754507897209
e0923_54Dr2	0.3816121773517976
e0924_55PRr1	0.0660805970207468
e0925_57PRr1	0.1449673427077091
e0926_57Sr2	0.1240614711457718
e0927_60Dr2	0.2106256474536282
e0928_60Dr3	0.2650259688284295
e681_T1Dr1	0.1115053361568862
e683_T4PRr1	0.1341612667997521
e695_T6Dr2	0.1387666955253052
e705_T5PRr1	0.2457700610636816
e707_T7Dr3	0.2264239244664991
e717_T6PRr3	0.1154047936905358
e719_T8Sr3	0.2271634296049946
e729_T8Dr3	0.1106103492279284
e730_T6Dr1	0.1638117769484243
