picrust2_col	sample_id	trip	site	compartment	replicate	extraction_suffix	biome	feature	date	coordinates	is_control	duplicate_run
e0367_1PRr3	1PRr3	1	1.0	plant_rhizosphere	3.0		desert biome	gravel	17/03/2023	19.149770555555556 N,45.166511388888885 E	False	False
e0368_1Sr1	1Sr1	1	1.0	surface	1.0		desert biome	gravel	17/03/2023	19.149770555555556 N,45.166511388888885 E	False	False
e0369_1Sr3	1Sr3	1	1.0	surface	3.0		desert biome	gravel	17/03/2023	19.149770555555556 N,45.166511388888885 E	False	False
e0370_20Dr2	20Dr2	1	20.0	deep	2.0		desert biome	dune slack	18/03/2023	19.869310833333333 N,48.42464444444444 E	False	False
e0371_20PRr1	20PRr1	1	20.0	plant_rhizosphere	1.0		desert biome	dune slack	18/03/2023	19.869310833333333 N,48.42464444444444 E	False	False
e0372_20PRr2	20PRr2	1	20.0	plant_rhizosphere	2.0		desert biome	dune slack	18/03/2023	19.869310833333333 N,48.42464444444444 E	False	False
e0373_21Dr1	21Dr1	1	21.0	deep	1.0		desert biome	oilspill	18/03/2023	19.9011325 N,48.48646388888889 E	False	False
e0374_21Sr1	21Sr1	1	21.0	surface	1.0		desert biome	oilspill	18/03/2023	19.9011325 N,48.48646388888889 E	False	False
e0375_21Sr2	21Sr2	1	21.0	surface	2.0		desert biome	oilspill	18/03/2023	19.9011325 N,48.48646388888889 E	False	False
e0376_22Dr1	22Dr1	1	22.0	deep	1.0		desert biome	saline pan	18/03/2023	19.97866972222222 N,48.63943555555556 E	False	False
e0377_22Dr2	22Dr2	1	22.0	deep	2.0		desert biome	saline pan	18/03/2023	19.97866972222222 N,48.63943555555556 E	False	False
e0378_22PRr1	22PRr1	1	22.0	plant_rhizosphere	1.0		desert biome	saline pan	18/03/2023	19.97866972222222 N,48.63943555555556 E	False	False
e0379_22PRr3	22PRr3	1	22.0	plant_rhizosphere	3.0		desert biome	saline pan	18/03/2023	19.97866972222222 N,48.63943555555556 E	False	False
e0380_23Dr1	23Dr1	1	23.0	deep	1.0		desert biome	sand dune	18/03/2023	20.049265555555557 N,48.773331388888884 E	False	False
e0381_23Sr2	23Sr2	1	23.0	surface	2.0		desert biome	sand dune	18/03/2023	20.049265555555557 N,48.773331388888884 E	False	False
e0382_24Dr1	24Dr1	1	24.0	deep	1.0		desert biome	sand dune	18/03/2023	20.09273861111111 N,48.89939527777778 E	False	False
e0383_24Dr2	24Dr2	1	24.0	deep	2.0		desert biome	sand dune	18/03/2023	20.09273861111111 N,48.89939527777778 E	False	False
e0384_24PRr2	24PRr2	1	24.0	plant_rhizosphere	2.0		desert biome	sand dune	18/03/2023	20.09273861111111 N,48.89939527777778 E	False	False
e0385_25Dr1	25Dr1	1	25.0	deep	1.0		desert biome	sand dune	18/03/2023	20.100259722222223 N,48.95421972222223 E	False	False
e0386_25Dr3	25Dr3	1	25.0	deep	3.0		desert biome	sand dune	18/03/2023	20.100259722222223 N,48.95421972222223 E	False	False
e0387_25PRr2	25PRr2	1	25.0	plant_rhizosphere	2.0		desert biome	sand dune	18/03/2023	20.100259722222223 N,48.95421972222223 E	False	False
e0388_25Sr1	25Sr1	1	25.0	surface	1.0		desert biome	sand dune	18/03/2023	20.100259722222223 N,48.95421972222223 E	False	False
e0389_25Sr2	25Sr2	1	25.0	surface	2.0		desert biome	sand dune	18/03/2023	20.100259722222223 N,48.95421972222223 E	False	False
e0390_26Dr1	26Dr1	1	26.0	deep	1.0		desert biome	sand dune	18/03/2023	20.148753888888887 N,49.07873861111111 E	False	False
e0391_26Dr2	26Dr2	1	26.0	deep	2.0		desert biome	sand dune	18/03/2023	20.148753888888887 N,49.07873861111111 E	False	False
e0392_26Dr3	26Dr3	1	26.0	deep	3.0		desert biome	sand dune	18/03/2023	20.148753888888887 N,49.07873861111111 E	False	False
e0393_26PRr2	26PRr2	1	26.0	plant_rhizosphere	2.0		desert biome	sand dune	18/03/2023	20.148753888888887 N,49.07873861111111 E	False	False
e0394_26PRr3	26PRr3	1	26.0	plant_rhizosphere	3.0		desert biome	sand dune	18/03/2023	20.148753888888887 N,49.07873861111111 E	False	False
e0395_26Sr2	26Sr2	1	26.0	surface	2.0		desert biome	sand dune	18/03/2023	20.148753888888887 N,49.07873861111111 E	False	False
e0396_26Sr3	26Sr3	1	26.0	surface	3.0		desert biome	sand dune	18/03/2023	20.148753888888887 N,49.07873861111111 E	False	False
e0397_27Dr1	27Dr1	1	27.0	deep	1.0		desert biome	sand dune	18/03/2023	20.2038574 N,49.1959834 E	False	False
e0398_27Dr3	27Dr3	1	27.0	deep	3.0		desert biome	sand dune	18/03/2023	20.2038574 N,49.1959834 E	False	False
e0399_27PRr1	27PRr1	1	27.0	plant_rhizosphere	1.0		desert biome	sand dune	18/03/2023	20.2038574 N,49.1959834 E	False	False
e0400_27PRr2	27PRr2	1	27.0	plant_rhizosphere	2.0		desert biome	sand dune	18/03/2023	20.2038574 N,49.1959834 E	False	False
e0401_27Sr2	27Sr2	1	27.0	surface	2.0		desert biome	sand dune	18/03/2023	20.2038574 N,49.1959834 E	False	False
e0402_27Sr3	27Sr3	1	27.0	surface	3.0		desert biome	sand dune	18/03/2023	20.2038574 N,49.1959834 E	False	False
e0403_28Dr1	28Dr1	1	28.0	deep	1.0		desert biome	sand dune	18/03/2023	20.24376861111111 N,49.37088472222222 E	False	False
e0404_28Dr3	28Dr3	1	28.0	deep	3.0		desert biome	sand dune	18/03/2023	20.24376861111111 N,49.37088472222222 E	False	False
e0405_28PRr3	28PRr3	1	28.0	plant_rhizosphere	3.0		desert biome	sand dune	18/03/2023	20.24376861111111 N,49.37088472222222 E	False	False
e0406_28Sr2	28Sr2	1	28.0	surface	2.0		desert biome	sand dune	18/03/2023	20.24376861111111 N,49.37088472222222 E	False	False
e0407_28Sr3	28Sr3	1	28.0	surface	3.0		desert biome	sand dune	18/03/2023	20.24376861111111 N,49.37088472222222 E	False	False
e0408_29Dr1	29Dr1	1	29.0	deep	1.0		desert biome	sand dune	18/03/2023	20.2597976 N,49.5675445 E	False	False
e0409_29Dr2	29Dr2	1	29.0	deep	2.0		desert biome	sand dune	18/03/2023	20.2597976 N,49.5675445 E	False	False
e0410_29Dr3	29Dr3	1	29.0	deep	3.0		desert biome	sand dune	18/03/2023	20.2597976 N,49.5675445 E	False	False
e0411_29PRr1	29PRr1	1	29.0	plant_rhizosphere	1.0		desert biome	sand dune	18/03/2023	20.2597976 N,49.5675445 E	False	False
e0412_29PRr3	29PRr3	1	29.0	plant_rhizosphere	3.0		desert biome	sand dune	18/03/2023	20.2597976 N,49.5675445 E	False	False
e0413_29Sr1	29Sr1	1	29.0	surface	1.0		desert biome	sand dune	18/03/2023	20.2597976 N,49.5675445 E	False	False
e0414_2Dr1	2Dr1	1	2.0	deep	1.0		desert biome	sand dune	17/03/2023	19.203468333333333 N,45.2447675 E	False	False
e0415_2Dr3	2Dr3	1	2.0	deep	3.0		desert biome	sand dune	17/03/2023	19.203468333333333 N,45.2447675 E	False	False
e0416_2PRr2	2PRr2	1	2.0	plant_rhizosphere	2.0		desert biome	sand dune	17/03/2023	19.203468333333333 N,45.2447675 E	False	False
e0417_2Sr3	2Sr3	1	2.0	surface	3.0		desert biome	sand dune	17/03/2023	19.203468333333333 N,45.2447675 E	False	False
e0418_30Dr1	30Dr1	1	30.0	deep	1.0		desert biome	sand dune	18/03/2023	20.269303055555554 N,49.68367333333333 E	False	False
e0419_30PRr1	30PRr1	1	30.0	plant_rhizosphere	1.0		desert biome	sand dune	18/03/2023	20.269303055555554 N,49.68367333333333 E	False	False
e0420_30PRr3	30PRr3	1	30.0	plant_rhizosphere	3.0		desert biome	sand dune	18/03/2023	20.269303055555554 N,49.68367333333333 E	False	False
e0421_30Sr1	30Sr1	1	30.0	surface	1.0		desert biome	sand dune	18/03/2023	20.269303055555554 N,49.68367333333333 E	False	False
e0422_30Sr3	30Sr3	1	30.0	surface	3.0		desert biome	sand dune	18/03/2023	20.269303055555554 N,49.68367333333333 E	False	False
e0423_31Dr2	31Dr2	1	31.0	deep	2.0		desert biome	sand dune	18/03/2023	20.294623333333334 N,49.891405 E	False	False
e0424_31PRr2	31PRr2	1	31.0	plant_rhizosphere	2.0		desert biome	sand dune	18/03/2023	20.294623333333334 N,49.891405 E	False	False
e0425_31PRr3	31PRr3	1	31.0	plant_rhizosphere	3.0		desert biome	sand dune	18/03/2023	20.294623333333334 N,49.891405 E	False	False
e0426_31Sr2	31Sr2	1	31.0	surface	2.0		desert biome	sand dune	18/03/2023	20.294623333333334 N,49.891405 E	False	False
e0427_32PRr2	32PRr2	1	32.0	plant_rhizosphere	2.0		desert biome	sand dune	18/03/2023	20.310684166666668 N,50.09302138888889 E	False	False
e0428_33Dr2	33Dr2	1	33.0	deep	2.0		desert biome	sand dune	18/03/2023	20.317507777777777 N,50.30307027777778 E	False	False
e0429_33PRr1	33PRr1	1	33.0	plant_rhizosphere	1.0		desert biome	sand dune	18/03/2023	20.317507777777777 N,50.30307027777778 E	False	False
e0430_33PRr2	33PRr2	1	33.0	plant_rhizosphere	2.0		desert biome	sand dune	18/03/2023	20.317507777777777 N,50.30307027777778 E	False	False
e0431_33Sr1	33Sr1	1	33.0	surface	1.0		desert biome	sand dune	18/03/2023	20.317507777777777 N,50.30307027777778 E	False	False
e0432_34Dr2	34Dr2	1	34.0	deep	2.0		desert biome	sand dune	18/03/2023	20.344394444444443 N,50.5153725 E	False	False
e0433_34PRr1	34PRr1	1	34.0	plant_rhizosphere	1.0		desert biome	sand dune	18/03/2023	20.344394444444443 N,50.5153725 E	False	False
e0434_34PRr3	34PRr3	1	34.0	plant_rhizosphere	3.0		desert biome	sand dune	18/03/2023	20.344394444444443 N,50.5153725 E	False	False
e0435_34Sr1	34Sr1	1	34.0	surface	1.0		desert biome	sand dune	18/03/2023	20.344394444444443 N,50.5153725 E	False	False
e0436_34Sr3	34Sr3	1	34.0	surface	3.0		desert biome	sand dune	18/03/2023	20.344394444444443 N,50.5153725 E	False	False
e0437_35Dr2	35Dr2	1	35.0	deep	2.0		desert biome	sand dune	18/03/2023	20.371795833333334 N,50.72999222222222 E	False	False
e0438_35Dr3	35Dr3	1	35.0	deep	3.0		desert biome	sand dune	18/03/2023	20.371795833333334 N,50.72999222222222 E	False	False
e0439_35Sr2	35Sr2	1	35.0	surface	2.0		desert biome	sand dune	18/03/2023	20.371795833333334 N,50.72999222222222 E	False	False
e0440_36Dr2	36Dr2	1	36.0	deep	2.0		desert biome	sand dune	19/03/2023	20.42319 N, 51.14483 E	False	False
e0441_36Dr3	36Dr3	1	36.0	deep	3.0		desert biome	sand dune	19/03/2023	20.42319 N, 51.14483 E	False	False
e0442_36Sr3	36Sr3	1	36.0	surface	3.0		desert biome	sand dune	19/03/2023	20.42319 N, 51.14483 E	False	False
e0443_37Dr2	37Dr2	1	37.0	deep	2.0		desert biome	sand dune	19/03/2023	20.454150277777778 N,51.344883333333335 E	False	False
e0444_37Dr3	37Dr3	1	37.0	deep	3.0		desert biome	sand dune	19/03/2023	20.454150277777778 N,51.344883333333335 E	False	False
e0445_37PRr2	37PRr2	1	37.0	plant_rhizosphere	2.0		desert biome	sand dune	19/03/2023	20.454150277777778 N,51.344883333333335 E	False	False
e0446_37PRr3	37PRr3	1	37.0	plant_rhizosphere	3.0		desert biome	sand dune	19/03/2023	20.454150277777778 N,51.344883333333335 E	False	False
e0447_37Sr1	37Sr1	1	37.0	surface	1.0		desert biome	sand dune	19/03/2023	20.454150277777778 N,51.344883333333335 E	False	False
e0448_37Sr2	37Sr2	1	37.0	surface	2.0		desert biome	sand dune	19/03/2023	20.454150277777778 N,51.344883333333335 E	False	False
e0449_38Dr2	38Dr2	1	38.0	deep	2.0		desert biome	sand dune	19/03/2023	20.4610275 N,51.370224722222225 E	False	False
e0450_38Dr3	38Dr3	1	38.0	deep	3.0		desert biome	sand dune	19/03/2023	20.4610275 N,51.370224722222225 E	False	False
e0451_38PRr2	38PRr2	1	38.0	plant_rhizosphere	2.0		desert biome	sand dune	19/03/2023	20.4610275 N,51.370224722222225 E	False	False
e0452_38Sr2	38Sr2	1	38.0	surface	2.0		desert biome	sand dune	19/03/2023	20.4610275 N,51.370224722222225 E	False	False
e0453_39Dr2	39Dr2	1	39.0	deep	2.0		desert biome	sand dune	19/03/2023	20.51023 N, 51.59742 E	False	False
e0454_39PRr1	39PRr1	1	39.0	plant_rhizosphere	1.0		desert biome	sand dune	19/03/2023	20.51023 N, 51.59742 E	False	False
e0455_39PRr3	39PRr3	1	39.0	plant_rhizosphere	3.0		desert biome	sand dune	19/03/2023	20.51023 N, 51.59742 E	False	False
e0456_39Sr3	39Sr3	1	39.0	surface	3.0		desert biome	sand dune	19/03/2023	20.51023 N, 51.59742 E	False	False
e0457_3Dr2	3Dr2	1	3.0	deep	2.0		desert biome	sand dune	17/03/2023	19.301079444444444 N,45.384414166666666 E	False	False
e0458_3PRr1	3PRr1	1	3.0	plant_rhizosphere	1.0		desert biome	sand dune	17/03/2023	19.301079444444444 N,45.384414166666666 E	False	False
e0459_3PRr3	3PRr3	1	3.0	plant_rhizosphere	3.0		desert biome	sand dune	17/03/2023	19.301079444444444 N,45.384414166666666 E	False	False
e0460_40Dr1	40Dr1	1	40.0	deep	1.0		desert biome	sand dune	19/03/2023	20.54718 N, 51.82559 E	False	False
e0461_40Dr2	40Dr2	1	40.0	deep	2.0		desert biome	sand dune	19/03/2023	20.54718 N, 51.82559 E	False	False
e0462_40PRr2	40PRr2	1	40.0	plant_rhizosphere	2.0		desert biome	sand dune	19/03/2023	20.54718 N, 51.82559 E	False	False
e0463_41PRr2	41PRr2	1	41.0	plant_rhizosphere	2.0		desert biome	saline pan	19/03/2023	20.539777222222224 N,51.94610583333333 E	False	False
