sampleID	forwardReads	reverseReads	run	source_sample_name	biosample_accession	experiment_accession	library_name	bioproject	umbrella_project	campaign	compartment	is_control	in_ledger
S1Dr1	${EQ_READS_DIR}/ERR16061185_1.fastq.gz	${EQ_READS_DIR}/ERR16061185_2.fastq.gz	ERR16061185	S1Dr1	ERS28392451	ERX15451367	S1Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S1PRr1	${EQ_READS_DIR}/ERR16061186_1.fastq.gz	${EQ_READS_DIR}/ERR16061186_2.fastq.gz	ERR16061186	S1PRr1	ERS28392452	ERX15451368	S1PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S1Sr1	${EQ_READS_DIR}/ERR16061187_1.fastq.gz	${EQ_READS_DIR}/ERR16061187_2.fastq.gz	ERR16061187	S1Sr1	ERS28392453	ERX15451369	S1Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S2Dr1	${EQ_READS_DIR}/ERR16061188_1.fastq.gz	${EQ_READS_DIR}/ERR16061188_2.fastq.gz	ERR16061188	S2Dr1	ERS28392454	ERX15451370	S2Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S2Sr1	${EQ_READS_DIR}/ERR16061189_1.fastq.gz	${EQ_READS_DIR}/ERR16061189_2.fastq.gz	ERR16061189	S2Sr1	ERS28392455	ERX15451371	S2Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S3Dr1	${EQ_READS_DIR}/ERR16061190_1.fastq.gz	${EQ_READS_DIR}/ERR16061190_2.fastq.gz	ERR16061190	S3Dr1	ERS28392456	ERX15451372	S3Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S3PRr1	${EQ_READS_DIR}/ERR16061191_1.fastq.gz	${EQ_READS_DIR}/ERR16061191_2.fastq.gz	ERR16061191	S3PRr1	ERS28392457	ERX15451373	S3PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S3Sr1	${EQ_READS_DIR}/ERR16061192_1.fastq.gz	${EQ_READS_DIR}/ERR16061192_2.fastq.gz	ERR16061192	S3Sr1	ERS28392458	ERX15451374	S3Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S4Dr1	${EQ_READS_DIR}/ERR16061193_1.fastq.gz	${EQ_READS_DIR}/ERR16061193_2.fastq.gz	ERR16061193	S4Dr1	ERS28392459	ERX15451375	S4Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S4PRr1	${EQ_READS_DIR}/ERR16061194_1.fastq.gz	${EQ_READS_DIR}/ERR16061194_2.fastq.gz	ERR16061194	S4PRr1	ERS28392460	ERX15451376	S4PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S4Sr1	${EQ_READS_DIR}/ERR16061195_1.fastq.gz	${EQ_READS_DIR}/ERR16061195_2.fastq.gz	ERR16061195	S4Sr1	ERS28392461	ERX15451377	S4Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S5Dr1	${EQ_READS_DIR}/ERR16061196_1.fastq.gz	${EQ_READS_DIR}/ERR16061196_2.fastq.gz	ERR16061196	S5Dr1	ERS28392462	ERX15451378	S5Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S5PRr1	${EQ_READS_DIR}/ERR16061197_1.fastq.gz	${EQ_READS_DIR}/ERR16061197_2.fastq.gz	ERR16061197	S5PRr1	ERS28392463	ERX15451379	S5PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S5Sr1	${EQ_READS_DIR}/ERR16061198_1.fastq.gz	${EQ_READS_DIR}/ERR16061198_2.fastq.gz	ERR16061198	S5Sr1	ERS28392464	ERX15451380	S5Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S6Dr1	${EQ_READS_DIR}/ERR16061199_1.fastq.gz	${EQ_READS_DIR}/ERR16061199_2.fastq.gz	ERR16061199	S6Dr1	ERS28392465	ERX15451381	S6Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S6PRr1	${EQ_READS_DIR}/ERR16061200_1.fastq.gz	${EQ_READS_DIR}/ERR16061200_2.fastq.gz	ERR16061200	S6PRr1	ERS28392466	ERX15451382	S6PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S6Sr1	${EQ_READS_DIR}/ERR16061201_1.fastq.gz	${EQ_READS_DIR}/ERR16061201_2.fastq.gz	ERR16061201	S6Sr1	ERS28392467	ERX15451383	S6Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S7Dr1	${EQ_READS_DIR}/ERR16061202_1.fastq.gz	${EQ_READS_DIR}/ERR16061202_2.fastq.gz	ERR16061202	S7Dr1	ERS28392468	ERX15451384	S7Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S7PRr1	${EQ_READS_DIR}/ERR16061203_1.fastq.gz	${EQ_READS_DIR}/ERR16061203_2.fastq.gz	ERR16061203	S7PRr1	ERS28392469	ERX15451385	S7PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S7Sr1	${EQ_READS_DIR}/ERR16061204_1.fastq.gz	${EQ_READS_DIR}/ERR16061204_2.fastq.gz	ERR16061204	S7Sr1	ERS28392470	ERX15451386	S7Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S8Dr1	${EQ_READS_DIR}/ERR16061205_1.fastq.gz	${EQ_READS_DIR}/ERR16061205_2.fastq.gz	ERR16061205	S8Dr1	ERS28392471	ERX15451387	S8Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S8PRr1	${EQ_READS_DIR}/ERR16061206_1.fastq.gz	${EQ_READS_DIR}/ERR16061206_2.fastq.gz	ERR16061206	S8PRr1	ERS28392472	ERX15451388	S8PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S8Sr1	${EQ_READS_DIR}/ERR16061207_1.fastq.gz	${EQ_READS_DIR}/ERR16061207_2.fastq.gz	ERR16061207	S8Sr1	ERS28392473	ERX15451389	S8Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S9Dr1	${EQ_READS_DIR}/ERR16061208_1.fastq.gz	${EQ_READS_DIR}/ERR16061208_2.fastq.gz	ERR16061208	S9Dr1	ERS28392474	ERX15451390	S9Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S9PRr1	${EQ_READS_DIR}/ERR16061209_1.fastq.gz	${EQ_READS_DIR}/ERR16061209_2.fastq.gz	ERR16061209	S9PRr1	ERS28392475	ERX15451391	S9PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S9Sr1	${EQ_READS_DIR}/ERR16061210_1.fastq.gz	${EQ_READS_DIR}/ERR16061210_2.fastq.gz	ERR16061210	S9Sr1	ERS28392476	ERX15451392	S9Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S10Dr1	${EQ_READS_DIR}/ERR16061211_1.fastq.gz	${EQ_READS_DIR}/ERR16061211_2.fastq.gz	ERR16061211	S10Dr1	ERS28392477	ERX15451393	S10Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S10PRr1	${EQ_READS_DIR}/ERR16061212_1.fastq.gz	${EQ_READS_DIR}/ERR16061212_2.fastq.gz	ERR16061212	S10PRr1	ERS28392478	ERX15451394	S10PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S10Sr1	${EQ_READS_DIR}/ERR16061213_1.fastq.gz	${EQ_READS_DIR}/ERR16061213_2.fastq.gz	ERR16061213	S10Sr1	ERS28392479	ERX15451395	S10Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S11Dr1	${EQ_READS_DIR}/ERR16061214_1.fastq.gz	${EQ_READS_DIR}/ERR16061214_2.fastq.gz	ERR16061214	S11Dr1	ERS28392480	ERX15451396	S11Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S11PRr1	${EQ_READS_DIR}/ERR16061215_1.fastq.gz	${EQ_READS_DIR}/ERR16061215_2.fastq.gz	ERR16061215	S11PRr1	ERS28392481	ERX15451397	S11PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S11Sr1	${EQ_READS_DIR}/ERR16061216_1.fastq.gz	${EQ_READS_DIR}/ERR16061216_2.fastq.gz	ERR16061216	S11Sr1	ERS28392482	ERX15451398	S11Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S12Dr1	${EQ_READS_DIR}/ERR16061217_1.fastq.gz	${EQ_READS_DIR}/ERR16061217_2.fastq.gz	ERR16061217	S12Dr1	ERS28392483	ERX15451399	S12Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S12PRr1	${EQ_READS_DIR}/ERR16061218_1.fastq.gz	${EQ_READS_DIR}/ERR16061218_2.fastq.gz	ERR16061218	S12PRr1	ERS28392484	ERX15451400	S12PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S12Sr1	${EQ_READS_DIR}/ERR16061219_1.fastq.gz	${EQ_READS_DIR}/ERR16061219_2.fastq.gz	ERR16061219	S12Sr1	ERS28392485	ERX15451401	S12Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S13Dr1	${EQ_READS_DIR}/ERR16061220_1.fastq.gz	${EQ_READS_DIR}/ERR16061220_2.fastq.gz	ERR16061220	S13Dr1	ERS28392486	ERX15451402	S13Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S13PRr1	${EQ_READS_DIR}/ERR16061221_1.fastq.gz	${EQ_READS_DIR}/ERR16061221_2.fastq.gz	ERR16061221	S13PRr1	ERS28392487	ERX15451403	S13PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S13Sr1	${EQ_READS_DIR}/ERR16061222_1.fastq.gz	${EQ_READS_DIR}/ERR16061222_2.fastq.gz	ERR16061222	S13Sr1	ERS28392488	ERX15451404	S13Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S14Dr1	${EQ_READS_DIR}/ERR16061223_1.fastq.gz	${EQ_READS_DIR}/ERR16061223_2.fastq.gz	ERR16061223	S14Dr1	ERS28392489	ERX15451405	S14Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S14PRr1	${EQ_READS_DIR}/ERR16061224_1.fastq.gz	${EQ_READS_DIR}/ERR16061224_2.fastq.gz	ERR16061224	S14PRr1	ERS28392490	ERX15451406	S14PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S14Sr1	${EQ_READS_DIR}/ERR16061225_1.fastq.gz	${EQ_READS_DIR}/ERR16061225_2.fastq.gz	ERR16061225	S14Sr1	ERS28392491	ERX15451407	S14Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S15Dr1	${EQ_READS_DIR}/ERR16061226_1.fastq.gz	${EQ_READS_DIR}/ERR16061226_2.fastq.gz	ERR16061226	S15Dr1	ERS28392492	ERX15451408	S15Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S15PRr1	${EQ_READS_DIR}/ERR16061227_1.fastq.gz	${EQ_READS_DIR}/ERR16061227_2.fastq.gz	ERR16061227	S15PRr1	ERS28392493	ERX15451409	S15PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S15Sr1	${EQ_READS_DIR}/ERR16061228_1.fastq.gz	${EQ_READS_DIR}/ERR16061228_2.fastq.gz	ERR16061228	S15Sr1	ERS28392494	ERX15451410	S15Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
