sampleID,forwardReads,reverseReads,run
S13PRr1,${EQ_READS_DIR}/ERR16061221_1.fastq.gz,${EQ_READS_DIR}/ERR16061221_2.fastq.gz,ERR16061221
S13Sr1,${EQ_READS_DIR}/ERR16061222_1.fastq.gz,${EQ_READS_DIR}/ERR16061222_2.fastq.gz,ERR16061222
S14Dr1,${EQ_READS_DIR}/ERR16061223_1.fastq.gz,${EQ_READS_DIR}/ERR16061223_2.fastq.gz,ERR16061223
S14PRr1,${EQ_READS_DIR}/ERR16061224_1.fastq.gz,${EQ_READS_DIR}/ERR16061224_2.fastq.gz,ERR16061224
S14Sr1,${EQ_READS_DIR}/ERR16061225_1.fastq.gz,${EQ_READS_DIR}/ERR16061225_2.fastq.gz,ERR16061225
S15Dr1,${EQ_READS_DIR}/ERR16061226_1.fastq.gz,${EQ_READS_DIR}/ERR16061226_2.fastq.gz,ERR16061226
S15PRr1,${EQ_READS_DIR}/ERR16061227_1.fastq.gz,${EQ_READS_DIR}/ERR16061227_2.fastq.gz,ERR16061227
S15Sr1,${EQ_READS_DIR}/ERR16061228_1.fastq.gz,${EQ_READS_DIR}/ERR16061228_2.fastq.gz,ERR16061228
S16Dr1,${EQ_READS_DIR}/ERR16061229_1.fastq.gz,${EQ_READS_DIR}/ERR16061229_2.fastq.gz,ERR16061229
S16PRr1,${EQ_READS_DIR}/ERR16061230_1.fastq.gz,${EQ_READS_DIR}/ERR16061230_2.fastq.gz,ERR16061230
S16Sr1,${EQ_READS_DIR}/ERR16061231_1.fastq.gz,${EQ_READS_DIR}/ERR16061231_2.fastq.gz,ERR16061231
S17Dr1,${EQ_READS_DIR}/ERR16061232_1.fastq.gz,${EQ_READS_DIR}/ERR16061232_2.fastq.gz,ERR16061232
S17PRr1,${EQ_READS_DIR}/ERR16061233_1.fastq.gz,${EQ_READS_DIR}/ERR16061233_2.fastq.gz,ERR16061233
S17Sr1,${EQ_READS_DIR}/ERR16061234_1.fastq.gz,${EQ_READS_DIR}/ERR16061234_2.fastq.gz,ERR16061234
S19Dr1,${EQ_READS_DIR}/ERR16061235_1.fastq.gz,${EQ_READS_DIR}/ERR16061235_2.fastq.gz,ERR16061235
S19PRr1,${EQ_READS_DIR}/ERR16061236_1.fastq.gz,${EQ_READS_DIR}/ERR16061236_2.fastq.gz,ERR16061236
S19Sr1,${EQ_READS_DIR}/ERR16061237_1.fastq.gz,${EQ_READS_DIR}/ERR16061237_2.fastq.gz,ERR16061237
S20Dr1,${EQ_READS_DIR}/ERR16061238_1.fastq.gz,${EQ_READS_DIR}/ERR16061238_2.fastq.gz,ERR16061238
S20PRr1,${EQ_READS_DIR}/ERR16061239_1.fastq.gz,${EQ_READS_DIR}/ERR16061239_2.fastq.gz,ERR16061239
S20Sr1,${EQ_READS_DIR}/ERR16061240_1.fastq.gz,${EQ_READS_DIR}/ERR16061240_2.fastq.gz,ERR16061240
S21Dr1,${EQ_READS_DIR}/ERR16061241_1.fastq.gz,${EQ_READS_DIR}/ERR16061241_2.fastq.gz,ERR16061241
S21PRr1,${EQ_READS_DIR}/ERR16061242_1.fastq.gz,${EQ_READS_DIR}/ERR16061242_2.fastq.gz,ERR16061242
S21Sr1,${EQ_READS_DIR}/ERR16061243_1.fastq.gz,${EQ_READS_DIR}/ERR16061243_2.fastq.gz,ERR16061243
S22Dr1,${EQ_READS_DIR}/ERR16061244_1.fastq.gz,${EQ_READS_DIR}/ERR16061244_2.fastq.gz,ERR16061244
S22PRr1,${EQ_READS_DIR}/ERR16061245_1.fastq.gz,${EQ_READS_DIR}/ERR16061245_2.fastq.gz,ERR16061245
S22Sr1,${EQ_READS_DIR}/ERR16061246_1.fastq.gz,${EQ_READS_DIR}/ERR16061246_2.fastq.gz,ERR16061246
S23Dr1,${EQ_READS_DIR}/ERR16061247_1.fastq.gz,${EQ_READS_DIR}/ERR16061247_2.fastq.gz,ERR16061247
S23PRr1,${EQ_READS_DIR}/ERR16061248_1.fastq.gz,${EQ_READS_DIR}/ERR16061248_2.fastq.gz,ERR16061248
S23Sr1,${EQ_READS_DIR}/ERR16061249_1.fastq.gz,${EQ_READS_DIR}/ERR16061249_2.fastq.gz,ERR16061249
S24Dr1,${EQ_READS_DIR}/ERR16061250_1.fastq.gz,${EQ_READS_DIR}/ERR16061250_2.fastq.gz,ERR16061250
S24PRr1,${EQ_READS_DIR}/ERR16061251_1.fastq.gz,${EQ_READS_DIR}/ERR16061251_2.fastq.gz,ERR16061251
S24Sr1,${EQ_READS_DIR}/ERR16061252_1.fastq.gz,${EQ_READS_DIR}/ERR16061252_2.fastq.gz,ERR16061252
S25Dr1,${EQ_READS_DIR}/ERR16061253_1.fastq.gz,${EQ_READS_DIR}/ERR16061253_2.fastq.gz,ERR16061253
S25PRr1,${EQ_READS_DIR}/ERR16061254_1.fastq.gz,${EQ_READS_DIR}/ERR16061254_2.fastq.gz,ERR16061254
S25Sr1,${EQ_READS_DIR}/ERR16061255_1.fastq.gz,${EQ_READS_DIR}/ERR16061255_2.fastq.gz,ERR16061255
S26Dr1,${EQ_READS_DIR}/ERR16061256_1.fastq.gz,${EQ_READS_DIR}/ERR16061256_2.fastq.gz,ERR16061256
S26PRr1,${EQ_READS_DIR}/ERR16061257_1.fastq.gz,${EQ_READS_DIR}/ERR16061257_2.fastq.gz,ERR16061257
S26Sr1,${EQ_READS_DIR}/ERR16061258_1.fastq.gz,${EQ_READS_DIR}/ERR16061258_2.fastq.gz,ERR16061258
S27Dr1,${EQ_READS_DIR}/ERR16061259_1.fastq.gz,${EQ_READS_DIR}/ERR16061259_2.fastq.gz,ERR16061259
S27PRr1,${EQ_READS_DIR}/ERR16061260_1.fastq.gz,${EQ_READS_DIR}/ERR16061260_2.fastq.gz,ERR16061260
S27Sr1,${EQ_READS_DIR}/ERR16061261_1.fastq.gz,${EQ_READS_DIR}/ERR16061261_2.fastq.gz,ERR16061261
S28Dr2,${EQ_READS_DIR}/ERR16061262_1.fastq.gz,${EQ_READS_DIR}/ERR16061262_2.fastq.gz,ERR16061262
S28PRr1,${EQ_READS_DIR}/ERR16061263_1.fastq.gz,${EQ_READS_DIR}/ERR16061263_2.fastq.gz,ERR16061263
S28Sr1,${EQ_READS_DIR}/ERR16061264_1.fastq.gz,${EQ_READS_DIR}/ERR16061264_2.fastq.gz,ERR16061264
S29Dr1,${EQ_READS_DIR}/ERR16061265_1.fastq.gz,${EQ_READS_DIR}/ERR16061265_2.fastq.gz,ERR16061265
S29PRr1,${EQ_READS_DIR}/ERR16061266_1.fastq.gz,${EQ_READS_DIR}/ERR16061266_2.fastq.gz,ERR16061266
S29Sr1,${EQ_READS_DIR}/ERR16061267_1.fastq.gz,${EQ_READS_DIR}/ERR16061267_2.fastq.gz,ERR16061267
