	depth	richness_raw	richness_rare	shannon	pielou	Trip	Site	Type	Season
e0505_53Dr3	24518.0	90		3.9288043855802544		1	53	Deep	Spring
e0506_53PRr2	486506.0	1751	1422.8175487595888	5.778062318351133	0.7958331215553942	1	53	Rhizosphere	Spring
e0507_54PRr1	140880.0	298	289.3261914644679	4.122365070628243	0.7273621973543443	1	54	Rhizosphere	Spring
e0508_54PRr2	126880.0	614	591.9778864040683	5.331283247905047	0.8351701894285356	1	54	Rhizosphere	Spring
e0509_54PRr3	2235.0	52		3.5666223876504235		1	54	Rhizosphere	Spring
e0510_54Sr1	1230.0	43		3.338173883941729		1	54	Surface	Spring
e0511_54Sr2	7943.0	109		4.145856635488687		1	54	Surface	Spring
e0512_54Sr3	63080.0	326	324.1786443457825	4.483812818837395	0.7755724321534366	1	54	Surface	Spring
e0513_55Dr2	106266.0	262	255.87694967509182	3.834518734875747	0.6915651058162925	1	55	Deep	Spring
e0514_55PRr3	63950.0	219	217.71942711002734	3.7429842359254186	0.6953074803367991	1	55	Rhizosphere	Spring
e0515_55Sr3	38195.0	181	180.52354435163764	3.485301034898642	0.6707840904096748	1	55	Surface	Spring
e0516_56Dr1	21885.0	201		4.024855644226668		1	56	Deep	Spring
e0517_56Dr3	33492.0	208	207.9953360721939	4.624552341891563	0.8664241267506384	1	56	Deep	Spring
e0518_56Sr1	21640.0	140		3.9971037578156396		1	56	Surface	Spring
e0519_56Sr3	254964.0	1427	1238.2147097782208	5.570059413656928	0.7821550788518206	1	56	Surface	Spring
e0520_57Dr3	31250.0	322	321.9572829073328	5.188134154240806	0.8984686193676459	1	57	Deep	Spring
e0521_57PRr3	426086.0	714	625.6800699054324	4.371297548983113	0.6788952843139904	1	57	Rhizosphere	Spring
e0522_58PRr1	197756.0	651	633.0283223136506	5.162432508762434	0.8003132117983129	1	58	Rhizosphere	Spring
e0523_58Sr2	14313.0	151		4.517751776217252		1	58	Surface	Spring
e0524_58Sr3	3415.0	100		4.1058980687835005		1	58	Surface	Spring
e0525_59PRr3	8737.0	64		3.6900527255390836		1	59	Rhizosphere	Spring
e0526_5Dr1	156969.0	1148	1127.0297403832903	6.294755274737854	0.8957520863037282	1	5	Deep	Spring
e0527_5Sr1	244857.0	1288	1188.8941550932093	5.725087157253492	0.8085391819521416	1	5	Surface	Spring
e0528_5Sr3	753668.0	3311	2716.307279049441	6.856921284912444	0.8671931790567444	1	5	Surface	Spring
e0529_60Sr3	142260.0	425	419.1767935408388	4.642253451079344	0.768802313160326	1	60	Surface	Spring
e0530_62PRr2	116619.0	514	489.9201096199018	4.49635087216499	0.7258919861551505	1	62	Rhizosphere	Spring
e0531_62Sr3	7769.0	91		4.03381711432521		1	62	Surface	Spring
e0532_63PRr3	8574.0	77		3.440031042897097		1	63	Rhizosphere	Spring
