entity_id	entity_kind	stable_key_type	stable_key	iri_scheme_version	canonical_key	key_sha256	primary_identifier	primary_label	source_snapshot_id	source_row	curation_status
https://rubalkhali.science/kb/RAK_CTL_1393f741397200195c65c9357ce358f08ed0b6368bdb5bfd379bf71b03f832bd	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1280|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1280|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	1393f741397200195c65c9357ce358f08ed0b6368bdb5bfd379bf71b03f832bd	432755a620c33b83ff117bcd0b1f3317e7ce6721c438e15967f1b261b6ab1038	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_b0200a2378416bfcab4adac67b4ef379537bcc4b9cdb7f6c236dd13c914493b3	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1639|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1639|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	b0200a2378416bfcab4adac67b4ef379537bcc4b9cdb7f6c236dd13c914493b3	f2d0bf4ca89fe48f70774e80547f6ec54fc857230d118089fdb0a3dcd3d04755	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_bacf4492d18b265a2ec629926ac5059848377945d01265dd235ddd48e581f2be	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1423|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_1423|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	bacf4492d18b265a2ec629926ac5059848377945d01265dd235ddd48e581f2be	6b4d860e95dee7a248a6b9bdb43fcb80dc7c1bc87128b0932d12783dec45163e	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_b1616d2dbb84f8c489357f27148fb7d800d0462a215e879819ad9fd666df6a99	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_4932|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_4932|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	b1616d2dbb84f8c489357f27148fb7d800d0462a215e879819ad9fd666df6a99	82fb73062b68611dbd6ec575b75272106d7130135b3b2f1f70d34303e4f6c306	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_25b86af92e828ab0b74b9512692c1da4de7121aedf84545f156b5f03b01dde4e	metadata_assertion	claim_tuple	https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_5207|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	control-key-v1	metadata_assertion|claim_tuple|https://rubalkhali.science/kb/RAK_CTL_99a452c18c4a63a400f55b2fe1abbf512ced2a0248d9952c25e441622268d409|https://rubalkhali.science/kb/RAK_2000092|http://purl.obolibrary.org/obo/NCBITaxon_5207|https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard	25b86af92e828ab0b74b9512692c1da4de7121aedf84545f156b5f03b01dde4e	7d941bec3c9e5064336dc66f06d4b1ad42a6790b1fedd7eb2461fdf10f6d348b	control metadata assertion	https://www.zymoresearch.com/products/zymobiomics-microbial-community-standard		confirmed
https://rubalkhali.science/kb/RAK_CTL_f22cda23e15ed4fafaf98dacf1ba65829d51879046ce82174778f7be63351d3b	control_material	assay_sample_and_index	20250714_16S|e0323_Ctrl_1_Trip1|371	control-key-v1	control_material|assay_sample_and_index|20250714_16S|e0323_Ctrl_1_Trip1|371	f22cda23e15ed4fafaf98dacf1ba65829d51879046ce82174778f7be63351d3b	e0323_Ctrl_1_Trip1	16S negative control e0323_Ctrl_1_Trip1	data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv	2	confirmed
https://rubalkhali.science/kb/RAK_CTL_7cef74a9f16828267a325d400ecfdd0331f3a798ac87648cb5f1b0d745c390fa	metadata_disposition	disposition_tuple	https://rubalkhali.science/kb/RAK_CTL_f22cda23e15ed4fafaf98dacf1ba65829d51879046ce82174778f7be63351d3b|negative_control_processing_stage|unresolved|data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv	control-key-v1	metadata_disposition|disposition_tuple|https://rubalkhali.science/kb/RAK_CTL_f22cda23e15ed4fafaf98dacf1ba65829d51879046ce82174778f7be63351d3b|negative_control_processing_stage|unresolved|data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv	7cef74a9f16828267a325d400ecfdd0331f3a798ac87648cb5f1b0d745c390fa	266bb83730764e47b8a16187a233ff22cdb61e1be1ade2b849574fef030ffdee	unresolved: negative_control_processing_stage	data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv		confirmed
https://rubalkhali.science/kb/RAK_CTL_198976be8ff994bb7dbbeb1a4c01c0e36ff982fb72e5d991bc2dd6a1a1a974b4	metadata_field	controlled_term	negative_control_processing_stage	control-key-v1	metadata_field|controlled_term|negative_control_processing_stage	198976be8ff994bb7dbbeb1a4c01c0e36ff982fb72e5d991bc2dd6a1a1a974b4	negative_control_processing_stage	control metadata field: negative_control_processing_stage	CONTROL_KG_MODEL_DESIGN.md		confirmed
https://rubalkhali.science/kb/RAK_CTL_9ad413fa898ccfca6e4bc5518773cbfcde133f71c9fcae38755c16d01d9af862	metadata_status	controlled_term	unresolved	control-key-v1	metadata_status|controlled_term|unresolved	9ad413fa898ccfca6e4bc5518773cbfcde133f71c9fcae38755c16d01d9af862	unresolved	control metadata status: unresolved	CONTROL_KG_MODEL_DESIGN.md		confirmed
https://rubalkhali.science/kb/RAK_CTL_f4427c676cbd335c7cf5c3afe02ac34b7081aeccdb1cdadfb3866476fdc197bb	evidence_record	repository_path	data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv	control-key-v1	evidence_record|repository_path|data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv	f4427c676cbd335c7cf5c3afe02ac34b7081aeccdb1cdadfb3866476fdc197bb	data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv	Control evidence: data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv	data/metadata/samples/controls/source_snapshots/ibex_20250714_qiime2/controls-metadata.tsv		confirmed
