role_id	bearer_material_id	role_type	realized_in_process_id	assertion_status	evidence_id
https://rubalkhali.science/kb/RAK_CTL_35ec0523d63b6e04376ee1e7199cb351302dce82df4a56164ed9e64b51b5e40a	https://rubalkhali.science/kb/RAK_CTL_14cde784e94570af3a9415ab47f9549a39ce3fd75ee585aa9bfa7d6d0c2d9663	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_d8cf730f67605909d083ed5b331eb64ff319b27e1d38323a4fd65ab93216b1a6	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_8389d04286f1bdb5aebc1384c957b39391ac4bb4bab9ca6e1d200623f68ab0d0	https://rubalkhali.science/kb/RAK_CTL_67c3262870a7d662ccbc43ad3859a3cec6035bd226ea663f79825e77f17f6b12	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_5050720bb715bfb32261edc3cb7fddbdfdfb077beedf7b3b2ed447590a30137c	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_662c3fd5405deb9ca5205c0992cc8973aa3b2247abdc2600893e185478e019f1	https://rubalkhali.science/kb/RAK_CTL_5e289bbe04379c77dcd686d47a37245341a1a9cfc429d44b86586bf417dd80f8	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_8088ffd7b53297f31aa42b4c5ca1ed502d345f7bbd8bc62d8d0f5c3ef7a97cca	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_b3a45fcc76a1a100dd448de9f031d813b96599850c3a8683916d5606c098738a	https://rubalkhali.science/kb/RAK_CTL_43f740d71d2dff8487b372651f61bd984388fac41fc5f59a784e0a277ebfe210	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_1e6e342daec56e557446d7cc0330abbeb69045f19a5a8d69831973dffb14ba85	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_e7df887e091b1dc8cd61e34f26d3089cdf0f089feb5dc1d9adfd7252c7789543	https://rubalkhali.science/kb/RAK_CTL_5d645e9e2e96f374d7b336a4b0a78abb6c76b6b10574951b67a4e90a847a08e8	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_08b696ee857d8f734d0417178308630eb5dc6be2b2ee097977a0c4db887daca8	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_856fa8819ffc209df4dce2eedfb24a93c9c8dca326985bd26bf682ceccd549d5	https://rubalkhali.science/kb/RAK_CTL_292a1a1b28b9b11134dd7c561df5849efce29f8abcbbf0783cb264fb2c0cb231	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_001bfb9a6ad0342e0c190898a5bab92cfd4cda1a7896465c80b8fe80fc45125d	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_48f3f051dea64e035d9a71f0f71f5f82b5cd204bae7b2ecfeda0b2f80af0f9e4	https://rubalkhali.science/kb/RAK_CTL_34128a2b4f102fe5bcb93a0260c064246b40cc945b31c3c5b948c8432469119f	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_c8bc099946a437ed0bcca379e89d14f7dc16e50f8bd78cfa691bbc5a782ff1e4	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_9b24028ee42b03628d63d40de06e8723d307c1310e40feb6dc9187531030c93b	https://rubalkhali.science/kb/RAK_CTL_6cf9c6feb1e64f03302d0065ea04caeb95b6687abaf1795ea6620c7c936f0e06	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_74e8b252fe262cac103258a585ef42add7246383f1fd88212fdbd716251e2da0	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_cd13a5a4b81446c366ab2c778fd63016963abafb038c6e2f3b612d5eda7db788	https://rubalkhali.science/kb/RAK_CTL_a257fdc1ec52a0bd13e4b97fb596775e19fc570683fc7f58dd4c275397192470	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_75102413de981c8c089a0f8a945777e900d6b4d15275889eeb773c0efac40ff4	confirmed	https://rubalkhali.science/kb/RAK_CTL_42758abc83258bafa099f565edb9367f8db2b06203271186305c2efade86d290
https://rubalkhali.science/kb/RAK_CTL_b0e320064474ce889934da11cee8d93a487219a49cb39a3cc84f56410033e16b	https://rubalkhali.science/kb/RAK_CTL_9893feecdd50407a179a017dc3f993ca98e1d0bd9868759e5757bc61040ca8c5	positive_microbiome_control	https://rubalkhali.science/kb/RAK_CTL_4bf8af1714ae9c769da2aac121c92d7c55ce649bbe1ae2d0cad157db9c56fe51	confirmed	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a
https://rubalkhali.science/kb/RAK_CTL_8dc698ef86dcec85510354fa332e6285f84dde3a45e8d6e81266571aaf2bcc22	https://rubalkhali.science/kb/RAK_CTL_95a80c7dc700d619fbf630421fcc3ff09fcdde9dabddf157df22f0852bfe1d55	extraction_blank	https://rubalkhali.science/kb/RAK_CTL_5515be9373b873e49bf543b194a9720d108d597fbf4de3722ae61a88e8fefe7b	confirmed	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a
