assertion_id	subject_iri	predicate_iri	object_iri	object_literal	object_datatype	status	confidence	evidence_id	rationale
https://rubalkhali.science/kb/RAK_CTL_4c74e772f632a39e2f74ee7392ebcb3241bfb382dee7d6008b8d7eb6a6961eee	https://rubalkhali.science/kb/RAK_CTL_d9cb62df3c56a6a4b94f1a3eb29dc22e4f3bdd24cb27d01210f8faa220537f01	http://semanticscience.org/resource/SIO_000244	https://rubalkhali.science/kb/RAK_CTL_24320eab3380ef6d405c590160b8d3310c2d641b7621bcef232f6d05cf4c2e60			provisional	low	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a	The library is positive-labelled and the trip-level design used D6300, but the library-level product mapping is not author-confirmed.
https://rubalkhali.science/kb/RAK_CTL_e4723c6f03ba720ed8eca4c0c45e2a378dc163a945828c9b9382d1f77728879a	https://rubalkhali.science/kb/RAK_CTL_c360404f1ff2ff23f04c344f17d4e2c83c254cab809f3d5f339551af5aedc01e	http://semanticscience.org/resource/SIO_000244	https://rubalkhali.science/kb/RAK_CTL_24320eab3380ef6d405c590160b8d3310c2d641b7621bcef232f6d05cf4c2e60			provisional	low	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a	The library is positive-labelled and the trip-level design used D6300, but the library-level product mapping is not author-confirmed.
https://rubalkhali.science/kb/RAK_CTL_854d9a9571038cd6227cd6b778482e674ae64c1772d8bb65f28ab6489f5e1608	https://rubalkhali.science/kb/RAK_P202123	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_869c62baaeca413a3ec67e3a48345fe0bc3351da234f69e8923c880ddfcb3b5a			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 3 assigns S6PRr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_ec86a9b9f505b8da8f18fa8c059ef09dbf5b5a8875de18b78d68786dcb8547f7	https://rubalkhali.science/kb/RAK_P202122	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_869c62baaeca413a3ec67e3a48345fe0bc3351da234f69e8923c880ddfcb3b5a			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 3 assigns S6Sr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_95d69f71f06d6f760b22cbc9e7c305c8f458d010cd4a0009280bb1e2b95a8a6f	https://rubalkhali.science/kb/RAK_P202121	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_869c62baaeca413a3ec67e3a48345fe0bc3351da234f69e8923c880ddfcb3b5a			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 3 assigns S6Dr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_d4633fc5a1f7f73ed53fa5f2d74f4445c62c6bcb73a0253e23ff57e80c66328f	https://rubalkhali.science/kb/RAK_P202162	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_419550a63cf2ef7b3215eb311794e6680e9d0d4283c19b83bcd665abffd543e4			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 4 assigns S19PRr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_b78c59e24b1f378d15024d64566ed2957ce85188ae8eeb75446bf77bb7b1de9d	https://rubalkhali.science/kb/RAK_P202161	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_419550a63cf2ef7b3215eb311794e6680e9d0d4283c19b83bcd665abffd543e4			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 4 assigns S19Sr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_259703e242596793f9ee0b4aea0729edb0e9aaf52765fe92e1a5439b9d360ecf	https://rubalkhali.science/kb/RAK_P202160	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_419550a63cf2ef7b3215eb311794e6680e9d0d4283c19b83bcd665abffd543e4			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 4 assigns S19Dr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_7e487d65c2ddcff6b6e15851b8a8f9fedca6d33dfa080cd61f8abac2131bfb58	https://rubalkhali.science/kb/RAK_P202123	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_d999554fcbe2b36fbfdb2aeeef99cdf75e221b8bfc0594c4d017ed6ab7931c7b			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 6 assigns S6PRr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_c96fdcebbf176ec2842ddbcd5f98eea1b3ae1869a8b83db393b65a45fd4841d7	https://rubalkhali.science/kb/RAK_P202122	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_d999554fcbe2b36fbfdb2aeeef99cdf75e221b8bfc0594c4d017ed6ab7931c7b			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 6 assigns S6Sr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_367c59dc24cf3d9dcc0fb394bc931b8e2b7c9004de304c89744317d2649c4f2a	https://rubalkhali.science/kb/RAK_P202121	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_d999554fcbe2b36fbfdb2aeeef99cdf75e221b8bfc0594c4d017ed6ab7931c7b			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 6 assigns S6Dr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_c425d939a8e35d458c68c4afae8c97be494d89821946316de4a718f11942922c	https://rubalkhali.science/kb/RAK_P202162	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_9efef0db378a00eabe193eb35637f9a0887cf76c386e6c60b5f6864f464bbe83			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 7 assigns S19PRr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_0ef8b6db5d579b65878a3226cbe8ca2049902a43793dd457fdd6f982cda7556f	https://rubalkhali.science/kb/RAK_P202161	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_9efef0db378a00eabe193eb35637f9a0887cf76c386e6c60b5f6864f464bbe83			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 7 assigns S19Sr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_84e748b1f489361dac552836ffa48272719f9e887155aeefab3c8c623c9ea7ef	https://rubalkhali.science/kb/RAK_P202160	http://semanticscience.org/resource/SIO_000068	https://rubalkhali.science/kb/RAK_CTL_9efef0db378a00eabe193eb35637f9a0887cf76c386e6c60b5f6864f464bbe83			provisional	low	https://rubalkhali.science/kb/RAK_CTL_9556a4e68497b7ee5e574bc5347694cc0eba8ac1dd2d7e419e32ff3486eaa34e	Workbook row 7 assigns S19Dr1 to this batch, but the same sample occurs in another EB row.
https://rubalkhali.science/kb/RAK_CTL_97d116dee408dd6ffc2a455a0adf58a80c127271b81d7b0df48db25b85178d9b	https://rubalkhali.science/kb/RAK_CTL_9893feecdd50407a179a017dc3f993ca98e1d0bd9868759e5757bc61040ca8c5	http://semanticscience.org/resource/SIO_000244	https://rubalkhali.science/kb/RAK_CTL_24320eab3380ef6d405c590160b8d3310c2d641b7621bcef232f6d05cf4c2e60			confirmed	high	https://rubalkhali.science/kb/RAK_CTL_b0ae4ff7a87b0764aea36899c084ae8ca3d720f25fb8ef82e6cc13dfd144086a	Author/laboratory record assigns the D6300 whole-cell standard to Trip 5.
