product_id	date	filename	byte_size	sha256	official_url
CMORPH_V1.0_ADJ	2023-03-16	CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230316.nc	418492	6ad051e885eb21815a4b8ae5ebe969b66ab59972f3720aeec807ebbd1615a311	https://www.ncei.noaa.gov/data/cmorph-high-resolution-global-precipitation-estimates/access/daily/0.25deg/2023/03/CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230316.nc
CMORPH_V1.0_ADJ	2023-03-17	CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230317.nc	415797	6905f56f12d11ba4ea706bdb032e9c0cad5372cbcecfd70a4a7920fb58f2dfb4	https://www.ncei.noaa.gov/data/cmorph-high-resolution-global-precipitation-estimates/access/daily/0.25deg/2023/03/CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230317.nc
CMORPH_V1.0_ADJ	2023-03-18	CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230318.nc	413397	e768b65b2c302130eef94ad35b1d6d5020b9e788122e5a990b164a7859f276dd	https://www.ncei.noaa.gov/data/cmorph-high-resolution-global-precipitation-estimates/access/daily/0.25deg/2023/03/CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230318.nc
CMORPH_V1.0_ADJ	2023-03-19	CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230319.nc	421898	36c259037f5832c2bd5f22a28d2909e2bfbf2ca15235a9bf7ef40b9ef4aad75c	https://www.ncei.noaa.gov/data/cmorph-high-resolution-global-precipitation-estimates/access/daily/0.25deg/2023/03/CMORPH_V1.0_ADJ_0.25deg-DLY_00Z_20230319.nc
GPM_3IMERGDF_07B	2023-03-13	3B-DAY.MS.MRG.3IMERG.20230313-S000000-E235959.V07B.nc4	27746566	148bb50575a4da5e9b9f982d4c98adbf748b90b4243ed0dbb94990de199323e1	https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGDF.07/2023/072/3B-DAY.MS.MRG.3IMERG.20230313-S000000-E235959.V07B.nc4
GPM_3IMERGDF_07B	2023-03-14	3B-DAY.MS.MRG.3IMERG.20230314-S000000-E235959.V07B.nc4	28021789	835a48fb3a0abb2356cddb087f8676f9aa62fe311bef90572c43239a248bc9fe	https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGDF.07/2023/073/3B-DAY.MS.MRG.3IMERG.20230314-S000000-E235959.V07B.nc4
GPM_3IMERGDF_07B	2023-03-15	3B-DAY.MS.MRG.3IMERG.20230315-S000000-E235959.V07B.nc4	28440876	b644f5f93b34d41d4eb0bbb93478f628546840aa7a7592b6e0dd8fbad08ba20b	https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGDF.07/2023/074/3B-DAY.MS.MRG.3IMERG.20230315-S000000-E235959.V07B.nc4
GPM_3IMERGDF_07B	2023-03-16	3B-DAY.MS.MRG.3IMERG.20230316-S000000-E235959.V07B.nc4	28692075	6151b30689c435d48027dfd8f1267d5dcd0979ba51d52ecf5d443a4e54e7e32f	https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGDF.07/2023/075/3B-DAY.MS.MRG.3IMERG.20230316-S000000-E235959.V07B.nc4
GPM_3IMERGDF_07B	2023-03-17	3B-DAY.MS.MRG.3IMERG.20230317-S000000-E235959.V07B.nc4	29171793	f541fc885506d7fd2d2b143219a8e85bdcfa506f9ca98beac71f0553b840fefe	https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGDF.07/2023/076/3B-DAY.MS.MRG.3IMERG.20230317-S000000-E235959.V07B.nc4
GPM_3IMERGDF_07B	2023-03-18	3B-DAY.MS.MRG.3IMERG.20230318-S000000-E235959.V07B.nc4	29362315	9616f4f3b212ddf4ad296c5ec393a4da35a8ce3f6cf6d0d8f1b430bee276a524	https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGDF.07/2023/077/3B-DAY.MS.MRG.3IMERG.20230318-S000000-E235959.V07B.nc4
GPM_3IMERGDF_07B	2023-03-19	3B-DAY.MS.MRG.3IMERG.20230319-S000000-E235959.V07B.nc4	29844437	850977268c5b729452cbd898dd749e394732ebb40862269a1c67ac49b456d933	https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGDF.07/2023/078/3B-DAY.MS.MRG.3IMERG.20230319-S000000-E235959.V07B.nc4
NASA_POWER_PRECTOTCORR	2023-03-13..2023-03-19	nasa_power_daily_precipitation.tsv.gz	229859	71d11a8c930760b0dfcb45b59017d3f00321f75ade4f01ad50ea8f1b47379cc2	https://power.larc.nasa.gov/
Open_Meteo_precipitation_sum	2023-03-13..2023-03-19	daily_weather_canonical.tsv	2708694	6cb570e7a8a85a9508fdc910ae0a11bf7db614ef05e0d22fd6fd6a599966581a	https://open-meteo.com/
