Trip	Site	Type	elemental_pc1
3	53	Deep	-0.5019538606
3	53	Rhizosphere	1.125819456
3	53	Surface	-0.1594712637
3	54	Rhizosphere	3.644204258
3	55	Surface	5.967869613
3	56	Surface	2.528920434
3	57	Deep	0.7513570278
3	57	Rhizosphere	2.078226767
3	57	Surface	3.030998529
3	58	Deep	4.227762936
3	58	Rhizosphere	2.802213149
3	58	Surface	5.271992004
3	59	Deep	3.342010374
3	59	Rhizosphere	2.385290789
3	59	Surface	3.778882106
3	60	Rhizosphere	0.7028760859
3	60	Surface	-1.265391756
4	1	Deep	-1.374049949
4	1	Rhizosphere	-1.479914405
4	1	Surface	-0.397175141
4	2	Deep	-0.009054718611
4	2	Surface	-0.09690391715
4	3	Deep	-1.799966787
4	3	Rhizosphere	-0.7819681328
4	3	Surface	-1.045200647
4	4	Deep	-2.560911378
4	4	Rhizosphere	-0.9665004512
4	4	Surface	-2.163985761
4	5	Deep	-0.7619218047
4	5	Rhizosphere	-1.781944069
4	5	Surface	-0.426800013
4	6	Deep	-2.459163147
4	6	Rhizosphere	-1.240426244
4	6	Surface	-2.688806452
4	7	Deep	-0.4152182831
4	7	Rhizosphere	-2.325699497
4	7	Surface	0.8271719797
4	8	Deep	-2.41542899
4	8	Rhizosphere	-2.704328344
4	8	Surface	-1.666129133
4	9	Deep	-1.978067309
4	9	Rhizosphere	-1.115839757
4	9	Surface	-2.020159405
4	10	Deep	-1.740986114
4	10	Rhizosphere	0.2503910003
4	10	Surface	-0.3171540899
4	11	Deep	-0.743514896
4	11	Rhizosphere	-0.487133423
4	11	Surface	-1.12647716
4	12	Deep	1.941468438
4	12	Rhizosphere	0.2748223807
4	12	Surface	-1.596486711
4	13	Deep	0.5708514996
4	13	Rhizosphere	-0.3821101375
4	13	Surface	-0.9174725384
4	14	Deep	-0.5544031589
4	14	Rhizosphere	-0.9241772907
4	14	Surface	-1.012017773
4	15	Deep	-0.8375358958
4	15	Rhizosphere	-1.036253404
4	15	Surface	-2.033381412
4	16	Deep	-1.429944271
4	16	Rhizosphere	-0.706272113
4	16	Surface	-1.308550038
4	17	Deep	-1.872351119
4	17	Rhizosphere	-1.281663369
4	17	Surface	-1.151477757
4	18	Deep	1.149669223
4	18	Rhizosphere	-0.8312307846
4	18	Surface	1.146350179
4	19	Deep	-2.273594119
4	19	Rhizosphere	-0.8672293259
4	19	Surface	-2.026112988
4	20	Deep	-0.3687675263
4	20	Rhizosphere	-1.005443148
4	20	Surface	-1.994456012
4	21	Deep	-0.9062230021
4	21	Rhizosphere	-2.115630672
4	21	Surface	-0.08387026734
4	22	Deep	-1.72797481
4	22	Rhizosphere	-1.384412671
4	22	Surface	-0.6801571338
4	23	Deep	1.841177885
4	23	Rhizosphere	0.254290438
4	23	Surface	2.800920737
4	24	Deep	-1.063115224
4	24	Rhizosphere	-1.501491461
4	24	Surface	-1.908863091
4	25	Deep	-0.7104401354
4	25	Rhizosphere	0.1516175189
4	25	Surface	-1.53831473
4	26	Deep	-0.670700174
4	26	Rhizosphere	-1.981547621
4	26	Surface	-1.751805384
4	27	Deep	-0.3813739546
4	27	Rhizosphere	-0.2117850298
4	27	Surface	-1.46607351
4	28	Deep	-0.9216287097
4	28	Rhizosphere	-0.9201242836
4	28	Surface	-1.880617034
4	29	Deep	-1.319161835
4	29	Rhizosphere	-0.8170556745
4	29	Surface	-1.576052103
4	30	Deep	-0.869269495
4	30	Rhizosphere	1.444033484
4	30	Surface	-1.086840233
4	31	Deep	-0.0004035424007
4	31	Rhizosphere	-1.126746876
4	31	Surface	-1.762473716
4	32	Deep	0.06259402728
4	32	Rhizosphere	0.3969149879
4	32	Surface	-0.7154976037
4	33	Deep	-0.8223877287
4	33	Rhizosphere	-0.5730335204
4	33	Surface	-0.4847615322
4	34	Rhizosphere	-0.9250884631
4	34	Surface	-1.522985776
4	35	Deep	1.553991626
4	35	Rhizosphere	-1.504920277
4	35	Surface	0.9046977444
4	36	Deep	-1.976728216
4	36	Rhizosphere	-2.166172989
4	36	Surface	-1.286378548
4	37	Deep	-0.1830784088
4	37	Rhizosphere	-0.3541582454
4	37	Surface	-0.9867259224
4	38	Deep	0.5336942839
4	38	Rhizosphere	-0.675682138
4	38	Surface	-0.5376740873
4	39	Deep	1.34810152
4	39	Rhizosphere	-4.373131619e-05
