SampleID	SoilType	Al	Al2O3	Ba	BaO	Br	Ca	CaO	Ce	CeO2	Cl	Co	CoO	Cr	Cr2O3	Cs	Cu	CuO	Diameter	Eu	Eu2O3	Fe	Fe2O3	Ga	Ga2O3	Gd	Gd2O3	K	K2O	La	La2O3	Material	Method	Mg	MgO	Mn	MnO	Mo	MoO3	Mode	Na	Na2O	Nd	Nd2O3	Ni	NiO	P	P2O5	Pr	Pr6O11	S	SO3	Sc	Sc2O3	Si	SiO2	Sm	Sm2O3	Sr	SrO	Ti	TiO2	V	V2O5	Zn	ZnO	Zr	ZrO2
V57Dr1	Deep	1.0	2.0	0.0	0.0	0.0	2.49	3.48	0.17	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.464	0.664	0.0	0.0	0.0	0.0	0.71	0.85	0.092	0.0	Oxides	Fast Screening-He8mm	1.1	1.8	0.0	0.0	0.0	0.0	He	1.8	2.4	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.16	0.0	0.0	0.0	26.5	56.8	0.0	0.0	0.0	0.0	0.024	0.0	0.022	0.0	0.0	0.0	0.027	0.036
V56Dr1	Deep	1.7	3.2	0.0	0.0	0.0	3.86	5.39	0.0	0.0	4.06	0.0	0.0	0.031	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.456	0.652	0.0	0.0	0.0	0.0	0.99	1.2	0.0	0.0	Oxides	Fast Screening-He8mm	1.3	2.2	0.047	0.06	0.0	0.0	He	3.2	4.3	0.097	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.23	0.58	0.032	0.0	20.9	44.6	0.0	0.0	0.054	0.064	0.081	0.14	0.0	0.0	0.0	0.0	0.0	0.0
V55Dr1	Deep	0.96	1.8	0.099	0.0	0.027	8.12	11.4	0.0	0.0	6.79	0.0	0.0	0.087	0.13	0.0	0.0	0.0	8mm	0.0	0.0	0.845	1.21	0.0	0.0	0.0	0.0	0.87	1.0	0.0	0.0	Oxides	Fast Screening-He8mm	2.5	4.1	0.0	0.0	0.0	0.0	He	5.1	6.9	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	2.31	5.77	0.036	0.0	8.25	17.6	0.0	0.0	0.554	0.656	0.17	0.0	0.035	0.0	0.0	0.0	0.0	0.0
V54Dr1	Deep	1.9	3.7	0.0	0.0	0.0	9.15	12.8	0.0	0.0	0.7	0.0	0.0	0.048	0.07	0.0	0.0	0.0	8mm	0.0	0.0	0.957	1.37	0.0	0.0	0.0	0.0	0.99	1.2	0.1	0.0	Oxides	Fast Screening-He8mm	1.5	2.5	0.0	0.0	0.0	0.0	He	1.5	2.1	0.0	0.0	0.0	0.0	0.053	0.0	0.04	0.0	1.5	3.8	0.034	0.0	20.3	43.4	0.0	0.0	0.015	0.018	0.23	0.0	0.032	0.0	0.0	0.0	0.015	0.02
V53Dr1	Deep	1.7	3.2	0.0	0.0	0.0	0.92	1.3	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.32	0.45	0.0	0.0	0.0	0.0	1.1	1.4	0.0	0.0	Oxides	Fast Screening-He8mm	1.1	1.9	0.0	0.0	0.0	0.0	He	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.59	0.0	0.0	27.5	58.7	0.0	0.0	0.0	0.0	0.067	0.11	0.032	0.0	0.0	0.0	0.028	0.038
V52Dr1	Deep	1.5	2.9	0.0	0.0	0.0	7.65	10.7	0.3	0.37	4.98	0.0	0.0	0.095	0.14	0.0	0.0	0.0	8mm	0.0	0.0	0.969	1.38	0.0	0.0	0.0	0.0	0.87	1.0	0.2	0.0	Oxides	Fast Screening-He8mm	2.6	4.4	0.0	0.0	0.0	0.0	He	3.9	5.3	0.062	0.0	0.0	0.0	0.017	0.0	0.0	0.0	2.78	6.93	0.035	0.0	17.0	36.4	0.0	0.0	0.036	0.042	0.21	0.35	0.0	0.0	0.0	0.0	0.017	0.022
V51Dr1	Deep	1.2	2.3	0.0	0.0	0.0	5.77	8.08	0.0	0.0	1.8	0.0	0.0	0.044	0.064	0.0	0.0	0.0	8mm	0.0	0.0	0.905	1.29	0.0	0.0	0.0	0.0	0.8	0.97	0.0	0.0	Oxides	Fast Screening-He8mm	4.8	7.9	0.0	0.0	0.0	0.0	He	1.8	2.5	0.14	0.0	0.0	0.0	0.0	0.0	0.12	0.0	3.24	8.08	0.0	0.0	16.1	34.4	0.0	0.0	0.049	0.058	0.2	0.34	0.031	0.0	0.0	0.0	0.014	0.019
V50Dr1	Deep	0.77	0.0	0.0	0.0	0.0	0.59	0.82	0.0	0.0	0.039	0.0	0.0	0.03	0.043	0.0	0.0	0.0	8mm	0.0	0.0	0.23	0.33	0.0	0.0	0.0	0.0	0.55	0.67	0.0	0.0	Oxides	Fast Screening-He8mm	0.6	1.0	0.0	0.0	0.0	0.0	He	0.51	0.0	0.13	0.15	0.0	0.0	0.0	0.0	0.064	0.0	0.032	0.0	0.0	0.0	29.5	63.0	0.0	0.0	0.0	0.0	0.038	0.0	0.02	0.0	0.0	0.0	0.0	0.0
V49Dr1	Deep	2.2	4.2	0.0	0.0	0.0	2.83	3.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.474	0.678	0.0	0.0	0.0	0.0	0.7	0.85	0.0	0.0	Oxides	Fast Screening-He8mm	0.86	1.4	0.0	0.0	0.0	0.0	He	0.66	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.049	0.0	0.029	0.0	27.9	59.6	0.0	0.0	0.024	0.029	0.15	0.25	0.0	0.0	0.0	0.0	0.0	0.0
V48Dr1	Deep	2.2	4.1	0.0	0.0	0.023	11.5	16.0	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	1.26	1.8	0.0	0.0	0.0	0.0	1.1	1.4	0.11	0.0	Oxides	Fast Screening-He8mm	3.3	5.4	0.0	0.0	0.0	0.0	He	3.0	4.1	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	1.6	4.0	0.0	0.0	13.0	27.9	0.0	0.0	0.03	0.036	0.27	0.46	0.019	0.0	0.0	0.0	0.049	0.066
V47Dr1	Deep	1.6	3.1	0.0	0.0	0.0	3.76	5.26	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.526	0.752	0.0	0.0	0.0	0.0	0.72	0.86	0.0	0.0	Oxides	Fast Screening-He8mm	0.93	1.5	0.0	0.0	0.0	0.0	He	0.57	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.029	0.0	0.059	0.0	27.2	58.3	0.0	0.0	0.033	0.039	0.21	0.35	0.024	0.0	0.0	0.0	0.009	0.012
V46Dr1	Deep	1.9	3.5	0.0	0.0	0.0	4.31	6.02	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.539	0.77	0.0	0.0	0.0	0.0	0.66	0.8	0.093	0.0	Oxides	Fast Screening-He8mm	1.1	1.8	0.023	0.029	0.0	0.0	He	1.2	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.05	0.0	0.03	0.0	26.1	55.8	0.0	0.0	0.0	0.0	0.11	0.0	0.022	0.0	0.0	0.0	0.0	0.0
V45Dr1	Deep	2.0	3.7	0.0	0.0	0.0	5.64	7.89	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.874	1.25	0.0	0.0	0.0	0.0	0.96	1.2	0.0	0.0	Oxides	Fast Screening-He8mm	1.9	3.1	0.0	0.0	0.0	0.0	He	2.9	3.9	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.58	1.5	0.0	0.0	18.2	38.9	0.0	0.0	0.045	0.053	0.26	0.43	0.014	0.0	0.0	0.0	0.048	0.065
V44Dr1	Deep	1.8	3.5	0.08	0.0	0.0	3.33	4.67	0.0	0.0	0.046	0.0	0.0	0.023	0.034	0.0	0.0	0.0	8mm	0.0	0.0	0.441	0.631	0.0	0.0	0.0	0.0	0.81	0.97	0.097	0.0	Oxides	Fast Screening-He8mm	0.88	1.5	0.0	0.0	0.0	0.0	He	0.5	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.02	0.0	0.033	0.0	0.03	0.0	24.4	52.1	0.0	0.0	0.025	0.03	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
V43Dr1	Deep	2.2	4.1	0.0	0.0	0.0	5.22	7.3	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.603	0.862	0.0	0.0	0.0	0.0	0.82	0.99	0.0	0.0	Oxides	Fast Screening-He8mm	1.1	1.9	0.0	0.0	0.0	0.0	He	0.3	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.12	0.0	0.077	0.0	0.031	0.0	25.6	54.7	0.0	0.0	0.012	0.014	0.16	0.27	0.026	0.0	0.0	0.0	0.015	0.02
V1Dr1	Deep	2.3	1.8	0.0	0.0	0.0	1.1	0.72	0.0	0.0	0.083	0.0	0.0	0.042	0.032	0.0	0.0	0.0	8mm	0.0	0.0	0.683	0.486	0.0	0.0	0.0	0.0	0.94	0.51	0.12	0.0	Oxides	Fast Screening-He8mm	0.48	0.0	0.0	0.0	0.0	0.0	He	0.64	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.069	0.0	0.0	0.0	41.4	41.5	0.0	0.0	0.0	0.0	0.24	0.2	0.0	0.0	0.0	0.0	0.0	0.0
V22Dr1	Deep	1.2	2.4	0.0	0.0	0.0	1.1	1.5	0.0	0.0	0.12	0.0	0.0	0.023	0.034	0.0	0.0	0.0	8mm	0.0	0.0	0.444	0.635	0.0	0.0	0.0	0.0	0.69	0.83	0.0	0.0	Oxides	Fast Screening-He8mm	0.41	0.68	0.0	0.0	0.0	0.0	He	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.028	0.0	22.0	47.2	0.0	0.0	0.0	0.0	0.082	0.0	0.019	0.0	0.0	0.0	0.0	0.0
V21Dr1	Deep	1.1	2.0	0.0	0.0	0.0	1.3	1.9	0.0	0.0	0.041	0.0	0.0	0.033	0.048	0.0	0.0	0.0	8mm	0.0	0.0	0.369	0.528	0.0	0.0	0.0	0.0	0.8	0.97	0.0	0.0	Oxides	Fast Screening-He8mm	0.35	0.58	0.0	0.0	0.0	0.0	He	0.15	0.0	0.11	0.0	0.0	0.0	0.11	0.0	0.062	0.0	0.0	0.0	0.0	0.0	22.8	48.7	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.035	0.047
V20Dr1	Deep	1.4	2.7	0.0	0.0	0.0	2.25	3.14	0.0	0.0	0.018	0.0	0.0	0.007	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.559	0.799	0.0	0.0	0.0	0.0	1.0	1.3	0.1	0.0	Oxides	Fast Screening-He8mm	0.44	0.72	0.032	0.041	0.0	0.0	He	0.0	0.0	0.081	0.0	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.9	44.7	0.16	0.19	0.029	0.034	0.15	0.0	0.039	0.0	0.0	0.0	0.012	0.017
V19Dr1	Deep	1.2	2.3	0.0	0.0	0.0	1.3	1.9	0.0	0.0	0.056	0.0	0.0	0.006	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.358	0.511	0.0	0.0	0.0	0.0	0.88	1.1	0.1	0.0	Oxides	Fast Screening-He8mm	0.34	0.0	0.0	0.0	0.0	0.0	He	0.44	0.0	0.0	0.0	0.0	0.0	0.19	0.43	0.0	0.0	0.039	0.0	0.0	0.0	20.9	44.8	0.0	0.0	0.0	0.0	0.065	0.0	0.012	0.0	0.0	0.0	0.0	0.0
V17Dr1	Deep	1.3	2.4	0.0	0.0	0.0	1.4	1.9	0.0	0.0	0.087	0.0	0.0	0.023	0.033	0.0	0.0	0.0	8mm	0.0	0.0	0.423	0.605	0.0	0.0	0.0	0.0	0.7	0.84	0.0	0.0	Oxides	Fast Screening-He8mm	0.24	0.0	0.0	0.0	0.0	0.0	He	0.41	0.0	0.073	0.0	0.0	0.0	0.2	0.46	0.031	0.0	0.052	0.0	0.0	0.0	21.0	45.0	0.051	0.0	0.034	0.04	0.043	0.0	0.01	0.0	0.0	0.0	0.027	0.037
V16Dr1	Deep	1.5	2.8	0.0	0.0	0.0	1.8	2.5	0.24	0.0	0.007	0.0	0.0	0.015	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.467	0.668	0.0	0.0	0.0	0.0	1.0	1.2	0.16	0.0	Oxides	Fast Screening-He8mm	0.22	0.0	0.038	0.049	0.0	0.0	He	0.5	0.0	0.11	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.051	0.0	19.3	41.4	0.087	0.1	0.0	0.0	0.12	0.2	0.005	0.0	0.0	0.0	0.03	0.041
