run_accession	sample_accession	sample_title	library_name	library_strategy	library_source	library_selection	instrument_model	first_public	read_count	base_count
SRR27587575	SAMN39465993	7Sr3	7Sr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	153125	92181250
SRR27587577	SAMN39465991	7Dr1	7Dr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	103247	62154694
SRR27587584	SAMN39465922	15Sr2	15Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	35254	21222908
SRR27587586	SAMN39465983	5Sr2	5Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	43062	25923324
SRR27587587	SAMN39465982	5Dr2	5Dr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	132253	79616306
SRR27587588	SAMN39465981	59Dr3	59Dr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	106606	64176812
SRR27587595	SAMN39465949	31Sr3	31Sr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	111037	66844274
SRR27587596	SAMN39465948	30Sr2	30Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	75932	45711064
SRR27587600	SAMN39465918	11PRr1	11PRr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	76143	45838086
SRR27587601	SAMN39465944	29PRr3	29PRr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	93538	56309876
SRR27587603	SAMN39465942	28PRr1	28PRr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	154035	92729070
SRR27587605	SAMN39465940	26Sr1	26Sr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	188181	113284962
SRR27587608	SAMN39465937	23Sr3	23Sr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	100696	60618992
SRR27587611	SAMN39465917	Positive control – PCR (Zymo D6305)	+ Zymo	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	119602	72000404
SRR27587616	SAMN39465930	1Dr3	1Dr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	153957	92682114
SRR27587620	SAMN39465926	17Sr1	17Sr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	182887	110097974
SRR27587623	SAMN39465915	Negative control – sampling trip	- Ctrl 3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	82839	49869078
