Feature ID	Taxon	Unnamed Column 1
1542e91c99d9766e4afa866f20f227e2	Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;aureus	1
8b62d81910ab2ab8dbe245e2b87ad709	Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;yavapaiensis	0.62
6e7604ec6f61c2fee0d97a8d8b3d057d	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Bradyrhizobium;elkanii	1
f5c839ae5842b1b75a12b48b4b65206f	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus;NA	1
d3c34da804ec4759419b472f763f977e	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Daejeonella;NA	0.95
656f8cb6aded6fd2849a90208dc91434	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus;NA	0.89
42547ca7010371b03a9edffd57237898	Bacteria;Actinomycetota;Actinobacteria;Frankiales;NA;NA;NA	1
cda0a1e523ee447dd40258c136250d1c	Bacteria;Actinomycetota;MB-A2-108;NA;NA;NA;NA	0.99
9bf82d7577a19c8fbe07c8ccfc2d20dd	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;NA	0.92
b2c70ddd61a70df20079c49fb754baa8	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Oxalophagus;oxalicus	0.77
8752699302b39dfb9ba91605a532e75c	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Domibacillus;NA	1
4760df27423d68b516853b0e68c8d054	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Nibribacter;NA	0.95
ecba8338c9afb800fcbe2817ab6a7cb0	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	1
f70349d847e814a238aaebd0a6d4ddaf	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus;NA	0.88
408283c8e090f8523d39bf642799ea21	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;NA	0.79
8b466a0e806487c3228c850c9e31419c	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Ectobacillus;NA	0.98
c64144f1567d7e8cec2a8d1ae62b6410	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;NA	1
bfeb7090bda08577192459ce486eb03a	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;korlensis	0.6
bf097933f2e117f764c8ca515860de5b	Bacteria;Chloroflexota;Chloroflexia;Kallotenuales;AKIW781;NA;NA	0.95
728b49af6fd4ae896c184befaa891703	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA	0.96
8fb69da2f239324a95e64d3367a38347	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;NA	0.68
6476269107f28e86ea64f77d8c8a450a	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;NA	0.95
fb2bc09abb325bb20da0d4aa0c510d9e	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus;NA	0.85
582caa02f8bf644828d224fbd90dcde4	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;NA	0.77
f2979cb084ba768c520b3426eabeffbf	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;NA	1
57aefa5d0a0056772a9e3e71c4ddec1b	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;NA	1
2abf0309021a90e11e861a88f6be18d9	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;NA	0.77
8522a849d7cefb2824859f4d15568d88	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;NA	0.96
207bbb34c70a2bec1569e4b719321b36	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;NA	0.57
0f92ac3fe05cfe9075d19e14f2afe6d9	Bacteria;Actinomycetota;Actinobacteria;Frankiales;NA;NA;NA	0.74
1d4d82d25a713dceaeabe4e4d109e786	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;NA;NA	1
fb65616aaf1abf95159484e876e4d2fb	Bacteria;Bacillota;Symbiobacteriia;Symbiobacteriales;Symbiobacteraceae;NA;NA	0.98
0a17b04e8cfb59b0bb9a685c53b37bb6	Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Mitochondria;NA;NA	1
76d695caba109b3504d884a43e52d358	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;NA;NA	1
2c25be409712a28222c5c85d8b09dc56	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;NA;NA	1
875eee95124b46de36181259f41aee01	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;NA	1
3afde1387c783759ffaa38ad0a00e82b	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;NA;NA	1
f7ac87c3b252bbc0970dfdb15e566054	Bacteria;Actinomycetota;Actinobacteria;Frankiales;NA;NA;NA	1
ca0eccccca9bb3481bfcc0b5f0758baf	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	1
63b678c23b2c792d01c15155d75ad8d4	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus;NA	1
d9c2e74446b3a67005905c88c082589d	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingoaurantiacus;NA	1
5fbec3695e6799ad6b2f04457d4b01bd	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Cnuella;NA	0.86
be40720169214537b96e4a3dfa0dd5ea	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;NA;NA	0.64
aa3d908a17b7ec1768d08235893bf166	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Domibacillus;NA	0.9
7f7c25e6adc6a3262ec4c966ba9bf36b	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;NA;NA	1
a41410444f1279c19e5ce6a93d021f2a	Bacteria;Chloroflexota;Chloroflexia;NA;NA;NA;NA	0.52
bcea1ab09c0102c97e18c4adc47da0e9	Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;NA;NA;NA	1
5027dd3f1d0a7ba579f0137e6ee09cb0	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;NA;NA	1
bc6afd76d304f122200b3c398bcd654a	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Adhaeribacter;NA	1
ca41cf98a6126fb35009eb6d04143f38	Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;ludipueritiae	0.97
a800603d82f57d12486ae244e60e8830	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;NA	0.99
2a23b4b5192e345271ee50279111fc96	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;NA	0.99
5699ab7f85b0b363138e4283fc8c3766	Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;NA;NA;NA	1
e9f84b7f0dece576ab4356d2e34e6308	Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;maricopensis	1
82f86d5de89845f48418316fdcfba8c6	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;NA	0.85
cbef518b4b8b2d5fd1a9ca84634fa369	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;malthae	0.54
c2b11af20e52a37052e725a764135f93	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Adhaeribacter;NA	1
