sample	compartment	annotated_genome_fraction_of_coverm_total
F4Dr1	Deep	0.2606115642727509
F4PRr2	Rhizosphere	0.22536944849109783
F4Sr2	Surface	0.23470607274368616
F51PRr1	Rhizosphere	0.2455380886076249
F54PRr2	Rhizosphere	0.2480785203469952
F57PRr2	Rhizosphere	0.006184568115038569
F58PRr1	Rhizosphere	0.21740757245431164
F58Sr3	Surface	0.19113646145037266
F5PRr3	Rhizosphere	0.17789631500715627
F5Sr2	Surface	0.14256005338463762
F6Dr2	Deep	0.33849464626445563
F6PRr3	Rhizosphere	0.29792454143789754
F8PRr3	Rhizosphere	0.29138469686363827
F9PRr2	Rhizosphere	0.07015477029152224
T1Dr2	Deep	0.18059254762478055
T1PRr2	Rhizosphere	0.17020253950139985
T2Dr2	Deep	0.2007426228836519
T2PRr2	Rhizosphere	0.21955324957007583
T2Sr2	Surface	0.23058972810861295
T4PRr3	Rhizosphere	0.27281360893241563
T5Dr3	Deep	0.17260527573168524
T5PRr3	Rhizosphere	0.1548665103106287
T5Sr2	Surface	0.21177463883844164
T6Dr3	Deep	0.2804512187751866
T6PRr1	Rhizosphere	0.28410916287883947
T7Dr3	Deep	0.3825575276598928
T7PRr1	Rhizosphere	0.37691627866784655
T8Dr1	Deep	0.17460422281889149
T8PRr1	Rhizosphere	0.27324160977657935
