Site	Biome_Feature	Mastersheet_Time	XRF_Measurement_ID	XRF_Timestamp	Time_Discrepancy_min	Status
23	sand dune	10:56	5872	2025-10-13 09:56:54	-1	SHORT
23	sand dune	10:56	5873	2025-10-13 09:57:13	-1	SHORT
23	sand dune	10:56	5874	2025-10-13 09:57:40	-2	SHORT
23	sand dune	10:56	5875	2025-10-13 09:58:16	-2	COMPLETE
24	sand dune	11:39	5876	2025-10-13 10:41:43	-2	SHORT
24	sand dune	11:39	5877	2025-10-13 10:42:06	-3	COMPLETE
25	sand dune	11:55	5878	2025-10-13 10:56:17	-1	COMPLETE
26	sand dune	12:16	5879	2025-10-13 11:20:58	-5	ERROR
26	sand dune	12:16	5880	2025-10-13 11:22:01	-6	COMPLETE
27	sand dune	12:42	5881	2025-10-13 11:46:39	-4	COMPLETE
28	sand dune	13:08	5882	2025-10-13 12:13:02	-5	COMPLETE
29	sand dune	13:56	5883	2025-10-13 13:01:10	-5	SHORT
30	sand dune	14:13	5885	2025-10-13 13:18:12	-5	COMPLETE
31	sand dune	14:46	5886	2025-10-13 13:50:32	-4	SHORT
31	sand dune	14:46	5887	2025-10-13 13:51:07	-5	SHORT
31	sand dune	14:46	5888	2025-10-13 13:51:43	-5	COMPLETE
32	sand dune	15:38	5889	2025-10-13 14:42:36	-4	SHORT
32	sand dune	15:38	5890	2025-10-13 14:42:56	-4	COMPLETE
33	sand dune	16:10	5891	2025-10-13 15:10:42	0	SHORT
33	sand dune	16:10	5892	2025-10-13 15:11:19	-1	COMPLETE
34	sand dune	16:58	5893	2025-10-13 15:59:55	-2	COMPLETE
35	sand dune	06:58	5894	2025-10-14 06:02:00	-4	COMPLETE
36	sand dune	08:36	5895	2025-10-14 07:32:47	4	SHORT
36	sand dune	08:36	5896	2025-10-14 07:33:21	3	COMPLETE
36	sand dune	08:36	5897	2025-10-14 07:34:56	1	COMPLETE
37	sand dune	09:01	5898	2025-10-14 08:04:59	-4	COMPLETE
38	sand dune	09:13	5899	2025-10-14 08:15:01	-2	COMPLETE
39	sand dune	09:50	5900	2025-10-14 08:48:56	1	COMPLETE
39	sand dune	09:50	5901	2025-10-14 08:51:22	-1	COMPLETE
40	sand dune	10:40	5902	2025-10-14 09:39:18	1	COMPLETE
41	saline pan	11:04	5903	2025-10-14 10:07:28	-3	COMPLETE
42	sand dune	11:40	5904	2025-10-14 10:43:36	-3	COMPLETE
43	sand dune	12:07	5905	2025-10-14 11:07:55	-1	COMPLETE
44	sand dune	13:03	5906	2025-10-14 12:01:05	2	COMPLETE
45	sand dune	13:16	5907	2025-10-14 12:17:17	-1	COMPLETE
46	sand dune	14:02	5908	2025-10-14 13:03:51	-2	COMPLETE
47	sand dune	14:41	5909	2025-10-14 13:42:12	-1	COMPLETE
48	desert oasis	15:30	5910	2025-10-14 14:30:23	0	COMPLETE
48	desert oasis	15:30	5911	2025-10-14 14:33:10	-3	COMPLETE
49	sand dune	16:20	5912	2025-10-14 15:22:33	-2	COMPLETE
50	sand dune	17:00	5913	2025-10-14 16:00:52	-1	COMPLETE
51	saline pan	06:41	5914	2025-10-15 05:40:34	1	COMPLETE
52	saline pan	07:09	5915	2025-10-15 06:00:49	8	COMPLETE
52	saline pan	07:09	5916	2025-10-15 06:02:47	7	COMPLETE
52	saline pan	07:09	5917	2025-10-15 06:13:08	-4	COMPLETE
52	saline pan	07:09	5918	2025-10-15 06:18:58	-10	COMPLETE
52	saline pan	07:09	5919	2025-10-15 06:20:54	-11	COMPLETE
53	sand dune	07:59	5920	2025-10-15 06:59:11	0	COMPLETE
54	aeolian lake	09:14	5921	2025-10-15 08:11:01	3	COMPLETE
54	aeolian lake	09:14	5922	2025-10-15 08:12:35	2	COMPLETE
55	saline pan	09:59	5923	2025-10-15 08:59:07	0	ERROR
55	saline pan	09:59	5924	2025-10-15 08:59:30	0	SHORT
55	saline pan	09:59	5925	2025-10-15 09:00:05	-1	COMPLETE
56	saline pan	10:38	5926	2025-10-15 09:38:19	0	COMPLETE
56	saline pan	10:38	5927	2025-10-15 09:39:33	-1	COMPLETE
56	saline pan	10:38	5928	2025-10-15 09:45:14	-7	COMPLETE
57	sand dune	11:18	5929	2025-10-15 10:19:34	-1	ERROR
57	sand dune	11:18	5930	2025-10-15 10:20:09	-2	COMPLETE
57	sand dune	11:18	5931	2025-10-15 10:21:32	-3	COMPLETE
58	sand dune	11:41	5932	2025-10-15 10:43:13	-2	COMPLETE
59	desert oasis	11:59	5933	2025-10-15 10:58:55	0	COMPLETE
60	desert oasis	13:55	5934	2025-10-15 12:17:27	38	COMPLETE
