Trip	Site	Type	elemental_pc1	elemental_pc1_global_sensitivity	shannon	sequencing_depth	Latitude	Longitude	log_sequencing_depth
1	58	Rhizosphere	5.092709174355131	4.909703103316677	5.162432508762434	197756.0	20.66540111111111	54.59327444444445	12.194794283233486
1	58	Surface	3.7767080067739616	3.7988973707263844	4.311824922500376	17728.0	20.66540111111111	54.59327444444445	9.782956995898381
1	59	Rhizosphere	3.396925215479987	3.53736757558772	3.690052725539084	8737.0	20.65626	54.63586805555556	9.075436609511382
1	60	Deep	0.5220476199476075	0.9935646465954546	4.5929080842769565	414664.0	20.70637444444444	54.73210555555556	12.93522624431247
1	60	Surface	2.0022305708229506	2.3437632061415883	4.642253451079344	142260.0	20.70637444444444	54.73210555555556	11.86541867764562
2	1	Deep	0.6186596781690581	-0.21401851767452826	3.586140005587671	1485.0	19.14977055555556	45.166511388888885	7.303843225277705
2	1	Rhizosphere	3.5416857537385997	1.6864661427365044	6.279561440931878	470193.0	19.14977055555556	45.166511388888885	13.060900654479255
2	2	Deep	1.9448175195432302	0.9089057890757876	4.798986593452173	12566.0	19.203468333333333	45.2447675	9.438829609615144
2	2	Rhizosphere	2.8238800074229387	0.6950252575141851	5.052510760899326	665671.0	19.203468333333333	45.2447675	13.408552335715774
2	3	Deep	-1.452922433495124	-1.9494187286997573	4.859830363832357	6881.0	19.301079444444444	45.384414166666666	8.836664586357426
2	4	Rhizosphere	-2.7643272108621164	-2.1960588626825337	5.978007521513599	545420.0	19.379571666666667	45.55182694444444	13.209313252502756
2	4	Surface	1.220777086384052	0.4743267782096964	6.491502375118535	226775.0	19.379571666666667	45.55182694444444	12.331718025130572
2	5	Rhizosphere	-1.1888451888320222	-1.7885047768238094	6.624019206265058	301075.0	19.407155277777772	45.65950138888888	12.615118003554702
2	5	Surface	0.49459694823929135	-0.8415284104200486	6.519086541948259	3455581.0	19.407155277777772	45.65950138888888	15.05550145251708
2	6	Deep	-2.1133590072396466	-2.110084246660068	6.2886406558508	799951.0	19.405739166666667	45.8161425	13.592307004849992
2	6	Rhizosphere	-2.031471153292861	-2.094800412396461	3.843370734948529	23125.0	19.405739166666667	45.8161425	10.048712804688908
2	6	Surface	-2.0850549815857438	-1.9116649623796398	5.448867138823008	1406593.0	19.405739166666667	45.8161425	14.156681737241952
2	7	Deep	-3.0489820327411565	-2.6616525303640497	6.371353107083361	570327.0	19.407005277777778	45.95394361111112	13.253966912905922
2	7	Rhizosphere	-2.3527001995992016	-2.3846378857457933	5.968384563298536	611047.0	19.407005277777778	45.95394361111112	13.322930794806211
2	8	Deep	-1.088994931678552	-1.679054620875395	3.8013977938268697	13407.0	19.393154166666665	46.11073472222223	9.503606822721864
2	8	Rhizosphere	-0.49517520739531046	-1.2293731164188362	5.7681055511416695	626656.0	19.393154166666665	46.11073472222223	13.348154620487133
2	8	Surface	-3.090591838548074	-2.4952310232384898	6.444431474850381	603513.0	19.393154166666665	46.11073472222223	13.310524517262252
3	1	Deep	2.920050482320639	2.850573900591005	4.302084395762626	603215.0	19.14977055555556	45.166511388888885	13.310030620523035
3	1	Rhizosphere	-1.4419014310102227	-1.3281120442268437	4.863328238768217	204029.0	19.14977055555556	45.166511388888885	12.226022320837794
3	1	Surface	1.257127167111125	1.205734420835074	6.313653171722209	605747.0	19.14977055555556	45.166511388888885	13.314219336981205
3	5	Deep	2.188110286181914	2.1709323564354825	6.524356519446924	157739.0	19.407155277777772	45.65950138888888	11.968703386951981
3	5	Rhizosphere	-1.1560713048959896	-1.0712503267021505	5.871814693151994	70036.0	19.407155277777772	45.65950138888888	11.156778952815396
3	5	Surface	-0.09494825581772845	-0.050514857691992564	6.453892499663721	498116.0	19.407155277777772	45.65950138888888	13.118590268171802
3	6	Deep	-1.3946833446519162	-1.3240740771866777	6.7245079362160585	418339.0	19.405739166666667	45.8161425	12.94404977800791
3	6	Rhizosphere	-2.7854756497033515	-2.725187652784298	6.462891055021903	988366.0	19.405739166666667	45.8161425	13.80380936524663
3	6	Surface	-2.73884100357183	-2.5608736897417557	6.280062042198345	1848347.0	19.405739166666667	45.8161425	14.429802825143657
3	7	Deep	-1.6559305623605174	-1.5915857054652078	6.363314929289019	1125007.0	19.407005277777778	45.95394361111112	13.933300704706484
3	7	Rhizosphere	-2.2356130334337383	-2.105059934900974	6.094444575009071	1042632.0	19.407005277777778	45.95394361111112	13.85725980245537
3	7	Surface	-2.1505106111572365	-2.0579588078567275	6.155660645018407	1006933.0	19.407005277777778	45.95394361111112	13.822420628341261
3	8	Deep	-2.908015441501167	-2.717866947002039	5.723817576303721	2008125.0	19.393154166666665	46.11073472222223	14.512712506829105
3	8	Rhizosphere	-2.630183653704812	-2.49827936852901	6.8301871292534235	775524.0	19.393154166666665	46.11073472222223	13.561295498345402
3	8	Surface	-2.120595040182056	-2.005085015974097	6.2250269254229424	2054157.0	19.393154166666665	46.11073472222223	14.535376589589136
3	9	Deep	-2.8873877102141945	-2.738652603464489	5.816421430276473	1672614.0	19.411200277777777	46.30267361111111	14.329898827963007
3	9	Rhizosphere	-2.2688126492140466	-2.1886711377316477	4.049173163324666	495146.0	19.411200277777777	46.30267361111111	13.112609967161024
3	9	Surface	-2.3287024290097875	-2.1856202572429253	5.8271100790374115	1049141.0	19.411200277777777	46.30267361111111	13.863483245233352
3	10	Deep	-1.83282885167408	-1.6563548122221092	5.408203287094619	1683068.0	19.420469722222222	46.46079527777778	14.336129470550008
3	10	Rhizosphere	-1.723515219841396	-1.6712027719268001	5.098572324153641	468053.0	19.420469722222222	46.46079527777778	13.056338952858876
3	10	Surface	-1.4369094557312492	-1.3777795018808916	6.055372169785756	1348243.0	19.420469722222222	46.46079527777778	14.114313562976331
3	11	Deep	-0.7925893250864225	-0.690114270876356	6.499837269066266	1721214.0	19.44435222222222	46.6356325	14.358540994758712
3	11	Rhizosphere	-1.5246090209938967	-1.4329931534743194	6.1531368995823135	1226143.0	19.44435222222222	46.6356325	14.019384843719642
3	11	Surface	-3.0574460691916387	-2.9861947639921653	5.33132292335662	2426741.0	19.44435222222222	46.6356325	14.70206017497895
3	12	Deep	-1.9403182338263703	-1.797780030075157	7.2860887072277984	741812.0	19.47793361111111	46.83437333333334	13.516852468823405
3	12	Rhizosphere	-0.8715481373935133	-0.8446862298489626	5.513040103614048	449497.0	19.47793361111111	46.83437333333334	13.015886683495705
3	12	Surface	-1.1191846290536878	-1.0987646942559328	6.406766553503664	744382.0	19.47793361111111	46.83437333333334	13.52031096630515
3	13	Deep	-1.5464853363118023	-1.417905670828846	6.430144630768304	1353486.0	19.52934611111111	47.05328444444445	14.118194783261885
3	13	Rhizosphere	-1.4258578318795356	-1.3615838931351056	5.869012596171579	452788.0	19.52934611111111	47.05328444444445	13.023181512289804
3	13	Surface	-1.6709083249440282	-1.5989261628255744	6.156717871670349	1878326.0	19.52934611111111	47.05328444444445	14.445892044998724
3	14	Deep	0.8106162388352324	0.753901131317364	6.056716872993536	1822184.0	19.581338055555555	47.2920225	14.415546888420309
3	14	Rhizosphere	-1.4121190423856298	-1.3311552670005002	4.979542142522668	275001.0	19.581338055555555	47.2920225	12.524533649349534
3	14	Surface	-0.27062539294195287	-0.2625686141755419	6.082171619244762	723788.0	19.581338055555555	47.2920225	13.492255192427907
3	15	Deep	-2.217122431740738	-2.058837430753372	6.069282548949194	470507.0	19.613749722222224	47.47587194444445	13.061568241051116
3	15	Rhizosphere	-1.1666304377709864	-1.1591477996784563	5.326190012227268	281921.0	19.613749722222224	47.47587194444445	12.549385715915912
3	15	Surface	-0.8129601017968902	-0.7820275687637243	5.775000568539848	425352.0	19.613749722222224	47.47587194444445	12.960674691394322
3	16	Deep	-0.8489044919491151	-0.7307916262603696	6.1690521588675375	793674.0	19.64445583333333	47.62611861111111	13.584429336535772
3	16	Rhizosphere	-1.5468685667186812	-1.5095354563812293	6.391670394775683	692411.0	19.64445583333333	47.62611861111111	13.44793643315654
3	16	Surface	-1.6060570005064063	-1.5055796043046277	6.73851088359611	804048.0	19.64445583333333	47.62611861111111	13.597415491577648
3	17	Deep	-1.5284315526556684	-1.3988657928484138	6.4139396749164135	1884065.0	19.67646	47.82730555555556	14.448942765351978
3	17	Rhizosphere	-1.9315938654709615	-1.9170652381588722	5.9746241579742465	513526.0	19.67646	47.82730555555556	13.149057887299515
3	17	Surface	2.0211430982423786	1.628891188875625	6.816769420078745	1802039.0	19.67646	47.82730555555556	14.404429914462327
3	18	Deep	-0.8428031289316049	-0.8059200291532875	6.546326608121955	1640559.0	19.732518055555555	48.046860555555554	14.31054820492965
3	18	Rhizosphere	-1.8288967879280063	-1.787155866127451	2.841928847259298	1792310.0	19.732518055555555	48.046860555555554	14.399016406566252
3	18	Surface	0.28979654935108934	0.276367820463078	6.168671042660108	2613887.0	19.732518055555555	48.046860555555554	14.776349326035678
3	19	Deep	-2.166950117047305	-2.0100969916695828	6.291810049906857	2530632.0	19.81231916666667	48.24049472222222	14.743980027037955
3	19	Rhizosphere	-0.9872323520909246	-0.9725735093357839	5.162279610659627	523706.0	19.81231916666667	48.24049472222222	13.168687646609412
3	19	Surface	-1.1934623537513107	-1.106730691856871	6.212461266560342	1857672.0	19.81231916666667	48.24049472222222	14.434835187172567
3	20	Deep	0.04973378489654542	0.07860372706405604	6.564528507169243	1716320.0	19.869310833333333	48.42464444444444	14.355693604473018
3	20	Rhizosphere	-2.193072571434189	-2.053457591510492	6.52053072392006	1563942.0	19.869310833333333	48.42464444444444	14.26272075441047
