Taxon String	Rank	Name	Mapped ID	Is RAK	Is Inherited
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;NA	Genus	Halococcus	RAK_CTX_213f83dc72746744fadb8e70	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;NA	Species	NA	RAK_CTX_6ef0e00c93bf3dccdfd0268b	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;hamelinensis	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;hamelinensis	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;hamelinensis	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;hamelinensis	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;hamelinensis	Family	Halococcaceae	RAK_CTX_66d021b161fc07e440a3cfcb	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;hamelinensis	Genus	Halococcus	RAK_CTX_213f83dc72746744fadb8e70	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;hamelinensis	Species	hamelinensis	RAK_CTX_24c5d2c597596600ae6abb14	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;saccharolyticus	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;saccharolyticus	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;saccharolyticus	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;saccharolyticus	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;saccharolyticus	Family	Halococcaceae	RAK_CTX_66d021b161fc07e440a3cfcb	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;saccharolyticus	Genus	Halococcus	RAK_CTX_213f83dc72746744fadb8e70	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;saccharolyticus	Species	saccharolyticus	RAK_CTX_08cff3a2661aa8f92e833775	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;salifodinae	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;salifodinae	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;salifodinae	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;salifodinae	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;salifodinae	Family	Halococcaceae	RAK_CTX_66d021b161fc07e440a3cfcb	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;salifodinae	Genus	Halococcus	RAK_CTX_213f83dc72746744fadb8e70	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;salifodinae	Species	salifodinae	RAK_CTX_2465517d3531088a674c1dd8	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;NA	Family	Halococcaceae	RAK_CTX_66d021b161fc07e440a3cfcb	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;NA	Genus	Halostella	RAK_CTX_c5e20050149763afaaacf57f	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;NA	Species	NA	RAK_CTX_20ce46388d9bbb2dacc1d930	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;salina	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;salina	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;salina	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;salina	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;salina	Family	Halococcaceae	RAK_CTX_66d021b161fc07e440a3cfcb	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;salina	Genus	Halostella	RAK_CTX_c5e20050149763afaaacf57f	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halostella;salina	Species	salina	RAK_CTX_4fff6dfb3f398104a40585ac	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;A07HB70;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;A07HB70;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;A07HB70;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;A07HB70;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;A07HB70;NA	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;A07HB70;NA	Genus	A07HB70	RAK_CTX_4e8d4712178d01a4c766465d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;A07HB70;NA	Species	NA	RAK_CTX_9b0e073cfcdfb910eed29dab	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloarchaeobius;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloarchaeobius;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloarchaeobius;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloarchaeobius;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloarchaeobius;NA	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloarchaeobius;NA	Genus	Haloarchaeobius	RAK_CTX_2e7f3dcfa11f7943719a074b	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Haloarchaeobius;NA	Species	NA	RAK_CTX_b30f6acc7cf07b11824c108b	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;NA	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;NA	Genus	Halobaculum	RAK_CTX_b7c3f8f4a44e2a11a6f58534	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;NA	Species	NA	RAK_CTX_1f3d45389eaa18708fb76141	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;magnesiiphilum	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;magnesiiphilum	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;magnesiiphilum	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;magnesiiphilum	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;magnesiiphilum	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;magnesiiphilum	Genus	Halobaculum	RAK_CTX_b7c3f8f4a44e2a11a6f58534	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;magnesiiphilum	Species	magnesiiphilum	RAK_CTX_7ac1df9660dcb18fd14b9a47	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;roseum	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;roseum	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;roseum	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;roseum	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;roseum	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;roseum	Genus	Halobaculum	RAK_CTX_b7c3f8f4a44e2a11a6f58534	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobaculum;roseum	Species	roseum	RAK_CTX_b18cd6ffabcff70ca4e2f70b	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;NA	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;NA	Genus	Halobellus	RAK_CTX_a7259fcdcd3ed51dd4222c40	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobellus;NA	Species	NA	RAK_CTX_98b489561943f16c90e9a324	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma;NA	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma;NA	Genus	Halobiforma	RAK_CTX_6c90c20f428add91ea4a0f52	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halobiforma;NA	Species	NA	RAK_CTX_18952fa4bdd8bd419859e75a	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halogranum;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halogranum;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halogranum;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halogranum;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halogranum;NA	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halogranum;NA	Genus	Halogranum	RAK_CTX_b557d7a7072faf09562a562c	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halogranum;NA	Species	NA	RAK_CTX_310f78306eb47e8b3581f713	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;NA	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;NA	Genus	Halolamina	RAK_CTX_340757715d7238a3f825e733	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;NA	Species	NA	RAK_CTX_4039f7a066dc6ff5f3874d15	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;pelagica	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;pelagica	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;pelagica	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;pelagica	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;pelagica	Family	Haloferacaceae	RAK_CTX_6d4ade93feff575f950da3a3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;pelagica	Genus	Halolamina	RAK_CTX_340757715d7238a3f825e733	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloferacaceae;Halolamina;pelagica	Species	pelagica	RAK_CTX_4e4b873695b97d25d057c906	True	False
