genus	prevalence_surface	prevalence_deep	prevalence_rhizosphere	mean_relative_abundance	passes_common_prevalence	abundance_rank_among_eligible	selected_primary	selected_sensitivity_pool
Actinobacillus	0.01764705882	0.03529411765	0.01764705882	1.792258421e-06	false		false	false
Actinocatenispora	0	0.01176470588	0.01176470588	1.025745306e-06	false		false	false
Actinocorallia	0.2235294118	0.2588235294	0.2823529412	0.0001162758587	true	293	false	false
Actinokineospora	0.3352941176	0.2941176471	0.3823529412	0.0004626487448	true	191	false	false
Actinomadura	0.8588235294	0.8294117647	0.8	0.004366923233	true	47	true	true
Actinomyces	0.2058823529	0.2058823529	0.06470588235	3.72880875e-05	false		false	false
Actinomycetospora	0.3588235294	0.3058823529	0.2411764706	7.609046939e-05	true	310	false	false
Actinophytocola	0.7882352941	0.6941176471	0.7	0.001261383153	true	102	false	false
Actinoplanes	0.6529411765	0.5411764706	0.4882352941	0.0006931311347	true	154	false	false
Actinopolymorpha	0.3176470588	0.3294117647	0.1823529412	4.475148224e-05	false		false	false
Actinopolyspora	0.1647058824	0.1588235294	0.2235294118	4.01108702e-05	false		false	false
Actinorectispora	0	0	0	0	false		false	false
Actinosynnema	0.3411764706	0.2588235294	0.2588235294	0.000359053085	true	215	false	false
Actinotalea	0.6470588235	0.5647058824	0.5117647059	0.0003002331307	true	232	false	false
Acutalibacter	0	0	0	0	false		false	false
Acuticoccus	0.2705882353	0.2411764706	0.4764705882	0.0001491608487	true	279	false	false
Adhaeribacter	0.9411764706	0.8941176471	0.9470588235	0.01219280742	true	23	true	true
Adlercreutzia	0	0	0.005882352941	2.944018921e-09	false		false	false
Aequorivita	0	0	0	0	false		false	false
Aeribacillus	0.01764705882	0.02352941176	0.005882352941	2.387984258e-06	false		false	false
Aerococcus	0.02352941176	0.005882352941	0	3.820349724e-06	false		false	false
Aeromicrobium	0.7294117647	0.6647058824	0.6470588235	0.0008098425216	true	139	false	false
Aeromonas	0.1411764706	0.1411764706	0.1176470588	0.002974513217	false		false	false
Aestuariibacter	0	0	0.005882352941	1.365389568e-06	false		false	false
Aestuariimicrobium	0	0	0.01176470588	1.798442595e-07	false		false	false
Aetherobacter	0.3764705882	0.3235294118	0.1882352941	5.734631991e-05	false		false	false
Afifella	0.05882352941	0.06470588235	0.03529411765	1.05753951e-05	false		false	false
Afipia	0.005882352941	0.005882352941	0.005882352941	2.667914524e-07	false		false	false
Agaricicola	0.1411764706	0.1352941176	0.2352941176	2.990860855e-05	false		false	false
Agathobacter	0.005882352941	0	0	4.643285154e-08	false		false	false
Aggregatibacter	0.02352941176	0.01764705882	0.005882352941	6.793171083e-07	false		false	false
Aggregatilinea	0.005882352941	0	0.005882352941	1.626090663e-06	false		false	false
Aggregicoccus	0.02941176471	0.04705882353	0.1117647059	1.561197304e-05	false		false	false
Agrobacterium	0.04705882353	0.02352941176	0.05882352941	1.505140864e-05	false		false	false
Agrococcus	0.03529411765	0.01176470588	0.04117647059	3.768448865e-06	false		false	false
Agromyces	0.2941176471	0.3176470588	0.3941176471	0.0001654819619	true	271	false	false
Ahniella	0.06470588235	0.08235294118	0.05294117647	1.424022427e-05	false		false	false
Aidingibacillus	0.04117647059	0.01764705882	0.03529411765	1.758617173e-05	false		false	false
Aidingimonas	0.06470588235	0.04705882353	0.03529411765	1.76947854e-05	false		false	false
Akkermansia	0.02352941176	0.005882352941	0.01176470588	4.860527154e-07	false		false	false
Albibacterium	0.005882352941	0.01176470588	0.01764705882	1.060843916e-06	false		false	false
Alcaligenes	0.05882352941	0.07058823529	0.01764705882	0.0004307982892	false		false	false
Alcanivorax	0.02941176471	0.03529411765	0.07647058824	5.398072414e-05	false		false	false
Algiphilus	0.08235294118	0.1411764706	0.04705882353	4.223524263e-05	false		false	false
Algisphaera	0	0	0.005882352941	2.828245341e-09	false		false	false
Algoriphagus	0.1176470588	0.08235294118	0.08235294118	0.0002133486461	false		false	false
Alicyclobacillus	0.02941176471	0.05882352941	0.06470588235	4.71643361e-05	false		false	false
Aliibacillus	0.01764705882	0.005882352941	0	3.699353113e-07	false		false	false
Aliidiomarina	0.005882352941	0	0.01176470588	1.46179646e-05	false		false	false
Aliifodinibius	0.05294117647	0.04117647059	0.08823529412	0.000249753961	false		false	false
Aliihoeflea	0.04705882353	0.02941176471	0.1705882353	5.717377058e-05	false		false	false
Alishewanella	0	0	0.01176470588	1.786263632e-05	false		false	false
Alistipes	0.02352941176	0.005882352941	0.06470588235	6.525706116e-06	false		false	false
Aliterella	0.1411764706	0.05882352941	0.04705882353	6.618713253e-05	false		false	false
Alkalibacillus	0.005882352941	0	0.005882352941	2.031776107e-06	false		false	false
Alkalibacter	0	0.005882352941	0	2.375800756e-07	false		false	false
Alkalibacterium	0.01764705882	0.01176470588	0.02941176471	3.460661744e-06	false		false	false
Alkalicoccus	0.005882352941	0	0.005882352941	1.688232003e-06	false		false	false
Alkalihalobacillus	0.1176470588	0.1	0.1352941176	0.0005237663369	false		false	false
Alkalihalobacterium	0	0	0	0	false		false	false
Alkalihalophilus	0.01176470588	0.01176470588	0.01764705882	5.674412797e-06	false		false	false
Alkaliphilus	0.1117647059	0.1058823529	0.1352941176	1.806860434e-05	false		false	false
Alkalispirillum	0	0	0	0	false		false	false
Alkanindiges	0.005882352941	0.01764705882	0.01764705882	4.605356115e-06	false		false	false
Allobacillus	0.01764705882	0.01764705882	0.05882352941	1.083586174e-05	false		false	false
Allohahella	0.6176470588	0.5176470588	0.4941176471	0.0004209874428	true	202	false	false
Allokutzneria	0	0.005882352941	0.01176470588	7.18965148e-07	false		false	false
Allomeiothermus	0	0	0	0	false		false	false
Allonocardiopsis	0.1058823529	0.08823529412	0.07647058824	2.401546001e-05	false		false	false
Alloprevotella	0.005882352941	0	0.005882352941	2.158140487e-07	false		false	false
Allorhizobium	0	0	0.005882352941	4.765592504e-08	false		false	false
Allorhizocola	0.6	0.6176470588	0.4764705882	0.00051118045	true	180	false	false
Allosalinactinospora	0.01764705882	0.005882352941	0.08235294118	2.814759583e-06	false		false	false
Allosphingosinicella	0.01176470588	0.02352941176	0.04117647059	4.164299154e-07	false		false	false
Alteraurantiacibacter	0	0.005882352941	0	3.885186447e-09	false		false	false
Altererythrobacter	0.02352941176	0.04117647059	0.07647058824	1.040558074e-05	false		false	false
Alteribacillus	0.06470588235	0.06470588235	0.1176470588	3.996341127e-05	false		false	false
Alteribacter	0.005882352941	0.01176470588	0.04117647059	2.999797278e-06	false		false	false
Altericroceibacterium	0.2882352941	0.2176470588	0.3764705882	0.0004100584589	true	206	false	false
Alteriqipengyuania	0.02941176471	0.02352941176	0.01176470588	2.566807133e-06	false		false	false
Alterococcus	0.08823529412	0.07058823529	0.1529411765	2.10554262e-05	false		false	false
Alteromonas	0	0.01176470588	0	1.660938053e-08	false		false	false
Amaricoccus	0.05294117647	0.04117647059	0.07058823529	2.035116173e-05	false		false	false
Aminicenans	0.005882352941	0	0	5.910911086e-08	false		false	false
Aminiphilus	0.01176470588	0.005882352941	0	1.954556282e-07	false		false	false
Aminipila	0	0	0.01176470588	4.56106616e-09	false		false	false
Aminobacter	0.1294117647	0.08823529412	0.2470588235	3.158285221e-05	false		false	false
Ammoniibacillus	0.01176470588	0.02352941176	0.01176470588	1.791822218e-06	false		false	false
Ammoniphilus	0.9705882353	0.9588235294	0.9823529412	0.01613747117	true	15	true	true
Amnibacterium	0	0.005882352941	0	6.731844384e-08	false		false	false
Amphibacillus	0.02941176471	0	0.01176470588	1.966050245e-06	false		false	false
Amphiplicatus	0.09411764706	0.09411764706	0.1	4.995594324e-05	false		false	false
Amycolatopsis	0.4823529412	0.5	0.6176470588	0.000571226395	true	169	false	false
Anaerobacillus	0.1470588235	0.1470588235	0.1352941176	0.0001830166462	false		false	false
Anaerobacterium	0.01176470588	0	0.02941176471	1.874018014e-07	false		false	false
Anaerobutyricum	0	0	0	0	false		false	false
Anaerococcus	0.03529411765	0.01764705882	0.01764705882	1.057124909e-06	false		false	false
Anaerocolumna	0.1823529412	0.2235294118	0.2058823529	4.443931094e-05	false		false	false
Anaerolinea	0	0	0	0	false		false	false
Anaeromicropila	0.005882352941	0	0	1.165534874e-08	false		false	false
Anaeromyxobacter	0.8529411765	0.8470588235	0.8352941176	0.0007512779303	true	148	false	false
Anaeroplasma	0	0	0	0	false		false	false
Anaerosolibacter	0.02941176471	0.02941176471	0.02352941176	1.026822557e-05	false		false	false
Anaerospora	0	0	0.005882352941	2.828245341e-09	false		false	false
Anaerotaenia	0	0	0	0	false		false	false
Anaerotignum	0	0	0.005882352941	1.078330555e-06	false		false	false
Anaerovorax	0.005882352941	0	0.005882352941	1.43698277e-07	false		false	false
Ancylobacter	0	0	0	0	false		false	false
Aneurinibacillus	0.01764705882	0.005882352941	0.02352941176	8.194498333e-07	false		false	false
Anoxybacillus	0.05882352941	0.06470588235	0.03529411765	8.928768827e-05	false		false	false
Anoxybacter	0.005882352941	0.005882352941	0.01176470588	7.078494683e-07	false		false	false
Anseongella	0.2	0.1529411765	0.3176470588	0.0001219510113	false		false	false
Antarcticibacterium	0.03529411765	0.005882352941	0.02352941176	4.301938278e-06	false		false	false
Antribacter	0	0	0	0	false		false	false
Apibacter	0.01176470588	0.005882352941	0.06470588235	3.926689227e-06	false		false	false
Apilactobacillus	0.005882352941	0.005882352941	0	3.474057737e-06	false		false	false
AqS1	0	0	0	0	false		false	false
Aquabacter	0	0	0	0	false		false	false
Aquabacterium	0.2176470588	0.2176470588	0.1882352941	0.0001373524922	false		false	false
Aquamicrobium	0.005882352941	0.01176470588	0.01176470588	7.101414801e-06	false		false	false
Aquibacillus	0.2117647059	0.1647058824	0.2294117647	0.002190855964	false		false	false
Aquicella	0.07058823529	0.1117647059	0.1235294118	1.016346371e-05	false		false	false
Aquihabitans	0.5352941176	0.6294117647	0.6	0.0002760590438	true	235	false	false
Aquincola	0.005882352941	0.01176470588	0.005882352941	4.289404264e-08	false		false	false
Aquisalibacillus	0.01764705882	0.005882352941	0.02352941176	4.781092563e-06	false		false	false
Aquisalimonas	0	0.005882352941	0.02352941176	1.253164977e-05	false		false	false
Aquisalinus	0.01764705882	0	0.02941176471	1.179264317e-06	false		false	false
Aquisphaera	0.01176470588	0.005882352941	0.01176470588	1.059383796e-06	false		false	false
Arboricoccus	0.02941176471	0.02352941176	0.03529411765	6.198891374e-05	false		false	false
Archangium	0.8941176471	0.8647058824	0.8764705882	0.004812040878	true	43	true	true
Arcobacter	0.03529411765	0.02941176471	0.005882352941	1.554560582e-05	false		false	false
Arcticibacter	0.8235294118	0.7	0.8941176471	0.001592687738	true	87	false	true
Ardenticatena	0.2	0.1647058824	0.1764705882	0.0002129504141	false		false	false
Arenimicrobium	0.3823529412	0.4117647059	0.3058823529	0.001577609404	true	88	false	true
Arenimonas	0.02352941176	0.01764705882	0.04117647059	2.390267773e-05	false		false	false
Arhodomonas	0.005882352941	0.005882352941	0.005882352941	6.253395001e-08	false		false	false
Aridibacter	0.7	0.6941176471	0.5882352941	0.001114792596	true	114	false	false
Armatimonas	0.1705882353	0.1529411765	0.08823529412	6.078078639e-06	false		false	false
Aromatoleum	0.005882352941	0.005882352941	0.01176470588	6.820454799e-07	false		false	false
Arsenicitalea	0.6176470588	0.6470588235	0.7470588235	0.0007296639364	true	149	false	false
Arthrobacter	0.9117647059	0.8529411765	0.9470588235	0.007656907503	true	31	true	true
Asaccharospora	0	0	0.005882352941	3.559780968e-09	false		false	false
Asanoa	0.3235294118	0.3117647059	0.2117647059	0.0001627375994	true	273	false	false
Ascidiimonas	0	0	0	0	false		false	false
Asinibacterium	0.01764705882	0.01764705882	0.05294117647	5.613686101e-06	false		false	false
Asticcacaulis	0.1823529412	0.1411764706	0.3529411765	4.770213824e-05	false		false	false
Atopococcus	0.07058823529	0.04705882353	0.02352941176	6.536766203e-06	false		false	false
Atopostipes	0.04705882353	0.01176470588	0.02352941176	1.318984023e-06	false		false	false
Aurantiacibacter	0	0.005882352941	0	4.844908084e-08	false		false	false
Aurantimicrobium	0	0	0	0	false		false	false
Aurantimonas	0	0	0.005882352941	3.05229726e-07	false		false	false
Aureibacillus	0.6117647059	0.7	0.5705882353	0.000781234995	true	143	false	false
Aureimonas	0.1647058824	0.1176470588	0.1882352941	5.734534585e-05	false		false	false
Auricoccus-Abyssicoccus	0	0	0.01176470588	2.466240406e-07	false		false	false
Azoarcus	0.07058823529	0.05882352941	0.03529411765	1.811584198e-05	false		false	false
Azohydromonas	0.7117647059	0.7411764706	0.6882352941	0.0007599252264	true	146	false	false
Azomonas	0	0	0	0	false		false	false
Azonexus	0.01176470588	0.01764705882	0	2.22332516e-07	false		false	false
Azorhizobium	0.01176470588	0	0.01176470588	1.075401103e-06	false		false	false
Azospirillum	0.8941176471	0.8352941176	0.9588235294	0.002780362164	true	60	true	true
Azotobacter	0.02352941176	0.02352941176	0.03529411765	1.864207781e-05	false		false	false
B2706-C7	0.01764705882	0.005882352941	0.005882352941	0.0001103885189	false		false	false
BCf9-17 termite group	0.005882352941	0	0.02941176471	1.082713246e-06	false		false	false
BD1-7 clade	0.01176470588	0.02941176471	0.01176470588	1.488396182e-06	false		false	false
BIyi10	0.1764705882	0.3176470588	0.2882352941	5.95912084e-05	false		false	false
BRH-c57	0.1882352941	0.1470588235	0.2941176471	0.0001453154426	false		false	false
Bacillus	0.9705882353	0.9647058824	0.9941176471	0.03725561521	true	4	true	true
Bacteriovorax	0	0.005882352941	0.005882352941	4.679555339e-08	false		false	false
Bacteroides	0	0.01176470588	0.04705882353	1.456274258e-06	false		false	false
Baekduia	0.8588235294	0.8705882353	0.7941176471	0.001299294037	true	101	false	false
Baia	0.005882352941	0.02352941176	0.02352941176	3.264760263e-06	false		false	false
Bailinhaonella	0	0.01764705882	0.02941176471	1.645196716e-06	false		false	false
Balneola	0	0	0	0	false		false	false
Barrientosiimonas	0	0	0	0	false		false	false
Bauldia	0.5588235294	0.6176470588	0.5235294118	0.0005203173678	true	177	false	false
Bdellovibrio	0.07058823529	0.08235294118	0.1647058824	1.366373931e-05	false		false	false
Belliella	0	0	0	0	false		false	false
Belnapia	0.4235294118	0.2705882353	0.2470588235	7.746864131e-05	true	309	false	false
Bergeyella	0.01764705882	0.005882352941	0.005882352941	2.885650939e-07	false		false	false
Berryella	0	0	0.005882352941	7.79516064e-09	false		false	false
Beutenbergia	0.01764705882	0	0.005882352941	0.0001189061036	false		false	false
Bhargavaea	0.06470588235	0.03529411765	0.04117647059	3.15946291e-06	false		false	false
Bifidobacterium	0.04705882353	0.05294117647	0.04117647059	0.0001467644393	false		false	false
Bilophila	0	0	0	0	false		false	false
Blastocatella	0.7117647059	0.6941176471	0.5882352941	0.001180840767	true	106	false	false
Blastochloris	0.01176470588	0.03529411765	0.03529411765	1.06708931e-06	false		false	false
Blastococcus	0.9411764706	0.8941176471	0.8176470588	0.006975874002	true	33	true	true
Blastomonas	0	0	0.005882352941	1.335288084e-07	false		false	false
Blastopirellula	0.1823529412	0.1823529412	0.3470588235	0.0003843368473	false		false	false
Blautia	0.02941176471	0.005882352941	0.005882352941	2.203695074e-07	false		false	false
Blvii28 wastewater-sludge group	0.08235294118	0.08235294118	0.03529411765	2.047485997e-05	false		false	false
Bogoriella	0.01176470588	0	0.01176470588	7.379776958e-07	false		false	false
Bordetella	0.3411764706	0.2823529412	0.5	0.0002876083388	true	233	false	false
Borrelia	0.01176470588	0.01176470588	0.02352941176	2.508524678e-06	false		false	false
Bosea	0.2	0.2294117647	0.4235294118	6.221006429e-05	true	322	false	false
Bounagaea	0.01176470588	0.01176470588	0.05882352941	9.661610123e-06	false		false	false
Bowmanella	0.005882352941	0.005882352941	0.005882352941	5.576447392e-06	false		false	false
Brachybacterium	0.4117647059	0.2176470588	0.3470588235	0.0002107678536	true	253	false	false
Brachymonas	0	0	0	0	false		false	false
Bradymonas	0.07647058824	0.07647058824	0.1117647059	0.0003622310745	false		false	false
Bradyrhizobium	0.8235294118	0.8529411765	0.5058823529	0.01179902546	true	24	true	true
Branchiibius	0	0	0.005882352941	9.538428938e-09	false		false	false
Brassicibacter	0.01176470588	0.01176470588	0.02352941176	9.103471576e-06	false		false	false
Bremerella	0.1529411765	0.1823529412	0.1470588235	3.766434706e-05	false		false	false
Brevibacillus	0.7882352941	0.7882352941	0.6588235294	0.00142203379	true	93	false	true
Brevibacterium	0.1529411765	0.1823529412	0.2882352941	0.0001444714176	false		false	false
Brevifollis	0	0.005882352941	0	2.743709722e-08	false		false	false
Brevitalea	0.2941176471	0.2941176471	0.2176470588	0.0003195427974	true	228	false	false
Brevundimonas	0.7941176471	0.6411764706	0.8705882353	0.0009961176274	true	123	false	false
Breznakia	0	0	0.005882352941	2.754290093e-07	false		false	false
Brucella	0.4352941176	0.3705882353	0.4176470588	0.00251565291	true	65	true	true
Brumimicrobium	0.005882352941	0.01176470588	0.005882352941	9.857152498e-06	false		false	false
Bryobacter	0.8411764706	0.8235294118	0.8176470588	0.001979113497	true	76	true	true
Bryocella	0	0.005882352941	0	8.182114834e-08	false		false	false
Burkholderia-Caballeronia-Paraburkholderia	0.02941176471	0.04117647059	0.04117647059	5.775306905e-06	false		false	false
Butyratibacter	0.1	0.03529411765	0.1411764706	7.433050947e-05	false		false	false
Byssovorax	0	0.005882352941	0.005882352941	6.184961235e-09	false		false	false
Bythopirellula	0.005882352941	0.02941176471	0.03529411765	2.198331433e-06	false		false	false
C1-B045	0.02352941176	0.005882352941	0.02352941176	5.362727024e-05	false		false	false
CENA518	0	0	0	0	false		false	false
CHKCI001	0	0	0.02941176471	3.663725024e-07	false		false	false
CK06-06-Mud-MAS4B-21	0	0.005882352941	0.005882352941	2.279114486e-07	false		false	false
CL500-29 marine group	0.6411764706	0.6588235294	0.5705882353	0.0002782921044	true	234	false	false
CM1G08	0	0.005882352941	0.01176470588	1.454840048e-06	false		false	false
CSP1-2	0.8294117647	0.8	0.7764705882	0.005823728903	true	37	true	true
Caedibacter	0.02352941176	0.03529411765	0.09411764706	1.255667485e-06	false		false	false
Caenimonas	0.7941176471	0.7411764706	0.7058823529	0.001147547474	true	111	false	false
Caenispirillum	0.01764705882	0.005882352941	0.01764705882	9.717205385e-06	false		false	false
Caldalkalibacillus	0.01176470588	0.01764705882	0.01764705882	7.291261499e-05	false		false	false
Caldanaerobius	0	0	0	0	false		false	false
Caldibacillus	0.01176470588	0.03529411765	0	0.0004056760955	false		false	false
Caldicoprobacter	0	0.005882352941	0.005882352941	1.634479929e-08	false		false	false
Caldilinea	0.7764705882	0.8058823529	0.6588235294	0.0007994882799	true	141	false	false
Caldimonas	0.4705882353	0.3941176471	0.4764705882	0.0001227852222	true	290	false	false
Caldinitratiruptor	0.5470588235	0.5823529412	0.3411764706	0.0002092636452	true	256	false	false
Caldovatus	0.3764705882	0.3352941176	0.2470588235	0.0001073779134	true	299	false	false
Caloramator	0	0.005882352941	0	3.158954816e-08	false		false	false
Calorithrix	0.005882352941	0.005882352941	0.01176470588	0.0001494012191	false		false	false
Caminicella	0	0	0	0	false		false	false
Campylobacter	0	0	0.005882352941	4.49187426e-08	false		false	false
Candidatus Actinomarina	0	0	0	0	false		false	false
Candidatus Allobeggiatoa	0	0.04705882353	0.02352941176	8.501862232e-07	false		false	false
Candidatus Alysiosphaera	0.8176470588	0.8294117647	0.8411764706	0.0006715463073	true	157	false	false
Candidatus Amoebophilus	0.02352941176	0.04705882353	0.03529411765	3.531444633e-06	false		false	false
Candidatus Anadelfobacter	0.01176470588	0.01764705882	0.01176470588	3.299835055e-07	false		false	false
Candidatus Anammoximicrobium	0.01176470588	0.01176470588	0.02941176471	2.127044209e-07	false		false	false
Candidatus Ancillula	0.1294117647	0.1294117647	0.3176470588	0.0003754245567	false		false	false
Candidatus Armantifilum	0	0	0.005882352941	5.430628579e-07	false		false	false
Candidatus Babela	0	0	0.01176470588	7.358958977e-09	false		false	false
Candidatus Bealeia	0.1235294118	0.1117647059	0.2411764706	1.165049347e-05	false		false	false
Candidatus Berkiella	0.1058823529	0.2352941176	0.2470588235	1.382088679e-05	false		false	false
Candidatus Branchiomonas	0	0	0	0	false		false	false
Candidatus Captivus	0.1764705882	0.2235294118	0.1882352941	8.993263907e-06	false		false	false
Candidatus Chloroploca	0.2823529412	0.2352941176	0.2352941176	0.0003006837724	true	231	false	false
Candidatus Chlorothrix	0	0.01176470588	0.01176470588	1.350859072e-07	false		false	false
Candidatus Cryptoprodotis	0.005882352941	0.02941176471	0.01176470588	1.295337125e-06	false		false	false
Candidatus Dichloromethanomonas	0	0	0.005882352941	4.907704844e-09	false		false	false
Candidatus Electronema	0.02352941176	0.01176470588	0.005882352941	3.536353804e-07	false		false	false
Candidatus Endoecteinascidia	0.01176470588	0.005882352941	0.02941176471	3.625732737e-07	false		false	false
Candidatus Endonucleariobacter	0	0	0.005882352941	2.628115368e-08	false		false	false
Candidatus Entotheonella	0.06470588235	0.08823529412	0.09411764706	8.723910222e-05	false		false	false
Candidatus Finniella	0.04705882353	0.05294117647	0.08823529412	2.418953799e-06	false		false	false
Candidatus Fritschea	0.1941176471	0.1235294118	0.1411764706	7.913118416e-06	false		false	false
Candidatus Gigarickettsia	0	0	0	0	false		false	false
Candidatus Halobonum	0	0.005882352941	0.005882352941	3.912586911e-07	false		false	false
Candidatus Haloredivivus	0	0	0.005882352941	1.717696695e-08	false		false	false
Candidatus Hepatincola	0.01764705882	0.005882352941	0.1	3.377045423e-06	false		false	false
Candidatus Jidaibacter	0.03529411765	0.05294117647	0.05294117647	1.366313802e-06	false		false	false
Candidatus Koribacter	0.1	0.2294117647	0.08823529412	2.429671526e-05	false		false	false
Candidatus Lariskella	0	0	0.01176470588	7.43759249e-08	false		false	false
Candidatus Megaira	0.02941176471	0.03529411765	0.07058823529	2.465609248e-05	false		false	false
Candidatus Mesochlamydia	0	0	0.005882352941	6.807989291e-09	false		false	false
Candidatus Metachlamydia	0	0.005882352941	0.005882352941	3.082484525e-08	false		false	false
Candidatus Midichloria	0.01764705882	0.01764705882	0.04705882353	1.890323999e-06	false		false	false
Candidatus Nitrosoarchaeum	0.5235294118	0.5764705882	0.5411764706	9.560343336e-05	true	303	false	false
Candidatus Nitrosocosmicus	0.01176470588	0.005882352941	0.02941176471	7.450078064e-08	false		false	false
Candidatus Nitrososphaera	0	0.01764705882	0.01176470588	1.56214415e-07	false		false	false
Candidatus Nitrosotenuis	0	0	0	0	false		false	false
Candidatus Nostocoida	0.04117647059	0.03529411765	0.02352941176	1.856391313e-06	false		false	false
Candidatus Nucleicultrix	0	0.01176470588	0.02352941176	1.549808499e-06	false		false	false
Candidatus Obscuribacter	0	0	0.01176470588	6.241131965e-09	false		false	false
Candidatus Odyssella	0	0.005882352941	0.02941176471	4.119750883e-07	false		false	false
Candidatus Omnitrophus	0.2705882353	0.4529411765	0.2764705882	7.247286887e-05	true	313	false	false
Candidatus Ovatusbacter	0.07647058824	0.1588235294	0.1294117647	7.492146173e-06	false		false	false
Candidatus Paenicardinium	0	0	0	0	false		false	false
Candidatus Paracaedibacter	0.1352941176	0.1588235294	0.2235294118	1.464653728e-05	false		false	false
Candidatus Profftella	0	0	0	0	false		false	false
Candidatus Protistobacter	0	0.01764705882	0.01176470588	6.629274711e-07	false		false	false
Candidatus Protochlamydia	0.1823529412	0.2411764706	0.3352941176	3.233290357e-05	false		false	false
Candidatus Renichlamydia	0.01176470588	0.005882352941	0.02352941176	7.387247842e-07	false		false	false
Candidatus Rhabdochlamydia	0	0.005882352941	0.02941176471	6.587768785e-07	false		false	false
Candidatus Rubidus	0.02941176471	0.06470588235	0.1058823529	2.854348704e-06	false		false	false
Candidatus Saccharimonas	0.02941176471	0.02941176471	0.1705882353	2.924978174e-05	false		false	false
Candidatus Soleaferrea	0.01764705882	0.01764705882	0.1117647059	5.199850881e-06	false		false	false
Candidatus Solibacter	0.6470588235	0.6823529412	0.5117647059	0.0002667099908	true	239	false	false
Candidatus Symbiobacter	0	0	0.005882352941	1.039899358e-09	false		false	false
Candidatus Symbiothrix	0.005882352941	0	0.03529411765	2.364061255e-06	false		false	false
Candidatus Trichorickettsia	0.02352941176	0.01176470588	0.06470588235	1.918205725e-06	false		false	false
Candidatus Turbabacter	0	0	0.005882352941	3.745057149e-08	false		false	false
Candidatus Udaeobacter	0.1176470588	0.09411764706	0.06470588235	7.931568277e-05	false		false	false
Candidatus Vestibaculum	0.03529411765	0.02941176471	0.1058823529	3.757523335e-05	false		false	false
Candidatus Xiphinematobacter	0.01176470588	0.03529411765	0.06470588235	7.955783229e-06	false		false	false
Candidimonas	0	0	0.005882352941	3.574194378e-08	false		false	false
Capnocytophaga	0.07647058824	0.04705882353	0.01764705882	2.581523785e-06	false		false	false
Caproiciproducens	0	0	0.02941176471	9.462831733e-07	false		false	false
Cardiobacterium	0	0	0.005882352941	5.182931838e-09	false		false	false
Carnobacterium	0.2705882353	0.1764705882	0.2764705882	0.0002875590202	false		false	false
Castellaniella	0.02941176471	0.01764705882	0	7.786957062e-07	false		false	false
Catalinimonas	0	0	0.01764705882	8.56225586e-07	false		false	false
Catellatospora	0	0	0	0	false		false	false
Catellicoccus	0	0	0.005882352941	1.47200946e-08	false		false	false
Catenuloplanes	0.1058823529	0.1235294118	0.1294117647	9.071636907e-05	false		false	false
