bootstrap_replicate	compartment	drawn_site_clusters	bootstrap_observations	edge_count	density	positive_fraction	median_absolute_partial_correlation	convergence_warnings
21	Surface	60	173	613	0.1939873418	0.5138662316	0.05147645361	0
21	Deep	60	173	590	0.1867088608	0.5372881356	0.05049897469	0
21	Rhizosphere	60	173	632	0.2	0.5126582278	0.04569721045	0
22	Surface	60	167	590	0.1867088608	0.5016949153	0.04930314137	0
22	Deep	60	167	626	0.1981012658	0.5191693291	0.05635824345	0
22	Rhizosphere	60	167	593	0.1876582278	0.5109612142	0.04821765936	0
23	Surface	60	166	597	0.1889240506	0.4974874372	0.05138468784	0
23	Deep	60	166	614	0.1943037975	0.4951140065	0.04998559982	0
23	Rhizosphere	60	166	613	0.1939873418	0.5171288744	0.05295444329	0
24	Surface	60	163	602	0.1905063291	0.5066445183	0.04808222993	0
24	Deep	60	163	609	0.192721519	0.5106732348	0.05327759712	0
24	Rhizosphere	60	163	594	0.1879746835	0.5218855219	0.05246041725	0
25	Surface	60	174	598	0.1892405063	0.491638796	0.04932818707	0
25	Deep	60	174	600	0.1898734177	0.5016666667	0.051538538	0
25	Rhizosphere	60	174	605	0.1914556962	0.5074380165	0.05318779757	0
26	Surface	60	172	602	0.1905063291	0.5	0.04870131083	0
26	Deep	60	172	598	0.1892405063	0.491638796	0.04775189675	0
26	Rhizosphere	60	172	610	0.1930379747	0.4983606557	0.04881834929	0
27	Surface	60	173	584	0.1848101266	0.5	0.0540527552	0
27	Deep	60	173	614	0.1943037975	0.490228013	0.05035759165	0
27	Rhizosphere	60	173	605	0.1914556962	0.5074380165	0.05564257924	0
28	Surface	60	166	598	0.1892405063	0.5050167224	0.04932251244	0
28	Deep	60	166	617	0.1952531646	0.5202593193	0.04768614389	0
28	Rhizosphere	60	166	619	0.1958860759	0.4975767367	0.05069015059	0
29	Surface	60	177	596	0.1886075949	0.505033557	0.05056746341	0
29	Deep	60	177	595	0.1882911392	0.5226890756	0.05062706091	0
29	Rhizosphere	60	177	615	0.1946202532	0.5056910569	0.05085405606	0
30	Surface	60	163	584	0.1848101266	0.5154109589	0.05044448317	0
30	Deep	60	163	620	0.1962025316	0.5080645161	0.05020602891	0
30	Rhizosphere	60	163	608	0.1924050633	0.5296052632	0.05015058626	0
31	Surface	60	169	639	0.2022151899	0.4882629108	0.04474841534	0
31	Deep	60	169	621	0.1965189873	0.5330112721	0.04920724646	0
31	Rhizosphere	60	169	604	0.1911392405	0.4966887417	0.05330407385	0
32	Surface	60	170	575	0.1819620253	0.5113043478	0.0516672314	0
32	Deep	60	170	602	0.1905063291	0.5033222591	0.05063580932	0
32	Rhizosphere	60	170	615	0.1946202532	0.5219512195	0.05108836384	0
33	Surface	60	171	585	0.1851265823	0.4957264957	0.05436557496	0
33	Deep	60	171	603	0.1908227848	0.5190713101	0.05170862904	0
33	Rhizosphere	60	171	612	0.1936708861	0.5065359477	0.05175162594	0
34	Surface	60	174	572	0.1810126582	0.5104895105	0.0496670623	0
34	Deep	60	174	586	0.185443038	0.5324232082	0.05204909683	0
34	Rhizosphere	60	174	605	0.1914556962	0.5388429752	0.04967745974	0
35	Surface	60	171	604	0.1911392405	0.488410596	0.04636016418	0
35	Deep	60	171	636	0.2012658228	0.5204402516	0.04915873039	0
35	Rhizosphere	60	171	613	0.1939873418	0.4959216966	0.04871850783	0
36	Surface	60	167	596	0.1886075949	0.4882550336	0.0540710938	0
36	Deep	60	167	611	0.1933544304	0.5155482815	0.05582921289	0
36	Rhizosphere	60	167	604	0.1911392405	0.5082781457	0.05331013884	0
37	Surface	60	174	621	0.1965189873	0.499194847	0.04645198812	0
37	Deep	60	174	619	0.1958860759	0.5201938611	0.05320919092	0
37	Rhizosphere	60	174	599	0.189556962	0.4908180301	0.05486618559	0
38	Surface	60	169	625	0.1977848101	0.4832	0.04378587513	0
38	Deep	60	169	634	0.2006329114	0.5205047319	0.04812076289	0
38	Rhizosphere	60	169	593	0.1876582278	0.5143338954	0.05050819952	0
39	Surface	60	170	586	0.185443038	0.4778156997	0.04806107696	0
39	Deep	60	170	592	0.1873417722	0.5253378378	0.05461670502	0
39	Rhizosphere	60	170	612	0.1936708861	0.5114379085	0.0496539161	0
40	Surface	60	175	579	0.1832278481	0.5077720207	0.04810638364	0
40	Deep	60	175	607	0.1920886076	0.5156507414	0.04998092051	0
40	Rhizosphere	60	175	595	0.1882911392	0.5277310924	0.05442922926	0
41	Surface	60	174	587	0.1857594937	0.5025553663	0.04931283606	0
41	Deep	60	174	609	0.192721519	0.5336617406	0.05302468633	0
41	Rhizosphere	60	174	597	0.1889240506	0.5242881072	0.05052084393	0
42	Surface	60	175	579	0.1832278481	0.5094991364	0.04991031096	0
42	Deep	60	175	589	0.1863924051	0.5042444822	0.05178725993	0
42	Rhizosphere	60	175	611	0.1933544304	0.504091653	0.04920328928	0
43	Surface	60	176	600	0.1898734177	0.5016666667	0.05388434074	0
43	Deep	60	176	614	0.1943037975	0.509771987	0.05035015129	0
43	Rhizosphere	60	176	621	0.1965189873	0.4943639291	0.05673688106	0
44	Surface	60	167	570	0.1803797468	0.501754386	0.04830201212	0
44	Deep	60	167	601	0.1901898734	0.5158069884	0.04726064922	0
44	Rhizosphere	60	167	595	0.1882911392	0.5411764706	0.0501646934	0
45	Surface	60	178	608	0.1924050633	0.5148026316	0.04917023051	0
45	Deep	60	178	604	0.1911392405	0.5165562914	0.04982466852	0
45	Rhizosphere	60	178	618	0.1955696203	0.5048543689	0.05156270485	0
46	Surface	60	161	602	0.1905063291	0.488372093	0.04771242795	0
46	Deep	60	161	633	0.2003164557	0.5150078989	0.04907458609	0
46	Rhizosphere	60	161	606	0.1917721519	0.50330033	0.05260242797	0
47	Surface	60	176	590	0.1867088608	0.4847457627	0.04845522604	0
47	Deep	60	176	586	0.185443038	0.5136518771	0.05342378601	0
47	Rhizosphere	60	176	615	0.1946202532	0.5040650407	0.04649006853	0
48	Surface	60	170	570	0.1803797468	0.5035087719	0.05335452842	0
48	Deep	60	170	600	0.1898734177	0.51	0.0515347009	0
48	Rhizosphere	60	170	614	0.1943037975	0.5	0.05172638998	0
49	Surface	60	168	584	0.1848101266	0.5	0.05240094472	0
49	Deep	60	168	619	0.1958860759	0.4814216478	0.04908540993	0
49	Rhizosphere	60	168	616	0.1949367089	0.4951298701	0.04878635276	0
50	Surface	60	165	575	0.1819620253	0.492173913	0.04929143427	0
50	Deep	60	165	586	0.185443038	0.5	0.05643661245	0
50	Rhizosphere	60	165	618	0.1955696203	0.5048543689	0.04591244017	0
51	Surface	60	165	610	0.1930379747	0.4901639344	0.04578088996	0
51	Deep	60	165	602	0.1905063291	0.5066445183	0.05301103961	0
51	Rhizosphere	60	165	606	0.1917721519	0.5066006601	0.05225027188	0
52	Surface	60	172	602	0.1905063291	0.511627907	0.05036875012	0
52	Deep	60	172	591	0.1870253165	0.5008460237	0.05175257159	0
52	Rhizosphere	60	172	634	0.2006329114	0.5205047319	0.04602981357	0
53	Surface	60	156	626	0.1981012658	0.4952076677	0.052205859	0
53	Deep	60	156	635	0.2009493671	0.5023622047	0.0502347199	0
53	Rhizosphere	60	156	604	0.1911392405	0.4966887417	0.05521615008	0
54	Surface	60	173	586	0.185443038	0.4897610922	0.05225614484	0
54	Deep	60	173	608	0.1924050633	0.5049342105	0.0557123021	0
54	Rhizosphere	60	173	604	0.1911392405	0.5	0.04970647507	0
55	Surface	60	172	610	0.1930379747	0.5032786885	0.04834607561	0
55	Deep	60	172	623	0.1971518987	0.4959871589	0.05276421749	0
55	Rhizosphere	60	172	608	0.1924050633	0.5131578947	0.04862666628	0
56	Surface	60	169	615	0.1946202532	0.4829268293	0.05185126811	0
56	Deep	60	169	639	0.2022151899	0.5195618153	0.05128922613	0
56	Rhizosphere	60	169	617	0.1952531646	0.4991896272	0.05306402808	0
57	Surface	60	170	590	0.1867088608	0.5033898305	0.05133641189	0
57	Deep	60	170	604	0.1911392405	0.5016556291	0.0544237156	0
57	Rhizosphere	60	170	599	0.189556962	0.5208681135	0.05361104447	0
58	Surface	60	156	577	0.1825949367	0.4974003466	0.05287331503	0
58	Deep	60	156	618	0.1955696203	0.5113268608	0.05150715045	0
58	Rhizosphere	60	156	608	0.1924050633	0.5197368421	0.05052061128	0
59	Surface	60	163	611	0.1933544304	0.4909983633	0.05217520485	0
59	Deep	60	163	609	0.192721519	0.4827586207	0.0508100418	0
59	Rhizosphere	60	163	660	0.2088607595	0.5090909091	0.04810038629	0
60	Surface	60	172	623	0.1971518987	0.5088282504	0.0487953777	0
60	Deep	60	172	590	0.1867088608	0.5305084746	0.04860576713	0
60	Rhizosphere	60	172	614	0.1943037975	0.503257329	0.0514745971	0
61	Surface	60	170	615	0.1946202532	0.5056910569	0.05306652879	0
61	Deep	60	170	644	0.2037974684	0.5170807453	0.05232074114	0
61	Rhizosphere	60	170	629	0.1990506329	0.5087440382	0.05078822483	0
62	Surface	60	170	611	0.1933544304	0.5139116203	0.04716258238	0
62	Deep	60	170	618	0.1955696203	0.5097087379	0.05683095896	0
62	Rhizosphere	60	170	610	0.1930379747	0.5180327869	0.04829308566	0
63	Surface	60	164	592	0.1873417722	0.5	0.05078011426	0
63	Deep	60	164	597	0.1889240506	0.5226130653	0.04971202836	0
63	Rhizosphere	60	164	602	0.1905063291	0.5365448505	0.0514121407	0
64	Surface	60	181	580	0.1835443038	0.524137931	0.05025223167	0
64	Deep	60	181	581	0.1838607595	0.5146299484	0.05268663305	0
64	Rhizosphere	60	181	611	0.1933544304	0.5090016367	0.04861259049	0
65	Surface	60	182	572	0.1810126582	0.5104895105	0.04962589723	0
65	Deep	60	182	612	0.1936708861	0.5081699346	0.05111395849	0
65	Rhizosphere	60	182	606	0.1917721519	0.504950495	0.04721689249	0
66	Surface	60	177	611	0.1933544304	0.4942716858	0.04784091474	0
66	Deep	60	177	608	0.1924050633	0.5148026316	0.0538055239	0
66	Rhizosphere	60	177	613	0.1939873418	0.5040783034	0.0511877786	0
67	Surface	60	164	599	0.189556962	0.4808013356	0.05084096104	0
67	Deep	60	164	610	0.1930379747	0.5278688525	0.05313465412	0
67	Rhizosphere	60	164	599	0.189556962	0.5158597663	0.05041191939	0
68	Surface	60	168	596	0.1886075949	0.4966442953	0.04517369351	0
68	Deep	60	168	603	0.1908227848	0.5074626866	0.05235667038	0
68	Rhizosphere	60	168	591	0.1870253165	0.4906937394	0.05365637271	0
69	Surface	60	169	576	0.182278481	0.5190972222	0.04934778204	0
69	Deep	60	169	577	0.1825949367	0.5337954939	0.05797529329	0
69	Rhizosphere	60	169	593	0.1876582278	0.5345699831	0.04966861883	0
70	Surface	60	175	594	0.1879746835	0.5185185185	0.05081123273	0
70	Deep	60	175	613	0.1939873418	0.5220228385	0.05083504317	0
70	Rhizosphere	60	175	607	0.1920886076	0.5140032949	0.05443720512	0
71	Surface	60	175	588	0.1860759494	0.5017006803	0.0466429449	0
71	Deep	60	175	592	0.1873417722	0.5033783784	0.05070331026	0
71	Rhizosphere	60	175	611	0.1933544304	0.5139116203	0.0475967146	0
72	Surface	60	164	580	0.1835443038	0.4965517241	0.04937374559	0
72	Deep	60	164	625	0.1977848101	0.5184	0.05313931679	0
72	Rhizosphere	60	164	586	0.185443038	0.5290102389	0.05068913868	0
73	Surface	60	182	580	0.1835443038	0.5086206897	0.0486679835	0
73	Deep	60	182	599	0.189556962	0.5242070117	0.05010557547	0
73	Rhizosphere	60	182	607	0.1920886076	0.5189456343	0.04652934543	0
74	Surface	60	164	617	0.1952531646	0.4975688817	0.05003532277	0
74	Deep	60	164	613	0.1939873418	0.5089722675	0.0514472372	0
74	Rhizosphere	60	164	605	0.1914556962	0.5223140496	0.05656910762	0
75	Surface	60	165	604	0.1911392405	0.511589404	0.05076591175	0
75	Deep	60	165	604	0.1911392405	0.5049668874	0.04974133244	0
75	Rhizosphere	60	165	594	0.1879746835	0.5084175084	0.05394450423	0
76	Surface	60	156	595	0.1882911392	0.4991596639	0.05109462631	0
76	Deep	60	156	585	0.1851265823	0.5111111111	0.0490254671	0
76	Rhizosphere	60	156	599	0.189556962	0.5225375626	0.04936967022	0
77	Surface	60	181	577	0.1825949367	0.4956672444	0.0476716543	0
77	Deep	60	181	598	0.1892405063	0.5234113712	0.05276016984	0
77	Rhizosphere	60	181	602	0.1905063291	0.5265780731	0.04928733846	0
78	Surface	60	159	582	0.1841772152	0.5	0.0479129012	0
78	Deep	60	159	599	0.189556962	0.5041736227	0.04900279181	0
78	Rhizosphere	60	159	609	0.192721519	0.5238095238	0.04904185481	0
79	Surface	60	172	591	0.1870253165	0.4957698816	0.05565631632	0
79	Deep	60	172	611	0.1933544304	0.5220949264	0.05084253356	0
79	Rhizosphere	60	172	614	0.1943037975	0.5146579805	0.05433812237	0
80	Surface	60	185	579	0.1832278481	0.5043177893	0.04736401277	0
80	Deep	60	185	581	0.1838607595	0.5111876076	0.05106701415	0
80	Rhizosphere	60	185	606	0.1917721519	0.501650165	0.04913298007	0
81	Surface	60	180	595	0.1882911392	0.5193277311	0.05061512563	0
81	Deep	60	180	601	0.1901898734	0.5124792013	0.0542998924	0
81	Rhizosphere	60	180	578	0.1829113924	0.5224913495	0.0556451154	0
82	Surface	60	169	585	0.1851265823	0.4837606838	0.05248318425	0
82	Deep	60	169	590	0.1867088608	0.5169491525	0.05297063396	0
82	Rhizosphere	60	169	612	0.1936708861	0.5016339869	0.04937071157	0
83	Surface	60	180	585	0.1851265823	0.4957264957	0.05221112187	0
83	Deep	60	180	595	0.1882911392	0.512605042	0.05166934943	0
83	Rhizosphere	60	180	603	0.1908227848	0.5273631841	0.05269145005	0
84	Surface	60	167	576	0.182278481	0.4878472222	0.05316842547	0
84	Deep	60	167	594	0.1879746835	0.5016835017	0.05156841218	0
84	Rhizosphere	60	167	607	0.1920886076	0.5189456343	0.0528748561	0
85	Surface	60	163	614	0.1943037975	0.4918566775	0.04915930686	0
85	Deep	60	163	587	0.1857594937	0.5144804089	0.0500154207	0
85	Rhizosphere	60	163	614	0.1943037975	0.506514658	0.04927653693	0
86	Surface	60	177	633	0.2003164557	0.5102685624	0.04872267096	0
86	Deep	60	177	605	0.1914556962	0.5140495868	0.05003381996	0
86	Rhizosphere	60	177	636	0.2012658228	0.5	0.04716683131	0
87	Surface	60	169	612	0.1936708861	0.5	0.05279198181	0
87	Deep	60	169	622	0.196835443	0.5128617363	0.05299042316	0
87	Rhizosphere	60	169	648	0.2050632911	0.5138888889	0.04915759803	0
88	Surface	60	179	587	0.1857594937	0.5059625213	0.04805755012	0
88	Deep	60	179	621	0.1965189873	0.500805153	0.04891558529	0
88	Rhizosphere	60	179	588	0.1860759494	0.5221088435	0.04978195761	0
89	Surface	60	177	615	0.1946202532	0.5073170732	0.05258612588	0
89	Deep	60	177	604	0.1911392405	0.5182119205	0.05281693821	0
89	Rhizosphere	60	177	630	0.1993670886	0.5063492063	0.05207611409	0
90	Surface	60	169	624	0.1974683544	0.4855769231	0.05373883954	0
90	Deep	60	169	622	0.196835443	0.498392283	0.05085030597	0
90	Rhizosphere	60	169	615	0.1946202532	0.5219512195	0.05072899435	0
91	Surface	60	170	580	0.1835443038	0.5068965517	0.04965798358	0
91	Deep	60	170	601	0.1901898734	0.5091514143	0.05191000774	0
91	Rhizosphere	60	170	600	0.1898734177	0.5116666667	0.05155916937	0
92	Surface	60	173	593	0.1876582278	0.4940978078	0.04965150254	0
92	Deep	60	173	582	0.1841772152	0.5326460481	0.05051741559	0
92	Rhizosphere	60	173	619	0.1958860759	0.5234248788	0.04898753484	0
93	Surface	60	171	608	0.1924050633	0.4819078947	0.05122337439	0
93	Deep	60	171	632	0.2	0.5094936709	0.05168154718	0
93	Rhizosphere	60	171	603	0.1908227848	0.5190713101	0.05296293908	0
94	Surface	60	173	584	0.1848101266	0.4880136986	0.04873382389	0
94	Deep	60	173	603	0.1908227848	0.5373134328	0.04931486554	0
94	Rhizosphere	60	173	589	0.1863924051	0.5212224109	0.04990573297	0
95	Surface	60	175	600	0.1898734177	0.4766666667	0.05138049784	0
95	Deep	60	175	596	0.1886075949	0.5251677852	0.05231400657	0
95	Rhizosphere	60	175	606	0.1917721519	0.5132013201	0.05420389223	0
96	Surface	60	169	609	0.192721519	0.4893267652	0.05039950164	0
96	Deep	60	169	638	0.2018987342	0.5219435737	0.05091194805	0
96	Rhizosphere	60	169	625	0.1977848101	0.5024	0.0485420335	0
97	Surface	60	174	607	0.1920886076	0.5057660626	0.049333526	0
97	Deep	60	174	611	0.1933544304	0.4860883797	0.04983442185	0
97	Rhizosphere	60	174	600	0.1898734177	0.5016666667	0.05088392782	0
98	Surface	60	168	584	0.1848101266	0.5154109589	0.05033877975	0
98	Deep	60	168	598	0.1892405063	0.5050167224	0.05351918574	0
98	Rhizosphere	60	168	635	0.2009493671	0.537007874	0.04947262665	0
99	Surface	60	165	583	0.1844936709	0.4922813036	0.04974353982	0
99	Deep	60	165	597	0.1889240506	0.5309882747	0.04921425613	0
99	Rhizosphere	60	165	619	0.1958860759	0.5040387722	0.04839528377	0
100	Surface	60	174	611	0.1933544304	0.495908347	0.04794459163	0
100	Deep	60	174	598	0.1892405063	0.5234113712	0.0482539125	0
100	Rhizosphere	60	174	609	0.192721519	0.5336617406	0.05011156674	0
101	Surface	60	173	559	0.1768987342	0.5152057245	0.05412263825	0
101	Deep	60	173	604	0.1911392405	0.5082781457	0.05344589643	0
101	Rhizosphere	60	173	588	0.1860759494	0.5238095238	0.05053507923	0
102	Surface	60	162	583	0.1844936709	0.4922813036	0.04949985224	0
102	Deep	60	162	615	0.1946202532	0.5284552846	0.05206961456	0
102	Rhizosphere	60	162	664	0.2101265823	0.5030120482	0.04750583445	0
103	Surface	60	169	596	0.1886075949	0.4848993289	0.04731185735	0
103	Deep	60	169	638	0.2018987342	0.4952978056	0.04917883929	0
103	Rhizosphere	60	169	617	0.1952531646	0.5056726094	0.04969854718	0
104	Surface	60	172	602	0.1905063291	0.488372093	0.05039661187	0
104	Deep	60	172	595	0.1882911392	0.5344537815	0.05243533062	0
104	Rhizosphere	60	172	607	0.1920886076	0.5074135091	0.05069353818	0
105	Surface	60	185	580	0.1835443038	0.4948275862	0.04854080174	0
105	Deep	60	185	579	0.1832278481	0.5250431779	0.05375229309	0
105	Rhizosphere	60	185	601	0.1901898734	0.5058236273	0.04926126829	0
106	Surface	60	176	613	0.1939873418	0.5024469821	0.04774196742	0
106	Deep	60	176	615	0.1946202532	0.5365853659	0.04991077907	0
106	Rhizosphere	60	176	593	0.1876582278	0.5177065767	0.05000881796	0
107	Surface	60	176	598	0.1892405063	0.4933110368	0.04585327204	0
107	Deep	60	176	597	0.1889240506	0.4958123953	0.05389346347	0
107	Rhizosphere	60	176	618	0.1955696203	0.5242718447	0.05138411762	0
108	Surface	60	165	579	0.1832278481	0.4991364421	0.05173105762	0
108	Deep	60	165	590	0.1867088608	0.5118644068	0.05498037743	0
108	Rhizosphere	60	165	598	0.1892405063	0.5217391304	0.0533716451	0
109	Surface	60	170	575	0.1819620253	0.5008695652	0.05156131292	0
109	Deep	60	170	595	0.1882911392	0.5159663866	0.05539217103	0
109	Rhizosphere	60	170	622	0.196835443	0.5144694534	0.05187613293	0
110	Surface	60	175	589	0.1863924051	0.4906621392	0.05008947172	0
110	Deep	60	175	597	0.1889240506	0.5192629816	0.05418506965	0
110	Rhizosphere	60	175	599	0.189556962	0.5225375626	0.05251617606	0
111	Surface	60	170	600	0.1898734177	0.4916666667	0.04992111453	0
111	Deep	60	170	605	0.1914556962	0.520661157	0.05166211742	0
111	Rhizosphere	60	170	604	0.1911392405	0.4900662252	0.05072722911	0
112	Surface	60	166	600	0.1898734177	0.535	0.05267137851	0
112	Deep	60	166	579	0.1832278481	0.5112262522	0.0503078535	0
112	Rhizosphere	60	166	601	0.1901898734	0.4875207987	0.05296113928	0
113	Surface	60	172	558	0.1765822785	0.5017921147	0.05082838334	0
113	Deep	60	172	572	0.1810126582	0.5384615385	0.05391919799	0
113	Rhizosphere	60	172	600	0.1898734177	0.5233333333	0.05028555797	0
114	Surface	60	166	632	0.2	0.4810126582	0.0476946187	0
114	Deep	60	166	652	0.2063291139	0.5168711656	0.04611492552	0
114	Rhizosphere	60	166	642	0.203164557	0.4813084112	0.04633526628	0
115	Surface	60	163	600	0.1898734177	0.51	0.04886679416	0
115	Deep	60	163	595	0.1882911392	0.5294117647	0.0514725595	0
115	Rhizosphere	60	163	615	0.1946202532	0.487804878	0.05077773689	0
116	Surface	60	177	579	0.1832278481	0.493955095	0.04837839361	0
116	Deep	60	177	607	0.1920886076	0.5222405272	0.0503109762	0
116	Rhizosphere	60	177	595	0.1882911392	0.5159663866	0.05007921182	0
117	Surface	60	173	580	0.1835443038	0.4948275862	0.05175654555	0
117	Deep	60	173	602	0.1905063291	0.4983388704	0.05070210012	0
117	Rhizosphere	60	173	623	0.1971518987	0.5168539326	0.04937260555	0
118	Surface	60	170	585	0.1851265823	0.4769230769	0.05353742433	0
118	Deep	60	170	611	0.1933544304	0.5090016367	0.05242047081	0
118	Rhizosphere	60	170	626	0.1981012658	0.4856230032	0.0515056851	0
119	Surface	60	178	602	0.1905063291	0.5049833887	0.04777344507	0
119	Deep	60	178	587	0.1857594937	0.5229982964	0.05450900347	0
119	Rhizosphere	60	178	607	0.1920886076	0.5222405272	0.0490383268	0
120	Surface	60	180	551	0.1743670886	0.5081669691	0.05442266919	0
120	Deep	60	180	602	0.1905063291	0.5332225914	0.05072960208	0
120	Rhizosphere	60	180	613	0.1939873418	0.5057096248	0.0504186726	0
121	Surface	60	178	613	0.1939873418	0.5073409462	0.04812795646	0
121	Deep	60	178	622	0.196835443	0.5160771704	0.04891602365	0
121	Rhizosphere	60	178	628	0.1987341772	0.4920382166	0.04803324877	0
122	Surface	60	166	572	0.1810126582	0.5087412587	0.0504242266	0
122	Deep	60	166	614	0.1943037975	0.5293159609	0.04823773349	0
122	Rhizosphere	60	166	618	0.1955696203	0.5	0.04983320491	0
123	Surface	60	173	590	0.1867088608	0.493220339	0.04988907433	0
123	Deep	60	173	614	0.1943037975	0.5293159609	0.05216597484	0
123	Rhizosphere	60	173	638	0.2018987342	0.4890282132	0.04775276324	0
124	Surface	60	173	601	0.1901898734	0.4975041597	0.04948738507	0
124	Deep	60	173	598	0.1892405063	0.5234113712	0.04904828162	0
124	Rhizosphere	60	173	613	0.1939873418	0.5089722675	0.05309554679	0
125	Surface	60	170	617	0.1952531646	0.4846029173	0.04981032338	0
125	Deep	60	170	608	0.1924050633	0.4934210526	0.04760426766	0
125	Rhizosphere	60	170	644	0.2037974684	0.4720496894	0.04716185997	0
126	Surface	60	174	597	0.1889240506	0.5092127303	0.04910931071	0
126	Deep	60	174	606	0.1917721519	0.5115511551	0.05274145804	0
126	Rhizosphere	60	174	618	0.1955696203	0.5226537217	0.04937974402	0
127	Surface	60	163	589	0.1863924051	0.4872665535	0.05129868118	0
127	Deep	60	163	580	0.1835443038	0.4965517241	0.04904508256	0
127	Rhizosphere	60	163	587	0.1857594937	0.5110732538	0.05578909932	0
128	Surface	60	164	600	0.1898734177	0.5	0.05313520931	0
