model	term	estimate	std_error	z	p	ci_low	ci_high
depth_and_kit_as_recorded	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.1086212002	0.06173557865	1.759458687	0.07849963142	-0.01237831057	0.2296207109
depth_and_kit_as_recorded	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.1455047356	0.07886784868	-1.844918279	0.06504942728	-0.3000828786	0.009073407315
depth_and_kit_as_recorded	C(dna_kit)[T.PowerSoil MoBio]	0.008980575934	0.2931078195	0.03063915507	0.9755573156	-0.5655001939	0.5834613457
depth_and_kit_as_recorded	C(dna_kit)[T.Pro]	-0.1445382429	0.1434800365	-1.007375286	0.313754463	-0.4257539469	0.1366774612
depth_and_kit_as_recorded	C(dna_kit)[T.QIACube]	-0.5023487442	0.4513421499	-1.113010926	0.2657037371	-1.386963103	0.3822656144
depth_and_kit_as_recorded	C(dna_kit)[T.ambiguous_suffix_mapping]	-0.9522135809	0.5072764766	-1.877109673	0.06050306396	-1.946457205	0.04203004336
depth_and_kit_as_recorded	C(dna_kit)[T.mixed_within_group]	-0.5829818275	0.1581626658	-3.685963589	0.0002278389265	-0.8929749562	-0.2729886987
depth_and_kit_as_recorded	C(dna_kit)[T.not_recorded]	-0.1187653761	0.4443875798	-0.2672562905	0.7892718382	-0.9897490277	0.7522182755
depth_and_kit_as_recorded	log_sequencing_depth	0.5079355375	0.05070622544	10.0172224	1.280510493e-23	0.4085531618	0.6073179131
complete_case_cohort	Intercept	0.8864744692	0.610002219	1.453231548	0.1461594755	-0.3091079105	2.082056849
complete_case_cohort	C(Trip)[T.2]	-0.0793925855	0.1693662914	-0.4687626141	0.6392393257	-0.4113444169	0.2525592459
complete_case_cohort	C(Trip)[T.3]	-0.3357056273	0.1235855281	-2.716382997	0.006599951888	-0.5779288115	-0.09348244311
complete_case_cohort	C(Trip)[T.4]	0.004657941558	0.5853567352	0.007957440785	0.9936509479	-1.142620177	1.151936061
complete_case_cohort	C(Trip)[T.5]	0.1069944525	0.155569623	0.6877592836	0.4916043804	-0.1979164057	0.4119053106
complete_case_cohort	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.1841808787	0.07719332905	2.385968852	0.01703419372	0.03288473393	0.3354770235
complete_case_cohort	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.1530090673	0.09116282602	-1.678415139	0.09326608424	-0.331684923	0.02566678843
complete_case_cohort	log_sequencing_depth	0.3690693206	0.04522077671	8.161498927	3.308923295e-16	0.2804382269	0.4577004143
depth_and_kit_kit_varying_campaigns	Intercept	0.511908595	0.6185111038	0.8276465724	0.4078706848	-0.7003508924	1.724168082
depth_and_kit_kit_varying_campaigns	C(Trip)[T.2]	-0.07828594973	0.1400097607	-0.559146372	0.5760618293	-0.3527000382	0.1961281387
depth_and_kit_kit_varying_campaigns	C(Trip)[T.3]	-0.3372270082	0.1910463349	-1.765158218	0.07753717849	-0.711670944	0.03721692771
depth_and_kit_kit_varying_campaigns	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.1994486733	0.08126606735	2.454267566	0.01411718959	0.04017010816	0.3587272385
depth_and_kit_kit_varying_campaigns	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.1248388124	0.09993754415	-1.249168303	0.2116035228	-0.3207127996	0.07103517485
depth_and_kit_kit_varying_campaigns	C(dna_kit)[T.PowerSoil MoBio]	-0.6538193961	0.2397552914	-2.727028013	0.006390761325	-1.123731132	-0.1839076598
depth_and_kit_kit_varying_campaigns	C(dna_kit)[T.Pro]	-0.1555202789	0.1812588415	-0.8580010641	0.3908918758	-0.5107810802	0.1997405224
depth_and_kit_kit_varying_campaigns	log_sequencing_depth	0.4059586516	0.04764040641	8.521309581	1.577592219e-17	0.3125851708	0.4993321324
interaction_unadjusted	Intercept	5.442655993	0.128774641	42.26496733	0	5.190262334	5.695049651
interaction_unadjusted	C(Trip)[T.2]	0.168565955	0.2580445552	0.6532436031	0.5135992441	-0.3371920796	0.6743239895
interaction_unadjusted	C(Trip)[T.3]	0.06333845759	0.1543518304	0.410351192	0.6815483445	-0.2391855709	0.3658624861
interaction_unadjusted	C(Trip)[T.4]	0.3056027786	0.1527714925	2.000391392	0.04545801713	0.006176155426	0.6050294018
interaction_unadjusted	C(Trip)[T.5]	0.772856426	0.1345656498	5.743341093	9.282647469e-09	0.5091125989	1.036600253
interaction_unadjusted	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.3753266473	0.1088725799	3.447393712	0.0005660230728	0.1619403118	0.5887129828
interaction_unadjusted	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.0846061775	0.1313990622	-0.6438872246	0.5196485667	-0.3421436071	0.1729312521
interaction_unadjusted	"C(Trip)[T.2]:C(Type, Treatment(reference=""Surface""))[T.Deep]"	-1.470091965	0.574366686	-2.559500752	0.01048226289	-2.595829983	-0.3443539465
interaction_unadjusted	"C(Trip)[T.3]:C(Type, Treatment(reference=""Surface""))[T.Deep]"	-0.1797825897	0.1538067505	-1.16888621	0.2424494801	-0.4812382812	0.1216731019
interaction_unadjusted	"C(Trip)[T.4]:C(Type, Treatment(reference=""Surface""))[T.Deep]"	-0.571791872	0.1874687606	-3.050064822	0.002287919798	-0.939223891	-0.2043598529
interaction_unadjusted	"C(Trip)[T.5]:C(Type, Treatment(reference=""Surface""))[T.Deep]"	-0.3531984884	0.175768994	-2.00944706	0.04448974366	-0.6976993863	-0.008697590477
interaction_unadjusted	"C(Trip)[T.2]:C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.3789956587	0.2332926321	-1.624550485	0.1042583749	-0.8362408155	0.07824949817
interaction_unadjusted	"C(Trip)[T.3]:C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.1730576367	0.1669076148	-1.036846862	0.2998072319	-0.5001905505	0.1540752772
interaction_unadjusted	"C(Trip)[T.4]:C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.300952767	0.2125910239	-1.415641928	0.1568803689	-0.7176235173	0.1157179834
interaction_unadjusted	"C(Trip)[T.5]:C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.1616203104	0.198476023	-0.814306474	0.4154694018	-0.5506261672	0.2273855464
interaction_depth_adjusted	Intercept	-0.8309222046	0.8160749889	-1.018193445	0.3085860338	-2.430399791	0.7685553823
interaction_depth_adjusted	C(Trip)[T.2]	-0.1073836687	0.3731792357	-0.2877536004	0.7735353572	-0.8388015305	0.6240341932
interaction_depth_adjusted	C(Trip)[T.3]	-0.3002363466	0.1498384066	-2.003734245	0.04509853582	-0.593914227	-0.006558466134
interaction_depth_adjusted	C(Trip)[T.4]	0.38615956	0.1422241295	2.715147995	0.006624615913	0.1074053885	0.6649137315
interaction_depth_adjusted	C(Trip)[T.5]	0.4156823878	0.1477213309	2.813963192	0.004893483111	0.1261538995	0.7052108761
interaction_depth_adjusted	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.278621282	0.1109268824	2.511756176	0.01201320583	0.06120858753	0.4960339764
interaction_depth_adjusted	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.08859523458	0.1355894912	-0.6534078254	0.5134933953	-0.354345754	0.1771552848
interaction_depth_adjusted	"C(Trip)[T.2]:C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.2287040046	0.4756436975	0.4808305162	0.6306369598	-0.703540512	1.160948521
interaction_depth_adjusted	"C(Trip)[T.3]:C(Type, Treatment(reference=""Surface""))[T.Deep]"	-0.06865609023	0.1575888255	-0.4356659809	0.6630790914	-0.3775245125	0.2402123321
interaction_depth_adjusted	"C(Trip)[T.4]:C(Type, Treatment(reference=""Surface""))[T.Deep]"	-0.440322915	0.1732007996	-2.542268373	0.01101355723	-0.7797902443	-0.1008555857
interaction_depth_adjusted	"C(Trip)[T.5]:C(Type, Treatment(reference=""Surface""))[T.Deep]"	-0.2978486404	0.2131960747	-1.397064373	0.162394214	-0.7157052684	0.1200079875
interaction_depth_adjusted	"C(Trip)[T.2]:C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	0.06068531557	0.4361894024	0.139126066	0.8893505309	-0.7942302037	0.9156008348
interaction_depth_adjusted	"C(Trip)[T.3]:C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.002563474693	0.1597756591	-0.01604421292	0.9871991194	-0.315718012	0.3105910627
interaction_depth_adjusted	"C(Trip)[T.4]:C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.05161601552	0.1978518893	-0.2608820957	0.7941834324	-0.4393985929	0.3361665618
interaction_depth_adjusted	"C(Trip)[T.5]:C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.3941656721	0.2426009892	-1.624748825	0.1042160893	-0.8696548735	0.08132352939
interaction_depth_adjusted	log_sequencing_depth	0.4879832566	0.05887370277	8.288645586	1.145452985e-16	0.3725929195	0.6033735936
protocol_matched_Deep-Surface	Intercept	-1.748188018	1.172896883	-1.490487394	0.1360961287	-4.047023666	0.5506476299
protocol_matched_Deep-Surface	C(Trip)[T.3]	-0.4021894187	0.1942401028	-2.070578695	0.03839818485	-0.7828930246	-0.02148581274
protocol_matched_Deep-Surface	C(Trip)[T.4]	0.8239517457	0.1416220932	5.817960513	5.95699688e-09	0.5463775438	1.101525948
protocol_matched_Deep-Surface	C(Trip)[T.5]	0.06520205038	0.2323968	0.2805634603	0.7790452452	-0.3902873078	0.5206914086
protocol_matched_Deep-Surface	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.2033808007	0.08238329485	2.468714089	0.01355995121	0.04191250987	0.3648490915
protocol_matched_Deep-Surface	log_sequencing_depth	0.5715670504	0.0879292888	6.500303349	8.015821002e-11	0.3992288112	0.7439052897
protocol_matched_Rhizosphere-Surface	Intercept	0.7238927356	1.205630379	0.6004267545	0.5482218617	-1.639099386	3.086884857
protocol_matched_Rhizosphere-Surface	C(Trip)[T.2]	0.01318781717	0.153023959	0.08618138791	0.9313222259	-0.2867336313	0.3131092657
protocol_matched_Rhizosphere-Surface	C(Trip)[T.3]	-0.2918706611	0.1947849002	-1.498425498	0.1340227358	-0.6736420502	0.08990072801
protocol_matched_Rhizosphere-Surface	C(Trip)[T.4]	0.7825599381	0.104835377	7.464655163	8.351804474e-14	0.5770863749	0.9880335013
protocol_matched_Rhizosphere-Surface	C(Trip)[T.5]	0.06104313433	0.2168650966	0.2814797553	0.7783424536	-0.3640046446	0.4860909132
protocol_matched_Rhizosphere-Surface	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.2830717054	0.1156654231	-2.447332123	0.01439181526	-0.5097717689	-0.05637164194
protocol_matched_Rhizosphere-Surface	log_sequencing_depth	0.3860595452	0.08895553404	4.339915997	1.425371935e-05	0.2117099022	0.5604091881
protocol_matched_Rhizosphere-Deep	Intercept	1.655553078	0.87366005	1.894962552	0.05809736308	-0.05678915496	3.36789531
protocol_matched_Rhizosphere-Deep	C(Trip)[T.2]	0.1793296297	0.1719470846	1.042934983	0.2969784061	-0.1576804633	0.5163397228
protocol_matched_Rhizosphere-Deep	C(Trip)[T.3]	-0.6594911623	0.1843131067	-3.578102362	0.000346097913	-1.020738213	-0.2982441114
protocol_matched_Rhizosphere-Deep	C(Trip)[T.4]	-0.1421123751	0.1419850672	-1.000896629	0.3168767864	-0.4203979932	0.1361732429
protocol_matched_Rhizosphere-Deep	C(Trip)[T.5]	-0.2625603409	0.2951125423	-0.8896956356	0.3736293382	-0.8409702952	0.3158496134
protocol_matched_Rhizosphere-Deep	"C(Type, Treatment(reference=""Deep""))[T.Rhizosphere]"	-0.3415063469	0.09849054986	-3.467402177	0.0005255149803	-0.5345442775	-0.1484684164
protocol_matched_Rhizosphere-Deep	log_sequencing_depth	0.3506403405	0.06703089742	5.231025602	1.685721589e-07	0.2192621957	0.4820184853
