Trip	Site	Type	n_profiles	shannon	sequencing_depth	log_sequencing_depth	dna_kit	kit_recorded
1	51	Surface	1	5.54307982	159042	11.9769236	Pro	true
1	52	Deep	1	4.655282502	405299	12.91238035	Pro	true
1	53	Deep	2	4.356300758	549806	13.21732077	mixed_within_group	false
1	53	Rhizosphere	2	5.299588697	520660	13.16285252	PowerSoil	true
1	53	Surface	1	1.512116752	67648	11.12207307	not_recorded	false
1	54	Deep	2	5.521023602	810402	13.6052857	mixed_within_group	false
1	54	Rhizosphere	3	4.340090235	269995	12.50615872	mixed_within_group	false
1	54	Surface	3	3.989281113	72253	11.18792913	mixed_within_group	false
1	55	Deep	1	3.834518735	106266	11.57370066	Pro	true
1	55	Rhizosphere	2	3.540517319	135815	11.81904894	Pro	true
1	55	Surface	2	2.906750771	62858	11.04863349	Pro	true
1	56	Deep	2	4.324703993	55377	10.92191962	Pro	true
1	56	Surface	2	4.783581586	276604	12.53034216	mixed_within_group	false
1	57	Deep	1	5.188134154	31250	10.34977466	Pro	true
1	57	Rhizosphere	2	4.807859416	676039	13.42400605	Pro	true
1	57	Surface	1	3.889094661	94954	11.46114784	Pro	true
1	58	Rhizosphere	1	5.162432509	197756	12.19478923	Pro	true
1	58	Surface	2	4.311824923	17728	9.78290059	Pro	true
1	59	Rhizosphere	1	3.690052726	8737	9.07532216	Pro	true
1	60	Deep	2	4.592908084	414664	12.93522383	Pro	true
1	60	Surface	1	4.642253451	142260	11.86541165	PowerSoil	true
2	1	Deep	1	3.586140006	1485	7.303170051	PowerSoil	true
2	1	Rhizosphere	1	6.279561441	470193	13.06089853	PowerSoil	true
2	2	Deep	1	4.798986593	12566	9.438750033	not_recorded	false
2	2	Rhizosphere	2	5.052510761	665671	13.40855083	mixed_within_group	false
2	3	Deep	1	4.859830364	6881	8.836519269	PowerSoil	true
2	4	Rhizosphere	1	5.978007522	545420	13.20931142	PowerSoil	true
2	4	Surface	1	6.491502375	226775	12.33171362	Pro	true
2	5	Rhizosphere	1	6.624019206	301075	12.61511468	not_recorded	false
2	5	Surface	3	6.519086542	3455581	15.05550116	mixed_within_group	false
2	6	Deep	2	6.288640656	799951	13.59230575	PowerSoil	true
2	6	Rhizosphere	2	3.843370735	23125	10.04866956	mixed_within_group	false
2	6	Surface	1	5.448867139	1406593	14.15668103	Pro	true
2	7	Deep	1	6.371353107	570327	13.25396516	not_recorded	false
2	7	Rhizosphere	2	5.968384563	611047	13.32292916	mixed_within_group	false
2	8	Deep	1	3.801397794	13407	9.503532238	PowerSoil	true
2	8	Rhizosphere	2	5.768105551	626656	13.34815302	Pro	true
2	8	Surface	1	6.444431475	603513	13.31052286	Pro	true
3	1	Deep	3	4.302084396	603215	13.31002896	PowerSoil	true
3	1	Rhizosphere	4	4.863328239	204029	12.22601742	PowerSoil	true
3	1	Surface	3	6.313653172	605747	13.31421769	PowerSoil	true
3	2	Deep	3	7.102437171	397621	12.89325457	PowerSoil	true
3	2	Rhizosphere	3	5.198111065	247056	12.41737031	PowerSoil	true
3	2	Surface	3	6.767298199	328493	12.70227081	PowerSoil	true
3	3	Deep	3	7.12908502	2111019	14.56268133	PowerSoil	true
3	3	Rhizosphere	2	5.954229501	488285	13.09865453	PowerSoil	true
3	3	Surface	3	6.937588824	1451104	14.1878352	PowerSoil	true
3	4	Deep	2	6.399108294	230198	12.34669509	PowerSoil	true
3	4	Rhizosphere	2	6.389501817	184458	12.12517707	PowerSoil	true
3	4	Surface	3	6.738779483	273032	12.51734428	PowerSoil	true
3	5	Deep	2	6.524356519	157739	11.96869705	PowerSoil	true
3	5	Rhizosphere	1	5.871814693	70036	11.15676467	PowerSoil	true
3	5	Surface	3	6.4538925	498116	13.11858826	PowerSoil	true
3	6	Deep	1	6.724507936	418339	12.94404739	PowerSoil	true
3	6	Rhizosphere	3	6.462891055	988366	13.80380835	PowerSoil	true
3	6	Surface	3	6.280062042	1848347	14.42980228	PowerSoil	true
3	7	Deep	3	6.363314929	1125007	13.93329982	PowerSoil	true
3	7	Rhizosphere	3	6.094444575	1042632	13.85725884	PowerSoil	true
3	7	Surface	3	6.155660645	1006933	13.82241964	PowerSoil	true
3	8	Deep	3	5.723817576	2008125	14.51271201	PowerSoil	true
3	8	Rhizosphere	3	6.830187129	775524	13.56129421	PowerSoil	true
3	8	Surface	3	6.225026925	2054157	14.5353761	PowerSoil	true
3	9	Deep	3	5.81642143	1672614	14.32989823	PowerSoil	true
3	9	Rhizosphere	3	4.049173163	495146	13.11260795	PowerSoil	true
3	9	Surface	3	5.827110079	1049141	13.86348229	PowerSoil	true
3	10	Deep	3	5.408203287	1683068	14.33612888	PowerSoil	true
3	10	Rhizosphere	2	5.098572324	468053	13.05633682	PowerSoil	true
3	10	Surface	3	6.05537217	1348243	14.11431282	PowerSoil	true
3	11	Deep	3	6.499837269	1721214	14.35854041	PowerSoil	true
3	11	Rhizosphere	3	6.1531369	1226143	14.01938403	PowerSoil	true
3	11	Surface	3	5.331322923	2426741	14.70205976	PowerSoil	true
3	12	Deep	2	7.286088707	741812	13.51685112	PowerSoil	true
3	12	Rhizosphere	3	5.513040104	449497	13.01588446	PowerSoil	true
3	12	Surface	2	6.406766554	744382	13.52030962	PowerSoil	true
3	13	Deep	3	6.430144631	1353486	14.11819404	PowerSoil	true
3	13	Rhizosphere	3	5.869012596	452788	13.0231793	PowerSoil	true
3	13	Surface	3	6.156717872	1878326	14.44589151	PowerSoil	true
3	14	Deep	3	6.056716873	1822184	14.41554634	PowerSoil	true
3	14	Rhizosphere	3	4.979542143	275001	12.52453001	PowerSoil	true
3	14	Surface	3	6.082171619	723788	13.49225381	PowerSoil	true
3	15	Deep	3	6.069282549	470507	13.06156612	PowerSoil	true
3	15	Rhizosphere	4	5.326190012	281921	12.54938217	PowerSoil	true
3	15	Surface	3	5.775000569	425352	12.96067234	PowerSoil	true
3	16	Deep	3	6.169052159	793674	13.58442808	PowerSoil	true
3	16	Rhizosphere	3	6.391670395	692411	13.44793499	PowerSoil	true
3	16	Surface	3	6.738510884	804048	13.59741425	PowerSoil	true
3	17	Deep	3	6.413939675	1884065	14.44894223	Pro	true
3	17	Rhizosphere	3	5.974624158	513526	13.14905594	Pro	true
3	17	Surface	3	6.81676942	1802039	14.40442936	Pro	true
3	18	Deep	3	6.546326608	1640559	14.3105476	Pro	true
3	18	Rhizosphere	3	2.841928847	1792310	14.39901585	Pro	true
3	18	Surface	3	6.168671043	2613887	14.77634894	Pro	true
3	19	Deep	3	6.29181005	2530632	14.74397963	Pro	true
3	19	Rhizosphere	3	5.162279611	523706	13.16868574	Pro	true
3	19	Surface	3	6.212461267	1857672	14.43483465	Pro	true
3	20	Deep	3	6.564528507	1716320	14.35569302	Pro	true
3	20	Rhizosphere	3	6.520530724	1563942	14.26272012	Pro	true
3	20	Surface	3	6.224859799	1273177	14.05702591	Pro	true
3	21	Deep	3	6.503654787	1201093	13.99874253	Pro	true
3	21	Rhizosphere	3	5.833007517	1049598	13.86391779	Pro	true
3	21	Surface	3	4.653830231	829736	13.62886286	Pro	true
3	22	Deep	3	5.911401864	1821417	14.41512533	Pro	true
3	22	Rhizosphere	3	6.265410884	969713	13.78475543	Pro	true
3	22	Surface	3	5.760669396	890311	13.69932612	Pro	true
3	23	Deep	3	6.8446437	1323349	14.0956762	Pro	true
3	23	Rhizosphere	3	5.877358179	515891	13.15365078	Pro	true
3	23	Surface	3	6.718785789	1377886	14.136061	Pro	true
3	24	Deep	2	5.916336649	692218	13.44765621	Pro	true
3	24	Rhizosphere	4	5.562917545	654862	13.39217981	PowerSoil	true
3	24	Surface	3	5.472648473	683910	13.43558161	PowerSoil	true
3	25	Deep	3	5.722915979	949231	13.76340746	PowerSoil	true
3	25	Rhizosphere	3	3.854393669	788109	13.57739168	PowerSoil	true
3	25	Surface	3	4.100230123	836252	13.63668528	PowerSoil	true
3	26	Deep	2	6.60173604	548248	13.21448302	PowerSoil	true
3	26	Rhizosphere	3	5.587947601	719682	13.48656473	PowerSoil	true
3	26	Surface	2	6.069959088	629809	13.35317188	PowerSoil	true
3	27	Deep	2	5.86842401	617633	13.33364971	PowerSoil	true
3	27	Rhizosphere	3	3.742205287	908508	13.71955897	PowerSoil	true
3	27	Surface	3	4.841492498	578472	13.26814542	PowerSoil	true
3	28	Deep	3	6.879512902	2459934	14.71564508	PowerSoil	true
3	28	Rhizosphere	3	5.317416634	653667	13.39035333	PowerSoil	true
3	28	Surface	3	6.559867413	2070380	14.54324272	PowerSoil	true
3	29	Deep	3	6.344756347	858702	13.66317723	PowerSoil	true
3	29	Rhizosphere	3	3.871713804	286534	12.56561248	PowerSoil	true
3	29	Surface	3	4.973497862	691732	13.44695388	PowerSoil	true
3	30	Deep	3	6.107053914	1821844	14.41535973	PowerSoil	true
3	30	Rhizosphere	3	6.106496907	606363	13.3152341	PowerSoil	true
3	30	Surface	3	6.288350134	992779	13.80826336	PowerSoil	true
3	31	Deep	2	4.85009692	692895	13.44863375	PowerSoil	true
3	31	Rhizosphere	3	5.031487146	435740	12.98480101	PowerSoil	true
3	31	Surface	4	6.237870696	1012880	13.82830832	PowerSoil	true
3	32	Deep	3	6.272102034	1814806	14.41148913	PowerSoil	true
3	32	Rhizosphere	3	5.526104312	1553703	14.25615167	PowerSoil	true
3	32	Surface	3	6.263212802	2172148	14.5912271	PowerSoil	true
3	33	Deep	4	6.363585	1748596	14.37432374	PowerSoil	true
3	33	Rhizosphere	2	5.834211777	548237	13.21446295	PowerSoil	true
3	33	Surface	3	6.493869137	1895979	14.45524589	PowerSoil	true
3	34	Deep	3	6.204205764	1917606	14.46658809	PowerSoil	true
3	34	Rhizosphere	3	5.917403824	839233	13.64024366	PowerSoil	true
3	34	Surface	4	6.31455366	2257512	14.62977388	PowerSoil	true
3	35	Deep	3	6.629946913	1722914	14.3595276	PowerSoil	true
