profile	role	campaign	compartment	total_reads	removed_reads	removed_read_fraction	total_features	removed_features
e0901_29PRr2	biological	Trip1	root-adjacent	431788	1679	0.003888	1043	6
e0902_29Sr2	biological	Trip1	surface	410151	21385	0.052139	607	14
e0903_32PRr1	biological	Trip1	root-adjacent	314296	2998	0.009539	1084	10
e0904_32PRr3	biological	Trip1	root-adjacent	156644	726	0.004635	682	2
e0905_33Dr1	biological	Trip1	deep	523517	1491	0.002848	1592	10
e0906_33Sr2	biological	Trip1	surface	271531	339	0.001248	983	3
e0907_34Dr3	biological	Trip1	deep	431609	888	0.002057	1446	12
e0908_35PRr1	biological	Trip1	root-adjacent	205859	284	0.001380	269	1
e0909_35Sr1	biological	Trip1	surface	489712	1034	0.002111	1377	5
e0910_36Sr1	biological	Trip1	surface	20015	75	0.003747	68	1
e0911_38Sr3	biological	Trip1	surface	460036	609	0.001324	1922	8
e0912_40PRr3	biological	Trip1	root-adjacent	379688	1099	0.002894	1257	8
e0913_43Sr1	biological	Trip1	surface	193191	690	0.003572	503	2
e0914_44PRr2	biological	Trip1	root-adjacent	216052	751	0.003476	505	4
e0915_45Dr1	biological	Trip1	deep	339044	592	0.001746	901	3
e0916_45Sr1	biological	Trip1	surface	512753	541	0.001055	1657	3
e0917_46Dr1	biological	Trip1	deep	129263	0	0.000000	423	0
e0918_46Sr3	biological	Trip1	surface	107990	891	0.008251	354	2
e0919_49PRr2	biological	Trip1	root-adjacent	109413	527	0.004817	725	4
e0920_51Sr2	biological	Trip1	surface	159042	2027	0.012745	746	5
e0921_50PRr1	biological	Trip1	root-adjacent	506213	498	0.000984	1578	6
e0922_54Dr1	biological	Trip1	deep	406279	110	0.000271	839	1
e0923_54Dr2	biological	Trip1	deep	404123	103	0.000255	1275	4
e0924_55PRr1	biological	Trip1	root-adjacent	71865	0	0.000000	119	0
e0925_57PRr1	biological	Trip1	root-adjacent	249953	1567	0.006269	575	4
e0926_57Sr2	biological	Trip1	surface	94954	644	0.006782	119	1
e0927_60Dr2	biological	Trip1	deep	147421	182	0.001235	222	2
e0928_60Dr3	biological	Trip1	deep	267243	133	0.000498	312	1
e681_T1Dr1	biological	Trip2	deep	934	0	0.000000	60	0
e683_T4PRr1	biological	Trip2	root-adjacent	545420	550	0.001008	3264	6
e695_T6Dr2	biological	Trip2	deep	299544	423	0.001412	2571	12
e705_T5PRr1	biological	Trip2	root-adjacent	301075	17478	0.058052	3069	7
e707_T7Dr3	biological	Trip2	deep	570327	1431	0.002509	1780	8
e717_T6PRr3	biological	Trip2	root-adjacent	1068	0	0.000000	60	0
e719_T8Sr3	biological	Trip2	surface	603513	704	0.001167	3255	9
e729_T8Dr3	biological	Trip2	deep	510	0	0.000000	35	0
e730_T6Dr1	biological	Trip2	deep	500407	12721	0.025421	2716	16
e734_T5Sr2	biological	Trip2	surface	2054565	10442	0.005082	4918	25
