feature_id	control_profiles_present	biological_profiles_present	prevalence_score	taxon
6f831ec23912ae9e5a5dd18a49ae0af6	7	13	2.19876e-08	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;NA;NA
b428ec97c8618b96e20bba371a7dff04	12	90	4.56593e-08	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;NA
e1f99032e2cc030cce326d32296f99aa	8	25	4.64756e-08	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;NA
e31cf8aa06a12c827d58b6964707fa10	8	25	4.64756e-08	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
b8a872df565b33cff2fc5cc476c3ae86	7	15	4.72331e-08	Bacteria;Actinomycetota;MB-A2-108;NA;NA;NA;NA
bf544016ab71aa19c90cedc4f7a0a9d9	6	8	6.3311e-08	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica
7845ad1d051fbbe331594f053268bef5	5	3	8.35776e-08	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;0.99
fe4ab19e1bb145560464e383924a08da	9	43	1.29868e-07	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Frankiaceae;Frankia;NA
870dd23b1c9cf8bb976f936b45490cbd	6	10	1.64721e-07	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
d40b9827c58818cc4b01743ca375f679	14	154	1.7804e-07	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;NA
9c96f4e32ea72ac099c9f375a2f3f5c4	5	4	1.85695e-07	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica
33ca8d1dff47db55afdecb6c6c53a1e2	7	20	2.3169e-07	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
ac98b8e22c226b0508127212267ad347	6	11	2.51451e-07	Bacteria;Chloroflexota;Anaerolineae;NA;NA;NA;NA
2ff91bca6d93ee00175d5be16173daad	6	11	2.51451e-07	Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;NA
dbe6011fc639607adf28bc048cd680ae	6	12	3.72554e-07	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;NA;NA
99ca66060e2ac6b3f132b46b4580aa44	6	13	5.37827e-07	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
c56823d56dd1f3dad5f9b6eb16be9ed7	6	13	5.37827e-07	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
4872ff9f531212df852d935bd5ac2ca1	5	6	6.63935e-07	Bacteria;Chloroflexota;Anaerolineae;NA;NA;NA;NA
a70e5c087d0734762aa959329ba3f981	10	72	6.79045e-07	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
7d67f1043f6494aa3192865ae96513b9	8	39	8.95702e-07	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;NA
ca563934b8786e5c3b637be1b2e2e5c5	6	15	1.04943e-06	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
38b18d3c78adfaafb496034c8c46c511	5	7	1.12391e-06	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;;;0.91
eedf91ed9b801218ad3bbb808ca1eaed	5	7	1.12391e-06	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;;;;1
1b7feeca6daea073cfc5ef3da0cd7b46	7	27	1.29067e-06	Bacteria;Chloroflexota;Chloroflexia;NA;NA;NA;NA
3e0302400f012e5ff2d43a1aa6f0f3a4	5	8	1.80347e-06	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
85dcefcabb539c1513210b3491f12168	7	30	2.38267e-06	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;vireti
f9e48a0c740daa33743b563b46385443	6	18	2.50826e-06	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
b7db9a4cfed0f4e566b04a0af0abb1df	6	18	2.50826e-06	Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae;Truepera;NA
166b977255ec1a004f89f739f1da3593	5	9	2.77022e-06	Bacteria;Actinomycetota;MB-A2-108;NA;NA;NA;NA
1cca6b1015bcfb3642bb1b987fbcdc30	4	3	3.30795e-06	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;subtilis;;0.69
207a3a74d693ad7b12122d68e55148f3	5	10	4.10322e-06	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Ensifer;NA
384253c5c532a279dc9e629b7e26c9b2	6	20	4.18561e-06	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA
c7dc869f09e38478777c93e270d0f60c	6	20	4.18561e-06	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
88ae39afee855d60bc0c3f29cd834916	5	11	5.89345e-06	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;;;;1
09cc0ccbd9a160427d2673414213bc6b	3	0	5.92858e-06	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Domibacillus;;;1
3d25cde0c93b24f9d8be932d16dbfc20	3	0	5.92858e-06	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;;;1
3f40f9200b4980d34fa11718722d0a0b	3	0	5.92858e-06	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;;;;0.51
616ad404e99c59af455fd77b698c9a60	3	0	5.92858e-06	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;;;;0.7
914b7fbfc25c3ba6d1037aa4b4b502c0	4	4	6.53232e-06	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
4291cd6b3bfeecd23391d9d4eebee3e6	4	4	6.53232e-06	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Arenimicrobium;;;0.55
a72ef586f7c40bf70d7cf71c73720310	8	53	7.12852e-06	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
5dc316248dba3e45f86fb1f06a6e50b9	16	285	7.72164e-06	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinokineospora;fastidiosa
84c7dba40a076249bd8e3eeca8aca3f8	8	54	8.08963e-06	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;NA;NA
1a2bb48aab3a459191ba36841d397fb2	5	12	8.24428e-06	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;NA;NA
ea56cb8be31ea5ca06a3598fdab17710	10	98	9.30176e-06	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;NA
82b7ab8a156b38dd9a61e32e54116f25	6	24	1.02732e-05	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Gracilibacillus;NA
fe589fcc6978f9aa0ab19686c67019dc	7	39	1.11146e-05	Bacteria;Bacillota;Symbiobacteriia;Symbiobacteriales;Symbiobacteraceae;NA;NA
57fe3d79d5d6a075cc32127930193760	5	13	1.12719e-05	Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;NA
4f5c8a1bfb5d94a7cf7eebeca8395a4b	4	5	1.16096e-05	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA
ffb09cc1e44ad4a0a78070ea8d64556e	4	5	1.16096e-05	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinopolyspora;;;0.5
405581a62c78b65357bc56af7f7e9445	13	192	1.67804e-05	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;NA
40bc07ed70fccab10dba285054549c96	5	15	1.98876e-05	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;NA;NA
6532888137f2a938157a9a3a1adfa482	3	1	2.34198e-05	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;;;0.94
ccc69624da0507596f560f0ef32a5d87	4	7	2.96426e-05	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA
8b69b820ead565c02647df4fa7effed2	5	17	3.29361e-05	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;NA
726c61fe70d9adcad34395dd677190c8	13	208	3.94319e-05	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
da817a25baeeeaf88401709ed466586f	4	8	4.39019e-05	Bacteria;Chloroflexota;Gitt-GS-136;NA;NA;NA;NA
c9d6cd2b15cdf05433948f3a5541c430	9	93	4.61565e-05	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;NA;NA
b672b317cf8d50929187da42423f4c7b	3	2	5.78223e-05	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
be59d0124fbbdf5e6457c9aff5c5c41c	3	2	5.78223e-05	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;;;;0.91
2ab24122eb1c6f27446d492c41d251f9	4	9	6.26123e-05	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;NA
f170372edced6cb8b8380f65df294e2d	13	222	7.83308e-05	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
4f07cc33054f6855fcd5283529ddd4fb	4	10	8.65491e-05	Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;NA
7afb08a96f9beb27e16622379df03cfe	12	194	0.000107531	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Metabacillus;NA
ba981b05c7964beef608702ffa302b8c	3	3	0.000114209	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;NA
b84ed41afc07539b791fccd375a119b1	4	11	0.000116529	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;NA
8397347c799d2be0b28f9bed48464626	12	201	0.00015117	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;NA
27b07f949c6af4d4700f3a852d4fc02a	8	84	0.000156438	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;NA;NA
8752699302b39dfb9ba91605a532e75c	18	460	0.000192819	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Domibacillus;NA
efc350a87cff5cf5997a1b23cfb73125	3	4	0.000197384	Bacteria;Actinomycetota;MB-A2-108;;;;;;1
0eb42de89a49f787cc3fb7d1c0ee3983	3	4	0.000197384	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;NA
8ccf8caad3697485faa2c5e23d9ad05d	3	4	0.000197384	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;;;;0.8
39ed5617eb3fb885c68e2d459313669e	3	4	0.000197384	Bacteria;Actinomycetota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae;;;;1
1dc31e9b790cab338fd7ecd7cf281e1a	3	4	0.000197384	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Ellin6055;;;0.92
17f4ab386e5b9ad369b9593c9a5ed54b	3	4	0.000197384	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA
8e1a3cbfa76b70a61a0bd718e4a8fc10	4	13	0.000198074	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Arenimicrobium;NA
147e99721d814df9b230a48bfb323fd3	10	144	0.000222416	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Herpetosiphonaceae;Herpetosiphon;NA
ecc716ac2d30b400ac8640a3c36bc714	4	14	0.000251446	Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;NA
ae35303762e47edffdb8d71e2cdf529c	4	14	0.000251446	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;NA
b053c8d65da3ba398dd7815c83e29798	5	29	0.000298928	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;NA
6c579fe7a98b5be2d96b7820dfb6e251	3	5	0.000311896	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;;;;;0.77
f60c237142644607b56f7583e5078585	2	0	0.000341971	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;;;;1
153d7ff47755a300a95161d7ac619360	2	0	0.000341971	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;massiliensis;;0.58
510351412a2a2908c973a228e5bc8e48	2	0	0.000341971	Bacteria;Chloroflexota;Dehalococcoidia;SAR202 clade;;;;;1
ed91cadfbb747f821fef6c63e64fda6e	2	0	0.000341971	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;Thermomicrobiaceae;Nitrolancea;hollandica;;0.66
4dd2294bede56fc7ad89ded447480bd7	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;;;0.88
4e3569f91d0d17ba6c71df6ef8b4083a	2	0	0.000341971	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;;;1
4e7ec7664c5b41188304ac0e8afe88e3	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;;;;0.75
4eb6b102bdfde1cd919ef78f6b8d238e	2	0	0.000341971	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;;;;0.99
4ad83c0b409edb049eea811851cb589e	2	0	0.000341971	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;halotolerans;;0.53
56512222cb174683fb1792a41f6e58e8	2	0	0.000341971	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;;;0.82
559cdea30f4a2c184f4bfb1dd709486c	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;1
56adb1a02607c1a5e1a03fab8faf5cd0	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;;;0.51
4a5ff7074731f72e76320add2bd9b753	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;1
5a436106b9e87cc6fd25580865318bc5	2	0	0.000341971	Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;;;0.54
58f31995d5a828456cabd556bfc2639e	2	0	0.000341971	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica;;0.67
ecbe9fef0cafe21c9327c3b94c144dda	2	0	0.000341971	Bacteria;Gemmatimonadota;S0134 terrestrial group;;;;;;0.63
d5ba2f68334aa738304984d2628e9213	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;0.9
d43c61138c74158935af767d1f56941d	2	0	0.000341971	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;;;;0.97
694de943d7623e5555d19a873a7e90c8	2	0	0.000341971	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;;;0.88
565a59acb23a99b80fa705641898c2ec	2	0	0.000341971	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;;;1
6c957f4f96a6536cbc0245d89b613bbb	2	0	0.000341971	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;TRA3-20;;;;1
07cdb6f76019fbaa85d33db70216be4a	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Crossiella;;;0.66
6d7dceb014022afcec51b92ee6394f8c	2	0	0.000341971	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;;;;1
d83154b25a2e4a1df523955e16d30520	2	0	0.000341971	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli;;0.52
60f7b2a68d1410c8b1ca46954d26aad2	2	0	0.000341971	Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter;;;1
605a92664f71f7772043d7fe4c1ab571	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;;;0.96
6e0eab150aaf9ae0de252a9623f71fc9	2	0	0.000341971	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;;;;1
70c947d06a127cb8742f13895167501b	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;0.97
082ea282f29a5d3eaa675085c755906a	2	0	0.000341971	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Imperialibacter;;;1
e06f4683f322b95766a6b1c9e10982c9	2	0	0.000341971	Bacteria;Rhodothermota;Rhodothermia;Rhodothermales;Rhodothermaceae;;;;1
cd900548b15e7becdddbe337784dca76	2	0	0.000341971	Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;;;1
ce918b5ebd027c5209398054e5bd74f5	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Herbihabitans;;;0.74
6a36cf63584c066c4f43180542ce91f1	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Kineosporiales;Kineosporiaceae;Thalassiella;;;0.97
c7780bff0f07673e373349f6bd4aad90	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Sphaerisporangium;;;0.63
02af03501dd06cd8d5f2ea712d674e0c	2	0	0.000341971	Bacteria;Chloroflexota;Anaerolineae;Ardenticatenales;;;;;1
ccc1334dc565fed774fabd8f2cb7d5eb	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;;;;0.85
3f08b2fd170f5bf96faeec8ad3681a67	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;;;1
b6cce7d702ef8cc0557e3518b1ff6690	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;0.72
3e6435bb2397108a58c709e146b266c0	2	0	0.000341971	Bacteria;Cyanobacteriota;Sericytochromatia;;;;;;0.95
3f087191515c780e7af008a0c73761c5	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Herbihabitans;;;0.74
be5cf3ff91a9c7eb9f5cd5b7bcc52bfb	2	0	0.000341971	Bacteria;Rhodothermota;Rhodothermia;Rhodothermales;Rhodothermaceae;;;;1
bd0f9989bc364596a8d1ca673dc67a89	2	0	0.000341971	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Niastella;;;0.97
7cec8f15d9b55552d8eab8055cd6e655	2	0	0.000341971	Bacteria;;;;;;;;1
7d87cb2969b3da47ecf68a3aa01d6c9f	2	0	0.000341971	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter;citreus;;0.57
26b79f4f4d2042e863ea35d557710592	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;;;1
2997df89f59a88007fb9909a82329a7f	2	0	0.000341971	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;;;;1
26c47581d2aa7a399a976cebd96d63ca	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Frankiaceae;Frankia;;;0.6
242662f99d40264047eca4f4dc4e5c09	2	0	0.000341971	Bacteria;;;;;;;;1
802c43d93331e87128467a3454df6490	2	0	0.000341971	Bacteria;Chloroflexota;Gitt-GS-136;;;;;;0.55
805089b91fb9d059c959fcd221f161b5	2	0	0.000341971	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;varians;;0.55
7f0ae588787cdc549ef889349f1da77b	2	0	0.000341971	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;salitolerans;;0.97
7e14910e8cbd8ff019378523db86f971	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinokineospora;fastidiosa;;0.81
09c9b5ac23babbb03429da1ed6c9bad9	2	0	0.000341971	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;1
