profile_id	role	extraction_blank	total_reads	total_asvs	candidate_contaminant_reads	candidate_contaminant_asvs	candidate_contaminant_read_fraction	application_scope
V10PRr2	compatible_biological_profile	EB11	615357	4921	182037	58	0.29582340	removed_in_trip5_sensitivity_table
V11Dr3	compatible_biological_profile	EB9	739633	5220	2124	16	0.00287169	removed_in_trip5_sensitivity_table
V11PRr2	compatible_biological_profile	EB9	778089	6063	6880	40	0.00884218	removed_in_trip5_sensitivity_table
V11PRr3	compatible_biological_profile	EB9	534851	6465	2839	21	0.00530802	removed_in_trip5_sensitivity_table
V11Sr2	compatible_biological_profile	EB9	1668156	4034	2709	15	0.00162395	removed_in_trip5_sensitivity_table
V12Dr3	compatible_biological_profile	EB11	568995	7743	799	9	0.00140423	removed_in_trip5_sensitivity_table
V12PRr1	compatible_biological_profile	EB1	600621	5608	554	5	0.00092238	removed_in_trip5_sensitivity_table
V12PRr2	compatible_biological_profile	EB11	416744	5452	424	6	0.00101741	removed_in_trip5_sensitivity_table
V12PRr3	compatible_biological_profile	EB11	630776	4736	746	3	0.00118267	removed_in_trip5_sensitivity_table
V12Sr1	compatible_biological_profile	EB1	470457	5268	654	6	0.00139014	removed_in_trip5_sensitivity_table
V12Sr3	compatible_biological_profile	EB11	911857	3908	1551	8	0.00170092	removed_in_trip5_sensitivity_table
V13PRr1	compatible_biological_profile	EB2	1227634	6496	3140	18	0.00255777	removed_in_trip5_sensitivity_table
V13PRr2	compatible_biological_profile	EB9	727940	2671	666	3	0.00091491	removed_in_trip5_sensitivity_table
V13Sr3	compatible_biological_profile	EB9	702965	3282	6915	21	0.00983691	removed_in_trip5_sensitivity_table
V14Dr3	compatible_biological_profile	EB14	873663	2081	30012	31	0.03435192	removed_in_trip5_sensitivity_table
V14PRr1	compatible_biological_profile	EB3	744229	1273	421197	45	0.56595080	removed_in_trip5_sensitivity_table
V14PRr2	compatible_biological_profile	EB14	442347	1715	172307	46	0.38952903	removed_in_trip5_sensitivity_table
V14PRr3	compatible_biological_profile	EB14	517214	1313	242020	46	0.46793010	removed_in_trip5_sensitivity_table
V14Sr1	compatible_biological_profile	EB3	589062	3203	17857	30	0.03031430	removed_in_trip5_sensitivity_table
V15Dr1	compatible_biological_profile	EB2	808917	4300	2196	6	0.00271474	removed_in_trip5_sensitivity_table
V15Dr2	compatible_biological_profile	EB11	993412	4486	3127	14	0.00314774	removed_in_trip5_sensitivity_table
V15Dr3	compatible_biological_profile	EB11	861255	5626	3381	15	0.00392567	removed_in_trip5_sensitivity_table
V15PRr1	compatible_biological_profile	EB2	661392	3275	62571	21	0.09460501	removed_in_trip5_sensitivity_table
V15PRr2	compatible_biological_profile	EB11	853682	3690	46137	28	0.05404471	removed_in_trip5_sensitivity_table
V15PRr3	compatible_biological_profile	EB11	500074	3339	34137	16	0.06826390	removed_in_trip5_sensitivity_table
V15Sr1	compatible_biological_profile	EB2	679119	5092	1269	10	0.00186860	removed_in_trip5_sensitivity_table
V15Sr2	compatible_biological_profile	EB11	868439	7159	5374	31	0.00618811	removed_in_trip5_sensitivity_table
V16Dr3	compatible_biological_profile	EB11	826731	3750	13382	13	0.01618664	removed_in_trip5_sensitivity_table
V16PRr1	compatible_biological_profile	EB1	691016	4063	14690	28	0.02125855	removed_in_trip5_sensitivity_table
V16PRr2	compatible_biological_profile	EB11	388509	3214	10663	21	0.02744595	removed_in_trip5_sensitivity_table
V16PRr3	compatible_biological_profile	EB11	467393	3886	27503	21	0.05884341	removed_in_trip5_sensitivity_table
V17Dr1	compatible_biological_profile	EB5	617693	6573	1041	10	0.00168530	removed_in_trip5_sensitivity_table
V17Dr2	compatible_biological_profile	EB8	739031	6106	3274	19	0.00443013	removed_in_trip5_sensitivity_table
V17PRr1	compatible_biological_profile	EB5	919445	3367	2648	14	0.00288000	removed_in_trip5_sensitivity_table
V17PRr2	compatible_biological_profile	EB8	671805	2781	7271	6	0.01082308	removed_in_trip5_sensitivity_table
V17PRr3	compatible_biological_profile	EB8	567532	3733	8055	6	0.01419303	removed_in_trip5_sensitivity_table
V18PRr2	compatible_biological_profile	EB7	688527	3878	1980	8	0.00287570	removed_in_trip5_sensitivity_table
V18PRr3	compatible_biological_profile	EB7	490978	3700	903	6	0.00183919	removed_in_trip5_sensitivity_table
V19Dr2	compatible_biological_profile	EB7	4341054	16563	12525	24	0.00288524	removed_in_trip5_sensitivity_table
V19Dr3	compatible_biological_profile	EB7	691081	6232	3149	16	0.00455663	removed_in_trip5_sensitivity_table
V19PRr1	compatible_biological_profile	EB2	907515	3922	707	13	0.00077905	removed_in_trip5_sensitivity_table
V19PRr2	compatible_biological_profile	EB7	452234	3492	75	2	0.00016584	removed_in_trip5_sensitivity_table
V19PRr3	compatible_biological_profile	EB7	480790	3148	256	4	0.00053246	removed_in_trip5_sensitivity_table
V19Sr3	compatible_biological_profile	EB7	1116547	4444	6814	15	0.00610274	removed_in_trip5_sensitivity_table
V1Dr1	compatible_biological_profile	EB6	149046	603	45	3	0.00030192	removed_in_trip5_sensitivity_table
V1Dr3	compatible_biological_profile	EB7	625355	2992	3338	14	0.00533777	removed_in_trip5_sensitivity_table
V1PRr1	compatible_biological_profile	EB5	535684	2899	1967	12	0.00367194	removed_in_trip5_sensitivity_table
V1PRr2	compatible_biological_profile	EB7	397005	1881	435	6	0.00109570	removed_in_trip5_sensitivity_table
V1PRr3	compatible_biological_profile	EB7	742979	1729	313	5	0.00042128	removed_in_trip5_sensitivity_table
V20PRr1	compatible_biological_profile	EB5	2217058	8570	10208	37	0.00460430	removed_in_trip5_sensitivity_table
V20PRr2	compatible_biological_profile	EB14	602263	3397	1542	12	0.00256034	removed_in_trip5_sensitivity_table
V20PRr3	compatible_biological_profile	EB14	1256846	4638	1083	16	0.00086168	removed_in_trip5_sensitivity_table
V20Sr2	compatible_biological_profile	EB14	668287	2632	3279	10	0.00490657	removed_in_trip5_sensitivity_table
V21Dr1	compatible_biological_profile	EB3	399410	3401	5182	11	0.01297414	removed_in_trip5_sensitivity_table
V21Dr2	compatible_biological_profile	EB12	387092	5218	499	7	0.00128910	removed_in_trip5_sensitivity_table
V21PRr1	compatible_biological_profile	EB3	367389	4684	3262	16	0.00887887	removed_in_trip5_sensitivity_table
V21PRr2	compatible_biological_profile	EB12	750436	8347	5775	17	0.00769553	removed_in_trip5_sensitivity_table
V21PRr3	compatible_biological_profile	EB12	499748	5406	3563	16	0.00712959	removed_in_trip5_sensitivity_table
V21Sr3	compatible_biological_profile	EB12	1112675	6365	7973	18	0.00716561	removed_in_trip5_sensitivity_table
V22PRr2	compatible_biological_profile	EB9	630179	4294	2218	18	0.00351963	removed_in_trip5_sensitivity_table
V23Dr1	compatible_biological_profile	EB1	709739	6417	6641	17	0.00935696	removed_in_trip5_sensitivity_table
V23PRr1	compatible_biological_profile	EB1	605279	8026	3930	21	0.00649287	removed_in_trip5_sensitivity_table
V23PRr2	compatible_biological_profile	EB12	493078	8142	3027	13	0.00613899	removed_in_trip5_sensitivity_table
V24Dr1	compatible_biological_profile	EB2	433988	3919	222	5	0.00051153	removed_in_trip5_sensitivity_table
V24PRr1	compatible_biological_profile	EB2	551729	7475	3734	11	0.00676782	removed_in_trip5_sensitivity_table
V24PRr3	compatible_biological_profile	EB14	377824	3450	879	7	0.00232648	removed_in_trip5_sensitivity_table
V25Dr3	compatible_biological_profile	EB10	409452	4447	206	4	0.00050311	removed_in_trip5_sensitivity_table
V25PRr1	compatible_biological_profile	EB1	565561	3054	88	1	0.00015560	removed_in_trip5_sensitivity_table
V25PRr2	compatible_biological_profile	EB10	500897	3182	101	2	0.00020164	removed_in_trip5_sensitivity_table
V25PRr3	compatible_biological_profile	EB10	540459	2983	448	13	0.00082893	removed_in_trip5_sensitivity_table
V25Sr2	compatible_biological_profile	EB10	864456	5019	1213	7	0.00140319	removed_in_trip5_sensitivity_table
V25Sr3	compatible_biological_profile	EB10	838440	4747	1116	10	0.00133104	removed_in_trip5_sensitivity_table
V26Dr2	compatible_biological_profile	EB14	227594	2654	1059	8	0.00465302	removed_in_trip5_sensitivity_table
V26Dr3	compatible_biological_profile	EB14	599509	3642	2172	9	0.00362296	removed_in_trip5_sensitivity_table
V26PRr1	compatible_biological_profile	EB5	524183	4030	2314	12	0.00441449	removed_in_trip5_sensitivity_table
V26PRr2	compatible_biological_profile	EB14	804585	4921	3668	9	0.00455887	removed_in_trip5_sensitivity_table
V26Sr2	compatible_biological_profile	EB14	676130	4464	1710	9	0.00252910	removed_in_trip5_sensitivity_table
V27Dr2	compatible_biological_profile	EB15	690327	5967	10852	24	0.01572009	removed_in_trip5_sensitivity_table
V27Dr3	compatible_biological_profile	EB16	759591	6514	11733	18	0.01544647	removed_in_trip5_sensitivity_table
V27PRr1	compatible_biological_profile	EB2	415925	2343	789	4	0.00189698	removed_in_trip5_sensitivity_table
V27PRr2	compatible_biological_profile	EB15	555336	2818	1556	10	0.00280191	removed_in_trip5_sensitivity_table
V27PRr3	compatible_biological_profile	EB15	545853	2251	1339	8	0.00245304	removed_in_trip5_sensitivity_table
V28Dr1	compatible_biological_profile	EB6	892760	5487	7750	20	0.00868094	removed_in_trip5_sensitivity_table
V28Dr3	compatible_biological_profile	EB8	419697	3149	2386	10	0.00568505	removed_in_trip5_sensitivity_table
V28PRr1	compatible_biological_profile	EB2	716456	4661	1539	17	0.00214807	removed_in_trip5_sensitivity_table
V28PRr2	compatible_biological_profile	EB8	701711	5162	4572	17	0.00651550	removed_in_trip5_sensitivity_table
V28PRr3	compatible_biological_profile	EB8	528041	4405	4172	21	0.00790090	removed_in_trip5_sensitivity_table
V29PRr2	compatible_biological_profile	EB8	829930	4259	6344	14	0.00764402	removed_in_trip5_sensitivity_table
V29PRr3	compatible_biological_profile	EB8	890128	3444	7317	11	0.00822017	removed_in_trip5_sensitivity_table
V2Dr1	compatible_biological_profile	EB2	438638	3855	64491	29	0.14702557	removed_in_trip5_sensitivity_table
V2Dr2	compatible_biological_profile	EB7	599571	5567	3390	29	0.00565404	removed_in_trip5_sensitivity_table
V2PRr1	compatible_biological_profile	EB2	684082	5749	1538	17	0.00224827	removed_in_trip5_sensitivity_table
V2PRr2	compatible_biological_profile	EB7	255464	3397	1035	13	0.00405145	removed_in_trip5_sensitivity_table
V2PRr3	compatible_biological_profile	EB16	627102	6111	1792	20	0.00285759	removed_in_trip5_sensitivity_table
V2Sr1	compatible_biological_profile	EB2	691496	4686	916	14	0.00132466	removed_in_trip5_sensitivity_table
V2Sr2	compatible_biological_profile	EB7	435506	4617	160	5	0.00036739	removed_in_trip5_sensitivity_table
V30PRr1	compatible_biological_profile	EB3	384827	3440	627	4	0.00162930	removed_in_trip5_sensitivity_table
V30PRr2	compatible_biological_profile	EB12	316791	3191	1205	5	0.00380377	removed_in_trip5_sensitivity_table
V30PRr3	compatible_biological_profile	EB12	625055	2992	2144	11	0.00343010	removed_in_trip5_sensitivity_table
V30Sr2	compatible_biological_profile	EB12	955117	4326	10538	14	0.01103320	removed_in_trip5_sensitivity_table
V31Dr1	compatible_biological_profile	EB2	816505	3021	11524	21	0.01411381	removed_in_trip5_sensitivity_table
V31Dr3	compatible_biological_profile	EB12	721172	3445	10266	18	0.01423516	removed_in_trip5_sensitivity_table
V32PRr1	compatible_biological_profile	EB3	783652	3503	6629	15	0.00845911	removed_in_trip5_sensitivity_table
V32PRr2	compatible_biological_profile	EB15	514694	4919	3668	22	0.00712656	removed_in_trip5_sensitivity_table
V32PRr3	compatible_biological_profile	EB15	760983	9378	24822	71	0.03261834	removed_in_trip5_sensitivity_table
V33PRr1	compatible_biological_profile	EB1	607595	2380	2447	12	0.00402735	removed_in_trip5_sensitivity_table
V33PRr2	compatible_biological_profile	EB10	733370	3503	3078	17	0.00419706	removed_in_trip5_sensitivity_table
V33PRr3	compatible_biological_profile	EB10	593156	3401	4203	18	0.00708583	removed_in_trip5_sensitivity_table
V34Dr2	compatible_biological_profile	EB8	877855	3789	7462	14	0.00850026	removed_in_trip5_sensitivity_table
V34PRr1	compatible_biological_profile	EB4	507706	3655	15012	14	0.02956829	removed_in_trip5_sensitivity_table
V34PRr2	compatible_biological_profile	EB8	643446	4075	7222	17	0.01122394	removed_in_trip5_sensitivity_table
V34PRr3	compatible_biological_profile	EB8	626593	3076	6915	17	0.01103587	removed_in_trip5_sensitivity_table
V35Dr1	compatible_biological_profile	EB4	1450613	5538	3909	11	0.00269472	removed_in_trip5_sensitivity_table
V35PRr1	compatible_biological_profile	EB4	334895	2351	1929	5	0.00576001	removed_in_trip5_sensitivity_table
V35PRr2	compatible_biological_profile	EB8	302467	1661	14008	6	0.04631249	removed_in_trip5_sensitivity_table
V35PRr3	compatible_biological_profile	EB17	160039	1159	2068	7	0.01292185	removed_in_trip5_sensitivity_table
V37Dr1	compatible_biological_profile	EB3	236686	1204	50	2	0.00021125	removed_in_trip5_sensitivity_table
V37PRr2	compatible_biological_profile	EB12	346454	4581	354	7	0.00102178	removed_in_trip5_sensitivity_table
V37PRr3	compatible_biological_profile	EB12	449850	2439	698	8	0.00155163	removed_in_trip5_sensitivity_table
V38PRr3	compatible_biological_profile	EB15	48510	1036	1184	4	0.02440734	removed_in_trip5_sensitivity_table
V38Sr2	compatible_biological_profile	EB15	865020	2186	10309	4	0.01191764	removed_in_trip5_sensitivity_table
V39Dr1	compatible_biological_profile	EB4	949051	4087	7800	17	0.00821874	removed_in_trip5_sensitivity_table
V39Dr3	compatible_biological_profile	EB15	813823	3789	6073	12	0.00746231	removed_in_trip5_sensitivity_table
V39PRr1	compatible_biological_profile	EB4	433656	3233	5384	24	0.01241537	removed_in_trip5_sensitivity_table
V39PRr2	compatible_biological_profile	EB15	994413	4348	57478	33	0.05780093	removed_in_trip5_sensitivity_table
V39PRr3	compatible_biological_profile	EB15	380123	4975	19515	26	0.05133865	removed_in_trip5_sensitivity_table
V39Sr2	compatible_biological_profile	EB15	333612	1471	9155	13	0.02744206	removed_in_trip5_sensitivity_table
V3PRr1	compatible_biological_profile	EB2	245792	3765	1207	6	0.00491066	removed_in_trip5_sensitivity_table
V3PRr2	compatible_biological_profile	EB14	85966	1478	781	9	0.00908499	removed_in_trip5_sensitivity_table
V3PRr3	compatible_biological_profile	EB14	406970	4112	2202	16	0.00541072	removed_in_trip5_sensitivity_table
V40Dr1	compatible_biological_profile	EB6	703200	3731	14467	19	0.02057309	removed_in_trip5_sensitivity_table
V40PRr1	compatible_biological_profile	EB3	387146	3398	1744	8	0.00450476	removed_in_trip5_sensitivity_table
V40PRr2	compatible_biological_profile	EB12	653812	4092	2002	14	0.00306204	removed_in_trip5_sensitivity_table
V40PRr3	compatible_biological_profile	EB12	993307	6308	4083	10	0.00411051	removed_in_trip5_sensitivity_table
V40Sr3	compatible_biological_profile	EB12	1318128	5741	2572	10	0.00195125	removed_in_trip5_sensitivity_table
V41Dr3	compatible_biological_profile	EB16	382552	555	2371	2	0.00619785	removed_in_trip5_sensitivity_table
V42PRr2	compatible_biological_profile	EB15	785972	2570	472	2	0.00060053	removed_in_trip5_sensitivity_table
V42Sr2	compatible_biological_profile	EB15	1028589	2589	6082	4	0.00591295	removed_in_trip5_sensitivity_table
V43Dr1	compatible_biological_profile	EB4	581664	4932	1688	6	0.00290202	removed_in_trip5_sensitivity_table
V43Dr2	compatible_biological_profile	EB15	529697	5063	2727	9	0.00514823	removed_in_trip5_sensitivity_table
V43Dr3	compatible_biological_profile	EB15	699177	6646	2260	11	0.00323237	removed_in_trip5_sensitivity_table
V43PRr1	compatible_biological_profile	EB4	723396	3677	2820	15	0.00389828	removed_in_trip5_sensitivity_table
V43PRr2	compatible_biological_profile	EB15	787772	3818	3558	14	0.00451654	removed_in_trip5_sensitivity_table
V43PRr3	compatible_biological_profile	EB15	943624	5602	854	7	0.00090502	removed_in_trip5_sensitivity_table
V44Dr1	compatible_biological_profile	EB3	688641	1751	158	3	0.00022944	removed_in_trip5_sensitivity_table
V44PRr1	compatible_biological_profile	EB3	823933	9333	50268	33	0.06100982	removed_in_trip5_sensitivity_table
V44PRr2	compatible_biological_profile	EB9	820768	4801	8946	8	0.01089955	removed_in_trip5_sensitivity_table
V45Dr1	compatible_biological_profile	EB4	672000	998	215	2	0.00031994	removed_in_trip5_sensitivity_table
V45Dr2	compatible_biological_profile	EB15	632897	1517	583	5	0.00092116	removed_in_trip5_sensitivity_table
V45Dr3	compatible_biological_profile	EB15	425049	1641	195	2	0.00045877	removed_in_trip5_sensitivity_table
V45PRr1	compatible_biological_profile	EB4	357216	735	109	2	0.00030514	removed_in_trip5_sensitivity_table
V45PRr2	compatible_biological_profile	EB15	416030	1174	221	6	0.00053121	removed_in_trip5_sensitivity_table
V45PRr3	compatible_biological_profile	EB15	908916	2073	812	10	0.00089337	removed_in_trip5_sensitivity_table
V45Sr3	compatible_biological_profile	EB15	603083	3280	859	5	0.00142435	removed_in_trip5_sensitivity_table
V46PRr1	compatible_biological_profile	EB4	305383	2625	792	5	0.00259346	removed_in_trip5_sensitivity_table
V46PRr2	compatible_biological_profile	EB10	444029	3447	3415	4	0.00769094	removed_in_trip5_sensitivity_table
V46PRr3	compatible_biological_profile	EB10	592143	2124	590	7	0.00099638	removed_in_trip5_sensitivity_table
V47PRr1	compatible_biological_profile	EB4	631747	3769	1428	4	0.00226040	removed_in_trip5_sensitivity_table
V47PRr2	compatible_biological_profile	EB11	489175	3912	747	6	0.00152706	removed_in_trip5_sensitivity_table
V47PRr3	compatible_biological_profile	EB11	602884	4502	1114	4	0.00184778	removed_in_trip5_sensitivity_table
V48Dr1	compatible_biological_profile	EB6	640336	1411	294	4	0.00045913	removed_in_trip5_sensitivity_table
V48Dr2	compatible_biological_profile	EB13	582278	1983	968	12	0.00166244	removed_in_trip5_sensitivity_table
V48Dr3	compatible_biological_profile	EB13	683205	1529	4820	18	0.00705498	removed_in_trip5_sensitivity_table
V48PRr1	compatible_biological_profile	EB4	951132	1581	1534	15	0.00161282	removed_in_trip5_sensitivity_table
V49Dr2	compatible_biological_profile	EB13	734681	2434	541	4	0.00073637	removed_in_trip5_sensitivity_table
V4Dr1	compatible_biological_profile	EB5	709278	6228	15852	24	0.02234949	removed_in_trip5_sensitivity_table
V4Dr2	compatible_biological_profile	EB8	1204226	9637	138206	38	0.11476749	removed_in_trip5_sensitivity_table
V4Dr3	compatible_biological_profile	EB8	771595	5892	14945	22	0.01936897	removed_in_trip5_sensitivity_table
V4PRr1	compatible_biological_profile	EB5	1022303	3978	15201	17	0.01486937	removed_in_trip5_sensitivity_table
V4PRr2	compatible_biological_profile	EB8	895149	4960	12781	15	0.01427807	removed_in_trip5_sensitivity_table
V4PRr3	compatible_biological_profile	EB8	629011	3917	8338	18	0.01325573	removed_in_trip5_sensitivity_table
V4Sr1	compatible_biological_profile	EB5	1776802	6583	1884	16	0.00106033	removed_in_trip5_sensitivity_table
V4Sr3	compatible_biological_profile	EB8	1002454	4838	5318	13	0.00530498	removed_in_trip5_sensitivity_table
V50PRr2	compatible_biological_profile	EB14	549271	2424	2064	7	0.00375771	removed_in_trip5_sensitivity_table
V51PRr2	compatible_biological_profile	EB14	365455	2400	3444	4	0.00942387	removed_in_trip5_sensitivity_table
V51PRr3	compatible_biological_profile	EB14	329373	1039	7382	4	0.02241228	removed_in_trip5_sensitivity_table
V53PRr2	compatible_biological_profile	EB13	552895	609	1983	3	0.00358658	removed_in_trip5_sensitivity_table
V54PRr1	compatible_biological_profile	EB5	360035	1818	244	5	0.00067771	removed_in_trip5_sensitivity_table
V54PRr2	compatible_biological_profile	EB13	688597	2009	951	6	0.00138107	removed_in_trip5_sensitivity_table
V54PRr3	compatible_biological_profile	EB13	448796	2308	1058	10	0.00235742	removed_in_trip5_sensitivity_table
V55Dr1	compatible_biological_profile	EB5	697209	1138	244	6	0.00034997	removed_in_trip5_sensitivity_table
V55PRr1	compatible_biological_profile	EB5	1747691	2253	1704	11	0.00097500	removed_in_trip5_sensitivity_table
V55PRr2	compatible_biological_profile	EB13	549108	1813	972	10	0.00177014	removed_in_trip5_sensitivity_table
V55PRr3	compatible_biological_profile	EB13	807870	2405	2071	10	0.00256353	removed_in_trip5_sensitivity_table
V55Sr2	compatible_biological_profile	EB13	389009	911	157	5	0.00040359	removed_in_trip5_sensitivity_table
V55Sr3	compatible_biological_profile	EB13	388034	1095	10	1	0.00002577	removed_in_trip5_sensitivity_table
V57PRr2	compatible_biological_profile	EB13	263826	1904	1056	5	0.00400264	removed_in_trip5_sensitivity_table
V57PRr3	compatible_biological_profile	EB13	748550	1826	1598	13	0.00213479	removed_in_trip5_sensitivity_table
V58PRr1	compatible_biological_profile	EB5	375791	2002	63264	10	0.16834890	removed_in_trip5_sensitivity_table
V58PRr2	compatible_biological_profile	EB16	348421	1501	68876	10	0.19768039	removed_in_trip5_sensitivity_table
V58PRr3	compatible_biological_profile	EB16	648764	1901	101252	11	0.15606908	removed_in_trip5_sensitivity_table
V5Dr1	compatible_biological_profile	EB1	1024357	8024	268245	81	0.26186671	removed_in_trip5_sensitivity_table
V5PRr1	compatible_biological_profile	EB1	1009579	8132	80987	70	0.08021859	removed_in_trip5_sensitivity_table
V5PRr2	compatible_biological_profile	EB14	667044	5008	36438	54	0.05462608	removed_in_trip5_sensitivity_table
V5PRr3	compatible_biological_profile	EB14	428929	5006	18845	58	0.04393501	removed_in_trip5_sensitivity_table
V5Sr1	compatible_biological_profile	EB1	839544	4248	545	12	0.00064916	removed_in_trip5_sensitivity_table
V5Sr3	compatible_biological_profile	EB14	767122	8225	2853	14	0.00371910	removed_in_trip5_sensitivity_table
V60PRr1	compatible_biological_profile	EB1	913004	1743	127	3	0.00013910	removed_in_trip5_sensitivity_table
V60PRr2	compatible_biological_profile	EB11	517113	2651	5103	12	0.00986825	removed_in_trip5_sensitivity_table
V6Dr1	compatible_biological_profile	EB5	937702	5771	3489	15	0.00372080	removed_in_trip5_sensitivity_table
V6PRr1	compatible_biological_profile	EB5	471496	4981	957	4	0.00202971	removed_in_trip5_sensitivity_table
V6PRr2	compatible_biological_profile	EB7	614832	5553	1473	8	0.00239578	removed_in_trip5_sensitivity_table
V6PRr3	compatible_biological_profile	EB7	372065	3113	120	2	0.00032252	removed_in_trip5_sensitivity_table
V6Sr1	compatible_biological_profile	EB5	868758	4403	447	6	0.00051453	removed_in_trip5_sensitivity_table
V6Sr3	compatible_biological_profile	EB7	935390	3025	716	7	0.00076546	removed_in_trip5_sensitivity_table
V7Dr3	compatible_biological_profile	EB7	139645	1199	980	11	0.00701780	removed_in_trip5_sensitivity_table
V7PRr1	compatible_biological_profile	EB1	639871	2585	85837	44	0.13414735	removed_in_trip5_sensitivity_table
V7PRr2	compatible_biological_profile	EB7	396490	3172	60875	43	0.15353477	removed_in_trip5_sensitivity_table
V7PRr3	compatible_biological_profile	EB7	1054326	3323	185532	38	0.17597214	removed_in_trip5_sensitivity_table
V8Dr3	compatible_biological_profile	EB9	687547	4731	3294	21	0.00479095	removed_in_trip5_sensitivity_table
V8PRr1	compatible_biological_profile	EB3	1108103	6790	2427	14	0.00219023	removed_in_trip5_sensitivity_table
V8PRr2	compatible_biological_profile	EB9	795344	5258	1598	7	0.00200919	removed_in_trip5_sensitivity_table
V8PRr3	compatible_biological_profile	EB9	484110	3733	443	3	0.00091508	removed_in_trip5_sensitivity_table
V9PRr1	compatible_biological_profile	EB3	421307	4249	357	6	0.00084736	removed_in_trip5_sensitivity_table
V9PRr2	compatible_biological_profile	EB9	452332	3665	974	4	0.00215329	removed_in_trip5_sensitivity_table
V9PRr3	compatible_biological_profile	EB9	662418	5329	401	8	0.00060536	removed_in_trip5_sensitivity_table
