profile_id	rank	taxonomy	reads	read_fraction
e0872_TMC1	4	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;NA	3155	0.05514385
e0872_TMC1	5	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Litchfieldia;NA	2282	0.03988534
e0872_TMC1	6	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Metabacillus;NA	1792	0.03132101
e0872_TMC1	7	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	1654	0.02890901
e0872_TMC1	8	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;NA	1620	0.02831475
e0872_TMC1	9	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Mesobacillus;NA	954	0.01667424
e0872_TMC1	10	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;AKYG1722;NA;NA	673	0.01176286
e0872_TMC1	11	Bacteria;Chloroflexota;Chloroflexia;Kallotenuales;AKIW781;NA;NA	571	0.00998007
e0872_TMC1	12	Bacteria;Chloroflexota;Anaerolineae;Caldilineales;Caldilineaceae;NA;NA	531	0.00928095
e0872_TMC1	13	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Domibacillus;NA	525	0.00917608
e0872_TMC1	14	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;NA	522	0.00912364
e0872_TMC1	15	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;hwajinpoensis	506	0.00884399
e0872_TMC1	16	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Ectobacillus;NA	469	0.00819729
e0872_TMC1	17	Bacteria;Gemmatimonadota;Longimicrobiia;Longimicrobiales;Longimicrobiaceae;NA;NA	437	0.00763799
e0872_TMC1	18	Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae;Truepera;NA	430	0.00751564
e0872_TMC1	19	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;halotolerans	423	0.00739330
e0872_TMC1	20	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;NA	346	0.00604747
e0874_Positive	1	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia-Obesumbacterium;paralvei	100139	0.88031964
e0874_Positive	2	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia-Obesumbacterium;NA	13614	0.11968036
e8294_FPosCtrl1	1	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;NA;NA;NA	10930	0.07218905
e8294_FPosCtrl1	2	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA	9350	0.06175367
e8294_FPosCtrl1	3	Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;NA	9110	0.06016855
e8294_FPosCtrl1	4	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA	6938	0.04582321
e8294_FPosCtrl1	5	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA	5241	0.03461508
e8294_FPosCtrl1	6	Bacteria;NA;NA;NA;NA;NA;NA	4885	0.03226382
e8294_FPosCtrl1	7	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;NA;NA	4659	0.03077116
e8294_FPosCtrl1	8	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;NA	4638	0.03063246
e8294_FPosCtrl1	9	Bacteria;Chloroflexota;Chloroflexia;Kallotenuales;AKIW781;NA;NA	4267	0.02818213
e8294_FPosCtrl1	10	Bacteria;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;NA;NA	3677	0.02428537
e8294_FPosCtrl1	11	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;NA;NA	3645	0.02407403
e8294_FPosCtrl1	12	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;NA	2973	0.01963569
e8294_FPosCtrl1	13	Bacteria;Chloroflexota;KD4-96;NA;NA;NA;NA	2801	0.01849968
e8294_FPosCtrl1	14	Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;NA	2762	0.01824210
e8294_FPosCtrl1	15	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;NA;NA	2736	0.01807038
e8294_FPosCtrl1	16	Bacteria;Actinomycetota;MB-A2-108;NA;NA;NA;NA	2439	0.01610879
e8294_FPosCtrl1	17	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;NA	2056	0.01357920
e8294_FPosCtrl1	18	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	1961	0.01295176
e8294_FPosCtrl1	19	Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Brevitalea;NA	1809	0.01194785
e8294_FPosCtrl1	20	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;NA;NA	1644	0.01085808
e8661_FPosCtrl2	1	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;halotolerans	43141	0.23035808
e8661_FPosCtrl2	2	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli	41268	0.22035690
e8661_FPosCtrl2	3	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica	36676	0.19583720
e8661_FPosCtrl2	4	Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;aureus	16121	0.08608059
e8661_FPosCtrl2	5	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;NA	13459	0.07186642
e8661_FPosCtrl2	6	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis	7744	0.04135029
e8661_FPosCtrl2	7	Bacteria;Bacillota;Bacilli;Lactobacillales;Listeriaceae;Listeria;monocytogenes	7086	0.03783680
e8661_FPosCtrl2	8	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA	6969	0.03721206
e8661_FPosCtrl2	9	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;aeruginosa	6391	0.03412574
e8661_FPosCtrl2	10	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;intestinalis	4922	0.02628178
e8661_FPosCtrl2	11	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;NA	3501	0.01869413
e8665_FPosCtrl3	1	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;halotolerans	83028	0.22136255
e8665_FPosCtrl3	2	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli	76337	0.20352354
e8665_FPosCtrl3	3	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica	62349	0.16622987
e8665_FPosCtrl3	4	Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;aureus	36541	0.09742266
e8665_FPosCtrl3	5	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;NA	28988	0.07728546
e8665_FPosCtrl3	6	Bacteria;Bacillota;Bacilli;Lactobacillales;Listeriaceae;Listeria;monocytogenes	21558	0.05747620
e8665_FPosCtrl3	7	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis	21522	0.05738022
e8665_FPosCtrl3	8	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;aeruginosa	14790	0.03943190
e8665_FPosCtrl3	9	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA	12724	0.03392370
e8665_FPosCtrl3	10	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;intestinalis	9418	0.02510951
e8665_FPosCtrl3	11	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;NA	7766	0.02070508
e8665_FPosCtrl3	12	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;cookii	41	0.00010931
e8665_FPosCtrl3	13	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Domibacillus;NA	11	0.00002933
e8665_FPosCtrl3	14	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;NA;NA	2	0.00000533
e8665_FPosCtrl3	15	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Candidatus Chloroploca;NA	2	0.00000533
