ASV_ID	iDNA_AC18_PP_10_1	iDNA_AC18_PP_10_2	iDNA_AC18_PP_10_3	iDNA_AC18_PP_200_1	iDNA_AC18_PP_200_2	iDNA_AC18_PP_200_3	iDNA_AC18_PP_20_1	iDNA_AC18_PP_20_2	iDNA_AC18_PP_20_3	iDNA_AC18_PP_210_1	iDNA_AC18_PP_210_2	iDNA_AC18_PP_210_3	iDNA_AC18_PP_220_1	iDNA_AC18_PP_220_2	iDNA_AC18_PP_220_3	iDNA_AC18_PP_230_2	iDNA_AC18_PP_230_3	iDNA_AC18_PP_240_1	iDNA_AC18_PP_240_2	iDNA_AC18_PP_260_1	iDNA_AC18_PP_260_3	iDNA_AC18_PP_270_1	iDNA_AC18_PP_270_2	iDNA_AC18_PP_270_3	iDNA_AC18_PP_280_1	iDNA_AC18_PP_280_2	iDNA_AC18_PP_280_3	iDNA_AC18_PP_2_5_1	iDNA_AC18_PP_2_5_2	iDNA_AC18_PP_2_5_3	iDNA_AC18_PP_300_1	iDNA_AC18_PP_300_2	iDNA_AC18_PP_300_3	iDNA_AC18_PP_30_1	iDNA_AC18_PP_30_2	iDNA_AC18_PP_30_3	iDNA_AC18_PP_330_1	iDNA_AC18_PP_330_2	iDNA_AC18_PP_330_3	iDNA_AC18_PP_360_1	iDNA_AC18_PP_360_2	iDNA_AC18_PP_360_3	iDNA_AC18_PP_390_1	iDNA_AC18_PP_390_2	iDNA_AC18_PP_40_1	iDNA_AC18_PP_40_2	iDNA_AC18_PP_420_1	iDNA_AC18_PP_420_2	iDNA_AC18_PP_420_3	iDNA_AC18_PP_50_1	iDNA_AC18_PP_50_2	iDNA_AC18_PP_60_2	iDNA_AC18_PP_60_3	iDNA_AC18_PP_70_1	iDNA_AC18_PP_70_2	iDNA_AC18_PP_70_3	iDNA_AC18_PP_80_1	iDNA_AC18_PP_80_2	iDNA_AC18_PP_80_3	iDNA_AC18_PP_90_1	iDNA_AC18_PP_90_2	iDNA_AC18_PP_90_3
577ce9e7be02f1395428184d10dc9d0b	0	0	0	0	0	0	3593	1554	1366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7810	6570	6714	0	0	0	0	0	0	0	0	3216	1142	0	0	0	329	10080	0	0	895	122	0	7792	2306	10419	781	246	335
089368e877c6aba880910ee4c0c7a6e7	0	0	0	0	0	0	10522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10362	8326	4571	0	0	0	0	0	0	0	0	2099	465	0	0	0	130	6475	0	0	649	105	0	4919	1339	6811	522	115	183
24654a6fbbb83f415332edca9e5e0b8d	0	0	0	0	0	0	3232	3822	3049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5065	4458	8665	0	0	0	0	0	0	0	0	2250	987	0	0	0	242	6955	0	0	613	185	0	5033	3640	6974	531	304	464
2c4936fa23d8cc55739f6c99c9248031	0	0	0	539	841	1529	0	0	0	545	2309	336	884	2982	1906	6274	1282	2406	3219	2393	3617	3426	2714	1656	825	872	1598	0	0	0	844	537	154	0	0	0	1535	1658	1168	2219	2018	1983	40	0	0	0	519	425	109	0	0	0	0	0	0	0	0	0	0	0	0	0
5142ec8c0b49dbd023b46a9747ce8247	0	0	0	802	560	911	0	0	0	811	914	122	1352	1270	759	4842	1435	1753	2467	1783	2650	4017	2108	1267	964	717	1408	0	0	0	602	337	205	0	0	0	1191	1248	1834	4486	3936	1344	0	0	0	0	1115	920	68	0	0	0	0	0	0	0	0	0	0	0	0	0
23b8bfd94060eb3179719476f5ecde48	605	3208	572	2571	183	1412	149	138	210	987	6954	200	573	424	397	28	0	460	1513	285	294	187	133	148	707	420	634	164	126	0	881	785	1129	316	100	325	607	0	68	86	0	186	753	1289	760	329	381	95	278	4356	219	1740	2600	1479	92	694	963	0	813	2139	513	527
95ff6274f1a1f1bd676b5846ab7b699f	1903	0	1997	0	47	0	116	0	0	782	0	0	0	121	0	184	0	0	895	1665	2581	790	727	182	0	0	0	0	0	0	157	0	352	3721	3570	1508	381	82	0	0	39	0	454	7541	244	0	619	129	152	7703	2217	378	3899	0	0	0	0	0	866	0	0	0
14f4a3fe217036215b286e2d1d719495	0	0	0	245	926	1746	0	0	0	406	1310	218	735	1734	1014	4307	749	1706	2193	3355	4700	1688	1742	1073	403	613	1058	0	0	0	749	424	70	0	0	0	1460	1538	763	1648	1424	1765	0	0	0	0	391	301	114	0	0	0	0	0	0	0	0	0	0	0	0	0
e461e0f05854a18ad7af6aa566661c4a	0	0	0	0	0	0	13725	10519	18167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c32edd2a1e9853eb97affa4161aae43	0	0	0	422	756	2217	0	0	44	1107	485	1342	1136	701	916	3920	265	395	3933	3017	4748	2018	1755	1319	309	342	2399	0	0	0	0	0	0	0	0	0	1214	843	538	2273	1909	655	0	0	0	0	624	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81be6c98b34b10da9aa8c8d27af71123	2179	0	742	0	0	176	109	59	117	0	0	0	0	0	51	236	28	0	0	375	755	1227	756	276	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	266	139	128	0	2979	0	0	17376	7374	3830	0	0	10	611	0	0	0	0	0	0	0	0	0
93c232c1cc9847870b1159e0451fd0c1	1139	0	2502	0	43	0	116	0	0	370	0	0	0	0	0	169	0	0	795	1530	1899	631	1040	146	0	0	0	0	0	0	106	0	360	2661	5004	2172	464	82	0	0	74	0	562	6266	175	0	512	97	150	4122	1228	572	3488	0	0	0	0	0	994	0	0	0
2ef76e78eabd44af8af9aaad222abcc0	388	2196	766	1739	0	898	198	142	382	459	3204	143	285	199	340	0	0	636	1301	285	225	142	183	0	519	557	474	0	154	118	528	936	1217	239	118	438	664	0	81	0	89	159	916	970	669	498	293	0	247	2304	0	2393	2303	2012	146	912	1495	0	957	1607	360	692
dbeed620a919ea1a7b8740fc9fc8af23	0	0	0	398	542	1063	0	73	211	529	1667	278	926	2189	1324	3072	402	1319	1461	1792	2576	1184	2949	1800	276	966	1840	0	0	0	519	307	65	0	0	0	2301	2645	450	727	667	1653	0	0	0	0	191	154	144	0	0	0	0	0	0	0	0	0	0	0	0	0
d7b11c983c9f6e64df165c060e5a9ea6	0	0	0	0	0	0	1060	9293	7950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1805	1870	4224	0	0	0	0	0	0	0	0	1041	553	0	0	0	102	2536	0	0	216	104	0	1479	2330	2337	200	228	367
b854e580de41cba02e36e22836d0cf17	0	0	0	511	690	1112	0	0	80	770	1129	162	1233	1431	937	2665	435	1161	1459	1889	2798	1452	2507	1534	376	842	1524	0	0	0	436	315	69	0	0	0	1832	1959	594	1450	1251	1245	0	0	0	0	331	294	61	0	0	0	0	0	0	0	0	0	0	0	0	0
f21368520d8e8635328267a2388f6750	0	0	0	261	490	1302	0	0	51	572	244	1044	522	353	686	3399	439	520	3328	2953	3454	1459	2246	992	214	423	1692	0	0	0	0	0	0	0	0	0	1414	627	564	1792	1957	432	0	0	0	0	462	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0
842da37c3dde43cb678425c8c26a85d0	0	0	0	0	0	0	1921	2583	2084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3155	2981	5141	0	0	0	0	0	0	0	0	1427	803	0	0	0	242	3573	0	0	368	92	0	2798	2051	3908	266	288	410
f9b7da18a8353045a3aaae4a387d62e6	1439	0	986	0	0	115	151	66	180	0	0	0	0	0	39	244	63	0	0	418	576	962	1053	230	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	154	146	98	0	2227	0	0	13075	7914	3013	0	0	0	546	0	0	0	0	0	0	0	0	0
0a995b783f1bfd8fab6567cd93a0a5a9	0	0	0	0	0	0	0	0	0	453	0	0	152	251	619	3854	679	105	369	2844	5544	3380	2805	1596	1582	481	881	439	99	87	0	0	85	0	0	0	917	448	307	1918	1038	997	0	0	0	0	532	403	250	0	0	0	0	0	0	0	0	0	0	0	0	0
e6cd89d12db82725a43b0c48a925d96a	0	0	0	0	0	0	3777	4158	3320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3923	3659	2502	0	0	0	0	0	0	0	0	1006	342	0	0	0	119	2957	0	0	265	63	0	1959	1111	2736	284	150	239
6d72270b27d3ef54a52e4c3460bacbb5	0	0	0	194	687	1262	0	0	122	445	947	163	717	1307	795	2387	272	982	1131	2438	3429	640	2053	1253	154	688	1239	0	0	0	417	255	37	0	0	0	2058	2253	295	598	487	1532	0	0	0	0	141	114	117	0	0	0	0	0	0	0	0	0	0	0	0	0
f7f84c825cbbbe4106c16394d7679536	0	0	0	0	0	0	1245	4482	3761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2635	2408	2975	0	0	0	0	0	0	0	0	1416	650	0	0	0	134	3666	0	0	299	79	0	2334	1484	3097	288	254	372
ba03969158efdb730f6763b7d8e8fecf	0	0	473	0	0	0	204	408	0	177	0	0	371	125	0	228	46	2070	913	495	897	101	0	0	0	0	0	0	0	0	255	0	736	116	0	402	184	352	778	182	834	162	0	0	0	0	69	0	0	1724	310	13374	1547	672	247	94	123	0	356	117	346	1889
5d420e7d9c8550d363511924047ee71a	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7347	13420	10456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34681e324fc320ee003c10a5e91e17ec	0	0	0	0	0	0	1470	1575	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3580	3019	1475	0	0	0	0	0	0	0	0	1819	331	0	0	0	222	5095	0	0	426	50	0	3566	895	5021	475	156	255
26615e679c37aa5c5984d46d2b3b7ff8	0	0	0	458	0	0	0	0	0	0	0	0	0	0	62	1248	178	0	0	1667	1031	9112	2747	1791	1479	2687	3833	0	0	0	11	253	0	0	0	0	1836	726	700	105	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c685f8da02e6bd4ff5c414cdd01bd1c	0	0	0	0	0	0	12408	8031	9203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0a0d3998020feaafdec3f0fc9223e09b	0	0	0	396	174	323	0	0	0	310	400	67	504	547	317	1953	1563	797	975	665	895	3432	1013	627	825	339	709	0	0	0	278	179	153	0	0	0	524	556	1722	3541	2988	1009	0	0	0	0	879	709	68	0	0	0	0	0	0	0	0	0	0	0	0	0
e6e04e4a241d6e4b6b80acb7425e8a18	0	0	0	323	1088	1881	0	0	0	471	746	164	767	1002	603	3130	476	1228	1511	1741	2586	1496	1334	880	358	463	779	0	0	0	479	298	77	0	0	0	764	880	454	851	772	1247	0	0	0	0	222	148	86	0	0	0	0	0	0	0	0	0	0	0	0	0
bc2123d3d1ba0511778c460aa9734b52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	29157	0	0	0	0	0	0	0	0	0	0	0	0	0
d37e3566a3db14e8253e31b5f2c78f9b	0	0	0	0	0	0	1744	3625	2918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2323	2312	2040	0	0	0	0	0	0	0	0	1517	305	0	0	0	0	3776	0	0	332	74	0	2450	1323	3650	316	178	256
94e4c0ae84a7d3cda5b19890578f53a9	0	0	0	0	0	0	5306	772	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4691	4243	1146	0	0	0	0	0	0	0	0	1311	127	0	0	0	0	3569	0	0	323	0	0	2443	503	3491	338	63	109
d720662250de0e4041c749e606388cdc	0	0	0	0	0	0	0	0	0	226	0	0	74	86	525	3277	929	128	282	2867	4064	2451	3787	1158	1235	566	670	315	117	145	0	0	87	0	0	0	1079	288	304	1367	1029	766	0	0	0	0	407	404	209	0	0	0	0	0	0	0	0	0	0	0	0	0
948774b27cb8937757857b40df99045b	0	0	0	0	0	0	700	7737	6421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1247	1262	2624	0	0	0	0	0	0	0	0	640	497	0	0	0	103	1594	0	0	115	59	0	1054	1428	1367	133	241	336
1783fcf0c02344e7072a2fc71bcedd1b	0	0	0	488	678	1190	0	0	0	757	343	50	1241	404	258	2434	513	964	1348	1385	1959	2041	1140	720	472	376	750	0	0	0	289	169	95	0	0	0	619	668	836	2014	1698	800	0	0	0	0	474	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0
529f99ada731a5ed071da610e9788e9e	0	0	343	0	0	0	195	302	0	367	0	0	803	228	0	175	60	1462	958	467	1102	110	0	0	0	0	44	0	0	0	406	0	688	131	29	254	138	417	676	233	718	191	0	0	0	0	104	0	60	3129	529	8696	1642	353	162	81	79	0	289	170	412	1271
b990f1a9abe3ce994f6b79692481f556	0	0	0	281	0	0	0	0	0	0	0	0	0	0	68	1073	240	0	0	1534	805	6990	3653	1394	1072	3493	2928	0	0	0	0	301	0	0	0	0	2115	535	615	76	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139d95ec5df60cc40559baf2b03eb09d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10040	9533	7066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0
7bee95cd105a877f0584f91a6ec7a859	0	0	0	0	0	0	1192	425	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4039	3331	2812	0	0	0	0	0	0	0	0	1562	473	0	0	0	173	3299	0	0	354	157	0	2706	986	3607	344	327	385
ae8e306ef92c96932cbd5589359c582d	0	0	0	813	325	536	0	0	0	850	499	126	1339	662	385	1277	633	528	652	929	1345	1992	1165	691	491	365	694	0	0	0	183	129	198	0	0	0	1007	1051	875	2383	2136	504	0	0	0	0	612	489	36	0	0	0	0	0	0	0	0	0	0	0	0	0
07ce463948f6b48a443ffb2d6dff5f5f	821	53	232	0	0	0	40	0	0	0	0	0	0	217	0	127	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	64	120	92	0	0	0	0	0	0	12293	6270	4893	0	0	0	543	0	0	0	0	0	0	0	0	0
d05252c86563a838d7aff971731459f8	170	0	277	0	0	0	155	0	0	109	0	0	254	79	0	303	203	933	1248	236	490	210	0	0	0	86	41	0	0	0	326	0	701	247	0	223	95	131	828	338	819	115	0	0	0	0	436	0	0	3115	604	8532	1020	587	126	211	341	0	676	228	213	501
fc61b06d90292ca93f22f42c6c60cc89	0	0	0	190	1216	2206	0	0	0	385	434	99	650	580	355	2180	257	841	1035	2448	3469	754	907	512	203	314	535	0	0	0	475	287	51	0	0	0	777	830	334	632	549	1072	0	0	0	0	152	144	135	0	0	0	0	0	0	0	0	0	0	0	0	0
67f9946137aa0bf07ecaff9e610fcc45	0	0	0	0	0	0	1034	2749	2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2467	2176	3449	0	0	0	0	0	0	0	0	1085	384	0	0	0	136	2227	0	0	218	74	0	1672	1439	2344	235	361	503
dd5dd36db8814fde28df9560b48c9c35	0	0	0	541	267	527	0	0	0	576	715	129	900	921	517	1497	532	664	731	937	1307	1776	1465	829	423	484	750	0	0	0	265	163	122	0	0	0	1343	1437	500	1232	1059	692	0	0	0	0	303	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3d7a9c6a99a55ebc6185f7cfbf6b9d76	0	0	0	313	378	649	0	0	0	356	774	158	606	1008	640	1500	537	661	739	860	1172	1344	1470	941	311	498	847	0	0	0	283	173	84	0	0	0	1046	1205	678	1206	1086	1440	0	0	0	0	317	247	148	0	0	0	0	0	0	0	0	0	0	0	0	0
660cdd537deed159e0d0f2e12e6172c6	0	0	0	0	0	0	3693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4949	4291	1799	0	0	0	0	0	0	0	0	950	206	0	0	0	79	2038	0	0	206	0	0	1607	538	2284	180	120	207
55f44679e525f3dc347a7f789dc8b46d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22928	0	0	0	0	0	0	0	0	0	0	0	0	0
45b9f9f8a78d4fd47e89fde3c8b19b01	0	0	270	0	0	0	185	144	0	67	0	0	156	198	0	386	0	1322	1545	362	714	139	0	39	0	0	0	0	0	0	502	0	525	171	0	284	127	183	530	167	403	162	0	0	0	0	157	0	0	2262	424	7093	870	418	243	144	168	0	472	156	235	593
78450956f3df9cc4addcb1791d4166aa	0	0	0	327	873	1532	0	0	0	706	397	70	1196	522	321	1358	183	527	651	1318	2004	609	1334	783	169	435	798	0	0	0	315	182	0	0	0	0	1023	1105	228	542	499	844	0	0	0	0	163	117	74	0	0	0	0	0	0	0	0	0	0	0	0	0
d59e3b138e213b27bd541b41ca36da8f	495	0	301	0	0	0	51	0	0	0	0	0	0	145	0	134	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	137	0	0	0	0	0	0	0	8735	6434	3627	0	0	0	489	0	0	0	0	0	0	0	0	0
abe039a49f4ac7fa86b153a1af0172a1	0	0	0	200	707	1275	0	0	109	422	546	114	844	786	446	1529	124	635	769	1228	1719	534	1455	866	135	457	812	0	0	0	298	179	0	0	0	0	1175	1282	155	250	206	995	0	0	0	0	0	59	95	0	0	0	0	0	0	0	0	0	0	0	0	0
e229db43cae3f28f22d0227660e6e6b0	0	0	0	0	0	0	7018	5443	7096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cd2c3635d0ee236724d8f9a9219ac89	1098	0	1532	0	0	0	198	59	0	820	1665	515	0	108	44	0	0	265	836	0	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	1087	0	0	0	0	0	1765	1903	2093	3997	0	160	0	0	0	573	0	0	0
59ba5f35a3f6926da5564305cee2c6ea	0	0	0	0	0	0	1135	2629	2125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1590	1446	1327	0	0	0	0	0	0	0	0	844	210	0	0	0	0	2140	0	0	193	53	0	1491	761	2192	186	152	231
aaa440b720c426e47cd5b28fa9d3bf02	0	0	0	284	277	548	0	0	0	489	424	84	771	583	339	1127	363	469	557	1132	1647	839	983	576	205	361	581	0	0	0	202	131	0	0	0	0	1259	1377	440	834	809	497	0	0	0	0	205	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c10e442c19f01c21ead026e021b5eb4e	189	1085	265	1331	0	699	100	0	59	521	3896	0	321	188	68	0	0	306	311	93	87	0	0	0	209	172	192	0	0	0	186	245	335	73	49	137	139	0	0	0	0	0	217	442	437	158	0	0	71	1062	0	925	1641	552	0	151	335	0	128	462	97	270
4514d9c3d44f02f738b7c0e63c285667	0	0	0	107	836	1627	0	0	139	447	412	60	667	440	246	1124	80	439	560	1603	2333	263	1070	571	66	381	542	0	0	0	238	153	0	0	0	0	1071	1230	110	199	160	936	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0
91439bec0662fe5e80df2e3463f7cd1d	0	0	273	0	0	0	67	94	0	60	0	0	132	79	0	275	0	878	1075	447	866	0	0	0	0	0	0	0	0	0	436	0	243	0	0	174	131	164	403	124	303	150	0	0	0	0	0	0	185	2395	249	5270	683	249	140	0	0	0	259	96	203	526
24ac6349569536f27d1b0362df0664dd	570	0	842	0	0	0	0	0	0	461	0	0	0	50	0	0	0	0	178	535	863	253	284	63	0	0	0	0	0	0	0	0	94	946	1665	655	117	0	0	0	29	0	122	3028	157	0	138	0	0	2019	566	200	2583	0	0	0	0	0	189	0	0	0
2b27d03a0690d6db12eefd0f2766760f	646	0	2020	0	0	0	226	61	0	390	780	460	0	0	43	0	0	357	742	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	0	0	0	0	0	943	1045	2903	3265	0	220	0	0	0	767	0	0	0
7619dbc5ef51936182c3abab67ae0e9c	370	0	1218	0	0	0	0	32	0	198	0	0	0	29	0	0	0	0	182	498	727	177	466	0	0	0	0	0	0	0	0	0	125	712	2430	1048	121	0	0	0	0	0	168	2855	153	0	134	56	0	1099	370	287	2393	0	0	0	0	0	226	0	0	0
18a0e15cee999152aa694473530bc781	0	0	0	0	0	0	591	1920	1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1625	1460	1988	0	0	0	0	0	0	0	0	636	277	0	0	0	177	1087	0	0	118	0	0	937	843	1236	132	359	447
2218e716f62d324f8fbbc8288f018a7c	110	685	377	936	0	445	81	0	154	249	1765	0	152	105	74	0	0	422	291	108	93	0	0	0	153	256	164	0	0	0	142	330	404	80	74	224	152	0	0	0	0	0	256	396	386	267	0	0	0	596	0	1174	1522	913	0	183	622	0	237	351	81	323
42f04a681999a9a2c1bc41720d79a04c	0	0	0	0	0	0	0	0	0	0	1084	0	0	195	200	132	0	0	0	353	481	247	128	90	42	49	0	0	0	0	0	0	0	0	0	0	2959	4209	4214	0	0	265	0	0	0	0	286	181	124	0	0	0	0	0	0	0	0	0	0	0	0	0
