Trip	Site	richness_hurlbert_25000	shannon	evenness_h_over_log_hurlbert	n_surface_profiles	n_deep_profiles	Date	Latitude	Longitude	sampling_day	longitude_z	sampling_day_z	selected_kernel_weighted_rain_mm	rain_1_to_4_complete_days_mm	rain_1_to_60_complete_days_mm
1	36	1066.581809820592	5.571153879288072	0.8612778784050941	3.0	2.0	2023-03-19	20.42319	51.14483	2.0	0.38764723719611993	0.63728859083367	0.744889301608439	0.51	7.18
1	37	1726.438895389359	6.396192836029322	0.8626086344032915	2.0	2.0	2023-03-19	20.454150277777774	51.344883333333335	2.0	0.45603201179329605	0.63728859083367	0.744889301608439	0.51	7.18
1	38	1985.812760188961	6.531777125466814	0.8620294271314077	2.0	2.0	2023-03-19	20.4610275	51.37022472222223	2.0	0.4646945276248073	0.63728859083367	0.744889301608439	0.51	7.18
1	39	1067.385796941865	5.045243701040407	0.8369851785882559	1.0	2.0	2023-03-19	20.51023	51.59742	2.0	0.5423573068522225	0.63728859083367	0.061360795087146563	0.0	2.21
1	42	1389.3480566918524	6.130325639860166	0.8501458091013774	3.0	1.0	2023-03-19	20.55516	52.12403	2.0	0.7223698342646704	0.63728859083367	0.061360795087146563	0.0	2.21
1	43	1383.9751700276088	6.097115044877427	0.8629361505149697	2.0	2.0	2023-03-19	20.56757555555556	52.22413277777778	2.0	0.7565882388312106	0.63728859083367	4.6436177226487936e-10	0.0	1.05
1	45	1334.9860807251528	6.0467595567167445	0.8436474754490813	1.0	2.0	2023-03-19	20.56346	52.46776	2.0	0.8398679942834338	0.63728859083367	4.6436177226487936e-10	0.0	1.05
1	46	383.02451166481524	5.101911481078272	0.8586257165087825	1.0	1.0	2023-03-19	20.553746111111117	52.66920777777778	2.0	0.9087294356145886	0.63728859083367	4.6436177226487936e-10	0.0	1.05
1	47	1861.2879166993562	6.587292093518004	0.8824885296429921	1.0	2.0	2023-03-19	20.54181555555556	52.86878583333333	2.0	0.9769517447173712	0.63728859083367	0.016901080789213388	0.0	1.95
1	48	1033.000924846631	5.676303110045498	0.817906575481681	1.0	1.0	2023-03-19	20.56864833333333	53.09404833333333	2.0	1.0539538372645083	0.63728859083367	0.016901080789213388	0.0	1.95
1	49	690.4593191751178	5.385971719809165	0.8278232735716307	2.0	1.0	2023-03-19	20.644662222222223	53.28794	2.0	1.1202323526001048	0.63728859083367	0.016901080789213388	0.0	1.95
1	50	1141.051636004272	5.901368592128967	0.8739242618942971	3.0	2.0	2023-03-20	20.71385	53.4123	3.0	1.16274266936016	1.5699060408341627	0.012287463687206993	0.0	1.9500000000000002
1	51	1030.996832852154	5.637769866393114	0.8222371973586178	1.0	2.0	2023-03-20	20.7987	53.487	3.0	1.1882775733644704	1.5699060408341627	0.049676215005004534	0.06	3.99
1	53	472.9141224050595	2.934208755012432	0.5222903056403982	1.0	2.0	2023-03-20	20.851514166666668	53.75788444444444	3.0	1.2808747391629944	1.5699060408341627	0.049676215005004534	0.06	3.99
1	54	644.0488041640232	4.7551523574742225	0.7907783086271676	3.0	2.0	2023-03-20	20.92017888888889	53.962204444444446	3.0	1.350718000021907	1.5699060408341627	0.049676215005004534	0.06	3.99
1	55	218.20024701336473	3.370634752705861	0.6811745981129836	2.0	1.0	2023-03-20	20.9022725	54.0024376	3.0	1.3644710089228653	1.5699060408341627	0.049676215005004534	0.06	3.99
1	56	723.1050229252073	4.5541427893977	0.8242896028012294	2.0	2.0	2023-03-20	20.82158083333333	54.22385916666667	3.0	1.4401601447905688	1.5699060408341627	0.16508670305928208	0.2	3.9899999999999998
1	57	218.92552528100967	4.538614407710673	0.8583823683648076	1.0	1.0	2023-03-20	20.7349775	54.41764333333333	3.0	1.5064019131090218	1.5699060408341627	0.759162798906699	0.92	4.48
1	60	341.7965627778826	4.617580767678151	0.7974704775269925	1.0	2.0	2023-03-20	20.70637444444444	54.73210555555556	3.0	1.6138953891120584	1.5699060408341627	0.3551187999502004	0.43	4.220000000000001
2	6	1720.02337810494	5.868753897336904	0.7890834373181872	1.0	2.0	2023-07-14	19.405739166666667	45.8161425	0.0	0.6494622465308185	0.0	1.2324056654375836e-07	0.0	9.78
3	1	1609.1112236677989	5.307868783742418	0.8556953932827239	3.0	3.0	2024-02-17	19.14977055555556	45.166511388888885	0.0	-1.6559376602858693	-1.230076828997117	0.2232958997999388	0.23	0.41000000000000003
3	2	2210.847992661639	6.934867684990311	0.9009389819739889	3.0	3.0	2024-02-17	19.203468333333333	45.2447675	0.0	-1.629187161156378	-1.230076828997117	0.2232958997999388	0.23	0.41000000000000003
3	3	2798.972572363402	7.033336922032555	0.8867843921788671	3.0	3.0	2024-02-17	19.301079444444444	45.384414166666666	0.0	-1.5814513615866965	-1.230076828997117	0.36311573342351344	0.4	0.4
3	4	1787.274291313874	6.568943888542702	0.8797577248355098	3.0	2.0	2024-02-17	19.379571666666667	45.55182694444444	0.0	-1.524224196798872	-1.230076828997117	0.36311573342351344	0.4	0.4
3	5	1632.8050333326373	6.489124509555323	0.8809646756262965	3.0	2.0	2024-02-17	19.407155277777772	45.65950138888888	0.0	-1.4874175488389512	-1.230076828997117	0.36311573342351344	0.4	0.4
3	6	2031.0542625947428	6.502284989207202	0.8626442010238837	3.0	1.0	2024-02-17	19.405739166666667	45.8161425	0.0	-1.4338724921408121	-1.230076828997117	0.36311573342351344	0.4	0.4
3	7	1951.2461479472972	6.259487787153713	0.8263636842073914	3.0	3.0	2024-02-17	19.407005277777778	45.95394361111112	0.0	-1.3867675638421528	-1.230076828997117	0.24960294613051476	0.29000000000000004	0.29000000000000004
3	8	1358.6454955307286	5.974422250863332	0.8304386627296705	3.0	3.0	2024-02-17	19.393154166666665	46.11073472222223	0.0	-1.3331712322363778	-1.230076828997117	0.24960294613051476	0.29000000000000004	0.29000000000000004
3	9	1816.1191214676846	5.821765754656942	0.7763440738514862	3.0	3.0	2024-02-17	19.411200277777777	46.30267361111111	0.0	-1.2675602402354207	-1.230076828997117	0.24960294613051476	0.29000000000000004	0.29000000000000004
3	10	1739.7324386154514	5.731787728440187	0.7717945147388181	3.0	3.0	2024-02-17	19.420469722222222	46.46079527777778	0.0	-1.21350908120818	-1.230076828997117	0.24960294613051476	0.29000000000000004	0.29000000000000004
3	11	1815.086767479334	5.915580096211443	0.794939799232977	3.0	3.0	2024-02-17	19.44435222222222	46.6356325	0.0	-1.153743998399281	-1.230076828997117	0.27662852071651217	0.31	0.31
3	12	2693.6364842165194	6.846427630365731	0.8678859468506388	2.0	2.0	2024-02-17	19.47793361111111	46.83437333333334	0.0	-1.0858078792439467	-1.230076828997117	0.27662852071651217	0.31	0.31
3	13	2066.938651307414	6.293431251219326	0.8298966548417657	3.0	3.0	2024-02-17	19.52934611111111	47.05328444444445	0.0	-1.0109768992212003	-1.230076828997117	0.27662852071651217	0.31	0.31
3	14	1967.1617724807438	6.069444246119149	0.8034642451650692	3.0	3.0	2024-02-17	19.581338055555555	47.2920225	0.0	-0.9293684208974154	-1.230076828997117	0.15662852071651218	0.19	0.19
3	15	1278.4850679766616	5.922141558744521	0.8292900683015906	3.0	3.0	2024-02-17	19.613749722222224	47.47587194444445	0.0	-0.8665226656747277	-1.230076828997117	0.15662852071651218	0.19	0.19
3	16	2108.3440910615227	6.453781521231823	0.8441245378183977	3.0	3.0	2024-02-17	19.64445583333333	47.62611861111111	0.0	-0.8151634392985456	-1.230076828997117	0.15662852071651218	0.19	0.19
3	17	2136.3708293725304	6.61535454749758	0.8632483802240661	3.0	3.0	2024-02-18	19.67646	47.82730555555556	1.0	-0.7463911593345617	-0.5065022237046952	0.12	0.12	0.12
3	18	1892.9977625005356	6.357498825391032	0.8458392630793432	3.0	3.0	2024-02-18	19.732518055555555	48.046860555555554	1.0	-0.6713400770231002	-0.5065022237046952	0.12	0.12	0.12
3	19	2138.8988341983813	6.2521356582336	0.8164155042901607	3.0	3.0	2024-02-18	19.81231916666667	48.24049472222222	1.0	-0.605149583612283	-0.5065022237046952	0.21	0.21	0.21
3	20	1550.7065848452532	6.394694152953315	0.8720450229509947	3.0	3.0	2024-02-18	19.869310833333333	48.42464444444444	1.0	-0.5422011836207875	-0.5065022237046952	0.21	0.21	0.21
3	21	1561.7092123617037	5.578742509396992	0.7622272512536563	3.0	3.0	2024-02-18	19.9011325	48.48646388888889	1.0	-0.5210692749261571	-0.5065022237046952	0.19406005849709837	0.19	0.2
3	22	1262.1017161988439	5.836035630398653	0.833597680388648	3.0	3.0	2024-02-18	19.97866972222222	48.63943555555556	1.0	-0.4687785543945281	-0.5065022237046952	0.19406005849709837	0.19	0.2
3	23	2634.418814606325	6.781714744517489	0.8612140574757327	3.0	3.0	2024-02-18	20.04926555555556	48.77333138888888	1.0	-0.42300857781161694	-0.5065022237046952	0.19406005849709837	0.19	0.2
3	24	1702.420519451069	5.694492560983372	0.7661525391432986	3.0	2.0	2024-02-18	20.09273861111111	48.89939527777778	1.0	-0.3799158160821909	-0.5065022237046952	0.19406005849709837	0.19	0.2
3	25	1201.3046089854076	4.911573051237097	0.6929478811476811	3.0	3.0	2024-02-18	20.100259722222223	48.95421972222223	1.0	-0.3611750272471352	-0.5065022237046952	0.19406005849709837	0.19	0.2
3	26	2004.3048313863894	6.3358475640728535	0.8338058395564765	2.0	2.0	2024-02-18	20.148753888888887	49.07873861111111	1.0	-0.31861039706639754	-0.5065022237046952	0.13090540123306774	0.08	0.22000000000000003
3	27	1351.6775946484188	5.354958254132508	0.7459276649435014	3.0	2.0	2024-02-18	20.2038574	49.1959834	1.0	-0.278532292256713	-0.5065022237046952	0.13090540123306774	0.08	0.22000000000000003
3	28	2800.6242385770524	6.719690157589539	0.8474514314325579	3.0	3.0	2024-02-18	20.24376861111111	49.37088472222222	1.0	-0.21874529797061765	-0.5065022237046952	0.13090540123306774	0.08	0.22000000000000003
3	29	1505.496893952188	5.659127104374125	0.7755559004199981	3.0	3.0	2024-02-18	20.2597976	49.5675445	1.0	-0.15152055169130707	-0.5065022237046952	0.5616867278140039	0.16	1.26
3	30	1913.8056172766692	6.197702023644502	0.8209317517757306	3.0	3.0	2024-02-19	20.269303055555557	49.68367333333333	2.0	-0.11182391700189259	0.21707238158772657	0.42852239441746626	0.16	1.26
3	31	1469.8065181698912	5.543983808063411	0.7600273508527415	4.0	2.0	2024-02-19	20.29462333333333	49.891405	2.0	-0.040814436854787334	0.21707238158772657	0.9137907000069642	0.04	3.43
3	32	1808.273028520639	6.267657418147942	0.8363782528953991	3.0	3.0	2024-02-19	20.310684166666668	50.09302138888889	2.0	0.028104641270696246	0.21707238158772657	0.9137907000069642	0.04	3.43
3	33	2014.4353592481843	6.428727068829047	0.8452764899149605	3.0	4.0	2024-02-19	20.317507777777777	50.30307027777778	2.0	0.09990622378729241	0.21707238158772657	0.9137907000069642	0.04	3.43
3	34	2129.6188289981983	6.2593797119305385	0.8170631877925945	4.0	3.0	2024-02-19	20.344394444444443	50.5153725	2.0	0.17247806936086904	0.21707238158772657	1.0714367873466817	0.01	4.22
3	35	2249.34424934477	6.254899968179313	0.8113526318034108	3.0	3.0	2024-02-19	20.371795833333334	50.72999222222222	2.0	0.2458421122574722	0.21707238158772657	1.0714367873466817	0.01	4.22
3	36	2247.0061620442784	6.272702520004978	0.8128774977440058	2.0	3.0	2024-02-19	20.42319	51.14483	2.0	0.38764723719611993	0.21707238158772657	1.1096844824714585	0.0	5.66
3	37	1815.6984935771948	6.148336636946133	0.8203529029473389	3.0	3.0	2024-02-19	20.454150277777774	51.344883333333335	2.0	0.45603201179329605	0.21707238158772657	1.1096844824714585	0.0	5.66
3	38	2047.0076161895654	6.0648411579421335	0.7958703985027191	3.0	2.0	2024-02-19	20.4610275	51.37022472222223	2.0	0.4646945276248073	0.21707238158772657	1.1096844824714585	0.0	5.66
3	39	1429.2370789824454	5.571626356966938	0.7672442225923866	3.0	2.0	2024-02-19	20.51023	51.59742	2.0	0.5423573068522225	0.21707238158772657	1.033267824768617	0.0	8.450000000000001
3	40	1726.2249897385018	5.997631165737081	0.805350350537822	3.0	4.0	2024-02-19	20.54718	51.82559	2.0	0.6203532780257629	0.21707238158772657	1.033267824768617	0.0	8.450000000000001
3	42	2003.4839252519212	5.992077649344017	0.7893932207415981	3.0	3.0	2024-02-20	20.55516	52.12403	3.0	0.7223698342646704	0.9406469868801484	0.705394471416723	0.0	8.45
3	43	1410.4057327070623	5.404711652824887	0.7455788597983941	3.0	4.0	2024-02-20	20.56757555555556	52.22413277777778	3.0	0.7565882388312106	0.9406469868801484	0.8189979158605011	0.0	10.680000000000001
3	44	1375.174842643049	5.928422295534803	0.8251202929809767	3.0	3.0	2024-02-20	20.56783	52.41036	3.0	0.8202467962935082	0.9406469868801484	0.8189979158605011	0.0	10.680000000000001
3	45	1265.8482728572285	5.221085051695178	0.7368406089991781	3.0	3.0	2024-02-20	20.56346	52.46776	3.0	0.8398679942834338	0.9406469868801484	0.8189979158605011	0.0	10.680000000000001
3	46	686.052432597335	4.501635195245237	0.781597451349386	1.0	1.0	2024-02-20	20.553746111111117	52.66920777777778	3.0	0.9087294356145886	0.9406469868801484	0.8189979158605011	0.0	10.680000000000001
3	47	293.3289556193912	3.4772879449123186	0.753876676980412	1.0	2.0	2024-02-20	20.54181555555556	52.86878583333333	3.0	0.9769517447173712	0.9406469868801484	0.9806870540968426	0.0	12.23
3	48	963.8001850576654	5.168171334540974	0.7565655630449166	3.0	3.0	2024-02-20	20.56864833333333	53.09404833333333	3.0	1.0539538372645083	0.9406469868801484	0.9806870540968426	0.0	12.23
3	49	804.522496265853	4.825899144758902	0.7403568023477582	3.0	3.0	2024-02-20	20.644662222222223	53.28794	3.0	1.1202323526001048	0.9406469868801484	0.9806870540968426	0.0	12.23
3	50	1357.6060821836882	5.731490777215985	0.7989674082442582	2.0	3.0	2024-02-20	20.71385	53.4123	3.0	1.16274266936016	0.9406469868801484	0.9806870540968426	0.0	12.23
