site_a	site_b	geographic_distance_km	compartment	compartment_label	aitchison_dissimilarity
9	23	267.6695894	Surface	Surface	22.59223029
9	24	281.6478396	Surface	Surface	21.71885329
9	25	287.3919834	Surface	Surface	28.20909016
9	26	301.3660741	Surface	Surface	23.84404157
9	27	314.8211071	Surface	Surface	32.38811741
9	28	333.6067764	Surface	Surface	25.26812747
9	29	353.8726271	Surface	Surface	26.36891378
9	30	365.8599465	Surface	Surface	21.26442117
9	31	387.563948	Surface	Surface	26.8763372
9	32	408.4176551	Surface	Surface	29.47855492
9	33	429.9171127	Surface	Surface	26.02947632
9	34	452.1919719	Surface	Surface	28.67694663
9	35	474.7260468	Surface	Surface	30.56855627
9	36	518.2690731	Surface	Surface	29.47171024
9	37	539.4235596	Surface	Surface	28.09317531
9	38	542.173313	Surface	Surface	26.03141938
9	39	566.5313553	Surface	Surface	29.0456024
9	40	590.6993942	Surface	Surface	27.23026607
9	41	602.8421969	Surface	Surface	37.88015139
9	42	621.3899046	Surface	Surface	30.115743
9	43	631.9123606	Surface	Surface	31.20466776
9	44	650.9894641	Surface	Surface	28.93089938
9	45	656.778474	Surface	Surface	35.37594728
9	46	677.2425854	Surface	Surface	35.1210048
9	47	697.5071886	Surface	Surface	28.07015533
9	48	721.2006903	Surface	Surface	43.16555226
9	49	742.6486246	Surface	Surface	33.57489444
9	50	756.846615	Surface	Surface	28.84894568
9	51	766.3351992	Surface	Surface	36.36855246
9	52	785.7875974	Surface	Surface	39.43769574
9	53	795.2408452	Surface	Surface	34.3479821
9	54	817.6880149	Surface	Surface	40.11364335
9	55	821.4049709	Surface	Surface	44.92605312
9	56	842.3898163	Surface	Surface	32.74566198
9	57	860.6195665	Surface	Surface	40.34868842
9	58	877.4638018	Surface	Surface	38.9403137
9	59	881.7011239	Surface	Surface	37.23411273
9	60	892.5091404	Surface	Surface	32.59833786
10	11	18.46175814	Surface	Surface	19.52943436
10	12	39.55561955	Surface	Surface	15.9431069
10	13	63.07942486	Surface	Surface	20.63217387
10	14	88.67246484	Surface	Surface	26.63590563
10	15	108.2151456	Surface	Surface	20.42363286
10	16	124.2786383	Surface	Surface	20.68716802
10	17	145.5895951	Surface	Surface	21.81080436
10	18	169.3099171	Surface	Surface	19.6768323
10	19	191.0029171	Surface	Surface	21.799995
10	20	211.1536829	Surface	Surface	17.87593378
10	21	218.2686396	Surface	Surface	20.47103912
10	22	235.903378	Surface	Surface	24.73128906
10	23	251.4813497	Surface	Surface	19.6745684
10	24	265.4733279	Surface	Surface	22.50820809
10	25	271.2077918	Surface	Surface	27.34532262
10	26	285.201587	Surface	Surface	22.64644455
10	27	298.685974	Surface	Surface	29.28431013
10	28	317.4607192	Surface	Surface	22.90885422
10	29	337.684421	Surface	Surface	27.36098908
10	30	349.6500672	Surface	Surface	21.31406971
10	31	371.3276715	Surface	Surface	27.74344189
10	32	392.1522467	Surface	Surface	32.26296325
10	33	413.6182697	Surface	Surface	25.61561552
10	34	435.8779001	Surface	Surface	26.61815768
10	35	458.3986012	Surface	Surface	26.81503846
10	36	501.9191106	Surface	Surface	26.48656615
10	37	523.0676222	Surface	Surface	26.64798055
10	38	525.818195	Surface	Surface	24.28752137
10	39	550.1770313	Surface	Surface	28.18894292
10	40	574.3398735	Surface	Surface	25.47159727
10	41	586.4679423	Surface	Surface	38.86853313
10	42	605.0068683	Surface	Surface	28.59809154
10	43	615.5262464	Surface	Surface	30.71425107
10	44	634.5890997	Surface	Surface	26.46759761
10	45	640.3723435	Surface	Surface	33.01242377
10	46	660.8197155	Surface	Surface	34.36535547
10	47	681.0688789	Surface	Surface	25.53337302
10	48	704.758709	Surface	Surface	39.12836153
10	49	726.219286	Surface	Surface	31.12995511
10	50	740.431664	Surface	Surface	26.57207088
10	51	749.9430924	Surface	Surface	35.36887998
10	52	769.3973528	Surface	Surface	39.61679252
10	53	778.8487669	Surface	Surface	34.48732431
10	54	801.3050638	Surface	Surface	41.4796886
