analyte	formula	entity_type	chebi	chebi_label	chebi_formula	chebi_charge	chebi_status	pubchem	pubchem_label	pubchem_formula	pubchem_charge	pubchem_status	status	evidence_url	reviewed_by	reviewed_date	notes
Rb	Rb	neutral atom	CHEBI:33322	rubidium atom	Rb	0	verified	CID:5357696	Rubidium	Rb	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33322; https://pubchem.ncbi.nlm.nih.gov/compound/5357696	automated pinned-source audit	2026-07-23	
Y	Y	neutral atom	CHEBI:33331	yttrium atom	Y	0	verified	CID:23993	Yttrium	Y	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33331; https://pubchem.ncbi.nlm.nih.gov/compound/23993	automated pinned-source audit	2026-07-23	
Nb	Nb	neutral atom	CHEBI:33344	niobium atom	Nb	0	verified	CID:23936	Niobium	Nb	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33344; https://pubchem.ncbi.nlm.nih.gov/compound/23936	automated pinned-source audit	2026-07-23	
Mo	Mo	neutral atom	CHEBI:28685	molybdenum atom	Mo	0	verified	CID:23932	Molybdenum	Mo	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_28685; https://pubchem.ncbi.nlm.nih.gov/compound/23932	automated pinned-source audit	2026-07-23	
Ag	Ag	neutral atom	CHEBI:30512	silver atom	Ag	0	verified	CID:23954	Silver	Ag	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_30512; https://pubchem.ncbi.nlm.nih.gov/compound/23954	automated pinned-source audit	2026-07-23	
Cd	Cd	neutral atom	CHEBI:22977	cadmium atom	Cd	0	verified	CID:23973	Cadmium	Cd	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_22977; https://pubchem.ncbi.nlm.nih.gov/compound/23973	automated pinned-source audit	2026-07-23	
Sn	Sn	neutral atom	CHEBI:27007	tin atom	Sn	0	verified	CID:5352426	Tin atom	Sn	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27007; https://pubchem.ncbi.nlm.nih.gov/compound/5352426	automated pinned-source audit	2026-07-23	
Sb	Sb	neutral atom	CHEBI:30513	antimony atom	Sb	0	verified	CID:5354495	Antimony	Sb	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_30513; https://pubchem.ncbi.nlm.nih.gov/compound/5354495	automated pinned-source audit	2026-07-23	
I	I	neutral atom	CHEBI:24859	iodine atom	I	0	verified	CID:5360629	Atomic iodine	I	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_24859; https://pubchem.ncbi.nlm.nih.gov/compound/5360629	automated pinned-source audit	2026-07-23	
Cs	Cs	neutral atom	CHEBI:30514	caesium atom	Cs	0	verified	CID:5354618	Cesium	Cs	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_30514; https://pubchem.ncbi.nlm.nih.gov/compound/5354618	automated pinned-source audit	2026-07-23	
La	La	neutral atom	CHEBI:33336	lanthanum atom	La	0	verified	CID:23926	Lanthanum	La	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33336; https://pubchem.ncbi.nlm.nih.gov/compound/23926	automated pinned-source audit	2026-07-23	
Ce	Ce	neutral atom	CHEBI:33369	cerium	Ce	0	verified	CID:23974	Cerium	Ce	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33369; https://pubchem.ncbi.nlm.nih.gov/compound/23974	automated pinned-source audit	2026-07-23	
Pr	Pr	neutral atom	CHEBI:49828	praseodymium atom	Pr	0	verified	CID:23942	Praseodymium	Pr	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_49828; https://pubchem.ncbi.nlm.nih.gov/compound/23942	automated pinned-source audit	2026-07-23	
Nd	Nd	neutral atom	CHEBI:33372	neodymium atom	Nd	0	verified	CID:23934	Neodymium	Nd	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33372; https://pubchem.ncbi.nlm.nih.gov/compound/23934	automated pinned-source audit	2026-07-23	
Sm	Sm	neutral atom	CHEBI:33374	samarium atom	Sm	0	verified	CID:23951	Samarium	Sm	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33374; https://pubchem.ncbi.nlm.nih.gov/compound/23951	automated pinned-source audit	2026-07-23	
Eu	Eu	neutral atom	CHEBI:32999	europium atom	Eu	0	verified	CID:23981	Europium	Eu	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_32999; https://pubchem.ncbi.nlm.nih.gov/compound/23981	automated pinned-source audit	2026-07-23	
Gd	Gd	neutral atom	CHEBI:33375	gadolinium atom	Gd	0	verified	CID:23982	Gadolinium	Gd	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33375; https://pubchem.ncbi.nlm.nih.gov/compound/23982	automated pinned-source audit	2026-07-23	
Tb	Tb	neutral atom	CHEBI:33376	terbium atom	Tb	0	verified	CID:23958	Terbium	Tb	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33376; https://pubchem.ncbi.nlm.nih.gov/compound/23958	automated pinned-source audit	2026-07-23	
Dy	Dy	neutral atom	CHEBI:33377	dysprosium atom	Dy	0	verified	CID:23912	Dysprosium	Dy	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33377; https://pubchem.ncbi.nlm.nih.gov/compound/23912	automated pinned-source audit	2026-07-23	
Ho	Ho	neutral atom	CHEBI:49648	holmium atom	Ho	0	verified	CID:23988	Holmium	Ho	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_49648; https://pubchem.ncbi.nlm.nih.gov/compound/23988	automated pinned-source audit	2026-07-23	
Er	Er	neutral atom	CHEBI:33379	erbium	Er	0	verified	CID:23980	Erbium	Er	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33379; https://pubchem.ncbi.nlm.nih.gov/compound/23980	automated pinned-source audit	2026-07-23	
Tm	Tm	neutral atom	CHEBI:33380	thulium atom	Tm	0	verified	CID:23961	Thulium	Tm	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33380; https://pubchem.ncbi.nlm.nih.gov/compound/23961	automated pinned-source audit	2026-07-23	
Yb	Yb	neutral atom	CHEBI:33381	ytterbium	Yb	0	verified	CID:23992	Ytterbium	Yb	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33381; https://pubchem.ncbi.nlm.nih.gov/compound/23992	automated pinned-source audit	2026-07-23	
Lu	Lu	neutral atom	CHEBI:33382	lutetium atom	Lu	0	verified	CID:23929	Lutetium	Lu	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33382; https://pubchem.ncbi.nlm.nih.gov/compound/23929	automated pinned-source audit	2026-07-23	
Hf	Hf	neutral atom	CHEBI:33343	hafnium atom	Hf	0	verified	CID:23986	Hafnium	Hf	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33343; https://pubchem.ncbi.nlm.nih.gov/compound/23986	automated pinned-source audit	2026-07-23	
Ta	Ta	neutral atom	CHEBI:33348	tantalum atom	Ta	0	verified	CID:23956	Tantalum	Ta	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33348; https://pubchem.ncbi.nlm.nih.gov/compound/23956	automated pinned-source audit	2026-07-23	
W	W	neutral atom	CHEBI:27998	tungsten	W	0	verified	CID:23964	Tungsten	W	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27998; https://pubchem.ncbi.nlm.nih.gov/compound/23964	automated pinned-source audit	2026-07-23	
Re	Re	neutral atom	CHEBI:49882	rhenium atom	Re	0	verified	CID:23947	Rhenium	Re	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_49882; https://pubchem.ncbi.nlm.nih.gov/compound/23947	automated pinned-source audit	2026-07-23	
Os	Os	neutral atom	CHEBI:30687	osmium atom	Os	0	verified	CID:23937	Osmium	Os	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_30687; https://pubchem.ncbi.nlm.nih.gov/compound/23937	automated pinned-source audit	2026-07-23	
Ir	Ir	neutral atom	CHEBI:49666	iridium atom	Ir	0	verified	CID:23924	Iridium	Ir	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_49666; https://pubchem.ncbi.nlm.nih.gov/compound/23924	automated pinned-source audit	2026-07-23	
Pt	Pt	neutral atom	CHEBI:33364	platinum	Pt	0	verified	CID:23939	Platinum	Pt	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33364; https://pubchem.ncbi.nlm.nih.gov/compound/23939	automated pinned-source audit	2026-07-23	
Au	Au	neutral atom	CHEBI:29287	gold atom	Au	0	verified	CID:23985	Gold	Au	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_29287; https://pubchem.ncbi.nlm.nih.gov/compound/23985	automated pinned-source audit	2026-07-23	
Hg	Hg	neutral atom	CHEBI:25195	mercury atom	Hg	0	verified	CID:23931	Mercury	Hg	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_25195; https://pubchem.ncbi.nlm.nih.gov/compound/23931	automated pinned-source audit	2026-07-23	
Bi	Bi	neutral atom	CHEBI:33301	bismuth atom	Bi	0	verified	CID:5359367	Bismuth	Bi	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33301; https://pubchem.ncbi.nlm.nih.gov/compound/5359367	automated pinned-source audit	2026-07-23	
Sc	Sc	neutral atom	CHEBI:33330	scandium atom	Sc	0	verified	CID:23952	Scandium	Sc	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33330; https://pubchem.ncbi.nlm.nih.gov/compound/23952	automated pinned-source audit	2026-07-23	
Br	Br	neutral atom	CHEBI:22927	bromine atom	Br	0	verified	CID:5360770	Bromine atom	Br	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_22927; https://pubchem.ncbi.nlm.nih.gov/compound/5360770	automated pinned-source audit	2026-07-23	
Ga	Ga	neutral atom	CHEBI:49631	gallium atom	Ga	0	verified	CID:5360835	Gallium	Ga	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_49631; https://pubchem.ncbi.nlm.nih.gov/compound/5360835	automated pinned-source audit	2026-07-23	
Se	Se	neutral atom	CHEBI:27568	selenium atom	Se	0	verified	CID:6326970	Selenium	Se	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27568; https://pubchem.ncbi.nlm.nih.gov/compound/6326970	automated pinned-source audit	2026-07-23	
Ge	Ge	neutral atom	CHEBI:30441	germanium atom	Ge	0	verified	CID:6326954	Germanium	Ge	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_30441; https://pubchem.ncbi.nlm.nih.gov/compound/6326954	automated pinned-source audit	2026-07-23	
SiO2	SiO2	neutral oxide	CHEBI:30563	silicon dioxide	O2Si	0	verified	CID:24261	Silica	O2Si	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_30563; https://pubchem.ncbi.nlm.nih.gov/compound/24261	automated pinned-source audit	2026-07-23	
Fe2O3	Fe2O3	neutral oxide	CHEBI:50819	ferric oxide	Fe2O3	0	verified	CID:518696	Iron oxide (Fe2O3)	Fe2O3	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_50819; https://pubchem.ncbi.nlm.nih.gov/compound/518696	automated pinned-source audit	2026-07-23	
Al2O3	Al2O3	neutral oxide	CHEBI:30187	aluminium oxide	Al2O3	0	verified	CID:9989226	Alumina	Al2O3	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_30187; https://pubchem.ncbi.nlm.nih.gov/compound/9989226	automated pinned-source audit	2026-07-23	
CaO	CaO	neutral oxide	CHEBI:31344	calcium oxide	Ca.O	0	verified	CID:14778	Calcium Oxide	CaO	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_31344; https://pubchem.ncbi.nlm.nih.gov/compound/14778	automated pinned-source audit	2026-07-23	
MgO	MgO	neutral oxide	CHEBI:31794	magnesium oxide			verified	CID:14792	Magnesium Oxide	MgO	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_31794; https://pubchem.ncbi.nlm.nih.gov/compound/14792	automated pinned-source audit	2026-07-23	ChEBI formula absent; exact label gate applied; ChEBI charge absent; neutral exact-label gate applied
K2O	K2O	neutral oxide	CHEBI:88321	potassium oxide	2K.O	0	verified	CID:9989219	Potassium oxide	K2O	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_88321; https://pubchem.ncbi.nlm.nih.gov/compound/9989219	automated pinned-source audit	2026-07-23	
Na2O	Na2O	neutral oxide					not_mapped	CID:73971	Sodium oxide	Na2O	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/73971	automated pinned-source audit	2026-07-23	
TiO2	TiO2	neutral oxide	CHEBI:32234	titanium dioxide	O2Ti	0	verified	CID:26042	Titanium dioxide	O2Ti	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_32234; https://pubchem.ncbi.nlm.nih.gov/compound/26042	automated pinned-source audit	2026-07-23	
MnO	MnO	neutral oxide					not_mapped	CID:14940	Manganous oxide	MnO	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/14940	automated pinned-source audit	2026-07-23	
P2O5	P2O5	neutral oxide	CHEBI:37376	tetraphosphorus decaoxide	O10P4	0	verified	CID:6326975	Phosphorus pentoxide	O5P2	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_37376; https://pubchem.ncbi.nlm.nih.gov/compound/6326975	automated pinned-source audit	2026-07-23	
SO3	SO3	neutral oxide	CHEBI:29384	sulfur trioxide	O3S	0	verified	CID:24682	Sulfur trioxide	O3S	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_29384; https://pubchem.ncbi.nlm.nih.gov/compound/24682	automated pinned-source audit	2026-07-23	
Cr2O3	Cr2O3	neutral oxide	CHEBI:48242	dichromium trioxide	Cr2O3	0	verified	CID:517277	Chromia	Cr2O3	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_48242; https://pubchem.ncbi.nlm.nih.gov/compound/517277	automated pinned-source audit	2026-07-23	
V2O5	V2O5	neutral oxide	CHEBI:30045	divanadium pentaoxide	O5V2	0	verified	CID:14814	Vanadium oxide (V2O5)	O5V2	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_30045; https://pubchem.ncbi.nlm.nih.gov/compound/14814	automated pinned-source audit	2026-07-23	
ZnO	ZnO	neutral oxide	CHEBI:36560	zinc oxide	OZn	0	verified	CID:3007857	Zinc Oxide	OZn	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_36560; https://pubchem.ncbi.nlm.nih.gov/compound/3007857	automated pinned-source audit	2026-07-23	
SrO	SrO	neutral oxide					not_mapped	CID:73975	Strontium oxide	OSr	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/73975	automated pinned-source audit	2026-07-23	
ZrO2	ZrO2	neutral oxide					not_mapped	CID:62395	Zirconium dioxide	O2Zr	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/62395	automated pinned-source audit	2026-07-23	
BaO	BaO	neutral oxide					not_mapped	CID:62392	Barium oxide	BaO	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/62392	automated pinned-source audit	2026-07-23	
La2O3	La2O3	neutral oxide					not_mapped	CID:150906	Lanthanum sesquioxide	La2O3	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/150906	automated pinned-source audit	2026-07-23	
CeO2	CeO2	neutral oxide	CHEBI:79089	ceric oxide	CeO2	0	verified	CID:73963	Ceria	CeO2	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_79089; https://pubchem.ncbi.nlm.nih.gov/compound/73963	automated pinned-source audit	2026-07-23	
PrO2	PrO2	neutral oxide					not_mapped					not_mapped	verified		automated pinned-source audit	2026-07-23	No formula-matching external identifier; local formula retained
Nd2O3	Nd2O3	neutral oxide					not_mapped	CID:159373	Neodymium sesquioxide	Nd2O3	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/159373	automated pinned-source audit	2026-07-23	
Sm2O3	Sm2O3	neutral oxide					not_mapped	CID:159425	Samarium oxide (Sm2O3)	O3Sm2	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/159425	automated pinned-source audit	2026-07-23	
CuO	CuO	neutral oxide	CHEBI:75955	copper(II) oxide	Cu.O	0	verified	CID:164827	Copper oxide (CuO)	CuO	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_75955; https://pubchem.ncbi.nlm.nih.gov/compound/164827	automated pinned-source audit	2026-07-23	
NiO	NiO	neutral oxide					not_mapped	CID:14805	Nickel trioxide	NiO	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/14805	automated pinned-source audit	2026-07-23	
CoO	CoO	neutral oxide					not_mapped	CID:14786	Cobalt(II) oxide	CoO	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/14786	automated pinned-source audit	2026-07-23	
PbO	PbO	neutral oxide	CHEBI:81045	lead oxide	O.Pb	0	verified	CID:14827	Lead monoxide	OPb	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_81045; https://pubchem.ncbi.nlm.nih.gov/compound/14827	automated pinned-source audit	2026-07-23	
Sc2O3	Sc2O3	neutral oxide					not_mapped	CID:134661	Scandium oxide (Sc2O3)	O3Sc2	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/134661	automated pinned-source audit	2026-07-23	
Ga2O3	Ga2O3	neutral oxide					not_mapped	CID:158605	Gallium sesquioxide	Ga2O3	0	verified	verified	https://pubchem.ncbi.nlm.nih.gov/compound/158605	automated pinned-source audit	2026-07-23	
